Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
The Citadel,Appalachian State,0,0,0,10,0,Foul on Mike Groselle
The Citadel,Appalachian State,0,0,0,10,0,Mike Groselle Turnover.
The Citadel,Appalachian State,0,0,0,23,0,Mike Neal Turnover.
The Citadel,Appalachian State,0,0,0,24,0,Marshall Harris III Steal.
The Citadel,Appalachian State,2,0,0,27,1,Marshall Harris III made Layup.
The Citadel,Appalachian State,2,2,0,45,1,Jay Canty made Jumper.
The Citadel,Appalachian State,2,2,1,2,0,Matt Scyoc Turnover.
The Citadel,Appalachian State,2,2,1,2,0,Michael Obacha Steal.
The Citadel,Appalachian State,2,2,1,14,0,Jay Canty missed Three Point Jumper.
The Citadel,Appalachian State,2,2,1,14,0,Mike Groselle Defensive Rebound.
The Citadel,Appalachian State,2,2,1,33,0,P.J. Horgan Turnover.
The Citadel,Appalachian State,2,2,1,34,0,Tab Hamilton Steal.
The Citadel,Appalachian State,2,4,1,37,1,Tab Hamilton made Layup.
The Citadel,Appalachian State,2,4,1,52,0,Raemond Robinson missed Three Point Jumper.
The Citadel,Appalachian State,2,4,1,52,0,Mike Neal Defensive Rebound.
The Citadel,Appalachian State,2,6,1,59,1,Mike Neal made Layup.
The Citadel,Appalachian State,5,6,2,30,1,Matt Scyoc made Three Point Jumper.  Assisted by Raemond Robinson.
The Citadel,Appalachian State,5,6,2,47,0,Foul on Matt Scyoc
The Citadel,Appalachian State,5,8,2,54,1,Jay Canty made Layup.
The Citadel,Appalachian State,5,8,3,8,0,Foul on Nathan Healy
The Citadel,Appalachian State,5,8,3,27,0,P.J. Horgan Turnover.
The Citadel,Appalachian State,5,8,3,29,0,Jay Canty Steal.
The Citadel,Appalachian State,5,10,3,30,1,Jay Canty made Dunk.
The Citadel,Appalachian State,5,10,3,31,0,Citadel Full Timeout.
The Citadel,Appalachian State,7,10,3,43,1,Stephen Elmore made Jumper.  Assisted by Raemond Robinson.
The Citadel,Appalachian State,7,10,3,58,0,Jay Canty Turnover.
The Citadel,Appalachian State,7,10,4,8,0,Foul on Tab Hamilton
The Citadel,Appalachian State,7,10,4,8,0,Citadel Full Timeout.
The Citadel,Appalachian State,7,10,4,10,0,Foul on Jamaal Trice
The Citadel,Appalachian State,7,10,4,10,0,Matt Scyoc missed Free Throw.
The Citadel,Appalachian State,7,10,4,10,0,null
The Citadel,Appalachian State,8,10,4,10,1,Matt Scyoc made Free Throw.
The Citadel,Appalachian State,8,10,4,26,0,Jay Canty Turnover.
The Citadel,Appalachian State,8,10,4,28,0,Marshall Harris III Steal.
The Citadel,Appalachian State,8,10,4,39,0,Matt Scyoc missed Jumper.
The Citadel,Appalachian State,8,10,4,39,0,P.J. Horgan Offensive Rebound.
The Citadel,Appalachian State,10,10,4,43,1,P.J. Horgan made Layup.
The Citadel,Appalachian State,10,10,5,7,0,Mike Neal missed Three Point Jumper.
The Citadel,Appalachian State,10,10,5,7,0,Michael Obacha Offensive Rebound.
The Citadel,Appalachian State,10,10,5,9,0,Foul on Stephen Elmore
The Citadel,Appalachian State,10,10,5,17,0,Jamaal Trice missed Jumper.
The Citadel,Appalachian State,10,10,5,17,0,Ashton Moore Defensive Rebound.
The Citadel,Appalachian State,10,10,5,37,0,Mike Groselle Turnover.
The Citadel,Appalachian State,10,10,5,37,0,Nathan Healy Steal.
The Citadel,Appalachian State,10,10,5,45,0,Foul on Nathan Healy
The Citadel,Appalachian State,10,10,5,45,0,Nathan Healy Turnover.
The Citadel,Appalachian State,10,10,6,2,0,Janeil Jenkins missed Layup.
The Citadel,Appalachian State,10,10,6,2,0,Tevin Baskin Block.
The Citadel,Appalachian State,10,10,6,4,0,Mike Neal Defensive Rebound.
The Citadel,Appalachian State,10,10,6,9,0,Mike Neal missed Layup.
The Citadel,Appalachian State,10,10,6,9,0,Stephen Elmore Defensive Rebound.
The Citadel,Appalachian State,12,10,6,31,1,Mike Groselle made Layup.  Assisted by Janeil Jenkins.
The Citadel,Appalachian State,12,10,6,59,0,Jamaal Trice missed Layup.
The Citadel,Appalachian State,12,10,6,59,0,Mike Groselle Defensive Rebound.
The Citadel,Appalachian State,12,10,7,15,0,Janeil Jenkins Turnover.
The Citadel,Appalachian State,12,10,7,16,0,Michael Obacha Steal.
The Citadel,Appalachian State,12,10,7,22,0,Mike Neal Turnover.
The Citadel,Appalachian State,12,10,7,23,0,Janeil Jenkins Steal.
The Citadel,Appalachian State,12,10,7,40,0,Janeil Jenkins missed Three Point Jumper.
The Citadel,Appalachian State,12,10,7,40,0,Jamaal Trice Defensive Rebound.
The Citadel,Appalachian State,12,10,7,57,0,Foul on Stephen Elmore
The Citadel,Appalachian State,12,11,7,57,1,Tevin Baskin made Free Throw.
The Citadel,Appalachian State,12,12,7,57,1,Tevin Baskin made Free Throw.
The Citadel,Appalachian State,12,12,8,13,0,Raemond Robinson missed Jumper.
The Citadel,Appalachian State,12,12,8,13,0,Appalachian State Defensive Rebo.
The Citadel,Appalachian State,12,12,8,13,0,Appalachian State Full Timeout.
The Citadel,Appalachian State,12,12,8,33,0,Chris Burgess Turnover.
The Citadel,Appalachian State,15,12,8,56,1,Dylen Setzekorn made Three Point Jumper.  Assisted by Marshall Harris III.
The Citadel,Appalachian State,15,14,9,23,1,Tevin Baskin made Layup.
The Citadel,Appalachian State,15,14,9,37,0,Foul on Tevin Baskin
The Citadel,Appalachian State,16,14,9,37,1,Marshall Harris III made Free Throw.
