Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Ball State,Northern Illinois,0,0,0,24,0,Kevin Gray missed Jumper.
Ball State,Northern Illinois,0,0,0,24,0,Jauwan Scaife Defensive Rebound.
Ball State,Northern Illinois,0,0,0,43,0,Jauwan Scaife Turnover.
Ball State,Northern Illinois,0,0,0,47,0,Travon Baker Steal.
Ball State,Northern Illinois,0,0,0,49,0,Foul on Jauwan Scaife
Ball State,Northern Illinois,0,1,0,49,1,Travon Baker made Free Throw.
Ball State,Northern Illinois,0,2,0,49,1,Travon Baker made Free Throw.
Ball State,Northern Illinois,0,2,1,16,0,Marcus Posley Turnover.
Ball State,Northern Illinois,0,2,1,19,0,Travon Baker Steal.
Ball State,Northern Illinois,0,2,1,27,0,Darrell Bowie missed Layup.
Ball State,Northern Illinois,0,2,1,27,0,Foul on Kevin Gray
Ball State,Northern Illinois,0,2,1,27,0,Kevin Gray Offensive Rebound.
Ball State,Northern Illinois,0,2,1,27,0,Abdel Nader missed Three Point Jumper.
Ball State,Northern Illinois,0,2,1,27,0,Majok Majok Defensive Rebound.
Ball State,Northern Illinois,0,2,1,38,0,Marcus Posley Turnover.
Ball State,Northern Illinois,0,2,1,41,0,Abdel Nader missed Three Point Jumper.
Ball State,Northern Illinois,0,2,1,41,0,Marcus Posley Defensive Rebound.
Ball State,Northern Illinois,0,2,1,47,0,Marcus Posley missed Layup.
Ball State,Northern Illinois,0,2,1,47,0,Abdel Nader Block.
Ball State,Northern Illinois,0,2,1,51,0,Aksel Bolin Defensive Rebound.
Ball State,Northern Illinois,0,2,1,57,0,Darrell Bowie missed Jumper.
Ball State,Northern Illinois,0,2,1,57,0,Kevin Gray Offensive Rebound.
Ball State,Northern Illinois,0,2,2,17,0,Abdel Nader missed Jumper.
Ball State,Northern Illinois,0,2,2,17,0,Majok Majok Defensive Rebound.
Ball State,Northern Illinois,0,2,2,37,0,Foul on Aksel Bolin
Ball State,Northern Illinois,3,2,2,45,1,Jauwan Scaife made Three Point Jumper.  Assisted by Chase Brogna.
Ball State,Northern Illinois,3,4,3,14,1,Keith Gray made Layup.
Ball State,Northern Illinois,3,4,3,31,0,Jauwan Scaife missed Layup.
Ball State,Northern Illinois,3,4,3,31,0,Keith Gray Defensive Rebound.
Ball State,Northern Illinois,3,7,3,39,1,Antone Christian made Three Point Jumper.  Assisted by Aksel Bolin.
Ball State,Northern Illinois,3,7,4,1,0,Chase Brogna missed Three Point Jumper.
Ball State,Northern Illinois,3,7,4,1,0,Travon Baker Defensive Rebound.
Ball State,Northern Illinois,3,7,4,9,0,Antone Christian missed Three Point Jumper.
Ball State,Northern Illinois,3,7,4,9,0,Antone Christian Offensive Rebound.
Ball State,Northern Illinois,3,10,4,46,1,Antone Christian made Three Point Jumper.
Ball State,Northern Illinois,3,10,5,7,0,Chris Bond Turnover.
Ball State,Northern Illinois,3,10,5,8,0,Darrell Bowie Steal.
Ball State,Northern Illinois,3,10,5,14,0,Foul on Chase Brogna
Ball State,Northern Illinois,3,10,5,14,0,Official TV Timeout.
Ball State,Northern Illinois,3,10,5,14,0,Darrell Bowie missed Free Throw.
Ball State,Northern Illinois,3,10,5,14,0,null
Ball State,Northern Illinois,3,11,5,14,1,Darrell Bowie made Free Throw.
Ball State,Northern Illinois,3,11,5,42,0,Jauwan Scaife Turnover.
Ball State,Northern Illinois,3,11,5,42,0,Foul on Marcus Posley
Ball State,Northern Illinois,3,11,5,48,0,Abdel Nader missed Jumper.
Ball State,Northern Illinois,3,11,5,48,0,Chris Bond Defensive Rebound.
Ball State,Northern Illinois,3,11,6,4,0,Foul on Abdel Nader
Ball State,Northern Illinois,3,11,6,7,0,Jauwan Scaife missed Three Point Jumper.
Ball State,Northern Illinois,3,11,6,7,0,Ball State Offensive Rebound.
Ball State,Northern Illinois,3,11,6,9,0,Foul on Sam Mader
Ball State,Northern Illinois,3,11,6,29,0,Chris Bond missed Jumper.
Ball State,Northern Illinois,3,11,6,29,0,Abdel Nader Defensive Rebound.
Ball State,Northern Illinois,3,11,6,36,0,Antone Christian missed Three Point Jumper.
Ball State,Northern Illinois,3,11,6,36,0,Ball State Defensive Rebound.
Ball State,Northern Illinois,5,11,7,2,1,Majok Majok made Jumper.
Ball State,Northern Illinois,5,11,7,21,0,Sam Mader Turnover.
Ball State,Northern Illinois,5,11,7,35,0,Marcus Posley missed Three Point Jumper.
Ball State,Northern Illinois,5,11,7,35,0,Kevin Gray Defensive Rebound.
Ball State,Northern Illinois,5,11,7,50,0,Abdel Nader missed Layup.
