Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Ball State,Toledo,0,0,0,17,0,Majok Majok Turnover.
Ball State,Toledo,0,0,0,35,0,Matt Smith Turnover.
Ball State,Toledo,0,0,0,37,0,Matt Kamieniecki Steal.
Ball State,Toledo,0,0,0,45,0,Jauwan Scaife missed Three Point Jumper.
Ball State,Toledo,0,0,0,45,0,Matt Kamieniecki Offensive Rebound.
Ball State,Toledo,2,0,1,0,1,Matt Kamieniecki made Layup.
Ball State,Toledo,2,0,1,6,0,Rian Pearson missed Jumper.
Ball State,Toledo,2,0,1,6,0,Nathan Boothe Offensive Rebound.
Ball State,Toledo,2,2,1,15,1,Nathan Boothe made Layup.
Ball State,Toledo,5,2,1,32,1,Marcus Posley made Three Point Jumper.  Assisted by Jauwan Scaife.
Ball State,Toledo,5,5,1,47,1,Matt Smith made Three Point Jumper.  Assisted by Julius Brown.
Ball State,Toledo,5,5,2,2,0,Marcus Posley Turnover.
Ball State,Toledo,5,7,2,14,1,Nathan Boothe made Layup.  Assisted by Julius Brown.
Ball State,Toledo,5,7,2,43,0,Majok Majok Turnover.
Ball State,Toledo,5,7,2,59,0,Rian Pearson Steal.
Ball State,Toledo,5,7,3,5,0,Nathan Boothe missed Jumper.
Ball State,Toledo,5,7,3,5,0,Matt Kamieniecki Defensive Rebound.
Ball State,Toledo,5,7,3,11,0,Jauwan Scaife missed Jumper.
Ball State,Toledo,5,7,3,11,0,Rian Pearson Defensive Rebound.
Ball State,Toledo,5,9,3,33,1,Rian Pearson made Jumper.  Assisted by Nathan Boothe.
Ball State,Toledo,5,9,3,36,0,Marcus Posley missed Jumper.
Ball State,Toledo,5,9,3,36,0,Matt Kamieniecki Offensive Rebound.
Ball State,Toledo,5,9,3,43,0,Matt Kamieniecki missed Jumper.
Ball State,Toledo,5,9,4,10,0,Nathan Boothe Defensive Rebound.
Ball State,Toledo,5,9,4,15,0,Dominique Buckley missed Three Point Jumper.
Ball State,Toledo,5,9,4,16,0,Matt Kamieniecki Defensive Rebound.
Ball State,Toledo,5,9,4,17,0,Foul on Rian Pearson
Ball State,Toledo,5,9,4,18,0,Official TV Timeout.
Ball State,Toledo,5,9,4,27,0,Majok Majok missed Free Throw.
Ball State,Toledo,5,9,4,27,0,null
Ball State,Toledo,6,9,4,27,1,Majok Majok made Free Throw.
