Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Cal Poly,TCU,0,0,0,24,0,Amric Fields missed Jumper.
Cal Poly,TCU,0,0,0,24,0,Cal Poly Defensive Rebound.
Cal Poly,TCU,0,0,0,46,0,Chris Eversley missed Jumper.
Cal Poly,TCU,0,0,0,46,0,Adrick McKinney Defensive Rebound.
Cal Poly,TCU,0,0,1,8,0,Amric Fields missed Layup.
Cal Poly,TCU,0,0,1,8,0,Dylan Royer Defensive Rebound.
Cal Poly,TCU,0,0,1,42,0,Brian Bennett missed Layup.
Cal Poly,TCU,0,0,1,42,0,Kyan Anderson Defensive Rebound.
Cal Poly,TCU,0,0,1,54,0,Garlon Green missed Jumper.
Cal Poly,TCU,0,0,1,54,0,TCU Offensive Rebound.
Cal Poly,TCU,0,0,2,27,0,Garlon Green missed Jumper.
Cal Poly,TCU,0,0,2,27,0,Brian Bennett Defensive Rebound.
Cal Poly,TCU,2,0,2,41,1,Chris Eversley made Layup.  Assisted by Dylan Royer.
Cal Poly,TCU,2,0,3,4,0,Jarvis Ray missed Jumper.
Cal Poly,TCU,2,0,3,4,0,Chris Eversley Defensive Rebound.
Cal Poly,TCU,2,0,3,20,0,Chris Eversley missed Three Point Jumper.
Cal Poly,TCU,2,0,3,20,0,Garlon Green Defensive Rebound.
Cal Poly,TCU,2,2,3,32,1,Amric Fields made Jumper.  Assisted by Jarvis Ray.
Cal Poly,TCU,2,2,3,54,0,Chris Eversley missed Layup.
Cal Poly,TCU,2,2,3,54,0,Brian Bennett Offensive Rebound.
Cal Poly,TCU,4,2,3,56,1,Brian Bennett made Tip Shot.
Cal Poly,TCU,4,2,4,11,0,Foul on Dylan Royer
Cal Poly,TCU,4,2,4,11,0,Official TV Timeout.
Cal Poly,TCU,4,2,4,11,0,Jarvis Ray missed Free Throw.
Cal Poly,TCU,4,2,4,11,0,null
Cal Poly,TCU,4,3,4,11,1,Jarvis Ray made Free Throw.
Cal Poly,TCU,4,3,4,26,0,Chris Eversley missed Layup.
Cal Poly,TCU,4,3,4,26,0,Zach Gordon Offensive Rebound.
Cal Poly,TCU,4,3,4,30,0,Foul on Connell Crossland
Cal Poly,TCU,5,3,4,30,1,Zach Gordon made Free Throw.
Cal Poly,TCU,5,3,4,30,0,Zach Gordon missed Free Throw.
Cal Poly,TCU,5,3,4,30,0,Amric Fields Defensive Rebound.
Cal Poly,TCU,5,3,5,5,0,Kyan Anderson missed Three Point Jumper.
Cal Poly,TCU,5,3,5,5,0,Jamal Johnson Defensive Rebound.
Cal Poly,TCU,5,3,5,37,0,Chris Eversley Turnover.
Cal Poly,TCU,5,3,5,37,0,Foul on Chris Eversley
