Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Cleveland State,Ball State,0,0,0,17,0,Zach Fields Turnover.
Cleveland State,Ball State,0,0,0,33,0,Devon Long missed Layup.
Cleveland State,Ball State,0,0,0,33,0,Matt Kamieniecki Defensive Rebound.
Cleveland State,Ball State,0,0,0,42,0,Foul on Sebastian Douglas
Cleveland State,Ball State,0,3,1,5,1,Jesse Berry made Three Point Jumper.  Assisted by Chris Bond.
Cleveland State,Ball State,2,3,1,24,1,Devon Long made Layup.  Assisted by Charlie Lee.
Cleveland State,Ball State,2,5,1,53,1,Chris Bond made Layup.  Assisted by Majok Majok.
Cleveland State,Ball State,2,5,2,5,0,Devon Long Turnover.
Cleveland State,Ball State,2,5,2,23,0,Chris Bond Turnover.
Cleveland State,Ball State,2,5,2,27,0,Marlin Mason Steal.
Cleveland State,Ball State,2,5,2,29,0,Marlin Mason missed Three Point Jumper.
Cleveland State,Ball State,2,5,2,29,0,Cleveland State Offensive Reboun.
Cleveland State,Ball State,4,5,2,44,1,Sebastian Douglas made Layup.
Cleveland State,Ball State,4,5,3,9,0,Jauwan Scaife missed Three Point Jumper.
Cleveland State,Ball State,4,5,3,9,0,Charlie Lee Defensive Rebound.
Cleveland State,Ball State,4,5,3,18,0,Marlin Mason missed Dunk.
Cleveland State,Ball State,4,5,3,18,0,Jesse Berry Defensive Rebound.
Cleveland State,Ball State,4,8,3,25,1,Jesse Berry made Three Point Jumper.
Cleveland State,Ball State,4,8,3,51,0,Marlin Mason missed Three Point Jumper.
Cleveland State,Ball State,4,8,3,51,0,Chris Bond Defensive Rebound.
Cleveland State,Ball State,4,10,4,8,1,Jauwan Scaife made Jumper.
Cleveland State,Ball State,4,10,4,26,0,Charlie Lee Turnover.
Cleveland State,Ball State,4,10,4,28,0,Chris Bond Steal.
Cleveland State,Ball State,4,12,4,32,1,Jesse Berry made Layup.  Assisted by Jauwan Scaife.
Cleveland State,Ball State,4,12,4,44,0,Charlie Lee missed Three Point Jumper.
Cleveland State,Ball State,4,12,4,44,0,Matt Kamieniecki Defensive Rebound.
Cleveland State,Ball State,4,12,4,46,0,Official TV Timeout.
Cleveland State,Ball State,4,12,5,0,0,Foul on Aaron Scales
Cleveland State,Ball State,4,13,5,0,1,Chris Bond made Free Throw.
Cleveland State,Ball State,4,14,5,0,1,Chris Bond made Free Throw.
Cleveland State,Ball State,6,14,5,15,1,Aaron Scales made Layup.  Assisted by Junior Lomomba.
Cleveland State,Ball State,6,16,5,43,1,Majok Majok made Layup.
Cleveland State,Ball State,6,16,6,18,0,Marlin Mason missed Layup.
Cleveland State,Ball State,6,16,6,18,0,Majok Majok Defensive Rebound.
Cleveland State,Ball State,6,16,6,29,0,Marcus Posley missed Layup.
Cleveland State,Ball State,6,16,6,29,0,Tim Kamczyc Defensive Rebound.
Cleveland State,Ball State,6,16,6,36,0,Sebastian Douglas Turnover.
Cleveland State,Ball State,6,16,6,38,0,Marcus Posley Steal.
Cleveland State,Ball State,6,18,6,44,1,Chris Bond made Layup.  Assisted by Marcus Posley.
Cleveland State,Ball State,6,18,7,7,0,Charlie Lee Turnover.
Cleveland State,Ball State,6,18,7,8,0,Jauwan Scaife Steal.
Cleveland State,Ball State,6,18,7,15,0,Jauwan Scaife missed Layup.
Cleveland State,Ball State,6,18,7,15,0,Bryn Forbes Defensive Rebound.
Cleveland State,Ball State,6,18,7,36,0,Foul on Matt Kamieniecki
Cleveland State,Ball State,7,18,7,36,1,Marlin Mason made Free Throw.
Cleveland State,Ball State,8,18,7,36,1,Marlin Mason made Free Throw.
Cleveland State,Ball State,8,18,7,42,0,Marcus Posley Turnover.
Cleveland State,Ball State,8,18,7,44,0,Marlin Mason Steal.
Cleveland State,Ball State,8,18,7,47,0,Foul on Michael Ramey
Cleveland State,Ball State,10,18,8,4,1,Charlie Lee made Jumper.  Assisted by Tim Kamczyc.
Cleveland State,Ball State,10,18,8,22,0,Marcus Posley Turnover.
Cleveland State,Ball State,10,18,8,25,0,Sebastian Douglas Steal.
Cleveland State,Ball State,12,18,8,27,1,Sebastian Douglas made Layup.
Cleveland State,Ball State,12,20,8,40,1,Jesse Berry made Layup.
Cleveland State,Ball State,12,20,8,51,0,Cleveland State Full Timeout.
Cleveland State,Ball State,12,20,9,12,0,Foul on Majok Majok
Cleveland State,Ball State,12,20,9,12,0,Official TV Timeout.
Cleveland State,Ball State,13,20,9,12,1,Tim Kamczyc made Free Throw.
Cleveland State,Ball State,14,20,9,12,1,Tim Kamczyc made Free Throw.
Cleveland State,Ball State,14,20,9,19,0,Jesse Berry missed Three Point Jumper.
Cleveland State,Ball State,14,20,9,19,0,Bryn Forbes Defensive Rebound.
Cleveland State,Ball State,16,20,9,36,1,Charlie Lee made Jumper.  Assisted by Tim Kamczyc.
Cleveland State,Ball State,16,20,9,55,0,Jauwan Scaife missed Three Point Jumper.
Cleveland State,Ball State,16,20,9,55,0,Chris Bond Offensive Rebound.
Cleveland State,Ball State,16,20,10,0,0,Chris Bond missed Layup.
Cleveland State,Ball State,16,20,10,0,0,Majok Majok Offensive Rebound.
Cleveland State,Ball State,16,20,10,0,0,Foul on Sebastian Douglas
Cleveland State,Ball State,16,20,10,20,0,Jauwan Scaife missed Three Point Jumper.
Cleveland State,Ball State,16,20,10,20,0,Chris Bond Offensive Rebound.
Cleveland State,Ball State,16,20,10,24,0,Chris Bond missed Layup.
Cleveland State,Ball State,16,20,10,24,0,Cleveland State Defensive Reboun.
Cleveland State,Ball State,16,20,10,48,0,Bryn Forbes missed Three Point Jumper.
Cleveland State,Ball State,16,20,10,48,0,Ball State Defensive Rebound.
Cleveland State,Ball State,16,20,11,30,0,Ball State Turnover.
Cleveland State,Ball State,16,20,11,41,0,Bryn Forbes missed Three Point Jumper.
Cleveland State,Ball State,16,20,11,41,0,Majok Majok Defensive Rebound.
Cleveland State,Ball State,16,20,11,42,0,Foul on Marlin Mason
Cleveland State,Ball State,16,20,12,5,0,Chris Bond missed Layup.
Cleveland State,Ball State,16,20,12,5,0,Charlie Lee Defensive Rebound.
Cleveland State,Ball State,16,20,12,19,0,Bryn Forbes missed Three Point Jumper.
Cleveland State,Ball State,16,20,12,19,0,Aaron Scales Offensive Rebound.
Cleveland State,Ball State,16,20,12,19,0,Foul on Josh Ivory
Cleveland State,Ball State,16,20,12,19,0,Official TV Timeout.
Cleveland State,Ball State,16,20,12,24,0,Jesse Berry Turnover.
Cleveland State,Ball State,16,20,12,26,0,Charlie Lee Steal.
Cleveland State,Ball State,16,20,12,32,0,Marlin Mason missed Layup.
Cleveland State,Ball State,16,20,12,32,0,Devon Long Offensive Rebound.
Cleveland State,Ball State,18,20,12,37,1,Devon Long made Layup.
Cleveland State,Ball State,18,20,12,50,0,Chris Bond missed Layup.
Cleveland State,Ball State,18,20,12,50,0,Majok Majok Offensive Rebound.
Cleveland State,Ball State,18,20,12,55,0,Jauwan Scaife missed Three Point Jumper.
Cleveland State,Ball State,18,20,12,55,0,Marlin Mason Defensive Rebound.
