Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Coastal Carolina,High Point,0,0,0,18,0,Adam Weary missed Three Point Jumper.
Coastal Carolina,High Point,0,0,0,18,0,Kierre Greenwood Defensive Rebound.
Coastal Carolina,High Point,3,0,0,52,1,Badou Diagne made Three Point Jumper.  Assisted by Warren Gillis.
Coastal Carolina,High Point,3,2,1,23,1,Dejuan McGaughy made Layup.
Coastal Carolina,High Point,3,2,1,51,0,El Hadji Ndieguene missed Jumper.
Coastal Carolina,High Point,3,2,1,51,0,Dejuan McGaughy Defensive Rebound.
Coastal Carolina,High Point,3,2,1,55,0,Foul on El Hadji Ndieguene
Coastal Carolina,High Point,3,2,2,1,0,Allan Chaney missed Jumper.
Coastal Carolina,High Point,3,2,2,1,0,Coastal Carolina Defensive Rebou.
Coastal Carolina,High Point,3,2,2,18,0,Kierre Greenwood Turnover.
Coastal Carolina,High Point,3,2,2,21,0,Allan Chaney Steal.
Coastal Carolina,High Point,3,2,2,34,0,Derrell Edwards Turnover.
Coastal Carolina,High Point,3,2,2,34,0,Kierre Greenwood Steal.
Coastal Carolina,High Point,3,2,2,56,0,Warren Gillis missed Jumper.
Coastal Carolina,High Point,3,2,2,56,0,Allan Chaney Defensive Rebound.
Coastal Carolina,High Point,3,2,3,5,0,John Brown missed Jumper.
Coastal Carolina,High Point,3,2,3,5,0,El Hadji Ndieguene Defensive Rebound.
Coastal Carolina,High Point,3,2,3,14,0,Kierre Greenwood Turnover.
Coastal Carolina,High Point,3,2,3,24,0,Dejuan McGaughy Turnover.
Coastal Carolina,High Point,3,2,3,25,0,Kierre Greenwood Steal.
Coastal Carolina,High Point,3,2,3,27,0,Foul on Dejuan McGaughy
Coastal Carolina,High Point,4,2,3,27,1,Anthony Raffa made Free Throw.
Coastal Carolina,High Point,5,2,3,27,1,Anthony Raffa made Free Throw.
Coastal Carolina,High Point,5,4,3,44,1,Adam Weary made Jumper.  Assisted by Derrell Edwards.
Coastal Carolina,High Point,5,4,4,0,0,Anthony Raffa Turnover.
Coastal Carolina,High Point,5,4,4,21,0,Devante Wallace missed Three Point Jumper.
Coastal Carolina,High Point,5,4,4,21,0,Badou Diagne Defensive Rebound.
Coastal Carolina,High Point,5,4,4,23,0,Foul on Corey Law
Coastal Carolina,High Point,5,4,4,23,0,Official TV Timeout.
Coastal Carolina,High Point,7,4,4,29,1,Badou Diagne made Dunk.  Assisted by Kierre Greenwood.
Coastal Carolina,High Point,7,7,4,54,1,Derrell Edwards made Three Point Jumper.  Assisted by Jairus Simms.
Coastal Carolina,High Point,7,7,5,10,0,Foul on John Brown
Coastal Carolina,High Point,7,7,5,25,0,Kierre Greenwood missed Layup.
Coastal Carolina,High Point,7,7,5,25,0,Jairus Simms Defensive Rebound.
Coastal Carolina,High Point,7,10,5,40,1,Derrell Edwards made Three Point Jumper.  Assisted by Devante Wallace.
Coastal Carolina,High Point,7,10,6,6,0,Uros Ljeskovic missed Jumper.
Coastal Carolina,High Point,7,10,6,6,0,Allan Chaney Block.
