Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Rochester College,Detroit Mercy,0,0,0,12,0,Dramell Hogan missed Three Point Jumper.
Rochester College,Detroit Mercy,0,0,0,12,0,Jason Calliste Defensive Rebound.
Rochester College,Detroit Mercy,0,2,0,29,1,Juwan Howard Jr. made Jumper.
Rochester College,Detroit Mercy,2,2,0,52,1,Dramell Hogan made Jumper.
Rochester College,Detroit Mercy,2,5,1,9,1,Jason Calliste made Three Point Jumper.  Assisted by Doug Anderson.
Rochester College,Detroit Mercy,2,5,1,28,0,Foul on Ray McCallum
Rochester College,Detroit Mercy,2,5,1,29,0,Sean Mattia missed Three Point Jumper.
Rochester College,Detroit Mercy,2,5,1,29,0,Rochester College Offensive Rebo.
Rochester College,Detroit Mercy,2,5,1,36,0,Stavros Schizas Turnover.
Rochester College,Detroit Mercy,2,7,2,0,1,Ray McCallum made Layup.  Assisted by Jason Calliste.
Rochester College,Detroit Mercy,5,7,2,21,1,Stavros Schizas made Three Point Jumper.  Assisted by Drew Maynard.
Rochester College,Detroit Mercy,5,7,2,36,0,Juwan Howard Jr. Turnover.
Rochester College,Detroit Mercy,5,7,2,49,0,Dramell Hogan missed Jumper.
Rochester College,Detroit Mercy,5,7,2,49,0,Dramell Hogan Offensive Rebound.
Rochester College,Detroit Mercy,7,7,3,17,1,Dramell Hogan made Jumper.  Assisted by Drew Maynard.
Rochester College,Detroit Mercy,7,7,3,36,0,Jason Calliste missed Three Point Jumper.
Rochester College,Detroit Mercy,7,7,3,36,0,Stavros Schizas Defensive Rebound.
Rochester College,Detroit Mercy,7,7,3,37,0,Foul on Nick Minnerath
Rochester College,Detroit Mercy,7,7,3,50,0,Stavros Schizas missed Three Point Jumper.
Rochester College,Detroit Mercy,7,7,3,50,0,Nick Minnerath Defensive Rebound.
Rochester College,Detroit Mercy,7,7,4,0,0,Ray McCallum missed Three Point Jumper.
Rochester College,Detroit Mercy,7,7,4,0,0,Drew Maynard Defensive Rebound.
Rochester College,Detroit Mercy,7,7,4,21,0,Official TV Timeout.
Rochester College,Detroit Mercy,7,7,4,25,0,Drew Maynard Turnover.
Rochester College,Detroit Mercy,7,7,5,7,0,P.J. Boutte missed Three Point Jumper.
Rochester College,Detroit Mercy,7,7,5,7,0,Stavros Schizas Block.
Rochester College,Detroit Mercy,7,7,5,10,0,Sean Mattia Defensive Rebound.
Rochester College,Detroit Mercy,7,7,5,15,0,Drew Maynard missed Layup.
Rochester College,Detroit Mercy,7,7,5,15,0,Stavros Schizas Offensive Rebound.
Rochester College,Detroit Mercy,9,7,5,19,1,Stavros Schizas made Tip Shot.
Rochester College,Detroit Mercy,9,10,5,41,1,Jermaine Lippert made Three Point Jumper.  Assisted by Jason Calliste.
Rochester College,Detroit Mercy,11,10,5,57,1,Drew Maynard made Layup.  Assisted by Sean Mattia.
Rochester College,Detroit Mercy,11,10,6,8,0,Foul on Sean Mattia
Rochester College,Detroit Mercy,11,11,6,8,1,Jason Calliste made Free Throw.
Rochester College,Detroit Mercy,11,11,6,8,0,Jason Calliste missed Free Throw.
Rochester College,Detroit Mercy,11,11,6,8,0,null
Rochester College,Detroit Mercy,11,12,6,8,1,Jason Calliste made Free Throw.
Rochester College,Detroit Mercy,11,12,6,16,0,Foul on Matt Gold
