Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Georgia State,Duke,0,0,0,9,0,Tyler Thornton Turnover.
Georgia State,Duke,0,0,0,9,0,Rj Hunter Steal.
Georgia State,Duke,2,0,0,13,1,Rj Hunter made Layup.
Georgia State,Duke,2,0,0,40,0,Ryan Kelly missed Jumper.
Georgia State,Duke,2,0,0,40,0,Rashaad Richardson Defensive Rebound.
Georgia State,Duke,2,0,0,58,0,Denny Burguillos missed Jumper.
Georgia State,Duke,2,0,0,58,0,Rasheed Sulaimon Defensive Rebound.
Georgia State,Duke,2,0,1,1,0,Foul on Devonta White
Georgia State,Duke,2,3,1,10,1,Rasheed Sulaimon made Three Point Jumper.  Assisted by Seth Curry.
Georgia State,Duke,2,3,1,28,0,Denny Burguillos Turnover.
Georgia State,Duke,2,3,1,28,0,Foul on Denny Burguillos
Georgia State,Duke,2,3,1,47,0,Seth Curry Turnover.
Georgia State,Duke,2,3,1,47,0,Devonta White Steal.
Georgia State,Duke,2,3,2,10,0,Manny Atkins missed Layup.
Georgia State,Duke,2,3,2,10,0,Tyler Thornton Defensive Rebound.
Georgia State,Duke,2,3,2,20,0,Foul on Denny Burguillos
Georgia State,Duke,2,4,2,20,1,Ryan Kelly made Free Throw.
Georgia State,Duke,2,5,2,20,1,Ryan Kelly made Free Throw.
Georgia State,Duke,2,5,2,36,0,James Vincent Turnover.
Georgia State,Duke,2,5,2,39,0,Tyler Thornton Steal.
Georgia State,Duke,2,5,2,50,0,Mason Plumlee missed Jumper.
Georgia State,Duke,2,5,2,50,0,Rj Hunter Defensive Rebound.
Georgia State,Duke,2,5,3,4,0,James Vincent missed Jumper.
Georgia State,Duke,2,5,3,4,0,Rasheed Sulaimon Defensive Rebound.
Georgia State,Duke,2,8,3,33,1,Seth Curry made Three Point Jumper.  Assisted by Mason Plumlee.
Georgia State,Duke,2,8,4,8,0,Devonta White missed Jumper.
Georgia State,Duke,2,8,4,8,0,Ryan Kelly Block.
Georgia State,Duke,2,8,4,8,0,Georgia State Offensive Rebound.
Georgia State,Duke,2,8,4,8,0,Official TV Timeout.
Georgia State,Duke,2,8,4,11,0,Rashaad Richardson missed Three Point Jumper.
Georgia State,Duke,2,8,4,11,0,Ryan Kelly Defensive Rebound.
Georgia State,Duke,2,8,4,27,0,Tyler Thornton Turnover.
Georgia State,Duke,2,8,4,27,0,Manny Atkins Steal.
Georgia State,Duke,4,8,4,32,1,Manny Atkins made Layup.
Georgia State,Duke,4,8,4,32,0,Foul on Rasheed Sulaimon
Georgia State,Duke,4,8,4,32,0,Manny Atkins missed Free Throw.
Georgia State,Duke,4,8,4,32,0,Mason Plumlee Defensive Rebound.
Georgia State,Duke,4,8,4,50,0,Seth Curry missed Three Point Jumper.
Georgia State,Duke,4,8,4,50,0,Mason Plumlee Offensive Rebound.
Georgia State,Duke,4,10,4,54,1,Mason Plumlee made Tip Shot.
Georgia State,Duke,4,10,5,15,0,Foul on Mason Plumlee
Georgia State,Duke,4,10,5,31,0,Foul on Seth Curry
Georgia State,Duke,5,10,5,31,1,Rj Hunter made Free Throw.
Georgia State,Duke,6,10,5,31,1,Rj Hunter made Free Throw.
Georgia State,Duke,6,10,5,44,0,Quinn Cook missed Three Point Jumper.
Georgia State,Duke,6,10,5,44,0,Rj Hunter Defensive Rebound.
Georgia State,Duke,6,10,6,8,0,Rj Hunter missed Three Point Jumper.
Georgia State,Duke,6,10,6,8,0,Amile Jefferson Defensive Rebound.
Georgia State,Duke,6,12,6,23,1,Seth Curry made Jumper.
Georgia State,Duke,6,12,6,23,0,Foul on Denny Burguillos
Georgia State,Duke,6,13,6,23,1,Seth Curry made Free Throw.
Georgia State,Duke,6,13,6,39,0,Devonta White Turnover.
Georgia State,Duke,6,13,6,48,0,Quinn Cook Turnover.
Georgia State,Duke,6,13,7,1,0,Manny Atkins Turnover.
Georgia State,Duke,6,13,7,15,0,Rasheed Sulaimon missed Jumper.
Georgia State,Duke,6,13,7,15,0,Georgia State Defensive Rebound.
Georgia State,Duke,6,13,7,26,0,Foul on Josh Hairston
Georgia State,Duke,9,13,7,36,1,Devonta White made Three Point Jumper.
Georgia State,Duke,9,13,7,51,0,Foul on Rashaad Richardson
Georgia State,Duke,9,14,7,51,1,Amile Jefferson made Free Throw.
Georgia State,Duke,9,14,7,51,0,Amile Jefferson missed Free Throw.
Georgia State,Duke,9,14,7,51,0,Rj Hunter Defensive Rebound.
Georgia State,Duke,9,14,8,5,0,Devonta White missed Three Point Jumper.
Georgia State,Duke,9,14,8,5,0,Rashaad Richardson Offensive Rebound.
Georgia State,Duke,9,14,8,10,0,Official TV Timeout.
Georgia State,Duke,9,14,8,37,0,Foul on Josh Hairston
Georgia State,Duke,9,14,8,47,0,Devonta White missed Jumper.
Georgia State,Duke,9,14,8,47,0,Mason Plumlee Defensive Rebound.
Georgia State,Duke,9,14,8,58,0,Tyler Thornton missed Three Point Jumper.
Georgia State,Duke,9,14,8,58,0,Cameron Solomon Defensive Rebound.
Georgia State,Duke,9,14,9,25,0,Manny Atkins missed Three Point Jumper.
Georgia State,Duke,9,14,9,25,0,Rasheed Sulaimon Defensive Rebound.
Georgia State,Duke,9,14,9,38,0,Foul on Tj Shipes
Georgia State,Duke,9,14,9,41,0,Foul on Markus Crider
Georgia State,Duke,9,15,9,41,1,Mason Plumlee made Free Throw.
Georgia State,Duke,9,16,9,41,1,Mason Plumlee made Free Throw.
Georgia State,Duke,11,16,10,2,1,James Vincent made Dunk.  Assisted by Markus Crider.
Georgia State,Duke,11,16,10,26,0,Seth Curry missed Jumper.
Georgia State,Duke,11,16,10,26,0,Duke Offensive Rebound.
Georgia State,Duke,11,16,10,28,0,Foul on Cameron Solomon
Georgia State,Duke,11,17,10,28,1,Ryan Kelly made Free Throw.
Georgia State,Duke,11,17,10,28,0,Ryan Kelly missed Free Throw.
Georgia State,Duke,11,17,10,28,0,James Vincent Defensive Rebound.
Georgia State,Duke,13,17,10,51,1,Cameron Solomon made Layup.
Georgia State,Duke,13,17,11,7,0,Rasheed Sulaimon Turnover.
Georgia State,Duke,13,17,11,7,0,Devonta White Steal.
Georgia State,Duke,13,17,11,11,0,Devonta White missed Layup.
Georgia State,Duke,13,17,11,11,0,Markus Crider Offensive Rebound.
Georgia State,Duke,13,17,11,16,0,Markus Crider missed Tip Shot.
Georgia State,Duke,13,17,11,16,0,Ryan Kelly Defensive Rebound.
Georgia State,Duke,13,17,11,20,0,Quinn Cook Turnover.
Georgia State,Duke,13,17,11,41,0,Rj Hunter missed Jumper.
Georgia State,Duke,13,17,11,41,0,Mason Plumlee Defensive Rebound.
Georgia State,Duke,13,17,11,52,0,Mason Plumlee missed Layup.
Georgia State,Duke,13,17,11,52,0,James Vincent Defensive Rebound.
Georgia State,Duke,15,17,12,12,1,James Vincent made Layup.  Assisted by David Travers.
Georgia State,Duke,15,19,12,26,1,Ryan Kelly made Jumper.  Assisted by Quinn Cook.
Georgia State,Duke,15,19,12,56,0,Georgia State Full Timeout.
Georgia State,Duke,15,19,13,3,0,Devonta White missed Three Point Jumper.
Georgia State,Duke,15,19,13,3,0,Mason Plumlee Defensive Rebound.
Georgia State,Duke,15,19,13,6,0,Official TV Timeout.
Georgia State,Duke,15,22,13,24,1,Quinn Cook made Three Point Jumper.  Assisted by Rasheed Sulaimon.
Georgia State,Duke,15,22,13,45,0,Cameron Solomon Turnover.
Georgia State,Duke,15,22,13,59,0,Ryan Kelly Turnover.
Georgia State,Duke,15,22,14,9,0,Rj Hunter missed Jumper.
Georgia State,Duke,15,22,14,9,0,Mason Plumlee Defensive Rebound.
Georgia State,Duke,15,22,14,28,0,Mason Plumlee Turnover.
Georgia State,Duke,15,22,14,51,0,Manny Atkins missed Jumper.
Georgia State,Duke,15,22,14,51,0,Mason Plumlee Defensive Rebound.
Georgia State,Duke,15,22,15,8,0,Rasheed Sulaimon missed Jumper.
Georgia State,Duke,15,22,15,8,0,Rashaad Richardson Defensive Rebound.
Georgia State,Duke,15,22,15,41,0,Rj Hunter missed Three Point Jumper.
Georgia State,Duke,15,22,15,41,0,Mason Plumlee Block.
Georgia State,Duke,15,22,15,42,0,Mason Plumlee Defensive Rebound.
Georgia State,Duke,15,24,15,45,1,Mason Plumlee made Layup.  Assisted by Tyler Thornton.
Georgia State,Duke,15,24,15,45,0,Foul on Devonta White
Georgia State,Duke,15,24,15,45,0,Georgia State Full Timeout.
Georgia State,Duke,15,24,15,45,0,Mason Plumlee missed Free Throw.
Georgia State,Duke,15,24,15,45,0,Rj Hunter Defensive Rebound.
Georgia State,Duke,17,24,16,1,1,Devonta White made Jumper.
Georgia State,Duke,17,24,16,20,0,Mason Plumlee missed Jumper.
Georgia State,Duke,17,24,16,20,0,Amile Jefferson Offensive Rebound.
Georgia State,Duke,17,24,16,23,0,Foul on Rj Hunter
Georgia State,Duke,17,24,16,23,0,Official TV Timeout.
Georgia State,Duke,17,25,16,23,1,Amile Jefferson made Free Throw.
Georgia State,Duke,17,26,16,23,1,Amile Jefferson made Free Throw.
Georgia State,Duke,17,26,16,37,0,Foul on Rasheed Sulaimon
