Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Toledo,Eastern Illinois,3,0,0,18,1,Dominique Buckley made Three Point Jumper.  Assisted by Rian Pearson.
Toledo,Eastern Illinois,3,0,0,36,0,Austin Akers Turnover.
Toledo,Eastern Illinois,3,0,0,37,0,Julius Brown Steal.
Toledo,Eastern Illinois,3,0,0,40,0,Julius Brown Turnover.
Toledo,Eastern Illinois,3,0,0,41,0,Taylor Jones Steal.
Toledo,Eastern Illinois,3,0,0,44,0,Alex Austin missed Jumper.
Toledo,Eastern Illinois,3,0,0,44,0,Dominique Buckley Defensive Rebound.
Toledo,Eastern Illinois,5,0,1,9,1,Rian Pearson made Jumper.
Toledo,Eastern Illinois,5,0,1,37,0,Austin Akers missed Jumper.
Toledo,Eastern Illinois,5,0,1,37,0,Dominique Buckley Defensive Rebound.
Toledo,Eastern Illinois,5,0,1,50,0,Nathan Boothe missed Jumper.
Toledo,Eastern Illinois,5,0,1,50,0,Taylor Jones Defensive Rebound.
Toledo,Eastern Illinois,5,0,2,10,0,Sherman Blanford missed Layup.
Toledo,Eastern Illinois,5,0,2,10,0,Nathan Boothe Block.
Toledo,Eastern Illinois,5,0,2,12,0,Nathan Boothe Defensive Rebound.
Toledo,Eastern Illinois,7,0,2,31,1,Julius Brown made Layup.
Toledo,Eastern Illinois,7,0,2,49,0,Taylor Jones missed Three Point Jumper.
Toledo,Eastern Illinois,7,0,2,49,0,Josh Piper Offensive Rebound.
Toledo,Eastern Illinois,7,0,2,52,0,Foul on Nathan Boothe
Toledo,Eastern Illinois,7,1,2,52,1,Josh Piper made Free Throw.
Toledo,Eastern Illinois,7,2,2,52,1,Josh Piper made Free Throw.
Toledo,Eastern Illinois,9,2,3,0,1,Rian Pearson made Jumper.
Toledo,Eastern Illinois,9,5,3,22,1,Josh Piper made Three Point Jumper.  Assisted by Taylor Jones.
Toledo,Eastern Illinois,11,5,3,57,1,Nathan Boothe made Jumper.  Assisted by Dominique Buckley.
Toledo,Eastern Illinois,11,5,4,11,0,Taylor Jones missed Three Point Jumper.
Toledo,Eastern Illinois,11,5,4,11,0,Rian Pearson Defensive Rebound.
Toledo,Eastern Illinois,13,5,4,31,1,Nathan Boothe made Jumper.
Toledo,Eastern Illinois,13,5,4,33,0,Eastern Illinois Full Timeout.
Toledo,Eastern Illinois,13,7,5,4,1,Morris Woods made Layup.
Toledo,Eastern Illinois,13,7,5,23,0,Foul on Morris Woods
Toledo,Eastern Illinois,13,7,5,23,0,Official TV Timeout.
Toledo,Eastern Illinois,13,7,5,36,0,Rian Pearson missed Jumper.
Toledo,Eastern Illinois,13,7,5,36,0,Reese Holliday Offensive Rebound.
Toledo,Eastern Illinois,13,7,5,47,0,Foul on Keenan Anderson
Toledo,Eastern Illinois,16,7,6,15,1,Reese Holliday made Three Point Jumper.  Assisted by Dominique Buckley.
Toledo,Eastern Illinois,16,7,6,58,0,Morris Woods missed Three Point Jumper.
Toledo,Eastern Illinois,16,7,6,58,0,Toledo Defensive Rebound.
Toledo,Eastern Illinois,16,7,7,14,0,Foul on Morris Woods
Toledo,Eastern Illinois,16,7,7,27,0,Foul on Sherman Blanford
Toledo,Eastern Illinois,16,7,7,42,0,Matt Smith missed Jumper.
Toledo,Eastern Illinois,16,7,7,42,0,Josh Piper Block.
Toledo,Eastern Illinois,16,7,7,44,0,Austin Akers Defensive Rebound.
