Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Towson,Eastern Kentucky,0,0,0,37,0,Eastern Kentucky Turnover.
Towson,Eastern Kentucky,2,0,0,59,1,Jerome Hairston made Jumper.
Towson,Eastern Kentucky,2,0,1,17,0,Mike DiNunno missed Three Point Jumper.
Towson,Eastern Kentucky,2,0,1,17,0,Bilal Dixon Defensive Rebound.
Towson,Eastern Kentucky,5,0,1,28,1,Marcus Damas made Three Point Jumper.  Assisted by Jerome Hairston.
Towson,Eastern Kentucky,5,0,1,47,0,Foul on Bilal Dixon
Towson,Eastern Kentucky,5,0,2,13,0,Tarius Johnson missed Layup.
Towson,Eastern Kentucky,5,0,2,13,0,Deverin Muff Offensive Rebound.
Towson,Eastern Kentucky,5,0,2,18,0,Deverin Muff missed Tip Shot.
Towson,Eastern Kentucky,5,0,2,18,0,Jerrelle Benimon Block.
Towson,Eastern Kentucky,5,0,2,19,0,Eastern Kentucky Offensive Rebou.
Towson,Eastern Kentucky,5,2,2,26,1,Deverin Muff made Dunk.  Assisted by Glenn Cosey.
Towson,Eastern Kentucky,5,2,2,38,0,Foul on Mike DiNunno
Towson,Eastern Kentucky,5,2,2,53,0,Mike Burwell missed Three Point Jumper.
Towson,Eastern Kentucky,5,2,2,53,0,Tarius Johnson Defensive Rebound.
Towson,Eastern Kentucky,5,2,3,25,0,Glenn Cosey missed Three Point Jumper.
Towson,Eastern Kentucky,5,2,3,25,0,Deverin Muff Offensive Rebound.
Towson,Eastern Kentucky,5,5,3,30,1,Mike DiNunno made Three Point Jumper.  Assisted by Deverin Muff.
Towson,Eastern Kentucky,5,5,3,55,0,Bilal Dixon missed Jumper.
Towson,Eastern Kentucky,5,5,3,55,0,Mike DiNunno Defensive Rebound.
Towson,Eastern Kentucky,5,5,4,8,0,Mike DiNunno Turnover.
Towson,Eastern Kentucky,5,5,4,10,0,Jerome Hairston Steal.
Towson,Eastern Kentucky,5,5,4,14,0,Jerome Hairston Turnover.
Towson,Eastern Kentucky,5,5,4,14,0,Official TV Timeout.
Towson,Eastern Kentucky,5,5,4,42,0,Mike DiNunno missed Layup.
Towson,Eastern Kentucky,5,5,4,42,0,Jeff Johnson Offensive Rebound.
Towson,Eastern Kentucky,5,7,4,45,1,Jeff Johnson made Tip Shot.
Towson,Eastern Kentucky,5,7,5,2,0,Jerrelle Benimon Turnover.
Towson,Eastern Kentucky,5,9,5,28,1,Mike DiNunno made Jumper.
Towson,Eastern Kentucky,5,9,6,6,0,Jerome Hairston missed Layup.
Towson,Eastern Kentucky,5,9,6,6,0,Timajh Parker-Rivera Offensive Rebound.
Towson,Eastern Kentucky,5,9,6,7,0,Foul on Tarius Johnson
Towson,Eastern Kentucky,5,9,6,7,0,Timajh Parker-Rivera missed Free Throw.
Towson,Eastern Kentucky,5,9,6,7,0,null
Towson,Eastern Kentucky,5,9,6,7,0,Timajh Parker-Rivera missed Free Throw.
Towson,Eastern Kentucky,5,9,6,7,0,Corey Walden Defensive Rebound.
Towson,Eastern Kentucky,5,9,6,28,0,Foul on Rafriel Guthrie
Towson,Eastern Kentucky,5,9,6,28,0,Timmy Knipp missed Free Throw.
Towson,Eastern Kentucky,5,9,6,28,0,null
Towson,Eastern Kentucky,5,10,6,28,1,Timmy Knipp made Free Throw.
Towson,Eastern Kentucky,5,10,6,28,0,Timmy Knipp missed Free Throw.
Towson,Eastern Kentucky,5,10,6,28,0,Rafriel Guthrie Defensive Rebound.
Towson,Eastern Kentucky,7,10,6,50,1,Mike Burwell made Layup.
Towson,Eastern Kentucky,7,10,7,7,0,Foul on Mike Burwell
Towson,Eastern Kentucky,7,12,7,12,1,Glenn Cosey made Layup.  Assisted by Eric Stutz.
Towson,Eastern Kentucky,7,12,7,30,0,Foul on Marcus Lewis
Towson,Eastern Kentucky,7,12,7,46,0,Foul on Marcus Lewis
Towson,Eastern Kentucky,8,12,7,46,1,Rafriel Guthrie made Free Throw.
Towson,Eastern Kentucky,9,12,7,46,1,Rafriel Guthrie made Free Throw.
Towson,Eastern Kentucky,9,14,8,17,1,Eric Stutz made Layup.  Assisted by Jeff Johnson.
Towson,Eastern Kentucky,11,14,8,45,1,Rafriel Guthrie made Jumper.
Towson,Eastern Kentucky,11,14,8,45,0,Foul on Rafriel Guthrie
Towson,Eastern Kentucky,11,14,8,45,0,Official TV Timeout.
Towson,Eastern Kentucky,11,14,8,53,0,Jeff Johnson Turnover.
Towson,Eastern Kentucky,11,14,8,54,0,Jerome Hairston Steal.
Towson,Eastern Kentucky,11,14,8,58,0,Jerome Hairston missed Jumper.
Towson,Eastern Kentucky,11,14,8,58,0,Mike Burwell Offensive Rebound.
Towson,Eastern Kentucky,11,14,9,2,0,Rafriel Guthrie missed Three Point Jumper.
Towson,Eastern Kentucky,11,14,9,2,0,Corey Walden Defensive Rebound.
Towson,Eastern Kentucky,11,14,9,27,0,Glenn Cosey missed Jumper.
Towson,Eastern Kentucky,11,14,9,27,0,Mike Burwell Defensive Rebound.
Towson,Eastern Kentucky,11,14,9,46,0,Foul on Mike Burwell
Towson,Eastern Kentucky,11,14,9,46,0,Mike Burwell Turnover.
Towson,Eastern Kentucky,11,14,9,50,0,Tarius Johnson missed Jumper.
Towson,Eastern Kentucky,11,14,9,50,0,Tarius Johnson Offensive Rebound.
Towson,Eastern Kentucky,11,16,9,54,1,Tarius Johnson made Tip Shot.
Towson,Eastern Kentucky,11,16,10,20,0,Kris Walden missed Three Point Jumper.
Towson,Eastern Kentucky,11,16,10,20,0,Eric Stutz Defensive Rebound.
Towson,Eastern Kentucky,11,16,10,46,0,Jeff Johnson missed Three Point Jumper.
Towson,Eastern Kentucky,11,16,10,46,0,Marcus Damas Defensive Rebound.
Towson,Eastern Kentucky,11,16,10,59,0,Marcus Damas missed Three Point Jumper.
Towson,Eastern Kentucky,11,16,10,59,0,Jerrelle Benimon Offensive Rebound.
Towson,Eastern Kentucky,11,16,11,24,0,Foul on Tarius Johnson
Towson,Eastern Kentucky,11,16,11,24,0,Bilal Dixon missed Free Throw.
Towson,Eastern Kentucky,11,16,11,24,0,null
Towson,Eastern Kentucky,12,16,11,24,1,Bilal Dixon made Free Throw.
Towson,Eastern Kentucky,12,16,11,33,0,Mike DiNunno missed Layup.
Towson,Eastern Kentucky,12,16,11,33,0,Bilal Dixon Defensive Rebound.
Towson,Eastern Kentucky,12,16,12,9,0,Marcus Damas Turnover.
Towson,Eastern Kentucky,12,16,12,10,0,Marcus Lewis Steal.
Towson,Eastern Kentucky,12,16,12,15,0,Marcus Lewis missed Three Point Jumper.
Towson,Eastern Kentucky,12,16,12,15,0,Marcus Damas Defensive Rebound.
Towson,Eastern Kentucky,14,16,12,25,1,Jerrelle Benimon made Dunk.  Assisted by Marcus Damas.
Towson,Eastern Kentucky,14,16,12,43,0,Corey Walden missed Three Point Jumper.
Towson,Eastern Kentucky,14,16,12,43,0,Marcus Lewis Offensive Rebound.
Towson,Eastern Kentucky,14,16,13,18,0,Corey Walden missed Layup.
Towson,Eastern Kentucky,14,16,13,18,0,Jerrelle Benimon Defensive Rebound.
Towson,Eastern Kentucky,16,16,13,41,1,Bilal Dixon made Layup.  Assisted by Kris Walden.
Towson,Eastern Kentucky,16,16,13,50,0,Eastern Kentucky Full Timeout.
Towson,Eastern Kentucky,16,16,14,13,0,Official TV Timeout.
Towson,Eastern Kentucky,16,16,14,17,0,Foul on Kris Walden
Towson,Eastern Kentucky,16,19,14,23,1,Robbie Stenzel made Three Point Jumper.  Assisted by Deverin Muff.
Towson,Eastern Kentucky,18,19,14,44,1,Timajh Parker-Rivera made Layup.  Assisted by Rafriel Guthrie.
Towson,Eastern Kentucky,18,19,15,14,0,Eric Stutz Turnover.
Towson,Eastern Kentucky,18,19,15,14,0,Bilal Dixon Steal.
Towson,Eastern Kentucky,21,19,15,27,1,Marcus Damas made Three Point Jumper.  Assisted by Rafriel Guthrie.
Towson,Eastern Kentucky,21,19,15,44,0,Robbie Stenzel missed Three Point Jumper.
Towson,Eastern Kentucky,21,19,15,44,0,Timajh Parker-Rivera Defensive Rebound.
Towson,Eastern Kentucky,21,19,15,53,0,Jerrelle Benimon Turnover.
Towson,Eastern Kentucky,21,21,16,8,1,Corey Walden made Jumper.
Towson,Eastern Kentucky,21,21,16,28,0,Foul on Glenn Cosey
Towson,Eastern Kentucky,21,21,16,28,0,Official TV Timeout.
Towson,Eastern Kentucky,22,21,16,28,1,Timajh Parker-Rivera made Free Throw.
Towson,Eastern Kentucky,22,21,16,28,0,Timajh Parker-Rivera missed Free Throw.
Towson,Eastern Kentucky,22,21,16,28,0,Towson Offensive Rebound.
Towson,Eastern Kentucky,22,21,16,31,0,Foul on Marcus Lewis
Towson,Eastern Kentucky,23,21,16,31,1,Timajh Parker-Rivera made Free Throw.
Towson,Eastern Kentucky,24,21,16,31,1,Timajh Parker-Rivera made Free Throw.
Towson,Eastern Kentucky,24,21,17,2,0,Corey Walden Turnover.
Towson,Eastern Kentucky,24,21,17,14,0,Foul on Jeff Johnson
Towson,Eastern Kentucky,24,21,17,14,0,Jerrelle Benimon missed Free Throw.
Towson,Eastern Kentucky,24,21,17,14,0,Jeff Johnson Defensive Rebound.
Towson,Eastern Kentucky,24,24,17,23,1,Mike DiNunno made Three Point Jumper.  Assisted by Glenn Cosey.
Towson,Eastern Kentucky,24,24,17,40,0,Jerome Hairston missed Jumper.
Towson,Eastern Kentucky,24,24,17,40,0,Timajh Parker-Rivera Offensive Rebound.
Towson,Eastern Kentucky,24,24,17,44,0,Timajh Parker-Rivera missed Tip Shot.
Towson,Eastern Kentucky,24,24,17,44,0,Jeff Johnson Defensive Rebound.
Towson,Eastern Kentucky,24,24,17,49,0,Corey Walden missed Three Point Jumper.
Towson,Eastern Kentucky,24,24,17,49,0,Tarius Johnson Offensive Rebound.
Towson,Eastern Kentucky,24,26,17,52,1,Tarius Johnson made Tip Shot.
Towson,Eastern Kentucky,24,26,17,54,0,Foul on Jerome Hairston
Towson,Eastern Kentucky,24,27,17,54,1,Tarius Johnson made Free Throw.
Towson,Eastern Kentucky,24,27,18,14,0,Rafriel Guthrie missed Jumper.
Towson,Eastern Kentucky,24,27,18,14,0,null
Towson,Eastern Kentucky,24,27,18,16,0,Foul on Tarius Johnson
Towson,Eastern Kentucky,25,27,18,16,1,Bilal Dixon made Free Throw.
Towson,Eastern Kentucky,26,27,18,16,1,Bilal Dixon made Free Throw.
Towson,Eastern Kentucky,26,27,18,23,0,Foul on Jerome Hairston
Towson,Eastern Kentucky,26,28,18,23,1,Mike DiNunno made Free Throw.
Towson,Eastern Kentucky,26,29,18,23,1,Mike DiNunno made Free Throw.
Towson,Eastern Kentucky,26,29,18,47,0,Marcus Damas missed Three Point Jumper.
Towson,Eastern Kentucky,26,29,18,47,0,Mike Burwell Offensive Rebound.
Towson,Eastern Kentucky,28,29,18,56,1,Kris Walden made Jumper.
Towson,Eastern Kentucky,28,29,19,14,0,Foul on Kris Walden
Towson,Eastern Kentucky,28,30,19,14,1,Eric Stutz made Free Throw.
Towson,Eastern Kentucky,28,31,19,14,1,Eric Stutz made Free Throw.
Towson,Eastern Kentucky,28,31,19,14,0,Towson Full Timeout.
Towson,Eastern Kentucky,28,31,19,41,0,Kris Walden missed Jumper.
Towson,Eastern Kentucky,28,31,19,41,0,Bilal Dixon Offensive Rebound.
Towson,Eastern Kentucky,28,31,19,44,0,Bilal Dixon missed Tip Shot.
Towson,Eastern Kentucky,28,31,19,44,0,Mike DiNunno Defensive Rebound.
Towson,Eastern Kentucky,28,34,19,59,1,Mike DiNunno made Three Point Jumper.
Towson,Eastern Kentucky,28,34,20,0,0,End of the 1st Half.
Towson,Eastern Kentucky,28,34,20,18,0,Eric Stutz missed Jumper.
Towson,Eastern Kentucky,28,34,20,18,0,Mike Burwell Defensive Rebound.
Towson,Eastern Kentucky,28,34,20,35,0,Jerome Hairston Turnover.
Towson,Eastern Kentucky,28,34,20,35,0,Mike DiNunno Steal.
Towson,Eastern Kentucky,28,36,21,2,1,Glenn Cosey made Jumper.
Towson,Eastern Kentucky,31,36,21,22,1,Mike Burwell made Three Point Jumper.  Assisted by Jerome Hairston.
Towson,Eastern Kentucky,31,38,21,55,1,Eric Stutz made Layup.  Assisted by Mike DiNunno.
Towson,Eastern Kentucky,33,38,22,12,1,Bilal Dixon made Layup.
Towson,Eastern Kentucky,33,41,22,32,1,Tarius Johnson made Three Point Jumper.  Assisted by Eric Stutz.
Towson,Eastern Kentucky,33,41,22,38,0,Towson Full Timeout.
Towson,Eastern Kentucky,33,41,22,53,0,Jerrelle Benimon missed Jumper.
Towson,Eastern Kentucky,33,41,22,53,0,Tarius Johnson Defensive Rebound.
Towson,Eastern Kentucky,33,41,23,2,0,Glenn Cosey Turnover.
Towson,Eastern Kentucky,33,41,23,3,0,Mike Burwell Steal.
Towson,Eastern Kentucky,33,41,23,6,0,Mike Burwell missed Jumper.
Towson,Eastern Kentucky,33,41,23,6,0,Jerrelle Benimon Offensive Rebound.
Towson,Eastern Kentucky,33,41,23,9,0,Jerrelle Benimon missed Tip Shot.
Towson,Eastern Kentucky,33,41,23,9,0,Mike Burwell Offensive Rebound.
Towson,Eastern Kentucky,33,41,23,12,0,Mike Burwell missed Tip Shot.
Towson,Eastern Kentucky,33,41,23,12,0,Tarius Johnson Defensive Rebound.
Towson,Eastern Kentucky,33,43,23,40,1,Glenn Cosey made Jumper.
Towson,Eastern Kentucky,33,43,24,5,0,Mike Burwell Turnover.
Towson,Eastern Kentucky,33,43,24,5,0,Eric Stutz Steal.
Towson,Eastern Kentucky,33,43,24,5,0,Official TV Timeout.
Towson,Eastern Kentucky,33,43,24,8,0,Tarius Johnson missed Jumper.
Towson,Eastern Kentucky,33,43,24,8,0,Rafriel Guthrie Defensive Rebound.
Towson,Eastern Kentucky,33,43,24,27,0,Foul on Tarius Johnson
Towson,Eastern Kentucky,34,43,24,27,1,Rafriel Guthrie made Free Throw.
Towson,Eastern Kentucky,34,43,24,27,0,Rafriel Guthrie missed Free Throw.
Towson,Eastern Kentucky,34,43,24,27,0,Jerrelle Benimon Offensive Rebound.
Towson,Eastern Kentucky,34,43,24,29,0,Foul on Eric Stutz
Towson,Eastern Kentucky,35,43,24,29,1,Jerrelle Benimon made Free Throw.
Towson,Eastern Kentucky,35,43,24,29,0,Jerrelle Benimon missed Free Throw.
Towson,Eastern Kentucky,35,43,24,29,0,Jeff Johnson Defensive Rebound.
Towson,Eastern Kentucky,35,45,24,38,1,Eric Stutz made Dunk.  Assisted by Glenn Cosey.
Towson,Eastern Kentucky,35,45,24,57,0,Jerome Hairston Turnover.
Towson,Eastern Kentucky,35,45,25,16,0,Foul on Timajh Parker-Rivera
Towson,Eastern Kentucky,35,45,25,28,0,Marcus Lewis missed Jumper.
Towson,Eastern Kentucky,35,45,25,28,0,Marcus Damas Defensive Rebound.
Towson,Eastern Kentucky,35,45,25,48,0,Foul on Eric Stutz
