Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Eastern Washington,CS Northridge,0,0,0,11,0,Collin Chiverton missed Three Point Jumper.
Eastern Washington,CS Northridge,0,0,0,11,0,Josh Greene Defensive Rebound.
Eastern Washington,CS Northridge,0,2,0,18,1,Stephan Hicks made Dunk.  Assisted by Josh Greene.
Eastern Washington,CS Northridge,0,2,0,38,0,Eastern Washington Full Timeout.
Eastern Washington,CS Northridge,0,2,0,44,0,Thomas Reuter Turnover.
Eastern Washington,CS Northridge,0,2,0,45,0,Tre Hale-Edmerson Steal.
Eastern Washington,CS Northridge,0,2,0,50,0,Stephan Hicks missed Jumper.
Eastern Washington,CS Northridge,0,2,0,50,0,Venky Jois Defensive Rebound.
Eastern Washington,CS Northridge,0,2,0,53,0,Foul on Tre Hale-Edmerson
Eastern Washington,CS Northridge,0,2,1,7,0,Justin Crosgile Turnover.
Eastern Washington,CS Northridge,0,2,1,10,0,Allan Guei Steal.
Eastern Washington,CS Northridge,0,4,1,12,1,Allan Guei made Layup.
Eastern Washington,CS Northridge,3,4,1,19,1,Justin Crosgile made Three Point Jumper.
Eastern Washington,CS Northridge,3,7,1,55,1,Stephan Hicks made Three Point Jumper.  Assisted by Josh Greene.
Eastern Washington,CS Northridge,3,7,2,13,0,Martin Seiferth missed Layup.
Eastern Washington,CS Northridge,3,7,2,13,0,Tre Hale-Edmerson Defensive Rebound.
Eastern Washington,CS Northridge,3,9,2,18,1,Stephan Hicks made Layup.  Assisted by Josh Greene.
Eastern Washington,CS Northridge,6,9,2,30,1,Justin Crosgile made Three Point Jumper.
Eastern Washington,CS Northridge,6,9,2,40,0,Allan Guei missed Jumper.
Eastern Washington,CS Northridge,6,9,2,40,0,Thomas Reuter Defensive Rebound.
Eastern Washington,CS Northridge,6,9,2,58,0,Justin Crosgile Turnover.
Eastern Washington,CS Northridge,6,9,3,13,0,Stephan Hicks missed Jumper.
Eastern Washington,CS Northridge,6,9,3,13,0,Martin Seiferth Defensive Rebound.
Eastern Washington,CS Northridge,6,9,3,16,0,Foul on Tre Hale-Edmerson
Eastern Washington,CS Northridge,6,9,3,35,0,Collin Chiverton Turnover.
Eastern Washington,CS Northridge,6,9,3,35,0,Allan Guei Steal.
Eastern Washington,CS Northridge,6,9,3,43,0,Brandon Perry Turnover.
Eastern Washington,CS Northridge,6,9,3,43,0,Foul on Brandon Perry
Eastern Washington,CS Northridge,6,9,3,58,0,Venky Jois missed Layup.
Eastern Washington,CS Northridge,6,9,3,58,0,Stephen Maxwell Defensive Rebound.
Eastern Washington,CS Northridge,6,11,4,4,1,Brandon Perry made Layup.  Assisted by Josh Greene.
Eastern Washington,CS Northridge,6,11,4,25,0,Martin Seiferth Turnover.
Eastern Washington,CS Northridge,6,11,4,25,0,Official TV Timeout.
Eastern Washington,CS Northridge,6,11,4,33,0,Stephan Hicks missed Layup.
Eastern Washington,CS Northridge,6,11,4,33,0,Martin Seiferth Block.
Eastern Washington,CS Northridge,6,11,4,36,0,Stephan Hicks Offensive Rebound.
Eastern Washington,CS Northridge,6,11,4,44,0,Brandon Perry missed Layup.
Eastern Washington,CS Northridge,6,11,4,44,0,Martin Seiferth Block.
Eastern Washington,CS Northridge,6,11,4,47,0,Martin Seiferth Defensive Rebound.
Eastern Washington,CS Northridge,6,11,4,52,0,Justin Crosgile Turnover.
Eastern Washington,CS Northridge,6,11,4,53,0,Josh Greene Steal.
Eastern Washington,CS Northridge,6,13,4,55,1,Stephan Hicks made Dunk.  Assisted by Josh Greene.
Eastern Washington,CS Northridge,6,13,5,25,0,Justin Crosgile missed Three Point Jumper.
Eastern Washington,CS Northridge,6,13,5,25,0,Martin Seiferth Offensive Rebound.
Eastern Washington,CS Northridge,6,13,5,25,0,Foul on Trevone Williams
Eastern Washington,CS Northridge,7,13,5,25,1,Martin Seiferth made Free Throw.
Eastern Washington,CS Northridge,7,13,5,25,0,Martin Seiferth missed Free Throw.
Eastern Washington,CS Northridge,7,13,5,25,0,Stephan Hicks Defensive Rebound.
Eastern Washington,CS Northridge,7,13,5,39,0,Trevone Williams missed Jumper.
Eastern Washington,CS Northridge,7,13,5,39,0,Brandon Perry Offensive Rebound.
Eastern Washington,CS Northridge,7,15,5,41,1,Brandon Perry made Layup.
Eastern Washington,CS Northridge,7,15,6,2,0,Foul on Trevone Williams
Eastern Washington,CS Northridge,8,15,6,2,1,Martin Seiferth made Free Throw.
Eastern Washington,CS Northridge,8,15,6,2,0,Martin Seiferth missed Free Throw.
Eastern Washington,CS Northridge,8,15,6,2,0,Stephan Hicks Defensive Rebound.
Eastern Washington,CS Northridge,8,15,6,12,0,Stephen Maxwell Turnover.
Eastern Washington,CS Northridge,8,15,6,12,0,Foul on Stephen Maxwell
Eastern Washington,CS Northridge,8,15,6,27,0,Parker Kelly Turnover.
Eastern Washington,CS Northridge,8,15,6,34,0,Foul on Jeffrey Forbes
Eastern Washington,CS Northridge,8,17,6,37,1,Landon Drew made Jumper.
Eastern Washington,CS Northridge,8,17,6,54,0,Kevin Winford Turnover.
Eastern Washington,CS Northridge,8,17,7,1,0,Landon Drew missed Three Point Jumper.
Eastern Washington,CS Northridge,8,17,7,1,0,Venky Jois Defensive Rebound.
Eastern Washington,CS Northridge,8,17,7,13,0,Foul on Donovan Johnson
Eastern Washington,CS Northridge,9,17,7,13,1,Kevin Winford made Free Throw.
Eastern Washington,CS Northridge,9,17,7,13,0,Kevin Winford missed Free Throw.
Eastern Washington,CS Northridge,9,17,7,13,0,null
Eastern Washington,CS Northridge,9,17,7,13,0,Kevin Winford missed Free Throw.
Eastern Washington,CS Northridge,9,17,7,13,0,Brandon Perry Defensive Rebound.
Eastern Washington,CS Northridge,9,17,7,26,0,Foul on Jordan Hickert
Eastern Washington,CS Northridge,9,18,7,26,1,Brandon Perry made Free Throw.
Eastern Washington,CS Northridge,9,18,7,26,0,Brandon Perry missed Free Throw.
Eastern Washington,CS Northridge,9,18,7,26,0,Stephen Maxwell Offensive Rebound.
Eastern Washington,CS Northridge,9,18,7,29,0,Donovan Johnson missed Three Point Jumper.
Eastern Washington,CS Northridge,9,18,7,29,0,Stephen Maxwell Offensive Rebound.
Eastern Washington,CS Northridge,9,18,7,34,0,Stephen Maxwell missed Layup.
Eastern Washington,CS Northridge,9,18,7,34,0,Cal State Northridge Offensive R.
Eastern Washington,CS Northridge,9,18,7,47,0,Donovan Johnson missed Jumper.
Eastern Washington,CS Northridge,9,18,7,47,0,Venky Jois Defensive Rebound.
Eastern Washington,CS Northridge,9,18,8,1,0,Jeffrey Forbes missed Three Point Jumper.
Eastern Washington,CS Northridge,9,18,8,1,0,Brandon Perry Defensive Rebound.
Eastern Washington,CS Northridge,9,18,8,3,0,Foul on Jordan Hickert
Eastern Washington,CS Northridge,9,18,8,3,0,Official TV Timeout.
Eastern Washington,CS Northridge,9,18,8,17,0,Brandon Perry missed Jumper.
Eastern Washington,CS Northridge,9,18,8,17,0,Venky Jois Block.
Eastern Washington,CS Northridge,9,18,8,19,0,Brandon Perry Offensive Rebound.
Eastern Washington,CS Northridge,9,18,8,25,0,Brandon Perry Turnover.
Eastern Washington,CS Northridge,9,18,8,37,0,Kevin Winford missed Layup.
Eastern Washington,CS Northridge,9,18,8,37,0,Stephen Maxwell Defensive Rebound.
Eastern Washington,CS Northridge,9,20,8,42,1,Allan Guei made Jumper.
Eastern Washington,CS Northridge,11,20,9,6,1,Martin Seiferth made Dunk.  Assisted by Justin Crosgile.
Eastern Washington,CS Northridge,11,20,9,18,0,Donovan Johnson Turnover.
Eastern Washington,CS Northridge,11,20,9,19,0,Thomas Reuter Steal.
Eastern Washington,CS Northridge,11,20,9,26,0,Foul on Josh Greene
Eastern Washington,CS Northridge,12,20,9,26,1,Martin Seiferth made Free Throw.
Eastern Washington,CS Northridge,13,20,9,26,1,Martin Seiferth made Free Throw.
Eastern Washington,CS Northridge,13,20,9,38,0,Josh Greene missed Jumper.
Eastern Washington,CS Northridge,13,20,9,38,0,Justin Crosgile Defensive Rebound.
Eastern Washington,CS Northridge,16,20,9,49,1,Kevin Winford made Three Point Jumper.  Assisted by Justin Crosgile.
Eastern Washington,CS Northridge,16,20,10,2,0,Stephan Hicks missed Layup.
Eastern Washington,CS Northridge,16,20,10,2,0,Martin Seiferth Block.
Eastern Washington,CS Northridge,16,20,10,4,0,Martin Seiferth Defensive Rebound.
Eastern Washington,CS Northridge,16,20,10,18,0,Thomas Reuter Turnover.
Eastern Washington,CS Northridge,16,22,10,31,1,Stephen Maxwell made Layup.
Eastern Washington,CS Northridge,16,22,10,42,0,Kevin Winford missed Jumper.
Eastern Washington,CS Northridge,16,22,10,42,0,Martin Seiferth Offensive Rebound.
Eastern Washington,CS Northridge,16,22,10,45,0,Foul on Allan Guei
Eastern Washington,CS Northridge,17,22,10,45,1,Martin Seiferth made Free Throw.
Eastern Washington,CS Northridge,17,22,10,45,0,Martin Seiferth missed Free Throw.
Eastern Washington,CS Northridge,17,22,10,45,0,Josh Greene Defensive Rebound.
Eastern Washington,CS Northridge,17,22,10,59,0,Josh Greene Turnover.
Eastern Washington,CS Northridge,17,22,10,59,0,Kevin Winford Steal.
Eastern Washington,CS Northridge,17,22,10,59,0,Eastern Washington Full Timeout.
Eastern Washington,CS Northridge,17,22,11,12,0,Justin Crosgile Turnover.
Eastern Washington,CS Northridge,17,22,11,14,0,Josh Greene Steal.
Eastern Washington,CS Northridge,17,24,11,16,1,Stephen Maxwell made Dunk.  Assisted by Josh Greene.
Eastern Washington,CS Northridge,17,24,11,16,0,Foul on Collin Chiverton
Eastern Washington,CS Northridge,17,25,11,16,1,Stephen Maxwell made Free Throw.
Eastern Washington,CS Northridge,17,25,11,27,0,Justin Crosgile missed Three Point Jumper.
Eastern Washington,CS Northridge,17,25,11,27,0,Stephan Hicks Defensive Rebound.
Eastern Washington,CS Northridge,17,27,11,35,1,Brandon Perry made Dunk.  Assisted by Stephan Hicks.
Eastern Washington,CS Northridge,19,27,11,56,1,Justin Crosgile made Layup.  Assisted by Thomas Reuter.
Eastern Washington,CS Northridge,19,27,12,6,0,Stephan Hicks missed Jumper.
Eastern Washington,CS Northridge,19,27,12,6,0,Venky Jois Defensive Rebound.
Eastern Washington,CS Northridge,19,27,12,20,0,Collin Chiverton missed Three Point Jumper.
