Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Elon,Georgia Southern,0,0,0,26,0,Marvin Baynham missed Jumper.
Elon,Georgia Southern,0,0,0,26,0,Tre Bussey missed Jumper.
Elon,Georgia Southern,0,0,0,26,0,Lucas Troutman Defensive Rebound.
Elon,Georgia Southern,0,0,0,26,0,Cameron Baskerville Offensive Rebound.
Elon,Georgia Southern,0,3,0,26,1,C.J. Reed made Three Point Jumper.  Assisted by Cleon Roberts.
Elon,Georgia Southern,0,3,0,36,0,Austin Hamilton missed Layup.
Elon,Georgia Southern,0,3,0,37,0,Marvin Baynham Block.
Elon,Georgia Southern,0,3,0,37,0,Cameron Baskerville Defensive Rebound.
Elon,Georgia Southern,0,3,1,54,0,Austin Hamilton missed Jumper.
Elon,Georgia Southern,0,3,1,54,0,Cameron Baskerville Defensive Rebound.
Elon,Georgia Southern,0,3,2,3,0,Cleon Roberts Turnover.
Elon,Georgia Southern,0,3,2,5,0,Lucas Troutman Steal.
Elon,Georgia Southern,2,3,2,7,1,Jack Isenbarger made Jumper.
Elon,Georgia Southern,2,3,2,32,0,Cleon Roberts Turnover.
Elon,Georgia Southern,4,3,2,42,1,Austin Hamilton made Layup.
Elon,Georgia Southern,4,3,2,42,0,Foul on Tre Bussey
Elon,Georgia Southern,5,3,2,42,1,Austin Hamilton made Free Throw.
Elon,Georgia Southern,5,5,2,53,1,C.J. Reed made Jumper.
Elon,Georgia Southern,8,5,3,12,1,Ryley Beaumont made Three Point Jumper.  Assisted by Egheosa Edomwonyi.
Elon,Georgia Southern,8,5,3,36,0,Foul on Egheosa Edomwonyi
Elon,Georgia Southern,8,6,3,36,1,Cleon Roberts made Free Throw.
Elon,Georgia Southern,8,6,3,36,0,Cleon Roberts missed Free Throw.
Elon,Georgia Southern,8,6,3,36,0,Ryley Beaumont Defensive Rebound.
Elon,Georgia Southern,8,6,3,59,0,Egheosa Edomwonyi missed Jumper.
Elon,Georgia Southern,8,6,3,59,0,Egheosa Edomwonyi Offensive Rebound.
Elon,Georgia Southern,8,6,4,12,0,Lucas Troutman Turnover.
Elon,Georgia Southern,8,6,4,12,0,Official TV Timeout.
Elon,Georgia Southern,8,6,4,47,0,Eric Ferguson missed Jumper.
Elon,Georgia Southern,8,6,4,47,0,Ryley Beaumont Defensive Rebound.
Elon,Georgia Southern,8,6,5,15,0,Sebastian Koch Turnover.
Elon,Georgia Southern,8,6,5,17,0,Marvin Baynham Steal.
Elon,Georgia Southern,8,6,5,21,0,Jessie Pernell missed Three Point Jumper.
Elon,Georgia Southern,8,6,5,21,0,Jack Isenbarger Defensive Rebound.
Elon,Georgia Southern,8,6,5,40,0,Ryley Beaumont missed Jumper.
Elon,Georgia Southern,8,6,5,40,0,Lucas Troutman Offensive Rebound.
Elon,Georgia Southern,8,6,5,45,0,Jack Isenbarger missed Three Point Jumper.
Elon,Georgia Southern,8,6,5,45,0,Georgia Southern Defensive Rebou.
Elon,Georgia Southern,8,8,6,12,1,Brian Holmes made Jumper.
Elon,Georgia Southern,8,8,6,28,0,Foul on Eric Ferguson
Elon,Georgia Southern,8,8,6,50,0,Egheosa Edomwonyi missed Jumper.
Elon,Georgia Southern,8,8,6,50,0,Ryan Winters Offensive Rebound.
Elon,Georgia Southern,10,8,6,53,1,Ryan Winters made Layup.
Elon,Georgia Southern,10,10,7,14,1,Tre Bussey made Layup.
Elon,Georgia Southern,13,10,7,41,1,Tanner Samson made Three Point Jumper.  Assisted by Austin Hamilton.
Elon,Georgia Southern,13,10,8,5,0,Eric Ferguson Turnover.
Elon,Georgia Southern,13,10,8,5,0,Official TV Timeout.
