Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Gardner-Webb,VMI,2,0,0,28,1,Donta Harper made Jumper.
Gardner-Webb,VMI,2,0,0,59,0,D.J. Covington missed Jumper.
Gardner-Webb,VMI,2,0,0,59,0,Donta Harper Defensive Rebound.
Gardner-Webb,VMI,5,0,1,25,1,Kevin Hartley made Three Point Jumper.  Assisted by Donta Harper.
Gardner-Webb,VMI,5,3,1,43,1,Rodney Glasgow made Three Point Jumper.  Assisted by Stan Okoye.
Gardner-Webb,VMI,5,3,2,9,0,Tashan Newsome missed Jumper.
Gardner-Webb,VMI,5,3,2,9,0,Stan Okoye Defensive Rebound.
Gardner-Webb,VMI,5,3,2,18,0,Foul on Jerome Hill
Gardner-Webb,VMI,5,3,2,22,0,Stan Okoye Turnover.
Gardner-Webb,VMI,8,3,2,28,1,Kevin Hartley made Three Point Jumper.  Assisted by Tyler Strange.
Gardner-Webb,VMI,8,3,2,41,0,Brian Brown missed Jumper.
Gardner-Webb,VMI,8,3,2,41,0,Brian Brown Offensive Rebound.
Gardner-Webb,VMI,8,3,2,44,0,Brian Brown Turnover.
Gardner-Webb,VMI,8,3,2,46,0,Tyler Strange Steal.
Gardner-Webb,VMI,10,3,2,52,1,Jerome Hill made Layup.  Assisted by Tashan Newsome.
Gardner-Webb,VMI,10,3,2,52,0,Foul on Rodney Glasgow
Gardner-Webb,VMI,11,3,2,52,1,Jerome Hill made Free Throw.
Gardner-Webb,VMI,11,3,3,13,0,Stan Okoye missed Jumper.
Gardner-Webb,VMI,11,3,3,13,0,Stan Okoye Offensive Rebound.
Gardner-Webb,VMI,11,3,3,21,0,Stan Okoye missed Three Point Jumper.
Gardner-Webb,VMI,11,3,3,21,0,Donta Harper Defensive Rebound.
Gardner-Webb,VMI,11,3,3,44,0,Kevin Hartley missed Jumper.
Gardner-Webb,VMI,11,3,3,44,0,Donta Harper Offensive Rebound.
Gardner-Webb,VMI,13,3,3,57,1,Jerome Hill made Layup.  Assisted by Donta Harper.
Gardner-Webb,VMI,13,3,4,21,0,Nick Gore missed Three Point Jumper.
Gardner-Webb,VMI,13,3,4,21,0,Donta Harper Defensive Rebound.
Gardner-Webb,VMI,13,3,4,34,0,Foul on Stan Okoye
Gardner-Webb,VMI,13,3,4,34,0,Official TV Timeout.
Gardner-Webb,VMI,14,3,4,34,1,Kevin Hartley made Free Throw.
