Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Green Bay,Tennessee Tech,3,0,0,22,1,Sultan Muhammad made Three Point Jumper.  Assisted by Brennan Cougill.
Green Bay,Tennessee Tech,3,0,0,43,0,Dennis Ogbe missed Three Point Jumper.
Green Bay,Tennessee Tech,3,0,0,43,0,Terrell Barnes Offensive Rebound.
Green Bay,Tennessee Tech,3,0,0,54,0,Jeremiah Samarrippas missed Jumper.
Green Bay,Tennessee Tech,3,0,0,54,0,Dennis Ogbe Offensive Rebound.
Green Bay,Tennessee Tech,3,2,0,58,1,Dennis Ogbe made Layup.
Green Bay,Tennessee Tech,6,2,1,19,1,Brennan Cougill made Three Point Jumper.  Assisted by Sultan Muhammad.
Green Bay,Tennessee Tech,6,2,2,1,0,Jeremiah Samarrippas missed Jumper.
Green Bay,Tennessee Tech,6,2,2,1,0,Dennis Ogbe Offensive Rebound.
Green Bay,Tennessee Tech,6,4,2,10,1,Terrell Barnes made Layup.
Green Bay,Tennessee Tech,6,4,2,19,0,Foul on Dennis Ogbe
Green Bay,Tennessee Tech,7,4,2,19,1,Keifer Sykes made Free Throw.
Green Bay,Tennessee Tech,8,4,2,19,1,Keifer Sykes made Free Throw.
Green Bay,Tennessee Tech,8,4,2,38,0,Jeremiah Samarrippas Turnover.
Green Bay,Tennessee Tech,8,4,2,39,0,Keifer Sykes Steal.
Green Bay,Tennessee Tech,8,4,2,43,0,Foul on Jud Dillard
Green Bay,Tennessee Tech,8,4,2,43,0,Sultan Muhammad missed Three Point Jumper.
Green Bay,Tennessee Tech,8,4,2,43,0,Alec Brown Offensive Rebound.
Green Bay,Tennessee Tech,8,4,2,43,0,Alec Brown missed Jumper.
Green Bay,Tennessee Tech,8,4,2,43,0,Dennis Ogbe Defensive Rebound.
Green Bay,Tennessee Tech,8,7,3,11,1,Jud Dillard made Three Point Jumper.
Green Bay,Tennessee Tech,8,7,3,31,0,Jordan Fouse missed Jumper.
Green Bay,Tennessee Tech,8,7,3,31,0,Alec Brown Offensive Rebound.
Green Bay,Tennessee Tech,8,7,3,47,0,Foul on Dennis Ogbe
Green Bay,Tennessee Tech,9,7,3,47,1,Alec Brown made Free Throw.
Green Bay,Tennessee Tech,10,7,3,47,1,Alec Brown made Free Throw.
Green Bay,Tennessee Tech,10,7,3,58,0,Jud Dillard Turnover.
Green Bay,Tennessee Tech,10,7,3,59,0,Sultan Muhammad Steal.
Green Bay,Tennessee Tech,10,7,4,0,0,Foul on Alec Brown
Green Bay,Tennessee Tech,10,7,4,0,0,Alec Brown Turnover.
Green Bay,Tennessee Tech,10,7,4,0,0,Official TV Timeout.
Green Bay,Tennessee Tech,10,9,4,8,1,Terrell Barnes made Layup.  Assisted by Jeremiah Samarrippas.
Green Bay,Tennessee Tech,10,9,4,21,0,Foul on Matt Marseille
Green Bay,Tennessee Tech,10,9,4,25,0,Foul on Alec Brown
Green Bay,Tennessee Tech,10,9,4,25,0,Alec Brown Turnover.
Green Bay,Tennessee Tech,10,12,4,34,1,Matt Marseille made Three Point Jumper.  Assisted by Lanerryl Johnson.
Green Bay,Tennessee Tech,10,12,4,58,0,Brennan Cougill Turnover.
Green Bay,Tennessee Tech,10,12,5,0,0,Lanerryl Johnson Steal.
Green Bay,Tennessee Tech,10,12,5,13,0,Foul on Lanerryl Johnson
Green Bay,Tennessee Tech,10,12,5,13,0,Lanerryl Johnson Turnover.
Green Bay,Tennessee Tech,13,12,5,36,1,Carrington Love made Three Point Jumper.  Assisted by Keifer Sykes.
Green Bay,Tennessee Tech,13,12,6,7,0,Matt Marseille missed Three Point Jumper.
Green Bay,Tennessee Tech,13,12,6,7,0,Ryon Riggins Offensive Rebound.
Green Bay,Tennessee Tech,13,12,6,8,0,Foul on Greg Mays
