Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
High Point,Western Michigan,0,0,0,16,0,Shayne Whittington missed Layup.
High Point,Western Michigan,0,0,0,16,0,Allan Chaney Defensive Rebound.
High Point,Western Michigan,2,0,0,47,1,Allan Chaney made Layup.
High Point,Western Michigan,2,3,1,6,1,Darius Paul made Three Point Jumper.  Assisted by Brandon Pokley.
High Point,Western Michigan,2,3,1,27,0,Adam Weary missed Jumper.
High Point,Western Michigan,2,3,1,27,0,Shayne Whittington Defensive Rebound.
High Point,Western Michigan,2,3,1,59,0,Foul on Adam Weary
High Point,Western Michigan,2,4,1,59,1,Austin Richie made Free Throw.
High Point,Western Michigan,2,5,1,59,1,Austin Richie made Free Throw.
High Point,Western Michigan,4,5,2,14,1,John Brown made Jumper.  Assisted by Jairus Simms.
High Point,Western Michigan,4,5,2,34,0,Austin Richie Turnover.
High Point,Western Michigan,4,5,2,35,0,Lorenzo Cugini Steal.
High Point,Western Michigan,6,5,2,38,1,Jairus Simms made Layup.  Assisted by John Brown.
High Point,Western Michigan,6,8,2,44,1,Brandon Pokley made Three Point Jumper.
High Point,Western Michigan,6,8,3,2,0,John Brown missed Jumper.
High Point,Western Michigan,6,8,3,2,0,Brandon Pokley Defensive Rebound.
High Point,Western Michigan,6,8,3,13,0,Foul on Derrell Edwards
High Point,Western Michigan,6,8,3,33,0,Shayne Whittington missed Layup.
High Point,Western Michigan,6,8,3,33,0,Western Michigan Offensive Rebou.
High Point,Western Michigan,6,8,3,38,0,Brandon Pokley missed Three Point Jumper.
High Point,Western Michigan,6,8,3,38,0,null
High Point,Western Michigan,6,8,3,40,0,Foul on Shayne Whittington
High Point,Western Michigan,6,8,3,53,0,Lorenzo Cugini Turnover.
High Point,Western Michigan,6,8,4,7,0,Shayne Whittington missed Jumper.
High Point,Western Michigan,6,8,4,7,0,Lorenzo Cugini Defensive Rebound.
High Point,Western Michigan,6,8,4,18,0,Justin Cheek Turnover.
High Point,Western Michigan,6,8,4,19,0,Darius Paul Steal.
High Point,Western Michigan,6,8,4,30,0,Official TV Timeout.
High Point,Western Michigan,6,8,4,50,0,Nate Hutcheson missed Three Point Jumper.
High Point,Western Michigan,6,8,4,50,0,Connar Tava Offensive Rebound.
High Point,Western Michigan,6,10,4,54,1,Connar Tava made Tip Shot.
High Point,Western Michigan,6,10,5,17,0,Lorenzo Cugini missed Three Point Jumper.
High Point,Western Michigan,6,10,5,17,0,Corey Law Offensive Rebound.
High Point,Western Michigan,6,10,5,27,0,Justin Cheek missed Three Point Jumper.
High Point,Western Michigan,6,10,5,27,0,Shayne Whittington Defensive Rebound.
High Point,Western Michigan,6,10,5,47,0,Nate Hutcheson missed Three Point Jumper.
High Point,Western Michigan,6,10,5,47,0,High Point Defensive Rebound.
High Point,Western Michigan,8,10,6,1,1,Allan Chaney made Dunk.
High Point,Western Michigan,8,10,6,15,0,Foul on Dejuan McGaughy
High Point,Western Michigan,8,11,6,15,1,Brandon Pokley made Free Throw.
High Point,Western Michigan,8,11,6,15,0,Brandon Pokley missed Free Throw.
High Point,Western Michigan,8,11,6,15,0,Darius Paul Offensive Rebound.
High Point,Western Michigan,8,13,6,17,1,Darius Paul made Tip Shot.
High Point,Western Michigan,8,13,6,29,0,Foul on Connar Tava
High Point,Western Michigan,8,13,6,40,0,Dejuan McGaughy Turnover.
High Point,Western Michigan,8,13,6,55,0,Connar Tava Turnover.
High Point,Western Michigan,8,13,7,13,0,John Brown Turnover.
High Point,Western Michigan,8,13,7,35,0,Darius Paul missed Layup.
High Point,Western Michigan,8,13,7,35,0,Allan Chaney Defensive Rebound.
High Point,Western Michigan,8,13,7,41,0,Dejuan McGaughy missed Jumper.
High Point,Western Michigan,8,13,7,41,0,Connar Tava Defensive Rebound.
High Point,Western Michigan,8,16,7,49,1,Taylor Perry made Three Point Jumper.  Assisted by Austin Richie.
High Point,Western Michigan,8,16,8,11,0,Adam Weary missed Jumper.
High Point,Western Michigan,8,16,8,11,0,Austin Richie Defensive Rebound.
