Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Austin Peay,Liberty,0,0,0,21,0,Travis Betran missed Three Point Jumper.
Austin Peay,Liberty,0,0,0,21,0,JR Coronado Defensive Rebound.
Austin Peay,Liberty,0,0,0,47,0,Tavares Speaks missed Jumper.
Austin Peay,Liberty,0,0,0,47,0,Austin Peay Defensive Rebound.
Austin Peay,Liberty,2,0,1,4,1,Travis Betran made Layup.  Assisted by Anthony Campbell.
Austin Peay,Liberty,2,0,1,19,0,Andrew Smith missed Layup.
Austin Peay,Liberty,2,0,1,19,0,Will Triggs Defensive Rebound.
Austin Peay,Liberty,2,0,1,29,0,Chris Horton missed Jumper.
Austin Peay,Liberty,2,0,1,29,0,John Caleb Sanders Defensive Rebound.
Austin Peay,Liberty,2,0,1,38,0,Foul on Will Triggs
Austin Peay,Liberty,2,0,1,39,0,John Caleb Sanders missed Free Throw.
Austin Peay,Liberty,2,0,1,39,0,null
Austin Peay,Liberty,4,0,1,44,1,Will Triggs made Dunk.
Austin Peay,Liberty,4,0,1,44,0,Davon Marshall missed Three Point Jumper.
Austin Peay,Liberty,4,0,1,44,0,Travis Betran Defensive Rebound.
Austin Peay,Liberty,6,0,1,44,1,Chris Horton made Jumper.
Austin Peay,Liberty,6,0,2,15,0,Liberty Full Timeout.
Austin Peay,Liberty,6,0,2,35,0,Tomasz Gielo Turnover.
Austin Peay,Liberty,6,0,2,36,0,Anthony Campbell Steal.
Austin Peay,Liberty,6,0,2,38,0,Travis Betran missed Three Point Jumper.
Austin Peay,Liberty,6,0,2,38,0,Sommy Ogukwe Defensive Rebound.
Austin Peay,Liberty,6,0,2,53,0,Tomasz Gielo missed Three Point Jumper.
Austin Peay,Liberty,6,0,2,53,0,Jerome Clyburn Defensive Rebound.
Austin Peay,Liberty,6,0,3,10,0,Will Triggs missed Layup.
Austin Peay,Liberty,6,0,3,10,0,Chris Horton Offensive Rebound.
Austin Peay,Liberty,9,0,3,16,1,Anthony Campbell made Three Point Jumper.  Assisted by Travis Betran.
Austin Peay,Liberty,9,2,3,35,1,Tomasz Gielo made Layup.
Austin Peay,Liberty,9,2,3,49,0,Travis Betran Turnover.
Austin Peay,Liberty,9,2,4,2,0,Tomasz Gielo missed Layup.
Austin Peay,Liberty,9,2,4,2,0,Will Triggs Block.
Austin Peay,Liberty,9,2,4,7,0,Jerome Clyburn Defensive Rebound.
Austin Peay,Liberty,9,2,4,13,0,Foul on Tomasz Gielo
Austin Peay,Liberty,9,2,4,13,0,Official TV Timeout.
Austin Peay,Liberty,12,2,4,36,1,Jerome Clyburn made Three Point Jumper.  Assisted by Will Triggs.
Austin Peay,Liberty,12,5,4,52,1,Davon Marshall made Three Point Jumper.  Assisted by John Caleb Sanders.
Austin Peay,Liberty,12,5,5,16,0,Cory Arentsen Turnover.
Austin Peay,Liberty,12,5,5,26,0,Tavares Speaks missed Layup.
Austin Peay,Liberty,12,5,5,26,0,JR Coronado Offensive Rebound.
Austin Peay,Liberty,12,5,5,31,0,JR Coronado Turnover.
Austin Peay,Liberty,15,5,5,47,1,Cory Arentsen made Three Point Jumper.  Assisted by Jeremy Purvis.
Austin Peay,Liberty,15,5,6,5,0,Casey Roberts missed Three Point Jumper.
Austin Peay,Liberty,15,5,6,5,0,Jeremy Purvis Defensive Rebound.
Austin Peay,Liberty,15,5,6,32,0,Chris Horton missed Layup.
Austin Peay,Liberty,15,5,6,32,0,Will Triggs Offensive Rebound.
Austin Peay,Liberty,15,5,6,37,0,Jeremy Purvis missed Three Point Jumper.
Austin Peay,Liberty,15,5,6,37,0,JR Coronado Defensive Rebound.
Austin Peay,Liberty,15,7,6,50,1,Tomasz Gielo made Jumper.  Assisted by Tavares Speaks.
Austin Peay,Liberty,15,7,7,18,0,Cory Arentsen Turnover.
Austin Peay,Liberty,15,7,7,20,0,Tomasz Gielo Steal.
Austin Peay,Liberty,15,7,7,23,0,Tomasz Gielo Turnover.
Austin Peay,Liberty,15,7,7,24,0,Jeremy Purvis Steal.
Austin Peay,Liberty,17,7,7,28,1,Will Triggs made Dunk.  Assisted by Travis Betran.
Austin Peay,Liberty,17,7,7,46,0,Tavares Speaks missed Layup.
Austin Peay,Liberty,17,7,7,46,0,Travis Betran Defensive Rebound.
Austin Peay,Liberty,17,7,7,54,0,Travis Betran Turnover.
Austin Peay,Liberty,17,7,7,56,0,JR Coronado Steal.
Austin Peay,Liberty,17,10,7,59,1,Davon Marshall made Three Point Jumper.  Assisted by Tomasz Gielo.
Austin Peay,Liberty,17,10,8,35,0,Travis Betran missed Layup.
Austin Peay,Liberty,17,10,8,35,0,Casey Roberts Defensive Rebound.
Austin Peay,Liberty,17,12,8,40,1,Davon Marshall made Layup.
Austin Peay,Liberty,17,12,8,40,0,Foul on Cory Arentsen
Austin Peay,Liberty,17,12,8,40,0,Official TV Timeout.
Austin Peay,Liberty,17,13,8,40,1,Davon Marshall made Free Throw.
Austin Peay,Liberty,20,13,8,54,1,Anthony Campbell made Three Point Jumper.  Assisted by Jeremy Purvis.
Austin Peay,Liberty,20,13,9,6,0,Foul on Jeremy Purvis
Austin Peay,Liberty,20,13,9,6,0,John Caleb Sanders missed Free Throw.
Austin Peay,Liberty,20,13,9,6,0,null
Austin Peay,Liberty,20,14,9,6,1,John Caleb Sanders made Free Throw.
Austin Peay,Liberty,20,14,9,22,0,Chris Freeman missed Layup.
Austin Peay,Liberty,20,14,9,22,0,Preston Herring Offensive Rebound.
Austin Peay,Liberty,22,14,9,27,1,Preston Herring made Layup.
Austin Peay,Liberty,22,14,9,44,0,John Caleb Sanders Turnover.
Austin Peay,Liberty,22,14,9,44,0,Foul on John Caleb Sanders
Austin Peay,Liberty,22,14,10,3,0,Anthony Campbell missed Three Point Jumper.
Austin Peay,Liberty,22,14,10,3,0,Preston Herring Offensive Rebound.
Austin Peay,Liberty,22,14,10,6,0,Foul on Tomasz Gielo
Austin Peay,Liberty,23,14,10,6,1,Preston Herring made Free Throw.
Austin Peay,Liberty,23,14,10,9,0,Preston Herring missed Free Throw.
Austin Peay,Liberty,23,14,10,9,0,JR Coronado Defensive Rebound.
Austin Peay,Liberty,23,17,10,30,1,Chad Donley made Three Point Jumper.  Assisted by John Caleb Sanders.
Austin Peay,Liberty,23,17,10,49,0,Foul on Sommy Ogukwe
Austin Peay,Liberty,23,17,11,2,0,Anthony Campbell missed Jumper.
Austin Peay,Liberty,23,17,11,2,0,Davon Marshall Defensive Rebound.
Austin Peay,Liberty,23,17,11,12,0,John Caleb Sanders missed Three Point Jumper.
