Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Middle Tennessee,Little Rock,0,0,0,16,0,Will Neighbour Turnover.
Middle Tennessee,Little Rock,0,0,0,24,0,Marcos Knight missed Layup.
Middle Tennessee,Little Rock,0,0,0,24,0,Michael Javes Block.
Middle Tennessee,Little Rock,0,0,0,25,0,Leroy Isler Defensive Rebound.
Middle Tennessee,Little Rock,0,2,0,46,1,Leroy Isler made Layup.
Middle Tennessee,Little Rock,0,2,1,12,0,JT Sulton missed Jumper.
Middle Tennessee,Little Rock,0,2,1,12,0,Shawn Jones Offensive Rebound.
Middle Tennessee,Little Rock,3,2,1,17,1,Kerry Hammonds made Three Point Jumper.  Assisted by Shawn Jones.
Middle Tennessee,Little Rock,3,2,1,30,0,Leroy Isler missed Layup.
Middle Tennessee,Little Rock,3,2,1,30,0,JT Sulton Block.
Middle Tennessee,Little Rock,3,2,1,30,0,Middle Tennessee Defensive Rebou.
Middle Tennessee,Little Rock,3,2,1,50,0,Shawn Jones missed Jumper.
Middle Tennessee,Little Rock,3,2,1,50,0,Josh Hagins Defensive Rebound.
Middle Tennessee,Little Rock,3,2,2,7,0,Ben Dillard missed Layup.
Middle Tennessee,Little Rock,3,2,2,7,0,JT Sulton Block.
Middle Tennessee,Little Rock,3,2,2,9,0,Shawn Jones Defensive Rebound.
Middle Tennessee,Little Rock,3,2,2,14,0,Foul on Leroy Isler
Middle Tennessee,Little Rock,3,2,2,26,0,Shawn Jones missed Jumper.
Middle Tennessee,Little Rock,3,2,2,26,0,Leroy Isler Defensive Rebound.
Middle Tennessee,Little Rock,3,2,2,39,0,Josh Hagins Turnover.
Middle Tennessee,Little Rock,3,2,2,55,0,Marcos Knight missed Three Point Jumper.
Middle Tennessee,Little Rock,3,2,2,55,0,Bruce Massey Offensive Rebound.
Middle Tennessee,Little Rock,3,2,3,4,0,Bruce Massey missed Three Point Jumper.
Middle Tennessee,Little Rock,3,2,3,4,0,Will Neighbour Defensive Rebound.
Middle Tennessee,Little Rock,3,2,3,4,0,Foul on JT Sulton
Middle Tennessee,Little Rock,3,4,3,21,1,Michael Javes made Layup.  Assisted by Will Neighbour.
Middle Tennessee,Little Rock,3,4,3,31,0,Shawn Jones Turnover.
Middle Tennessee,Little Rock,3,6,3,54,1,Leroy Isler made Layup.  Assisted by Josh Hagins.
Middle Tennessee,Little Rock,3,6,3,56,0,Middle Tennessee Full Timeout.
Middle Tennessee,Little Rock,3,6,4,7,0,Tweety Knight missed Layup.
Middle Tennessee,Little Rock,3,6,4,7,0,Michael Javes Defensive Rebound.
Middle Tennessee,Little Rock,3,6,4,21,0,Josh Hagins missed Three Point Jumper.
Middle Tennessee,Little Rock,3,6,4,21,0,Tweety Knight Defensive Rebound.
Middle Tennessee,Little Rock,5,6,4,27,1,Jason Jones made Layup.  Assisted by Marcos Knight.
Middle Tennessee,Little Rock,5,6,4,46,0,Will Neighbour Turnover.
Middle Tennessee,Little Rock,5,6,4,46,0,Official TV Timeout.
Middle Tennessee,Little Rock,5,6,5,3,0,Foul on Michael Javes
Middle Tennessee,Little Rock,6,6,5,3,1,Torin Walker made Free Throw.
Middle Tennessee,Little Rock,7,6,5,3,1,Torin Walker made Free Throw.
Middle Tennessee,Little Rock,7,6,5,16,0,Michael Javes missed Layup.
Middle Tennessee,Little Rock,7,6,5,16,0,Torin Walker Defensive Rebound.
Middle Tennessee,Little Rock,7,6,5,24,0,Jason Jones Turnover.
Middle Tennessee,Little Rock,7,6,5,26,0,Foul on Jason Jones
Middle Tennessee,Little Rock,7,6,5,48,0,Leroy Isler Turnover.
