Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Mt. St. Mary's,Pittsburgh,0,0,0,23,0,Rashad Whack missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,0,0,0,23,0,Tray Woodall Defensive Rebound.
Mt. St. Mary's,Pittsburgh,0,2,0,57,1,Talib Zanna made Layup.  Assisted by Tray Woodall.
Mt. St. Mary's,Pittsburgh,3,2,1,21,1,Xavier Owens made Three Point Jumper.  Assisted by Josh Castellanos.
Mt. St. Mary's,Pittsburgh,3,4,1,46,1,Tray Woodall made Layup.
Mt. St. Mary's,Pittsburgh,3,4,2,11,0,Josh Castellanos Turnover.
Mt. St. Mary's,Pittsburgh,3,4,2,13,0,Talib Zanna Steal.
Mt. St. Mary's,Pittsburgh,3,6,2,15,1,Talib Zanna made Layup.
Mt. St. Mary's,Pittsburgh,3,6,2,49,0,Josh Castellanos missed Jumper.
Mt. St. Mary's,Pittsburgh,3,6,2,49,0,James Robinson Defensive Rebound.
Mt. St. Mary's,Pittsburgh,3,6,2,56,0,Lamar Patterson missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,3,6,2,56,0,Josh Castellanos Defensive Rebound.
Mt. St. Mary's,Pittsburgh,6,6,3,6,1,Rashad Whack made Three Point Jumper.  Assisted by Julian Norfleet.
Mt. St. Mary's,Pittsburgh,6,9,3,42,1,Tray Woodall made Three Point Jumper.  Assisted by Steven Adams.
Mt. St. Mary's,Pittsburgh,9,9,4,18,1,Xavier Owens made Three Point Jumper.  Assisted by Julian Norfleet.
Mt. St. Mary's,Pittsburgh,9,11,4,32,1,Steven Adams made Dunk.  Assisted by Tray Woodall.
Mt. St. Mary's,Pittsburgh,9,11,5,8,0,Rashad Whack missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,9,11,5,8,0,James Robinson Defensive Rebound.
Mt. St. Mary's,Pittsburgh,9,11,5,23,0,Tray Woodall missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,9,11,5,23,0,James Robinson Offensive Rebound.
Mt. St. Mary's,Pittsburgh,9,13,5,36,1,Talib Zanna made Layup.
Mt. St. Mary's,Pittsburgh,9,13,5,59,0,Kristijan Krajina Turnover.
Mt. St. Mary's,Pittsburgh,9,15,6,9,1,Talib Zanna made Layup.  Assisted by Lamar Patterson.
Mt. St. Mary's,Pittsburgh,12,15,6,36,1,Julian Norfleet made Three Point Jumper.  Assisted by Rashad Whack.
Mt. St. Mary's,Pittsburgh,12,17,7,0,1,Talib Zanna made Dunk.  Assisted by Tray Woodall.
Mt. St. Mary's,Pittsburgh,15,17,7,25,1,Rashad Whack made Three Point Jumper.  Assisted by Xavier Owens.
Mt. St. Mary's,Pittsburgh,15,17,7,52,0,Tray Woodall Turnover.
Mt. St. Mary's,Pittsburgh,15,17,8,5,0,Kristijan Krajina Steal.
Mt. St. Mary's,Pittsburgh,18,17,8,7,1,Julian Norfleet made Three Point Jumper.  Assisted by Josh Castellanos.
Mt. St. Mary's,Pittsburgh,18,17,8,10,0,Pittsburgh Full Timeout.
Mt. St. Mary's,Pittsburgh,18,17,8,21,0,Foul on Raven Barber
Mt. St. Mary's,Pittsburgh,18,17,8,21,0,Official TV Timeout.
Mt. St. Mary's,Pittsburgh,18,17,8,21,0,Cameron Wright missed Free Throw.
Mt. St. Mary's,Pittsburgh,18,17,8,21,0,null
Mt. St. Mary's,Pittsburgh,18,18,8,21,1,Cameron Wright made Free Throw.
Mt. St. Mary's,Pittsburgh,18,18,8,21,0,Official TV Timeout.
Mt. St. Mary's,Pittsburgh,18,18,8,36,0,Sam Prescott Turnover.
Mt. St. Mary's,Pittsburgh,18,18,8,37,0,Tray Woodall Steal.
Mt. St. Mary's,Pittsburgh,18,20,8,38,1,Tray Woodall made Layup.
Mt. St. Mary's,Pittsburgh,18,20,9,4,0,Foul on Dante Taylor
Mt. St. Mary's,Pittsburgh,18,20,9,8,0,Mount St. Mary's Full Timeout.
Mt. St. Mary's,Pittsburgh,18,20,9,29,0,Foul on Cameron Wright
Mt. St. Mary's,Pittsburgh,18,20,9,42,0,Foul on Dante Taylor
Mt. St. Mary's,Pittsburgh,18,20,10,3,0,Raven Barber Turnover.
Mt. St. Mary's,Pittsburgh,18,20,10,4,0,J.J. Moore Steal.
Mt. St. Mary's,Pittsburgh,18,22,10,7,1,J.J. Moore made Layup.
Mt. St. Mary's,Pittsburgh,18,22,10,23,0,Sam Prescott Turnover.
Mt. St. Mary's,Pittsburgh,18,22,10,24,0,Cameron Wright Steal.
Mt. St. Mary's,Pittsburgh,18,24,10,26,1,Cameron Wright made Layup.
Mt. St. Mary's,Pittsburgh,18,24,10,30,0,Mount St. Mary's Full Timeout.
Mt. St. Mary's,Pittsburgh,18,24,10,50,0,Shivaughn Wiggins missed Jumper.
Mt. St. Mary's,Pittsburgh,18,24,10,50,0,Steven Adams Block.
Mt. St. Mary's,Pittsburgh,18,24,10,52,0,Trey Zeigler Defensive Rebound.
Mt. St. Mary's,Pittsburgh,18,26,10,55,1,James Robinson made Layup.
Mt. St. Mary's,Pittsburgh,20,26,11,15,1,Rashad Whack made Jumper.
Mt. St. Mary's,Pittsburgh,20,26,11,21,0,Foul on Shivaughn Wiggins
Mt. St. Mary's,Pittsburgh,20,26,11,37,0,Steven Adams missed Layup.
Mt. St. Mary's,Pittsburgh,20,26,11,37,0,Steven Adams Offensive Rebound.
Mt. St. Mary's,Pittsburgh,20,28,11,39,1,Steven Adams made Tip Shot.
Mt. St. Mary's,Pittsburgh,23,28,12,7,1,Rashad Whack made Three Point Jumper.  Assisted by Josh Castellanos.
Mt. St. Mary's,Pittsburgh,23,30,12,23,1,Cameron Wright made Jumper.
Mt. St. Mary's,Pittsburgh,23,30,12,23,0,Foul on Rashad Whack
Mt. St. Mary's,Pittsburgh,23,30,12,28,0,Official TV Timeout.
Mt. St. Mary's,Pittsburgh,23,31,12,28,1,Cameron Wright made Free Throw.
Mt. St. Mary's,Pittsburgh,23,31,12,43,0,Foul on J.J. Moore
Mt. St. Mary's,Pittsburgh,24,31,12,43,1,Julian Norfleet made Free Throw.
Mt. St. Mary's,Pittsburgh,25,31,12,43,1,Julian Norfleet made Free Throw.
Mt. St. Mary's,Pittsburgh,25,33,13,4,1,Tray Woodall made Layup.
Mt. St. Mary's,Pittsburgh,25,33,13,22,0,Xavier Owens missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,25,33,13,22,0,Lamar Patterson Defensive Rebound.
Mt. St. Mary's,Pittsburgh,25,33,13,31,0,Foul on Xavier Owens
Mt. St. Mary's,Pittsburgh,25,34,13,31,1,J.J. Moore made Free Throw.
Mt. St. Mary's,Pittsburgh,25,35,13,31,1,J.J. Moore made Free Throw.
Mt. St. Mary's,Pittsburgh,25,35,13,31,0,J.J. Moore missed Free Throw.
Mt. St. Mary's,Pittsburgh,25,35,13,31,0,Julian Norfleet Defensive Rebound.
Mt. St. Mary's,Pittsburgh,25,35,14,6,0,Josh Castellanos Turnover.
Mt. St. Mary's,Pittsburgh,25,35,14,26,0,Talib Zanna missed Jumper.
Mt. St. Mary's,Pittsburgh,25,35,14,26,0,Taylor Danaher Defensive Rebound.
Mt. St. Mary's,Pittsburgh,25,35,14,37,0,Sam Prescott missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,25,35,14,37,0,James Robinson Defensive Rebound.
Mt. St. Mary's,Pittsburgh,25,37,14,59,1,Talib Zanna made Jumper.  Assisted by Tray Woodall.
Mt. St. Mary's,Pittsburgh,25,37,15,18,0,Rashad Whack missed Jumper.
Mt. St. Mary's,Pittsburgh,25,37,15,18,0,Talib Zanna Block.
Mt. St. Mary's,Pittsburgh,25,37,15,20,0,Shivaughn Wiggins Offensive Rebound.
Mt. St. Mary's,Pittsburgh,27,37,15,24,1,Shivaughn Wiggins made Jumper.  Assisted by Xavier Owens.
Mt. St. Mary's,Pittsburgh,27,37,15,42,0,Lamar Patterson Turnover.
Mt. St. Mary's,Pittsburgh,27,37,15,56,0,Xavier Owens missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,37,15,56,0,Steven Adams Block.
Mt. St. Mary's,Pittsburgh,27,37,15,58,0,Cameron Wright Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,39,16,8,1,James Robinson made Jumper.
Mt. St. Mary's,Pittsburgh,27,39,16,30,0,Sam Prescott missed Layup.
Mt. St. Mary's,Pittsburgh,27,39,16,30,0,Steven Adams Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,39,16,34,0,Steven Adams Turnover.
Mt. St. Mary's,Pittsburgh,27,39,16,35,0,Sam Prescott Steal.
Mt. St. Mary's,Pittsburgh,27,39,16,38,0,Rashad Whack missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,39,16,38,0,Steven Adams Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,39,17,1,0,Tray Woodall missed Jumper.
Mt. St. Mary's,Pittsburgh,27,39,17,1,0,Shivaughn Wiggins Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,39,17,13,0,Sam Prescott missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,39,17,13,0,Shivaughn Wiggins Offensive Rebound.
Mt. St. Mary's,Pittsburgh,27,39,17,19,0,Shivaughn Wiggins missed Layup.
Mt. St. Mary's,Pittsburgh,27,39,17,19,0,Steven Adams Block.
Mt. St. Mary's,Pittsburgh,27,39,17,19,0,Mount St. Mary's Offensive Rebou.
Mt. St. Mary's,Pittsburgh,27,39,17,19,0,Official TV Timeout.
Mt. St. Mary's,Pittsburgh,27,39,17,21,0,Rashad Whack Turnover.
Mt. St. Mary's,Pittsburgh,27,39,17,23,0,Cameron Wright Turnover.
Mt. St. Mary's,Pittsburgh,27,39,17,23,0,Xavier Owens Steal.
Mt. St. Mary's,Pittsburgh,27,39,17,56,0,Sam Prescott missed Jumper.
Mt. St. Mary's,Pittsburgh,27,39,17,56,0,Kristijan Krajina Offensive Rebound.
Mt. St. Mary's,Pittsburgh,27,39,18,0,0,Josh Castellanos missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,39,18,0,0,J.J. Moore Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,39,18,7,0,Foul on Rashad Whack
Mt. St. Mary's,Pittsburgh,27,39,18,7,0,Tray Woodall missed Free Throw.
Mt. St. Mary's,Pittsburgh,27,39,18,7,0,null
Mt. St. Mary's,Pittsburgh,27,40,18,7,1,Tray Woodall made Free Throw.
Mt. St. Mary's,Pittsburgh,27,40,18,19,0,Rashad Whack missed Jumper.
Mt. St. Mary's,Pittsburgh,27,40,18,19,0,Tray Woodall Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,40,18,22,0,Tray Woodall Turnover.
Mt. St. Mary's,Pittsburgh,27,40,18,22,0,Mount St. Mary's Full Timeout.
Mt. St. Mary's,Pittsburgh,27,40,18,40,0,Rashad Whack Turnover.
Mt. St. Mary's,Pittsburgh,27,40,18,42,0,Cameron Wright Steal.
Mt. St. Mary's,Pittsburgh,27,42,19,10,1,James Robinson made Jumper.
Mt. St. Mary's,Pittsburgh,27,42,19,46,0,Julian Norfleet missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,42,19,46,0,Cameron Wright Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,42,19,49,0,Foul on Xavier Owens
Mt. St. Mary's,Pittsburgh,27,42,19,59,0,Tray Woodall missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,42,19,59,0,null
Mt. St. Mary's,Pittsburgh,27,42,20,0,0,End of the 1st Half.
Mt. St. Mary's,Pittsburgh,27,42,20,21,0,Foul on James Robinson
Mt. St. Mary's,Pittsburgh,27,42,20,33,0,Julian Norfleet missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,42,20,33,0,Steven Adams Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,42,20,49,0,Tray Woodall Turnover.
Mt. St. Mary's,Pittsburgh,27,42,20,58,0,Rashad Whack Turnover.
Mt. St. Mary's,Pittsburgh,27,44,21,10,1,Talib Zanna made Layup.  Assisted by Tray Woodall.
Mt. St. Mary's,Pittsburgh,27,44,21,42,0,Kristijan Krajina Turnover.
Mt. St. Mary's,Pittsburgh,27,44,21,44,0,Steven Adams Steal.
Mt. St. Mary's,Pittsburgh,27,46,21,47,1,Talib Zanna made Layup.  Assisted by Lamar Patterson.
Mt. St. Mary's,Pittsburgh,27,46,22,20,0,Julian Norfleet missed Jumper.
Mt. St. Mary's,Pittsburgh,27,46,22,20,0,Steven Adams Block.
Mt. St. Mary's,Pittsburgh,27,46,22,20,0,Mount St. Mary's Offensive Rebou.
Mt. St. Mary's,Pittsburgh,27,46,22,24,0,Julian Norfleet missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,46,22,24,0,Talib Zanna Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,48,22,33,1,Tray Woodall made Jumper.
Mt. St. Mary's,Pittsburgh,27,48,22,40,0,Foul on Tray Woodall
Mt. St. Mary's,Pittsburgh,27,48,23,7,0,Julian Norfleet Turnover.
Mt. St. Mary's,Pittsburgh,27,48,23,8,0,James Robinson Steal.
Mt. St. Mary's,Pittsburgh,27,48,23,10,0,James Robinson Turnover.
Mt. St. Mary's,Pittsburgh,27,48,23,11,0,Julian Norfleet Steal.
Mt. St. Mary's,Pittsburgh,27,48,23,30,0,Julian Norfleet Turnover.
Mt. St. Mary's,Pittsburgh,27,48,23,30,0,Foul on Julian Norfleet
Mt. St. Mary's,Pittsburgh,27,48,23,58,0,Foul on Xavier Owens
Mt. St. Mary's,Pittsburgh,27,49,23,58,1,Tray Woodall made Free Throw.
Mt. St. Mary's,Pittsburgh,27,50,23,58,1,Tray Woodall made Free Throw.
Mt. St. Mary's,Pittsburgh,27,50,24,27,0,Sam Prescott Turnover.
Mt. St. Mary's,Pittsburgh,27,50,24,27,0,Trey Zeigler Steal.
Mt. St. Mary's,Pittsburgh,27,50,24,28,0,Official TV Timeout.
Mt. St. Mary's,Pittsburgh,27,50,24,48,0,Tray Woodall missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,27,50,24,48,0,Steven Adams Offensive Rebound.
Mt. St. Mary's,Pittsburgh,27,52,24,52,1,Talib Zanna made Dunk.  Assisted by Steven Adams.
Mt. St. Mary's,Pittsburgh,27,52,24,59,0,Raven Barber missed Layup.
Mt. St. Mary's,Pittsburgh,27,52,24,59,0,Steven Adams Defensive Rebound.
Mt. St. Mary's,Pittsburgh,27,54,25,7,1,Trey Zeigler made Layup.  Assisted by Tray Woodall.
Mt. St. Mary's,Pittsburgh,27,54,25,29,0,Shivaughn Wiggins missed Jumper.
Mt. St. Mary's,Pittsburgh,27,54,25,29,0,Mount St. Mary's Offensive Rebou.
Mt. St. Mary's,Pittsburgh,29,54,25,32,1,Kristijan Krajina made Dunk.
Mt. St. Mary's,Pittsburgh,29,54,25,45,0,Foul on Kristijan Krajina
Mt. St. Mary's,Pittsburgh,29,55,25,45,1,Dante Taylor made Free Throw.
Mt. St. Mary's,Pittsburgh,29,56,25,45,1,Dante Taylor made Free Throw.
Mt. St. Mary's,Pittsburgh,29,56,26,14,0,Rashad Whack missed Jumper.
Mt. St. Mary's,Pittsburgh,29,56,26,14,0,Trey Zeigler Block.
Mt. St. Mary's,Pittsburgh,29,56,26,17,0,Rashad Whack Offensive Rebound.
Mt. St. Mary's,Pittsburgh,29,56,26,21,0,Shivaughn Wiggins missed Layup.
Mt. St. Mary's,Pittsburgh,29,56,26,21,0,Rashad Whack Offensive Rebound.
Mt. St. Mary's,Pittsburgh,29,56,26,24,0,Rashad Whack missed Jumper.
Mt. St. Mary's,Pittsburgh,29,56,26,24,0,Kristijan Krajina Offensive Rebound.
Mt. St. Mary's,Pittsburgh,31,56,26,28,1,Kristijan Krajina made Tip Shot.
Mt. St. Mary's,Pittsburgh,31,58,26,38,1,Trey Zeigler made Layup.
Mt. St. Mary's,Pittsburgh,31,58,26,38,0,Foul on Kristijan Krajina
Mt. St. Mary's,Pittsburgh,31,59,26,38,1,Trey Zeigler made Free Throw.
Mt. St. Mary's,Pittsburgh,31,59,27,2,0,Rashad Whack missed Jumper.
Mt. St. Mary's,Pittsburgh,31,59,27,2,0,Cameron Wright Defensive Rebound.
Mt. St. Mary's,Pittsburgh,31,59,27,11,0,Cameron Wright missed Layup.
Mt. St. Mary's,Pittsburgh,31,59,27,11,0,Julian Norfleet Block.
Mt. St. Mary's,Pittsburgh,31,59,27,12,0,Rashad Whack Defensive Rebound.
Mt. St. Mary's,Pittsburgh,31,59,27,17,0,Julian Norfleet missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,31,59,27,17,0,Mount St. Mary's Offensive Rebou.
Mt. St. Mary's,Pittsburgh,31,59,27,19,0,Foul on Trey Zeigler
Mt. St. Mary's,Pittsburgh,33,59,27,34,1,Julian Norfleet made Layup.
Mt. St. Mary's,Pittsburgh,33,59,27,45,0,Foul on Josh Castellanos
Mt. St. Mary's,Pittsburgh,33,59,27,53,0,Foul on Josh Castellanos
Mt. St. Mary's,Pittsburgh,33,59,28,20,0,J.J. Moore missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,33,59,28,20,0,Rashad Whack Defensive Rebound.
Mt. St. Mary's,Pittsburgh,35,59,28,35,1,Kristijan Krajina made Jumper.
Mt. St. Mary's,Pittsburgh,35,61,28,50,1,Trey Zeigler made Layup.
Mt. St. Mary's,Pittsburgh,38,61,29,12,1,Xavier Owens made Three Point Jumper.  Assisted by Josh Castellanos.
Mt. St. Mary's,Pittsburgh,38,61,29,34,0,Trey Zeigler missed Jumper.
Mt. St. Mary's,Pittsburgh,38,61,29,34,0,Pittsburgh Offensive Rebound.
Mt. St. Mary's,Pittsburgh,38,61,29,36,0,Official TV Timeout.
Mt. St. Mary's,Pittsburgh,38,61,29,49,0,J.J. Moore missed Jumper.
Mt. St. Mary's,Pittsburgh,38,61,29,49,0,Xavier Owens Defensive Rebound.
Mt. St. Mary's,Pittsburgh,38,61,30,25,0,Julian Norfleet missed Layup.
Mt. St. Mary's,Pittsburgh,38,61,30,25,0,Taylor Danaher Offensive Rebound.
Mt. St. Mary's,Pittsburgh,38,61,30,26,0,Mount St. Mary's Turnover.
Mt. St. Mary's,Pittsburgh,38,63,30,50,1,Cameron Wright made Jumper.
Mt. St. Mary's,Pittsburgh,38,63,31,20,0,Foul on James Robinson
Mt. St. Mary's,Pittsburgh,38,63,31,53,0,Kelvin Parker missed Three Point Jumper.
Mt. St. Mary's,Pittsburgh,38,63,31,53,0,Tray Woodall Defensive Rebound.
Mt. St. Mary's,Pittsburgh,38,63,32,25,0,Lamar Patterson missed Layup.
Mt. St. Mary's,Pittsburgh,38,63,32,25,0,Talib Zanna Offensive Rebound.
Mt. St. Mary's,Pittsburgh,38,63,32,27,0,Talib Zanna missed Tip Shot.
Mt. St. Mary's,Pittsburgh,38,63,32,27,0,Steven Adams Offensive Rebound.
