Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Texas Southern,Northwestern,0,2,0,4,1,Drew Crawford made Jumper.  Assisted by Alex Olah.
Texas Southern,Northwestern,0,2,0,22,0,Kyrie Sutton missed Layup.
Texas Southern,Northwestern,0,2,0,22,0,Alex Olah Block.
Texas Southern,Northwestern,0,2,0,23,0,Jared Swopshire Defensive Rebound.
Texas Southern,Northwestern,0,2,0,47,0,Drew Crawford Turnover.
Texas Southern,Northwestern,0,2,0,47,0,Dexter Ellington Steal.
Texas Southern,Northwestern,0,2,0,47,0,Foul on Drew Crawford
Texas Southern,Northwestern,0,2,0,56,0,Omar Strong missed Three Point Jumper.
Texas Southern,Northwestern,0,2,0,56,0,Kyrie Sutton Offensive Rebound.
Texas Southern,Northwestern,0,2,1,2,0,Kyrie Sutton Turnover.
Texas Southern,Northwestern,0,4,1,18,1,Drew Crawford made Jumper.
Texas Southern,Northwestern,0,4,1,41,0,Kyrie Sutton missed Jumper.
Texas Southern,Northwestern,0,4,1,41,0,Aaron Claiborn Offensive Rebound.
Texas Southern,Northwestern,0,4,1,44,0,Aaron Claiborn missed Layup.
Texas Southern,Northwestern,0,4,1,44,0,Alex Olah Block.
Texas Southern,Northwestern,0,4,1,46,0,Reggie Hearn Defensive Rebound.
Texas Southern,Northwestern,0,4,1,51,0,Foul on Kyrie Sutton
Texas Southern,Northwestern,0,6,1,54,1,Drew Crawford made Jumper.  Assisted by Dave Sobolewski.
Texas Southern,Northwestern,2,6,2,28,1,Kyrie Sutton made Jumper.  Assisted by Aaron Claiborn.
Texas Southern,Northwestern,2,6,2,47,0,Jared Swopshire missed Jumper.
Texas Southern,Northwestern,2,6,2,47,0,Dexter Ellington Defensive Rebound.
Texas Southern,Northwestern,2,6,3,13,0,Aaron Claiborn missed Layup.
Texas Southern,Northwestern,2,6,3,13,0,Drew Crawford Block.
Texas Southern,Northwestern,2,6,3,16,0,Alex Olah Defensive Rebound.
Texas Southern,Northwestern,2,6,3,30,0,Foul on Kyrie Sutton
Texas Southern,Northwestern,2,6,3,36,0,Jared Swopshire missed Three Point Jumper.
Texas Southern,Northwestern,2,6,3,36,0,Aaron Claiborn Defensive Rebound.
Texas Southern,Northwestern,4,6,3,53,1,Raymond Penn made Jumper.
Texas Southern,Northwestern,4,6,4,4,0,Dave Sobolewski Turnover.
Texas Southern,Northwestern,4,6,4,4,0,Official TV Timeout.
Texas Southern,Northwestern,4,6,4,35,0,Dexter Ellington missed Three Point Jumper.
Texas Southern,Northwestern,4,6,4,35,0,Reggie Hearn Defensive Rebound.
Texas Southern,Northwestern,4,8,4,45,1,Jared Swopshire made Layup.  Assisted by Alex Olah.
Texas Southern,Northwestern,4,8,4,53,0,Foul on Dave Sobolewski
Texas Southern,Northwestern,4,8,5,14,0,Raymond Penn missed Jumper.
Texas Southern,Northwestern,4,8,5,14,0,Reggie Hearn Defensive Rebound.
Texas Southern,Northwestern,4,11,5,28,1,Reggie Hearn made Three Point Jumper.  Assisted by Dave Sobolewski.
Texas Southern,Northwestern,4,11,5,57,0,Foul on Lawrence Johnson-Danner
Texas Southern,Northwestern,4,11,5,57,0,Lawrence Johnson-Danner Turnover.
Texas Southern,Northwestern,4,11,6,9,0,Jared Swopshire missed Three Point Jumper.
Texas Southern,Northwestern,4,11,6,9,0,Raymond Penn Defensive Rebound.
Texas Southern,Northwestern,4,11,6,22,0,Foul on Fred Sturdivant
Texas Southern,Northwestern,4,11,6,22,0,Fred Sturdivant Turnover.
Texas Southern,Northwestern,4,13,6,46,1,Jared Swopshire made Layup.  Assisted by Dave Sobolewski.
Texas Southern,Northwestern,4,13,7,8,0,Foul on Mike Turner
Texas Southern,Northwestern,7,13,7,21,1,Raymond Penn made Three Point Jumper.
Texas Southern,Northwestern,7,16,7,34,1,Drew Crawford made Three Point Jumper.  Assisted by Mike Turner.
Texas Southern,Northwestern,7,16,7,52,0,Foul on Fred Sturdivant
Texas Southern,Northwestern,7,16,7,52,0,Fred Sturdivant Turnover.
Texas Southern,Northwestern,7,19,7,58,1,Reggie Hearn made Three Point Jumper.  Assisted by Dave Sobolewski.
Texas Southern,Northwestern,7,19,8,31,0,Aaron Claiborn missed Layup.
Texas Southern,Northwestern,7,19,8,31,0,Lawrence Johnson-Danner Offensive Rebound.
Texas Southern,Northwestern,7,19,8,46,0,Raymond Penn Turnover.
Texas Southern,Northwestern,7,19,8,47,0,Drew Crawford Steal.
Texas Southern,Northwestern,7,21,8,50,1,Drew Crawford made Dunk.
Texas Southern,Northwestern,7,21,8,52,0,Texas Southern Full Timeout.
Texas Southern,Northwestern,7,21,9,10,0,Raymond Penn missed Three Point Jumper.
Texas Southern,Northwestern,7,21,9,10,0,Reggie Hearn Defensive Rebound.
Texas Southern,Northwestern,7,21,9,12,0,Foul on Dexter Ellington
Texas Southern,Northwestern,7,21,9,12,0,Official TV Timeout.
Texas Southern,Northwestern,7,21,9,41,0,Tre Demps missed Three Point Jumper.
Texas Southern,Northwestern,7,21,9,41,0,Aaron Claiborn Defensive Rebound.
Texas Southern,Northwestern,7,21,9,50,0,Lawrence Johnson-Danner missed Three Point Jumper.
Texas Southern,Northwestern,7,21,9,50,0,Alex Marcotullio Defensive Rebound.
Texas Southern,Northwestern,7,21,9,57,0,Reggie Hearn missed Three Point Jumper.
Texas Southern,Northwestern,7,21,9,57,0,Lawrence Johnson-Danner Defensive Rebound.
Texas Southern,Northwestern,7,21,10,30,0,Aaron Claiborn missed Jumper.
Texas Southern,Northwestern,7,21,10,30,0,Drew Crawford Block.
Texas Southern,Northwestern,7,21,10,32,0,Reggie Hearn Defensive Rebound.
Texas Southern,Northwestern,7,21,10,54,0,Drew Crawford Turnover.
Texas Southern,Northwestern,7,21,11,13,0,Omar Strong missed Three Point Jumper.
Texas Southern,Northwestern,7,21,11,13,0,Mike Turner Defensive Rebound.
Texas Southern,Northwestern,7,21,11,31,0,Reggie Hearn missed Three Point Jumper.
Texas Southern,Northwestern,7,21,11,31,0,Lawrence Johnson-Danner Defensive Rebound.
Texas Southern,Northwestern,7,21,12,4,0,Omar Strong missed Jumper.
Texas Southern,Northwestern,7,21,12,4,0,Alex Marcotullio Defensive Rebound.
Texas Southern,Northwestern,7,21,12,15,0,Reggie Hearn missed Three Point Jumper.
Texas Southern,Northwestern,7,21,12,15,0,Kyrie Sutton Defensive Rebound.
Texas Southern,Northwestern,7,21,12,28,0,Raymond Penn Turnover.
Texas Southern,Northwestern,7,21,12,29,0,Mike Turner Steal.
Texas Southern,Northwestern,7,21,12,30,0,Foul on Lawrence Johnson-Danner
Texas Southern,Northwestern,7,21,12,30,0,Official TV Timeout.
Texas Southern,Northwestern,7,22,12,30,1,Alex Marcotullio made Free Throw.
Texas Southern,Northwestern,7,22,12,30,0,Alex Marcotullio missed Free Throw.
Texas Southern,Northwestern,7,22,12,30,0,Lawrence Johnson-Danner Defensive Rebound.
Texas Southern,Northwestern,9,22,12,45,1,Kyrie Sutton made Layup.  Assisted by Raymond Penn.
Texas Southern,Northwestern,9,24,13,0,1,Tre Demps made Jumper.  Assisted by Drew Crawford.
Texas Southern,Northwestern,9,24,13,18,0,Foul on Tre Demps
Texas Southern,Northwestern,9,24,13,44,0,Dexter Ellington missed Three Point Jumper.
Texas Southern,Northwestern,9,24,13,44,0,Jared Swopshire Defensive Rebound.
Texas Southern,Northwestern,9,24,13,55,0,Foul on Dexter Ellington
Texas Southern,Northwestern,9,24,13,55,0,Alex Olah Turnover.
Texas Southern,Northwestern,9,24,14,6,0,Dexter Ellington missed Three Point Jumper.
Texas Southern,Northwestern,9,24,14,6,0,Alex Olah Defensive Rebound.
Texas Southern,Northwestern,9,26,14,23,1,Jared Swopshire made Jumper.  Assisted by Drew Crawford.
Texas Southern,Northwestern,9,26,14,38,0,Foul on Alex Olah
Texas Southern,Northwestern,9,26,14,38,0,Kyrie Sutton missed Free Throw.
Texas Southern,Northwestern,9,26,14,38,0,null
Texas Southern,Northwestern,9,26,14,38,0,Kyrie Sutton missed Free Throw.
Texas Southern,Northwestern,9,26,14,38,0,Dave Sobolewski Defensive Rebound.
Texas Southern,Northwestern,9,29,14,49,1,Drew Crawford made Three Point Jumper.  Assisted by Dave Sobolewski.
Texas Southern,Northwestern,9,29,15,5,0,Raymond Penn missed Jumper.
Texas Southern,Northwestern,9,29,15,5,0,Dave Sobolewski Defensive Rebound.
Texas Southern,Northwestern,9,29,15,13,0,Foul on Raymond Penn
Texas Southern,Northwestern,9,30,15,13,1,Dave Sobolewski made Free Throw.
Texas Southern,Northwestern,9,30,15,13,0,Dave Sobolewski missed Free Throw.
Texas Southern,Northwestern,9,30,15,13,0,Jared Swopshire Offensive Rebound.
Texas Southern,Northwestern,9,33,15,18,1,Drew Crawford made Three Point Jumper.  Assisted by Jared Swopshire.
Texas Southern,Northwestern,9,33,15,32,0,Raymond Penn missed Layup.
Texas Southern,Northwestern,9,33,15,32,0,Alex Olah Defensive Rebound.
Texas Southern,Northwestern,9,33,15,36,0,Foul on Dexter Ellington
Texas Southern,Northwestern,9,34,15,36,1,Dave Sobolewski made Free Throw.
Texas Southern,Northwestern,9,35,15,36,1,Dave Sobolewski made Free Throw.
Texas Southern,Northwestern,9,35,15,51,0,Omar Strong missed Three Point Jumper.
Texas Southern,Northwestern,9,35,15,51,0,Dave Sobolewski Defensive Rebound.
Texas Southern,Northwestern,9,38,15,58,1,Drew Crawford made Three Point Jumper.  Assisted by Dave Sobolewski.
Texas Southern,Northwestern,9,38,16,15,0,Raymond Penn Turnover.
Texas Southern,Northwestern,9,38,16,16,0,Dave Sobolewski Steal.
Texas Southern,Northwestern,9,40,16,17,1,Alex Olah made Dunk.  Assisted by Drew Crawford.
Texas Southern,Northwestern,9,40,16,17,0,Texas Southern Full Timeout.
Texas Southern,Northwestern,11,40,16,45,1,Aaron Claiborn made Layup.  Assisted by Madarious Gibbs.
Texas Southern,Northwestern,11,40,17,3,0,Drew Crawford missed Three Point Jumper.
Texas Southern,Northwestern,11,40,17,3,0,Aaron Claiborn Defensive Rebound.
Texas Southern,Northwestern,11,40,17,22,0,Aaron Claiborn missed Jumper.
Texas Southern,Northwestern,11,40,17,22,0,Dave Sobolewski Defensive Rebound.
Texas Southern,Northwestern,11,40,17,35,0,Alex Olah missed Layup.
Texas Southern,Northwestern,11,40,17,35,0,Aaron Claiborn Defensive Rebound.
Texas Southern,Northwestern,11,40,17,57,0,Omar Strong missed Three Point Jumper.
Texas Southern,Northwestern,11,40,17,57,0,Dave Sobolewski Defensive Rebound.
Texas Southern,Northwestern,11,40,18,7,0,Tre Demps missed Jumper.
Texas Southern,Northwestern,11,40,18,7,0,Omar Strong Defensive Rebound.
Texas Southern,Northwestern,11,40,18,34,0,Omar Strong missed Three Point Jumper.
Texas Southern,Northwestern,11,40,18,34,0,Alex Olah Defensive Rebound.
Texas Southern,Northwestern,11,40,18,42,0,Foul on Lawrence Johnson-Danner
Texas Southern,Northwestern,11,40,18,42,0,Official TV Timeout.
Texas Southern,Northwestern,11,41,18,42,1,Tre Demps made Free Throw.
Texas Southern,Northwestern,11,41,18,42,0,Tre Demps missed Free Throw.
Texas Southern,Northwestern,11,41,18,42,0,Aaron Claiborn Defensive Rebound.
Texas Southern,Northwestern,11,41,18,58,0,Madarious Gibbs missed Layup.
Texas Southern,Northwestern,11,41,18,58,0,Aaron Claiborn Offensive Rebound.
Texas Southern,Northwestern,13,41,19,1,1,Aaron Claiborn made Layup.
Texas Southern,Northwestern,13,41,19,1,0,Foul on Mike Turner
Texas Southern,Northwestern,14,41,19,1,1,Aaron Claiborn made Free Throw.
Texas Southern,Northwestern,14,43,19,26,1,Mike Turner made Jumper.  Assisted by Reggie Hearn.
Texas Southern,Northwestern,14,43,19,53,0,Aaron Claiborn missed Jumper.
Texas Southern,Northwestern,14,43,19,53,0,Mike Turner Block.
Texas Southern,Northwestern,14,43,19,54,0,Reggie Hearn Defensive Rebound.
Texas Southern,Northwestern,14,43,20,0,0,Tre Demps missed Jumper.
Texas Southern,Northwestern,14,43,20,0,0,Madarious Gibbs Defensive Rebound.
Texas Southern,Northwestern,14,43,20,0,0,End of the 1st Half.
Texas Southern,Northwestern,14,43,20,8,0,Omar Strong missed Three Point Jumper.
Texas Southern,Northwestern,14,43,20,8,0,Jared Swopshire Defensive Rebound.
Texas Southern,Northwestern,14,43,20,27,0,Jared Swopshire missed Three Point Jumper.
Texas Southern,Northwestern,14,43,20,27,0,Madarious Gibbs Defensive Rebound.
Texas Southern,Northwestern,14,43,20,38,0,Foul on Aaron Claiborn
Texas Southern,Northwestern,14,43,20,38,0,Aaron Claiborn Turnover.
Texas Southern,Northwestern,14,43,20,46,0,Foul on Drew Crawford
Texas Southern,Northwestern,14,43,20,46,0,Drew Crawford Turnover.
