Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
DePaul,Notre Dame,0,0,0,0,0,Jump Ball won by DePaul.
DePaul,Notre Dame,0,0,0,16,0,Donnavan Kirk missed Three Point Jumper.
DePaul,Notre Dame,0,0,0,16,0,Tom Knight Defensive Rebound.
DePaul,Notre Dame,0,0,0,27,0,Jack Cooley missed Layup.
DePaul,Notre Dame,0,0,0,27,0,Cleveland Melvin Block.
DePaul,Notre Dame,0,0,0,27,0,Jamee Crockett Defensive Rebound.
DePaul,Notre Dame,2,0,0,45,1,Cleveland Melvin made Jumper.
DePaul,Notre Dame,2,2,1,20,1,Tom Knight made Layup.  Assisted by Jerian Grant.
DePaul,Notre Dame,2,2,1,35,0,Charles McKinney missed Layup.
DePaul,Notre Dame,2,2,1,35,0,Tom Knight Block.
DePaul,Notre Dame,2,2,1,35,0,DePaul Offensive Rebound.
DePaul,Notre Dame,2,2,1,40,0,Cleveland Melvin missed Jumper.
DePaul,Notre Dame,2,2,1,40,0,Jack Cooley Defensive Rebound.
DePaul,Notre Dame,2,2,1,40,0,Jack Cooley Turnover.
DePaul,Notre Dame,2,2,1,40,0,Charles McKinney Steal.
DePaul,Notre Dame,4,2,1,51,1,Donnavan Kirk made Jumper.  Assisted by Cleveland Melvin.
DePaul,Notre Dame,4,2,2,11,0,Jerian Grant missed Three Point Jumper.
DePaul,Notre Dame,4,2,2,11,0,Tom Knight Offensive Rebound.
DePaul,Notre Dame,4,2,2,11,0,Foul on Worrel Clahar
DePaul,Notre Dame,4,3,2,11,1,Tom Knight made Free Throw.
DePaul,Notre Dame,4,3,2,11,0,Tom Knight missed Free Throw.
DePaul,Notre Dame,4,3,2,11,0,Worrel Clahar Defensive Rebound.
DePaul,Notre Dame,4,3,2,16,0,Brandon Young missed Jumper.
DePaul,Notre Dame,4,3,2,16,0,Jerian Grant Defensive Rebound.
DePaul,Notre Dame,4,5,2,38,1,Jack Cooley made Layup.  Assisted by Eric Atkins.
DePaul,Notre Dame,7,5,2,58,1,Donnavan Kirk made Three Point Jumper.  Assisted by Charles McKinney.
DePaul,Notre Dame,7,7,3,18,1,Eric Atkins made Jumper.  Assisted by Tom Knight.
DePaul,Notre Dame,10,7,3,28,1,Cleveland Melvin made Three Point Jumper.  Assisted by Brandon Young.
DePaul,Notre Dame,10,10,3,48,1,Eric Atkins made Three Point Jumper.
DePaul,Notre Dame,10,10,4,9,0,Cleveland Melvin missed Jumper.
DePaul,Notre Dame,10,10,4,9,0,Tom Knight Defensive Rebound.
DePaul,Notre Dame,10,10,4,36,0,Pat Connaughton missed Three Point Jumper.
DePaul,Notre Dame,10,10,4,36,0,Tom Knight Offensive Rebound.
DePaul,Notre Dame,10,10,4,43,0,Tom Knight missed Layup.
DePaul,Notre Dame,10,10,4,43,0,Jack Cooley Offensive Rebound.
DePaul,Notre Dame,10,12,4,46,1,Jack Cooley made Layup.  Assisted by Eric Atkins.
DePaul,Notre Dame,10,12,5,17,0,Charles McKinney missed Three Point Jumper.
DePaul,Notre Dame,10,12,5,17,0,Cleveland Melvin Offensive Rebound.
DePaul,Notre Dame,12,12,5,21,1,Cleveland Melvin made Layup.
DePaul,Notre Dame,12,12,5,44,0,Eric Atkins missed Layup.
DePaul,Notre Dame,12,12,5,44,0,Worrel Clahar Block.
DePaul,Notre Dame,12,12,5,44,0,Donnavan Kirk Defensive Rebound.
DePaul,Notre Dame,12,12,5,44,0,Foul on Eric Atkins
DePaul,Notre Dame,12,12,5,44,0,Official TV Timeout.
DePaul,Notre Dame,14,12,6,9,1,Cleveland Melvin made Layup.  Assisted by Jamee Crockett.
DePaul,Notre Dame,14,14,6,24,1,Garrick Sherman made Layup.  Assisted by Eric Atkins.
DePaul,Notre Dame,14,14,6,44,0,Jamee Crockett missed Jumper.
DePaul,Notre Dame,14,14,6,44,0,Zach Auguste Defensive Rebound.
DePaul,Notre Dame,14,14,7,3,0,Garrick Sherman Turnover.
DePaul,Notre Dame,14,14,7,3,0,Cleveland Melvin Steal.
DePaul,Notre Dame,14,14,7,27,0,Cleveland Melvin missed Layup.
DePaul,Notre Dame,14,14,7,27,0,Garrick Sherman Defensive Rebound.
DePaul,Notre Dame,14,16,7,43,1,Zach Auguste made Layup.  Assisted by Eric Atkins.
DePaul,Notre Dame,14,16,7,55,0,Cleveland Melvin missed Jumper.
DePaul,Notre Dame,14,16,7,55,0,Pat Connaughton Defensive Rebound.
DePaul,Notre Dame,14,16,8,3,0,Foul on Durrell McDonald
DePaul,Notre Dame,14,16,8,3,0,Official TV Timeout.
DePaul,Notre Dame,14,16,8,12,0,Eric Atkins Turnover.
DePaul,Notre Dame,14,16,8,35,0,Derrell Robertson Jr. missed Jumper.
DePaul,Notre Dame,14,16,8,35,0,Zach Auguste Defensive Rebound.
DePaul,Notre Dame,14,18,8,44,1,Zach Auguste made Dunk.  Assisted by Eric Atkins.
DePaul,Notre Dame,14,18,9,11,0,Jamee Crockett missed Jumper.
DePaul,Notre Dame,14,18,9,11,0,Zach Auguste Defensive Rebound.
DePaul,Notre Dame,14,18,9,14,0,Zach Auguste Turnover.
DePaul,Notre Dame,14,18,9,14,0,Jamee Crockett Steal.
DePaul,Notre Dame,16,18,9,16,1,Jamee Crockett made Layup.
DePaul,Notre Dame,16,18,9,45,0,Foul on Durrell McDonald
DePaul,Notre Dame,16,20,9,48,1,Cameron Biedscheid made Jumper.  Assisted by Jerian Grant.
DePaul,Notre Dame,16,20,10,4,0,Donnavan Kirk missed Jumper.
DePaul,Notre Dame,16,20,10,4,0,Derrell Robertson Jr. Offensive Rebound.
DePaul,Notre Dame,16,20,10,19,0,Foul on Pat Connaughton
DePaul,Notre Dame,17,20,10,19,1,Brandon Young made Free Throw.
DePaul,Notre Dame,18,20,10,19,1,Brandon Young made Free Throw.
DePaul,Notre Dame,18,20,10,51,0,Foul on Charles McKinney
DePaul,Notre Dame,18,21,10,51,1,Jack Cooley made Free Throw.
DePaul,Notre Dame,18,22,10,51,1,Jack Cooley made Free Throw.
DePaul,Notre Dame,18,22,11,20,0,Donnavan Kirk missed Jumper.
DePaul,Notre Dame,18,22,11,20,0,Cameron Biedscheid Defensive Rebound.
DePaul,Notre Dame,18,22,11,50,0,Tom Knight missed Jumper.
DePaul,Notre Dame,18,22,11,50,0,Jack Cooley Offensive Rebound.
DePaul,Notre Dame,18,22,11,54,0,Jack Cooley missed Jumper.
DePaul,Notre Dame,18,22,11,54,0,Charles McKinney Defensive Rebound.
DePaul,Notre Dame,18,22,12,5,0,Edwind McGhee missed Three Point Jumper.
DePaul,Notre Dame,18,22,12,5,0,Eric Atkins Defensive Rebound.
DePaul,Notre Dame,18,22,12,27,0,Tom Knight missed Jumper.
DePaul,Notre Dame,18,22,12,27,0,Donnavan Kirk Defensive Rebound.
DePaul,Notre Dame,18,22,12,35,0,Brandon Young missed Jumper.
DePaul,Notre Dame,18,22,12,35,0,Peter Ryckbosch Offensive Rebound.
DePaul,Notre Dame,20,22,12,42,1,Peter Ryckbosch made Layup.
DePaul,Notre Dame,20,22,12,55,0,Foul on Peter Ryckbosch
DePaul,Notre Dame,20,22,12,55,0,Official TV Timeout.
DePaul,Notre Dame,20,23,12,55,1,Jerian Grant made Free Throw.
DePaul,Notre Dame,20,24,12,55,1,Jerian Grant made Free Throw.
DePaul,Notre Dame,23,24,13,2,1,Brandon Young made Three Point Jumper.  Assisted by Edwind McGhee.
DePaul,Notre Dame,23,24,13,2,0,Foul on Pat Connaughton
DePaul,Notre Dame,23,24,13,8,0,Pat Connaughton Turnover.
DePaul,Notre Dame,23,24,13,8,0,Brandon Young missed Layup.
DePaul,Notre Dame,23,24,13,8,0,Jack Cooley Block.
DePaul,Notre Dame,23,24,13,8,0,DePaul Offensive Rebound.
DePaul,Notre Dame,23,24,13,8,0,DePaul Turnover.
DePaul,Notre Dame,23,26,13,53,1,Garrick Sherman made Layup.  Assisted by Jerian Grant.
DePaul,Notre Dame,23,26,13,59,0,Worrel Clahar Turnover.
DePaul,Notre Dame,23,26,13,59,0,Garrick Sherman Steal.
DePaul,Notre Dame,23,29,14,5,1,Eric Atkins made Three Point Jumper.  Assisted by Garrick Sherman.
DePaul,Notre Dame,23,29,14,12,0,Peter Ryckbosch Turnover.
DePaul,Notre Dame,23,29,14,12,0,Jerian Grant Steal.
DePaul,Notre Dame,23,29,14,12,0,Foul on Peter Ryckbosch
DePaul,Notre Dame,23,29,14,12,0,Cameron Biedscheid missed Free Throw.
DePaul,Notre Dame,23,29,14,12,0,null
DePaul,Notre Dame,23,30,14,12,1,Cameron Biedscheid made Free Throw.
DePaul,Notre Dame,23,30,14,31,0,Donnavan Kirk missed Jumper.
DePaul,Notre Dame,23,30,14,31,0,Garrick Sherman Defensive Rebound.
DePaul,Notre Dame,23,32,14,38,1,Jerian Grant made Jumper.
DePaul,Notre Dame,23,32,14,42,0,DePaul Full Timeout.
DePaul,Notre Dame,25,32,15,14,1,Brandon Young made Layup.  Assisted by Worrel Clahar.
DePaul,Notre Dame,25,32,15,45,0,Garrick Sherman missed Layup.
DePaul,Notre Dame,25,32,15,45,0,Cleveland Melvin Defensive Rebound.
DePaul,Notre Dame,25,32,15,57,0,Jamee Crockett missed Jumper.
DePaul,Notre Dame,25,32,15,57,0,Garrick Sherman Defensive Rebound.
DePaul,Notre Dame,25,32,16,0,0,Notre Dame Full Timeout.
DePaul,Notre Dame,25,34,16,27,1,Jerian Grant made Layup.
DePaul,Notre Dame,27,34,16,42,1,Donnavan Kirk made Jumper.  Assisted by Charles McKinney.
DePaul,Notre Dame,27,36,17,5,1,Jack Cooley made Jumper.  Assisted by Cameron Biedscheid.
DePaul,Notre Dame,27,36,17,21,0,Cleveland Melvin missed Jumper.
DePaul,Notre Dame,27,36,17,21,0,Jack Cooley Defensive Rebound.
DePaul,Notre Dame,27,36,17,33,0,Tom Knight missed Jumper.
DePaul,Notre Dame,27,36,17,33,0,Jack Cooley Offensive Rebound.
DePaul,Notre Dame,27,36,17,37,0,Jack Cooley missed Layup.
DePaul,Notre Dame,27,36,17,37,0,Donnavan Kirk Block.
DePaul,Notre Dame,27,36,17,37,0,Notre Dame Offensive Rebound.
DePaul,Notre Dame,27,36,17,37,0,Official TV Timeout.
DePaul,Notre Dame,27,36,17,44,0,Jerian Grant missed Three Point Jumper.
DePaul,Notre Dame,27,36,17,44,0,Eric Atkins Offensive Rebound.
DePaul,Notre Dame,27,38,17,51,1,Cameron Biedscheid made Jumper.  Assisted by Eric Atkins.
DePaul,Notre Dame,27,38,18,10,0,Durrell McDonald missed Jumper.
DePaul,Notre Dame,27,38,18,10,0,Jack Cooley Defensive Rebound.
DePaul,Notre Dame,27,38,18,21,0,Cameron Biedscheid missed Jumper.
DePaul,Notre Dame,27,38,18,21,0,Charles McKinney Defensive Rebound.
DePaul,Notre Dame,27,38,18,32,0,Cleveland Melvin missed Jumper.
DePaul,Notre Dame,27,38,18,32,0,Tom Knight Block.
DePaul,Notre Dame,27,38,18,32,0,Brandon Young Offensive Rebound.
DePaul,Notre Dame,27,38,18,32,0,Brandon Young Turnover.
DePaul,Notre Dame,27,38,18,32,0,Cameron Biedscheid Steal.
DePaul,Notre Dame,27,38,18,37,0,Foul on Cleveland Melvin
DePaul,Notre Dame,27,39,18,37,1,Cameron Biedscheid made Free Throw.
DePaul,Notre Dame,27,40,18,37,1,Cameron Biedscheid made Free Throw.
DePaul,Notre Dame,29,40,19,9,1,Donnavan Kirk made Jumper.  Assisted by Brandon Young.
DePaul,Notre Dame,29,43,19,37,1,Jerian Grant made Three Point Jumper.
DePaul,Notre Dame,32,43,19,56,1,Brandon Young made Three Point Jumper.
DePaul,Notre Dame,32,43,20,0,0,End of the 1st Half.
DePaul,Notre Dame,32,43,20,0,0,Jump Ball won by Notre Dame.
DePaul,Notre Dame,32,43,20,15,0,Jerian Grant missed Jumper.
DePaul,Notre Dame,32,43,20,15,0,Brandon Young Defensive Rebound.
DePaul,Notre Dame,32,43,20,19,0,Foul on Pat Connaughton
DePaul,Notre Dame,35,43,20,29,1,Donnavan Kirk made Three Point Jumper.  Assisted by Brandon Young.
DePaul,Notre Dame,35,43,20,56,0,Eric Atkins missed Three Point Jumper.
DePaul,Notre Dame,35,43,20,56,0,Charles McKinney Defensive Rebound.
DePaul,Notre Dame,37,43,21,1,1,Charles McKinney made Layup.
DePaul,Notre Dame,37,43,21,7,0,Foul on Worrel Clahar
DePaul,Notre Dame,37,43,21,7,0,Foul on Worrel Clahar
DePaul,Notre Dame,37,45,21,34,1,Tom Knight made Layup.  Assisted by Jerian Grant.
DePaul,Notre Dame,39,45,21,55,1,Cleveland Melvin made Jumper.
DePaul,Notre Dame,39,45,22,13,0,Foul on Cleveland Melvin
DePaul,Notre Dame,39,45,22,18,0,Eric Atkins missed Layup.
DePaul,Notre Dame,39,45,22,18,0,Jamee Crockett Defensive Rebound.
DePaul,Notre Dame,39,45,22,27,0,Jamee Crockett missed Three Point Jumper.
DePaul,Notre Dame,39,45,22,27,0,Eric Atkins Defensive Rebound.
DePaul,Notre Dame,39,47,22,34,1,Pat Connaughton made Layup.  Assisted by Eric Atkins.
DePaul,Notre Dame,39,47,22,51,0,Brandon Young missed Jumper.
DePaul,Notre Dame,39,47,22,51,0,Jack Cooley Defensive Rebound.
DePaul,Notre Dame,39,49,23,13,1,Jack Cooley made Layup.  Assisted by Eric Atkins.
DePaul,Notre Dame,39,49,23,13,0,Foul on Donnavan Kirk
DePaul,Notre Dame,39,50,23,13,1,Jack Cooley made Free Throw.
DePaul,Notre Dame,39,50,23,33,0,Cleveland Melvin missed Jumper.
DePaul,Notre Dame,39,50,23,33,0,Eric Atkins Defensive Rebound.
DePaul,Notre Dame,39,50,23,41,0,Cameron Biedscheid Turnover.
DePaul,Notre Dame,39,50,23,41,0,Brandon Young Steal.
DePaul,Notre Dame,41,50,23,50,1,Brandon Young made Dunk.
DePaul,Notre Dame,41,50,24,13,0,Foul on Charles McKinney
DePaul,Notre Dame,41,50,24,13,0,Official TV Timeout.
DePaul,Notre Dame,41,50,24,31,0,Garrick Sherman missed Jumper.
DePaul,Notre Dame,41,50,24,31,0,Donnavan Kirk Defensive Rebound.
DePaul,Notre Dame,43,50,24,56,1,Worrel Clahar made Layup.  Assisted by Cleveland Melvin.
DePaul,Notre Dame,43,50,25,15,0,Eric Atkins missed Three Point Jumper.
DePaul,Notre Dame,43,50,25,15,0,Zach Auguste Offensive Rebound.
DePaul,Notre Dame,43,52,25,19,1,Zach Auguste made Layup.
DePaul,Notre Dame,45,52,25,41,1,Donnavan Kirk made Jumper.  Assisted by Charles McKinney.
DePaul,Notre Dame,45,52,25,56,0,Foul on Zach Auguste
DePaul,Notre Dame,45,52,25,56,0,Zach Auguste Turnover.
DePaul,Notre Dame,45,52,26,10,0,Worrel Clahar missed Three Point Jumper.
DePaul,Notre Dame,45,52,26,10,0,Notre Dame Defensive Rebound.
DePaul,Notre Dame,45,52,26,28,0,Pat Connaughton missed Layup.
DePaul,Notre Dame,45,52,26,28,0,Brandon Young Defensive Rebound.
DePaul,Notre Dame,45,52,26,35,0,Cleveland Melvin missed Jumper.
DePaul,Notre Dame,45,52,26,35,0,Pat Connaughton Defensive Rebound.
DePaul,Notre Dame,45,54,26,41,1,Jerian Grant made Layup.  Assisted by Eric Atkins.
DePaul,Notre Dame,45,54,26,45,0,DePaul Full Timeout.
DePaul,Notre Dame,47,54,26,58,1,Brandon Young made Jumper.
DePaul,Notre Dame,47,56,27,16,1,Jack Cooley made Layup.  Assisted by Jerian Grant.
DePaul,Notre Dame,49,56,27,35,1,Cleveland Melvin made Dunk.  Assisted by Brandon Young.
DePaul,Notre Dame,49,56,27,46,0,Foul on Brandon Young
DePaul,Notre Dame,49,56,27,47,0,Foul on Tom Knight
DePaul,Notre Dame,49,56,27,47,0,Tom Knight Turnover.
DePaul,Notre Dame,49,56,28,4,0,Jamee Crockett Turnover.
DePaul,Notre Dame,49,56,28,4,0,Official TV Timeout.
DePaul,Notre Dame,49,56,28,33,0,Eric Atkins Turnover.
DePaul,Notre Dame,49,56,28,49,0,Brandon Young missed Three Point Jumper.
DePaul,Notre Dame,49,56,28,49,0,Eric Atkins Defensive Rebound.
DePaul,Notre Dame,49,56,28,57,0,Pat Connaughton Turnover.
DePaul,Notre Dame,49,56,29,10,0,Donnavan Kirk missed Jumper.
DePaul,Notre Dame,49,56,29,10,0,Jack Cooley Defensive Rebound.
DePaul,Notre Dame,49,56,29,32,0,Tom Knight missed Jumper.
DePaul,Notre Dame,49,56,29,32,0,Worrel Clahar Defensive Rebound.
DePaul,Notre Dame,51,56,29,53,1,Donnavan Kirk made Jumper.
DePaul,Notre Dame,51,56,29,53,0,Foul on Jack Cooley
DePaul,Notre Dame,51,56,29,53,0,Donnavan Kirk missed Free Throw.
DePaul,Notre Dame,51,56,29,53,0,Garrick Sherman Defensive Rebound.
DePaul,Notre Dame,51,56,30,22,0,Foul on Charles McKinney
DePaul,Notre Dame,51,57,30,22,1,Jerian Grant made Free Throw.
DePaul,Notre Dame,51,57,30,22,0,Jerian Grant missed Free Throw.
DePaul,Notre Dame,51,57,30,22,0,Cleveland Melvin Defensive Rebound.
DePaul,Notre Dame,53,57,30,33,1,Brandon Young made Layup.
DePaul,Notre Dame,53,57,30,57,0,Eric Atkins Turnover.
DePaul,Notre Dame,53,57,30,57,0,Jamee Crockett Steal.
DePaul,Notre Dame,55,57,31,8,1,Jamee Crockett made Jumper.  Assisted by Worrel Clahar.
DePaul,Notre Dame,55,57,31,22,0,Notre Dame Full Timeout.
DePaul,Notre Dame,55,57,31,40,0,Jerian Grant missed Layup.
DePaul,Notre Dame,55,57,31,40,0,Donnavan Kirk Block.
DePaul,Notre Dame,55,57,31,40,0,Brandon Young Defensive Rebound.
DePaul,Notre Dame,58,57,31,48,1,Jamee Crockett made Three Point Jumper.  Assisted by Brandon Young.
DePaul,Notre Dame,58,57,32,22,0,Jerian Grant missed Layup.
DePaul,Notre Dame,58,57,32,22,0,Jamee Crockett Block.
DePaul,Notre Dame,58,57,32,22,0,Notre Dame Offensive Rebound.
DePaul,Notre Dame,58,57,32,22,0,Official TV Timeout.
DePaul,Notre Dame,58,57,32,24,0,Foul on Jamee Crockett
DePaul,Notre Dame,58,57,32,24,0,Garrick Sherman missed Free Throw.
DePaul,Notre Dame,58,57,32,24,0,null
DePaul,Notre Dame,58,58,32,24,1,Garrick Sherman made Free Throw.
DePaul,Notre Dame,60,58,32,35,1,Cleveland Melvin made Jumper.  Assisted by Worrel Clahar.
DePaul,Notre Dame,60,60,32,54,1,Garrick Sherman made Layup.  Assisted by Jerian Grant.
DePaul,Notre Dame,63,60,33,13,1,Jamee Crockett made Three Point Jumper.  Assisted by Worrel Clahar.
DePaul,Notre Dame,63,60,33,33,0,Cameron Biedscheid Turnover.
DePaul,Notre Dame,63,60,33,33,0,Brandon Young Steal.
DePaul,Notre Dame,63,60,33,35,0,Foul on Garrick Sherman
DePaul,Notre Dame,63,60,33,49,0,Worrel Clahar missed Layup.
DePaul,Notre Dame,63,60,33,49,0,Jack Cooley Defensive Rebound.
DePaul,Notre Dame,63,60,33,58,0,Foul on Worrel Clahar
DePaul,Notre Dame,63,60,33,58,0,Eric Atkins missed Free Throw.
DePaul,Notre Dame,63,60,33,58,0,Jamee Crockett Defensive Rebound.
DePaul,Notre Dame,63,60,34,14,0,Jamee Crockett missed Three Point Jumper.
DePaul,Notre Dame,63,60,34,14,0,Tom Knight Defensive Rebound.
DePaul,Notre Dame,63,60,34,28,0,Jerian Grant Turnover.
DePaul,Notre Dame,63,60,34,28,0,Notre Dame Full Timeout.
