Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Omaha,Wisconsin,0,0,0,26,0,Ryan Evans missed Jumper.
Omaha,Wisconsin,0,0,0,26,0,CJ Carter Defensive Rebound.
Omaha,Wisconsin,0,0,0,51,0,Alex Phillips Turnover.
Omaha,Wisconsin,0,0,0,53,0,Ben Brust Steal.
Omaha,Wisconsin,0,0,1,24,0,Jared Berggren Turnover.
Omaha,Wisconsin,0,0,1,25,0,John Karhoff Steal.
Omaha,Wisconsin,2,0,1,31,1,Justin Simmons made Layup.
Omaha,Wisconsin,2,0,1,49,0,Traevon Jackson missed Three Point Jumper.
Omaha,Wisconsin,2,0,1,49,0,Ben Brust Offensive Rebound.
Omaha,Wisconsin,2,0,1,52,0,Ben Brust missed Layup.
Omaha,Wisconsin,2,0,1,52,0,Justin Simmons Defensive Rebound.
Omaha,Wisconsin,2,0,2,23,0,Alex Phillips Turnover.
Omaha,Wisconsin,2,2,2,38,1,Ryan Evans made Layup.
Omaha,Wisconsin,2,2,2,51,0,Foul on Mike Bruesewitz
Omaha,Wisconsin,2,2,2,51,0,Alex Phillips missed Free Throw.
Omaha,Wisconsin,2,2,2,51,0,null
Omaha,Wisconsin,3,2,2,51,1,Alex Phillips made Free Throw.
Omaha,Wisconsin,3,2,3,7,0,Mike Bruesewitz missed Three Point Jumper.
Omaha,Wisconsin,3,2,3,7,0,Justin Simmons Defensive Rebound.
Omaha,Wisconsin,5,2,3,15,1,Justin Simmons made Jumper.
Omaha,Wisconsin,5,4,3,41,1,Jared Berggren made Layup.  Assisted by Ryan Evans.
Omaha,Wisconsin,5,4,3,59,0,CJ Carter missed Three Point Jumper.
Omaha,Wisconsin,5,4,3,59,0,Ben Brust Defensive Rebound.
Omaha,Wisconsin,5,6,4,10,1,Jared Berggren made Jumper.  Assisted by Mike Bruesewitz.
Omaha,Wisconsin,5,6,4,22,0,CJ Carter Turnover.
Omaha,Wisconsin,5,6,4,22,0,Official TV Timeout.
Omaha,Wisconsin,5,6,4,45,0,Ben Brust missed Three Point Jumper.
Omaha,Wisconsin,5,6,4,45,0,Alex Welhouse Defensive Rebound.
Omaha,Wisconsin,5,6,4,54,0,Alex Welhouse missed Three Point Jumper.
Omaha,Wisconsin,5,6,4,54,0,Sam Dekker Defensive Rebound.
Omaha,Wisconsin,5,6,5,8,0,Ryan Evans missed Jumper.
Omaha,Wisconsin,5,6,5,8,0,Sam Dekker Offensive Rebound.
Omaha,Wisconsin,5,9,5,15,1,Ben Brust made Three Point Jumper.  Assisted by Jared Berggren.
Omaha,Wisconsin,5,9,5,41,0,Justin Simmons missed Jumper.
Omaha,Wisconsin,5,9,5,41,0,Ryan Evans Defensive Rebound.
Omaha,Wisconsin,5,11,5,50,1,Ryan Evans made Layup.  Assisted by Sam Dekker.
