Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Montana State,Oregon State,0,0,0,16,0,Paul Egwuonwu missed Jumper.
Montana State,Oregon State,0,0,0,16,0,Xavier Blount Offensive Rebound.
Montana State,Oregon State,0,0,0,20,0,Foul on Jarmal Reid
Montana State,Oregon State,3,0,0,33,1,Antonio Biglow made Three Point Jumper.
Montana State,Oregon State,3,0,0,56,0,Roberto Nelson missed Layup.
Montana State,Oregon State,3,0,0,56,0,Marcus Colbert Defensive Rebound.
Montana State,Oregon State,6,0,1,12,1,Marcus Colbert made Three Point Jumper.  Assisted by Flavien Davis.
Montana State,Oregon State,6,0,1,30,0,Foul on Paul Egwuonwu
Montana State,Oregon State,6,0,1,30,0,Joe Burton missed Free Throw.
Montana State,Oregon State,6,0,1,30,0,null
Montana State,Oregon State,6,1,1,30,1,Joe Burton made Free Throw.
Montana State,Oregon State,6,1,1,47,0,Marcus Colbert missed Three Point Jumper.
Montana State,Oregon State,6,1,1,47,0,Oregon State Defensive Rebound.
Montana State,Oregon State,6,1,2,11,0,Ahmad Starks missed Three Point Jumper.
Montana State,Oregon State,6,1,2,11,0,Joe Burton Offensive Rebound.
Montana State,Oregon State,6,3,2,15,1,Joe Burton made Layup.
Montana State,Oregon State,8,3,2,40,1,Flavien Davis made Layup.
Montana State,Oregon State,8,3,2,58,0,Foul on Flavien Davis
Montana State,Oregon State,8,5,3,0,1,Eric Moreland made Layup.  Assisted by Joe Burton.
Montana State,Oregon State,8,5,3,23,0,Paul Egwuonwu missed Layup.
Montana State,Oregon State,8,5,3,23,0,Flavien Davis Offensive Rebound.
Montana State,Oregon State,11,5,3,29,1,Marcus Colbert made Three Point Jumper.  Assisted by Flavien Davis.
Montana State,Oregon State,11,5,3,43,0,Foul on Devon Collier
Montana State,Oregon State,11,5,3,43,0,Devon Collier Turnover.
Montana State,Oregon State,11,5,3,59,0,Flavien Davis missed Jumper.
Montana State,Oregon State,11,5,3,59,0,Ahmad Starks Defensive Rebound.
Montana State,Oregon State,11,7,4,18,1,Joe Burton made Layup.
Montana State,Oregon State,11,7,4,18,0,Foul on Jeff Budinich
Montana State,Oregon State,11,7,4,18,0,Official TV Timeout.
Montana State,Oregon State,11,8,4,18,1,Joe Burton made Free Throw.
Montana State,Oregon State,11,8,4,30,0,Antonio Biglow Turnover.
Montana State,Oregon State,11,8,4,43,0,Roberto Nelson missed Jumper.
Montana State,Oregon State,11,8,4,43,0,Danny Robison Defensive Rebound.
Montana State,Oregon State,13,8,4,51,1,Antonio Biglow made Jumper.
Montana State,Oregon State,13,8,5,14,0,Roberto Nelson missed Three Point Jumper.
Montana State,Oregon State,13,8,5,14,0,Flavien Davis Defensive Rebound.
Montana State,Oregon State,13,8,5,25,0,Flavien Davis missed Three Point Jumper.
Montana State,Oregon State,13,8,5,25,0,Roberto Nelson Defensive Rebound.
Montana State,Oregon State,13,10,5,33,1,Eric Moreland made Jumper.
Montana State,Oregon State,13,10,5,53,0,Xavier Blount missed Jumper.
Montana State,Oregon State,13,10,5,53,0,Eric Moreland Block.
Montana State,Oregon State,13,10,5,55,0,Antonio Biglow Offensive Rebound.
Montana State,Oregon State,16,10,6,1,1,Xavier Blount made Three Point Jumper.  Assisted by Flavien Davis.
Montana State,Oregon State,16,12,6,20,1,Devon Collier made Dunk.  Assisted by Roberto Nelson.
Montana State,Oregon State,16,12,6,42,0,Antonio Biglow missed Three Point Jumper.
Montana State,Oregon State,16,12,6,42,0,Ahmad Starks Defensive Rebound.
Montana State,Oregon State,16,15,6,51,1,Ahmad Starks made Three Point Jumper.  Assisted by Joe Burton.
Montana State,Oregon State,16,15,7,8,0,Antonio Biglow missed Layup.
Montana State,Oregon State,16,15,7,8,0,Eric Moreland Block.
Montana State,Oregon State,16,15,7,11,0,Danny Robison Offensive Rebound.
Montana State,Oregon State,16,15,7,14,0,Antonio Biglow Turnover.
Montana State,Oregon State,16,15,7,16,0,Eric Moreland Steal.
Montana State,Oregon State,16,17,7,18,1,Roberto Nelson made Dunk.  Assisted by Eric Moreland.
Montana State,Oregon State,16,17,7,39,0,Xavier Blount missed Three Point Jumper.
Montana State,Oregon State,16,17,7,39,0,Ahmad Starks Defensive Rebound.
Montana State,Oregon State,16,17,7,47,0,Ahmad Starks missed Jumper.
Montana State,Oregon State,16,17,7,47,0,Joe Burton Offensive Rebound.
Montana State,Oregon State,16,17,7,52,0,Foul on Xavier Blount
Montana State,Oregon State,16,17,7,53,0,Ahmad Starks missed Three Point Jumper.
Montana State,Oregon State,16,17,7,53,0,Ahmad Starks Offensive Rebound.
Montana State,Oregon State,16,17,7,57,0,Ahmad Starks missed Layup.
Montana State,Oregon State,16,17,7,57,0,Joe Burton Offensive Rebound.
Montana State,Oregon State,16,17,8,0,0,Joe Burton missed Tip Shot.
Montana State,Oregon State,16,17,8,0,0,Danny Robison Defensive Rebound.
Montana State,Oregon State,16,17,8,4,0,Danny Robison Turnover.
Montana State,Oregon State,16,17,8,5,0,Joe Burton Steal.
Montana State,Oregon State,16,19,8,7,1,Joe Burton made Layup.
Montana State,Oregon State,18,19,8,24,1,Antonio Biglow made Layup.
Montana State,Oregon State,18,19,8,49,0,Eric Moreland missed Three Point Jumper.
Montana State,Oregon State,18,19,8,49,0,Jamie Stewart Defensive Rebound.
Montana State,Oregon State,18,19,8,57,0,Danny Robison Turnover.
Montana State,Oregon State,18,19,8,57,0,Official TV Timeout.
Montana State,Oregon State,18,19,9,21,0,Ahmad Starks missed Three Point Jumper.
Montana State,Oregon State,18,19,9,21,0,Joe Burton Offensive Rebound.
Montana State,Oregon State,18,21,9,24,1,Joe Burton made Layup.
Montana State,Oregon State,20,21,9,44,1,Calen Coleman made Jumper.
Montana State,Oregon State,20,24,10,2,1,Olaf Schaftenaar made Three Point Jumper.  Assisted by Challe Barton.
Montana State,Oregon State,20,24,10,21,0,Jamie Stewart missed Layup.
Montana State,Oregon State,20,24,10,21,0,Calen Coleman Offensive Rebound.
Montana State,Oregon State,20,24,10,25,0,Foul on Joe Burton
Montana State,Oregon State,21,24,10,25,1,Calen Coleman made Free Throw.
Montana State,Oregon State,22,24,10,25,1,Calen Coleman made Free Throw.
Montana State,Oregon State,22,24,10,34,0,Olaf Schaftenaar missed Three Point Jumper.
Montana State,Oregon State,22,24,10,34,0,Eric Norman Defensive Rebound.
Montana State,Oregon State,22,24,10,50,0,Antonio Biglow missed Jumper.
Montana State,Oregon State,22,24,10,50,0,Montana State Offensive Rebound.
Montana State,Oregon State,22,24,10,50,0,Foul on Challe Barton
Montana State,Oregon State,22,24,11,4,0,Calen Coleman missed Layup.
Montana State,Oregon State,22,24,11,4,0,Montana State Offensive Rebound.
Montana State,Oregon State,22,24,11,9,0,Foul on Roberto Nelson
Montana State,Oregon State,24,24,11,14,1,Flavien Davis made Layup.  Assisted by Antonio Biglow.
Montana State,Oregon State,24,24,11,24,0,Roberto Nelson missed Three Point Jumper.
Montana State,Oregon State,24,24,11,24,0,Olaf Schaftenaar Offensive Rebound.
Montana State,Oregon State,24,24,11,30,0,Foul on Roberto Nelson
Montana State,Oregon State,24,24,11,30,0,Roberto Nelson Turnover.
Montana State,Oregon State,24,24,11,45,0,Jamie Stewart missed Layup.
Montana State,Oregon State,24,24,11,45,0,Olaf Schaftenaar Block.
Montana State,Oregon State,24,24,11,46,0,Oregon State Defensive Rebound.
Montana State,Oregon State,24,24,11,58,0,Olaf Schaftenaar missed Three Point Jumper.
Montana State,Oregon State,24,24,11,58,0,Eric Moreland Offensive Rebound.
Montana State,Oregon State,24,24,12,16,0,Foul on Blake Brumwell
Montana State,Oregon State,24,24,12,16,0,Official TV Timeout.
Montana State,Oregon State,24,25,12,16,1,Eric Moreland made Free Throw.
Montana State,Oregon State,24,25,12,16,0,Eric Moreland missed Free Throw.
Montana State,Oregon State,24,25,12,16,0,Flavien Davis Defensive Rebound.
Montana State,Oregon State,24,25,12,44,0,Marcus Colbert missed Three Point Jumper.
Montana State,Oregon State,24,25,12,44,0,Oregon State Defensive Rebound.
Montana State,Oregon State,24,27,13,2,1,Eric Moreland made Dunk.  Assisted by Olaf Schaftenaar.
Montana State,Oregon State,24,27,13,30,0,Xavier Blount missed Layup.
Montana State,Oregon State,24,27,13,30,0,Olaf Schaftenaar Block.
Montana State,Oregon State,24,27,13,33,0,Eric Moreland Defensive Rebound.
Montana State,Oregon State,24,27,13,50,0,Devon Collier missed Layup.
Montana State,Oregon State,24,27,13,50,0,Devon Collier Offensive Rebound.
Montana State,Oregon State,24,29,13,53,1,Devon Collier made Layup.
Montana State,Oregon State,24,29,13,55,0,Montana State Full Timeout.
Montana State,Oregon State,24,29,13,56,0,Flavien Davis Turnover.
Montana State,Oregon State,24,29,13,57,0,Devon Collier Steal.
Montana State,Oregon State,24,31,14,0,1,Ahmad Starks made Layup.  Assisted by Devon Collier.
Montana State,Oregon State,24,31,14,37,0,Xavier Blount missed Layup.
Montana State,Oregon State,24,31,14,37,0,Oregon State Defensive Rebound.
Montana State,Oregon State,24,34,14,59,1,Olaf Schaftenaar made Three Point Jumper.  Assisted by Ahmad Starks.
Montana State,Oregon State,26,34,15,16,1,Flavien Davis made Layup.
Montana State,Oregon State,26,34,15,27,0,Challe Barton Turnover.
Montana State,Oregon State,26,34,15,43,0,Blake Brumwell missed Layup.
Montana State,Oregon State,26,34,15,43,0,Blake Brumwell Offensive Rebound.
Montana State,Oregon State,28,34,15,47,1,Blake Brumwell made Layup.
Montana State,Oregon State,28,34,16,10,0,Ahmad Starks Turnover.
Montana State,Oregon State,28,34,16,11,0,Marcus Colbert Steal.
Montana State,Oregon State,28,34,16,14,0,Foul on Olaf Schaftenaar
Montana State,Oregon State,28,34,16,14,0,Official TV Timeout.
Montana State,Oregon State,29,34,16,14,1,Antonio Biglow made Free Throw.
