Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Quinnipiac,LIU Brooklyn,3,0,0,29,1,Evan Conti made Three Point Jumper.  Assisted by Dave Johnson.
Quinnipiac,LIU Brooklyn,3,0,0,57,0,C.J. Garner missed Free Throw.
Quinnipiac,LIU Brooklyn,3,0,0,57,0,Kenny Onyechi Offensive Rebound.
Quinnipiac,LIU Brooklyn,3,3,0,58,1,Jason Brickman made Three Point Jumper.
Quinnipiac,LIU Brooklyn,5,3,1,8,1,Ike Azotam made Jumper.
Quinnipiac,LIU Brooklyn,5,3,1,15,0,Jamal Olasewere missed Three Point Jumper.
Quinnipiac,LIU Brooklyn,5,3,1,15,0,Dave Johnson Defensive Rebound.
Quinnipiac,LIU Brooklyn,5,6,1,20,1,C.J. Garner made Three Point Jumper.  Assisted by Jason Brickman.
Quinnipiac,LIU Brooklyn,5,6,1,29,0,Foul on Jamal Olasewere
Quinnipiac,LIU Brooklyn,5,6,1,36,0,Dave Johnson Turnover.
Quinnipiac,LIU Brooklyn,5,6,1,37,0,Jamal Olasewere Steal.
Quinnipiac,LIU Brooklyn,5,6,1,40,0,Evan Conti missed Layup.
Quinnipiac,LIU Brooklyn,5,6,1,40,0,Evan Conti Offensive Rebound.
Quinnipiac,LIU Brooklyn,5,6,1,43,0,Evan Conti missed Layup.
Quinnipiac,LIU Brooklyn,5,6,1,43,0,Jamal Olasewere Defensive Rebound.
Quinnipiac,LIU Brooklyn,5,6,1,43,0,Foul on Jamee Jackson
Quinnipiac,LIU Brooklyn,5,6,1,44,0,Foul on Dave Johnson
Quinnipiac,LIU Brooklyn,5,6,1,44,0,C.J. Garner missed Free Throw.
Quinnipiac,LIU Brooklyn,5,6,1,44,0,null
Quinnipiac,LIU Brooklyn,5,6,1,54,0,Foul on Ousmane Drame
Quinnipiac,LIU Brooklyn,5,7,1,54,1,Jamal Olasewere made Free Throw.
Quinnipiac,LIU Brooklyn,5,8,1,54,1,Jamal Olasewere made Free Throw.
