Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Richmond,Butler,2,0,0,15,1,Cedrick Lindsay made Layup.
Richmond,Butler,2,0,0,37,0,Andrew Smith missed Layup.
Richmond,Butler,2,0,0,37,0,Khyle Marshall Offensive Rebound.
Richmond,Butler,2,0,0,40,0,Khyle Marshall missed Layup.
Richmond,Butler,2,0,0,40,0,Alonzo Nelson-Ododa Defensive Rebound.
Richmond,Butler,2,0,1,10,0,Darien Brothers missed Jumper.
Richmond,Butler,2,0,1,10,0,Andrew Smith Defensive Rebound.
Richmond,Butler,2,3,1,23,1,Kellen Dunham made Three Point Jumper.  Assisted by Alex Barlow.
Richmond,Butler,2,3,2,3,0,Darien Brothers missed Three Point Jumper.
Richmond,Butler,2,3,2,3,0,Alex Barlow Defensive Rebound.
Richmond,Butler,2,5,2,18,1,Roosevelt Jones made Layup.
Richmond,Butler,2,5,2,47,0,Kendall Anthony missed Jumper.
Richmond,Butler,2,5,2,47,0,Khyle Marshall Defensive Rebound.
Richmond,Butler,2,5,3,17,0,Foul on Alonzo Nelson-Ododa
Richmond,Butler,2,5,3,20,0,Khyle Marshall missed Jumper.
Richmond,Butler,2,5,3,20,0,Roosevelt Jones Offensive Rebound.
Richmond,Butler,2,5,3,25,0,Roosevelt Jones missed Layup.
Richmond,Butler,2,5,3,25,0,Alonzo Nelson-Ododa Defensive Rebound.
Richmond,Butler,2,5,3,48,0,Greg Robbins missed Jumper.
Richmond,Butler,2,5,3,48,0,Roosevelt Jones Defensive Rebound.
Richmond,Butler,2,5,3,55,0,Kellen Dunham missed Three Point Jumper.
Richmond,Butler,2,5,3,55,0,Wayne Sparrow Defensive Rebound.
Richmond,Butler,4,5,4,16,1,Wayne Sparrow made Jumper.  Assisted by Greg Robbins.
Richmond,Butler,4,5,4,37,0,Foul on Wayne Sparrow
Richmond,Butler,4,5,4,37,0,Official TV Timeout.
Richmond,Butler,4,5,4,37,0,Khyle Marshall missed Free Throw.
Richmond,Butler,4,5,4,37,0,null
Richmond,Butler,4,6,4,37,1,Khyle Marshall made Free Throw.
Richmond,Butler,4,6,4,50,0,Foul on Jackson Aldridge
Richmond,Butler,4,6,4,53,0,Foul on Andrew Smith
Richmond,Butler,5,6,4,53,1,Darien Brothers made Free Throw.
Richmond,Butler,6,6,4,53,1,Darien Brothers made Free Throw.
Richmond,Butler,6,8,5,15,1,Roosevelt Jones made Jumper.
Richmond,Butler,8,8,5,34,1,Wayne Sparrow made Jumper.
Richmond,Butler,8,10,6,11,1,Roosevelt Jones made Jumper.
Richmond,Butler,8,10,6,11,0,Foul on Wayne Sparrow
Richmond,Butler,8,11,6,11,1,Roosevelt Jones made Free Throw.
Richmond,Butler,8,11,6,25,0,Darien Brothers missed Three Point Jumper.
Richmond,Butler,8,11,6,25,0,Chase Stigall Defensive Rebound.
Richmond,Butler,8,11,6,38,0,Foul on Jackson Aldridge
Richmond,Butler,8,11,6,38,0,Jackson Aldridge Turnover.
Richmond,Butler,8,11,6,50,0,Wayne Sparrow missed Three Point Jumper.
Richmond,Butler,8,11,6,50,0,Kameron Woods Defensive Rebound.
Richmond,Butler,8,14,6,59,1,Erik Fromm made Three Point Jumper.  Assisted by Roosevelt Jones.
Richmond,Butler,8,14,7,29,0,Cedrick Lindsay missed Jumper.
Richmond,Butler,8,14,7,29,0,Erik Fromm Defensive Rebound.
Richmond,Butler,8,14,7,53,0,Roosevelt Jones missed Jumper.
Richmond,Butler,8,14,7,53,0,Roosevelt Jones Offensive Rebound.
Richmond,Butler,8,14,7,58,0,Roosevelt Jones Turnover.
Richmond,Butler,8,14,8,0,0,Darien Brothers Steal.
Richmond,Butler,8,14,8,2,0,Darien Brothers Turnover.
Richmond,Butler,8,14,8,3,0,Kameron Woods Steal.
Richmond,Butler,8,14,8,8,0,Foul on Deion Taylor
Richmond,Butler,8,14,8,8,0,Official TV Timeout.
Richmond,Butler,8,14,8,12,0,Khyle Marshall missed Layup.
Richmond,Butler,8,14,8,12,0,Cedrick Lindsay Defensive Rebound.
Richmond,Butler,8,14,8,20,0,Kendall Anthony missed Jumper.
Richmond,Butler,8,14,8,20,0,Erik Fromm Defensive Rebound.
Richmond,Butler,8,14,8,29,0,Foul on Khyle Marshall
Richmond,Butler,8,14,8,29,0,Khyle Marshall Turnover.
Richmond,Butler,8,14,8,50,0,Deion Taylor missed Three Point Jumper.
Richmond,Butler,8,14,8,50,0,Chase Stigall Defensive Rebound.
Richmond,Butler,8,14,9,12,0,Chase Stigall Turnover.
Richmond,Butler,8,14,9,13,0,Cedrick Lindsay Steal.
Richmond,Butler,8,14,9,17,0,Kendall Anthony missed Three Point Jumper.
Richmond,Butler,8,14,9,17,0,Chase Stigall Defensive Rebound.
Richmond,Butler,8,14,9,40,0,Khyle Marshall missed Jumper.
Richmond,Butler,8,14,9,40,0,Alonzo Nelson-Ododa Defensive Rebound.
Richmond,Butler,8,14,10,0,0,Alonzo Nelson-Ododa missed Layup.
Richmond,Butler,8,14,10,0,0,Khyle Marshall Defensive Rebound.
Richmond,Butler,8,14,10,8,0,Andrew Smeathers missed Three Point Jumper.
Richmond,Butler,8,14,10,8,0,null
Richmond,Butler,8,14,10,10,0,Foul on Khyle Marshall
Richmond,Butler,8,14,10,35,0,Kendall Anthony missed Jumper.
Richmond,Butler,8,14,10,35,0,Roosevelt Jones Defensive Rebound.
Richmond,Butler,8,14,11,0,0,Foul on Kendall Anthony
Richmond,Butler,8,14,11,0,0,Andrew Smith missed Free Throw.
Richmond,Butler,8,14,11,0,0,null
Richmond,Butler,8,15,11,0,1,Andrew Smith made Free Throw.
