Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
SIU-Edwardsville,Austin Peay,0,0,0,8,0,Reggie Reed Turnover.
SIU-Edwardsville,Austin Peay,0,0,0,8,0,Jeremy Purvis Steal.
SIU-Edwardsville,Austin Peay,0,0,0,8,0,Foul on Reggie Reed
SIU-Edwardsville,Austin Peay,0,0,0,16,0,Jeremy Purvis Turnover.
SIU-Edwardsville,Austin Peay,0,0,0,30,0,Jerome Jones missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,0,0,0,30,0,Jeremy Purvis Defensive Rebound.
SIU-Edwardsville,Austin Peay,0,0,0,48,0,Anthony Campbell missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,0,0,0,48,0,Chris Horton Offensive Rebound.
SIU-Edwardsville,Austin Peay,0,2,0,58,1,Will Triggs made Layup.  Assisted by Chris Horton.
SIU-Edwardsville,Austin Peay,2,2,1,21,1,Jerome Jones made Layup.
SIU-Edwardsville,Austin Peay,2,2,1,38,0,Foul on Derian Shaffer
SIU-Edwardsville,Austin Peay,2,2,1,38,0,Chris Horton missed Free Throw.
SIU-Edwardsville,Austin Peay,2,2,1,38,0,null
SIU-Edwardsville,Austin Peay,2,3,1,38,1,Chris Horton made Free Throw.
SIU-Edwardsville,Austin Peay,4,3,2,13,1,Jerome Jones made Jumper.
SIU-Edwardsville,Austin Peay,4,3,2,47,0,Anthony Campbell Turnover.
SIU-Edwardsville,Austin Peay,4,3,2,48,0,Michael Messer Steal.
SIU-Edwardsville,Austin Peay,6,3,2,53,1,Derian Shaffer made Jumper.
SIU-Edwardsville,Austin Peay,6,3,3,14,0,Will Triggs missed Layup.
SIU-Edwardsville,Austin Peay,6,3,3,14,0,Derian Shaffer Block.
SIU-Edwardsville,Austin Peay,6,3,3,18,0,Kris Davis Defensive Rebound.
SIU-Edwardsville,Austin Peay,6,3,3,21,0,Derian Shaffer missed Layup.
SIU-Edwardsville,Austin Peay,6,3,3,21,0,Chris Horton Block.
SIU-Edwardsville,Austin Peay,6,3,3,21,0,SIU-Edwardsville Offensive Rebou.
SIU-Edwardsville,Austin Peay,9,3,3,29,1,Kris Davis made Three Point Jumper.  Assisted by Mark Yelovich.
SIU-Edwardsville,Austin Peay,9,3,3,33,0,Austin Peay Full Timeout.
SIU-Edwardsville,Austin Peay,9,3,3,48,0,Foul on Mark Yelovich
SIU-Edwardsville,Austin Peay,9,3,3,49,0,Travis Betran missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,9,3,3,49,0,Anthony Campbell Offensive Rebound.
SIU-Edwardsville,Austin Peay,9,5,4,1,1,Travis Betran made Jumper.
SIU-Edwardsville,Austin Peay,9,5,4,10,0,Kris Davis missed Layup.
SIU-Edwardsville,Austin Peay,9,5,4,10,0,Chris Horton Block.
SIU-Edwardsville,Austin Peay,9,5,4,11,0,Chris Horton Defensive Rebound.
SIU-Edwardsville,Austin Peay,9,5,4,20,0,Travis Betran missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,9,5,4,20,0,Michael Messer Defensive Rebound.
SIU-Edwardsville,Austin Peay,9,5,4,32,0,Foul on Chris Horton
SIU-Edwardsville,Austin Peay,9,5,4,32,0,Official TV Timeout.
SIU-Edwardsville,Austin Peay,9,5,4,36,0,Michael Messer missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,9,5,4,36,0,Ray Lester Offensive Rebound.
SIU-Edwardsville,Austin Peay,9,5,4,41,0,Ray Lester missed Layup.
SIU-Edwardsville,Austin Peay,9,5,4,41,0,Chris Horton Block.
SIU-Edwardsville,Austin Peay,9,5,4,42,0,SIU-Edwardsville Offensive Rebou.
SIU-Edwardsville,Austin Peay,9,5,4,46,0,Ray Lester Turnover.
SIU-Edwardsville,Austin Peay,9,7,5,10,1,Chris Horton made Layup.  Assisted by Travis Betran.
SIU-Edwardsville,Austin Peay,9,7,5,40,0,Foul on Will Triggs
SIU-Edwardsville,Austin Peay,12,7,5,50,1,Jerome Jones made Three Point Jumper.  Assisted by Reggie Reed.
SIU-Edwardsville,Austin Peay,12,7,6,14,0,Travis Betran missed Jumper.
SIU-Edwardsville,Austin Peay,12,7,6,14,0,Mark Yelovich Defensive Rebound.
SIU-Edwardsville,Austin Peay,14,7,6,40,1,Kris Davis made Jumper.
SIU-Edwardsville,Austin Peay,14,7,7,4,0,AJ Lynch missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,14,7,7,4,0,Mark Yelovich Defensive Rebound.
SIU-Edwardsville,Austin Peay,14,7,7,13,0,Kris Davis missed Layup.
SIU-Edwardsville,Austin Peay,14,7,7,13,0,Chris Horton Block.
SIU-Edwardsville,Austin Peay,14,7,7,15,0,Travis Betran Defensive Rebound.
SIU-Edwardsville,Austin Peay,14,7,7,28,0,Chris Horton missed Layup.
SIU-Edwardsville,Austin Peay,14,7,7,28,0,Mark Yelovich Defensive Rebound.
SIU-Edwardsville,Austin Peay,14,7,7,53,0,Derian Shaffer missed Jumper.
SIU-Edwardsville,Austin Peay,14,7,7,53,0,Will Triggs Defensive Rebound.
SIU-Edwardsville,Austin Peay,14,7,8,9,0,Foul on Derian Shaffer
SIU-Edwardsville,Austin Peay,14,7,8,9,0,Official TV Timeout.
SIU-Edwardsville,Austin Peay,14,10,8,28,1,Travis Betran made Three Point Jumper.  Assisted by Jeremy Purvis.
SIU-Edwardsville,Austin Peay,14,10,8,44,0,Jerome Jones missed Layup.
SIU-Edwardsville,Austin Peay,14,10,8,44,0,Travis Betran Defensive Rebound.
SIU-Edwardsville,Austin Peay,14,10,8,55,0,Anthony Campbell Turnover.
SIU-Edwardsville,Austin Peay,14,10,8,55,0,Foul on Anthony Campbell
SIU-Edwardsville,Austin Peay,14,10,9,17,0,Kris Davis missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,14,10,9,17,0,Matt Hasse Defensive Rebound.
SIU-Edwardsville,Austin Peay,14,10,9,46,0,Jeremy Purvis missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,14,10,9,46,0,SIU-Edwardsville Defensive Rebou.
SIU-Edwardsville,Austin Peay,14,10,10,11,0,Jerome Jones missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,14,10,10,11,0,Ray Lester Offensive Rebound.
SIU-Edwardsville,Austin Peay,16,10,10,18,1,Tim Johnson made Jumper.
SIU-Edwardsville,Austin Peay,16,12,10,42,1,Chris Freeman made Layup.
SIU-Edwardsville,Austin Peay,19,12,10,57,1,Kris Davis made Three Point Jumper.  Assisted by Tim Johnson.
SIU-Edwardsville,Austin Peay,19,12,11,20,0,Jeremy Purvis missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,19,12,11,20,0,Cory Arentsen Offensive Rebound.
SIU-Edwardsville,Austin Peay,19,12,11,22,0,Foul on Kris Davis
SIU-Edwardsville,Austin Peay,19,12,11,45,0,Foul on Michael Messer
SIU-Edwardsville,Austin Peay,19,12,12,2,0,Jeremy Purvis missed Jumper.
SIU-Edwardsville,Austin Peay,19,12,12,2,0,Jeremy Purvis Offensive Rebound.
SIU-Edwardsville,Austin Peay,19,12,12,4,0,Foul on Mark Yelovich
SIU-Edwardsville,Austin Peay,19,12,12,4,0,Official TV Timeout.
SIU-Edwardsville,Austin Peay,19,13,12,4,1,Jeremy Purvis made Free Throw.
SIU-Edwardsville,Austin Peay,19,14,12,4,1,Jeremy Purvis made Free Throw.
SIU-Edwardsville,Austin Peay,19,14,12,15,0,Michael Messer missed Layup.
SIU-Edwardsville,Austin Peay,19,14,12,15,0,Chris Horton Block.
SIU-Edwardsville,Austin Peay,19,14,12,16,0,Jerome Jones Offensive Rebound.
SIU-Edwardsville,Austin Peay,21,14,12,20,1,Jerome Jones made Jumper.
SIU-Edwardsville,Austin Peay,21,14,12,28,0,Jeremy Purvis Turnover.
SIU-Edwardsville,Austin Peay,21,14,12,29,0,Jerome Jones Steal.
SIU-Edwardsville,Austin Peay,23,14,12,32,1,Jerome Jones made Jumper.
SIU-Edwardsville,Austin Peay,23,14,12,36,0,Austin Peay Full Timeout.
SIU-Edwardsville,Austin Peay,23,14,12,53,0,Foul on Ray Lester
SIU-Edwardsville,Austin Peay,23,14,12,53,0,Herdie Lawrence missed Free Throw.
SIU-Edwardsville,Austin Peay,23,14,12,53,0,null
SIU-Edwardsville,Austin Peay,23,14,12,53,0,Herdie Lawrence missed Free Throw.
SIU-Edwardsville,Austin Peay,23,14,12,53,0,Michael Messer Defensive Rebound.
SIU-Edwardsville,Austin Peay,23,14,13,9,0,Kris Davis Turnover.
SIU-Edwardsville,Austin Peay,23,14,13,10,0,Herdie Lawrence Steal.
SIU-Edwardsville,Austin Peay,23,16,13,12,1,Herdie Lawrence made Layup.
SIU-Edwardsville,Austin Peay,23,16,13,12,0,Foul on Tim Johnson
SIU-Edwardsville,Austin Peay,23,16,13,12,0,Herdie Lawrence missed Free Throw.
SIU-Edwardsville,Austin Peay,23,16,13,12,0,Michael Messer Defensive Rebound.
SIU-Edwardsville,Austin Peay,23,16,13,25,0,Michael Messer missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,23,16,13,25,0,Chris Horton Defensive Rebound.
SIU-Edwardsville,Austin Peay,23,16,13,38,0,Chris Horton Turnover.
SIU-Edwardsville,Austin Peay,23,16,13,39,0,Jerome Jones Steal.
SIU-Edwardsville,Austin Peay,23,16,13,48,0,Kris Davis Turnover.
SIU-Edwardsville,Austin Peay,23,16,13,49,0,Travis Betran Steal.
SIU-Edwardsville,Austin Peay,23,16,13,56,0,Travis Betran missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,23,16,13,56,0,Will Triggs Offensive Rebound.
SIU-Edwardsville,Austin Peay,23,18,14,7,1,Travis Betran made Jumper.
SIU-Edwardsville,Austin Peay,23,18,14,27,0,Jerome Jones missed Jumper.
SIU-Edwardsville,Austin Peay,23,18,14,27,0,Jeremy Purvis Defensive Rebound.
SIU-Edwardsville,Austin Peay,23,18,14,40,0,Herdie Lawrence missed Three Point Jumper.
SIU-Edwardsville,Austin Peay,23,18,14,40,0,Ray Lester Defensive Rebound.
SIU-Edwardsville,Austin Peay,23,18,15,2,0,Ray Lester missed Jumper.
SIU-Edwardsville,Austin Peay,23,18,15,2,0,Herdie Lawrence Defensive Rebound.
SIU-Edwardsville,Austin Peay,23,18,15,5,0,Foul on Michael Messer
