Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Southern Illinois,Saint Louis,0,0,0,21,0,Dwayne Evans missed Layup.
Southern Illinois,Saint Louis,0,0,0,21,0,Cory Remekun Offensive Rebound.
Southern Illinois,Saint Louis,0,2,0,24,1,Cory Remekun made Layup.
Southern Illinois,Saint Louis,0,2,0,42,0,Desmar Jackson missed Three Point Jumper.
Southern Illinois,Saint Louis,0,2,0,42,0,Cory Remekun Defensive Rebound.
Southern Illinois,Saint Louis,0,2,1,3,0,Mike McCall Jr. missed Three Point Jumper.
Southern Illinois,Saint Louis,0,2,1,3,0,Southern Illinois Defensive Rebo.
Southern Illinois,Saint Louis,0,2,1,22,0,Desmar Jackson missed Jumper.
Southern Illinois,Saint Louis,0,2,1,22,0,Mike McCall Jr. Defensive Rebound.
Southern Illinois,Saint Louis,0,4,1,41,1,Jake Barnett made Layup.
Southern Illinois,Saint Louis,0,4,2,19,0,Dantiel Daniels missed Layup.
Southern Illinois,Saint Louis,0,4,2,19,0,Saint Louis Defensive Rebound.
Southern Illinois,Saint Louis,0,6,2,41,1,Dwayne Evans made Layup.  Assisted by Cory Remekun.
Southern Illinois,Saint Louis,2,6,2,56,1,Jr Beane made Jumper.
Southern Illinois,Saint Louis,2,6,3,32,0,Foul on Desmar Jackson
Southern Illinois,Saint Louis,2,7,3,32,1,Dwayne Evans made Free Throw.
Southern Illinois,Saint Louis,2,7,3,32,0,Dwayne Evans missed Free Throw.
Southern Illinois,Saint Louis,2,7,3,32,0,Jeff Early Defensive Rebound.
Southern Illinois,Saint Louis,2,7,3,49,0,Jeff Early missed Jumper.
Southern Illinois,Saint Louis,2,7,3,49,0,Desmar Jackson Offensive Rebound.
Southern Illinois,Saint Louis,2,7,4,0,0,Desmar Jackson missed Jumper.
Southern Illinois,Saint Louis,2,7,4,0,0,Cody Ellis Block.
Southern Illinois,Saint Louis,2,7,4,2,0,Jr Beane Offensive Rebound.
Southern Illinois,Saint Louis,2,7,4,4,0,Jr Beane missed Jumper.
Southern Illinois,Saint Louis,2,7,4,4,0,Southern Illinois Offensive Rebo.
Southern Illinois,Saint Louis,2,7,4,4,0,Foul on Dwayne Evans
Southern Illinois,Saint Louis,2,7,4,4,0,Official TV Timeout.
Southern Illinois,Saint Louis,2,7,4,18,0,Dantiel Daniels missed Jumper.
Southern Illinois,Saint Louis,2,7,4,18,0,Jeff Early Offensive Rebound.
Southern Illinois,Saint Louis,2,7,4,19,0,Foul on Cody Ellis
Southern Illinois,Saint Louis,2,7,4,39,0,Jeff Early missed Jumper.
Southern Illinois,Saint Louis,2,7,4,39,0,Dwayne Evans Defensive Rebound.
Southern Illinois,Saint Louis,2,7,4,47,0,Foul on Dwayne Evans
Southern Illinois,Saint Louis,2,7,4,47,0,Dwayne Evans Turnover.
Southern Illinois,Saint Louis,2,7,5,3,0,Kendal Brown-Surles missed Jumper.
Southern Illinois,Saint Louis,2,7,5,3,0,Jordair Jett Defensive Rebound.
Southern Illinois,Saint Louis,2,10,5,11,1,Cody Ellis made Three Point Jumper.  Assisted by Mike McCall Jr..
Southern Illinois,Saint Louis,2,10,5,16,0,Southern Illinois Full Timeout.
Southern Illinois,Saint Louis,2,10,5,33,0,Jr Beane missed Jumper.
Southern Illinois,Saint Louis,2,10,5,33,0,Jeff Early Offensive Rebound.
Southern Illinois,Saint Louis,4,10,5,37,1,Jeff Early made Layup.
Southern Illinois,Saint Louis,4,13,5,56,1,Cody Ellis made Three Point Jumper.  Assisted by John Manning.
Southern Illinois,Saint Louis,4,13,6,14,0,Jr Beane missed Jumper.
Southern Illinois,Saint Louis,4,13,6,14,0,Desmar Jackson Offensive Rebound.
Southern Illinois,Saint Louis,4,13,6,17,0,Desmar Jackson missed Layup.
Southern Illinois,Saint Louis,4,13,6,17,0,Dantiel Daniels Offensive Rebound.
Southern Illinois,Saint Louis,4,13,6,20,0,Dantiel Daniels missed Tip Shot.
Southern Illinois,Saint Louis,4,13,6,20,0,Desmar Jackson Offensive Rebound.
Southern Illinois,Saint Louis,4,13,6,23,0,Desmar Jackson missed Layup.
Southern Illinois,Saint Louis,4,13,6,23,0,Jake Barnett Defensive Rebound.
Southern Illinois,Saint Louis,4,15,6,42,1,Mike McCall Jr. made Jumper.
Southern Illinois,Saint Louis,4,15,7,2,0,Desmar Jackson missed Jumper.
Southern Illinois,Saint Louis,4,15,7,2,0,Saint Louis Defensive Rebound.
Southern Illinois,Saint Louis,4,15,7,4,0,Foul on Jeff Early
Southern Illinois,Saint Louis,4,15,7,28,0,Jake Barnett missed Three Point Jumper.
Southern Illinois,Saint Louis,4,15,7,28,0,T.J. Lindsay Defensive Rebound.
Southern Illinois,Saint Louis,6,15,7,37,1,Jeff Early made Layup.  Assisted by Kendal Brown-Surles.
Southern Illinois,Saint Louis,6,15,7,53,0,Rob Loe Turnover.
Southern Illinois,Saint Louis,6,15,7,55,0,T.J. Lindsay Steal.
Southern Illinois,Saint Louis,6,15,7,59,0,Foul on Davante Drinkard
Southern Illinois,Saint Louis,6,15,7,59,0,Davante Drinkard Turnover.
Southern Illinois,Saint Louis,6,15,8,17,0,Official TV Timeout.
Southern Illinois,Saint Louis,6,15,8,31,0,Jordair Jett missed Three Point Jumper.
Southern Illinois,Saint Louis,6,15,8,31,0,Southern Illinois Defensive Rebo.
Southern Illinois,Saint Louis,6,15,8,58,0,T.J. Lindsay Turnover.
Southern Illinois,Saint Louis,6,15,9,25,0,Jordair Jett Turnover.
Southern Illinois,Saint Louis,6,15,9,26,0,Jalen Pendleton Steal.
Southern Illinois,Saint Louis,8,15,9,47,1,Jeff Early made Jumper.  Assisted by Desmar Jackson.
Southern Illinois,Saint Louis,8,15,10,22,0,Cory Remekun missed Jumper.
Southern Illinois,Saint Louis,8,15,10,22,0,Jeff Early Defensive Rebound.
Southern Illinois,Saint Louis,8,15,10,42,0,Desmar Jackson Turnover.
Southern Illinois,Saint Louis,8,15,11,6,0,Mike McCall Jr. Turnover.
Southern Illinois,Saint Louis,8,15,11,7,0,Jeff Early Steal.
Southern Illinois,Saint Louis,8,15,11,10,0,Jalen Pendleton missed Layup.
Southern Illinois,Saint Louis,8,15,11,10,0,Cory Remekun Defensive Rebound.
Southern Illinois,Saint Louis,8,15,11,23,0,Mike McCall Jr. missed Jumper.
Southern Illinois,Saint Louis,8,15,11,23,0,Davante Drinkard Defensive Rebound.
Southern Illinois,Saint Louis,8,15,11,51,0,Davante Drinkard Turnover.
Southern Illinois,Saint Louis,8,15,11,52,0,Mike McCall Jr. Steal.
Southern Illinois,Saint Louis,8,17,11,55,1,Mike McCall Jr. made Layup.
Southern Illinois,Saint Louis,8,17,11,55,0,Foul on Jalen Pendleton
Southern Illinois,Saint Louis,8,17,11,55,0,Mike McCall Jr. missed Free Throw.
Southern Illinois,Saint Louis,8,17,11,55,0,Dantiel Daniels Defensive Rebound.
Southern Illinois,Saint Louis,8,17,12,3,0,Jr Beane missed Three Point Jumper.
Southern Illinois,Saint Louis,8,17,12,3,0,Jeff Early Offensive Rebound.
Southern Illinois,Saint Louis,8,17,12,9,0,Jeff Early missed Tip Shot.
Southern Illinois,Saint Louis,8,17,12,9,0,Cory Remekun Defensive Rebound.
Southern Illinois,Saint Louis,8,17,12,9,0,Cory Remekun Turnover.
Southern Illinois,Saint Louis,8,17,12,9,0,Official TV Timeout.
Southern Illinois,Saint Louis,8,17,12,16,0,Kendal Brown-Surles missed Jumper.
Southern Illinois,Saint Louis,8,17,12,16,0,Rob Loe Defensive Rebound.
Southern Illinois,Saint Louis,8,19,12,32,1,Cory Remekun made Layup.  Assisted by Mike McCall Jr..
Southern Illinois,Saint Louis,10,19,13,6,1,Jeff Early made Jumper.  Assisted by Kendal Brown-Surles.
Southern Illinois,Saint Louis,10,19,13,36,0,Jake Barnett missed Jumper.
Southern Illinois,Saint Louis,10,19,13,36,0,Kendal Brown-Surles Defensive Rebound.
Southern Illinois,Saint Louis,13,19,13,58,1,Jeff Early made Three Point Jumper.  Assisted by Jr Beane.
Southern Illinois,Saint Louis,13,19,14,22,0,Cody Ellis missed Three Point Jumper.
Southern Illinois,Saint Louis,13,19,14,22,0,Desmar Jackson Defensive Rebound.
Southern Illinois,Saint Louis,15,19,14,31,1,Desmar Jackson made Layup.
Southern Illinois,Saint Louis,15,19,14,31,0,Foul on Rob Loe
Southern Illinois,Saint Louis,15,19,14,31,0,Desmar Jackson missed Free Throw.
Southern Illinois,Saint Louis,15,19,14,31,0,Jake Barnett Defensive Rebound.
Southern Illinois,Saint Louis,15,22,14,59,1,Mike McCall Jr. made Three Point Jumper.  Assisted by Jake Barnett.
Southern Illinois,Saint Louis,15,22,15,24,0,Southern Illinois Full Timeout.
Southern Illinois,Saint Louis,15,22,15,30,0,Jeff Early missed Jumper.
Southern Illinois,Saint Louis,15,22,15,30,0,Kendal Brown-Surles Offensive Rebound.
Southern Illinois,Saint Louis,15,22,15,36,0,Jeff Early Turnover.
Southern Illinois,Saint Louis,15,22,15,37,0,Mike McCall Jr. Steal.
Southern Illinois,Saint Louis,15,22,15,53,0,Foul on Davante Drinkard
Southern Illinois,Saint Louis,15,22,16,3,0,Jordair Jett missed Three Point Jumper.
Southern Illinois,Saint Louis,15,22,16,3,0,Jeff Early Defensive Rebound.
Southern Illinois,Saint Louis,15,22,16,20,0,Foul on Dantiel Daniels
Southern Illinois,Saint Louis,15,22,16,20,0,Dantiel Daniels Turnover.
Southern Illinois,Saint Louis,15,22,16,20,0,Official TV Timeout.
Southern Illinois,Saint Louis,15,22,16,42,0,Jordair Jett missed Three Point Jumper.
Southern Illinois,Saint Louis,15,22,16,42,0,Kendal Brown-Surles Defensive Rebound.
Southern Illinois,Saint Louis,15,22,17,1,0,Jeff Early missed Jumper.
Southern Illinois,Saint Louis,15,22,17,1,0,Cory Remekun Defensive Rebound.
Southern Illinois,Saint Louis,15,25,17,13,1,Cody Ellis made Three Point Jumper.  Assisted by Jake Barnett.
Southern Illinois,Saint Louis,15,25,17,33,0,Foul on Dantiel Daniels
Southern Illinois,Saint Louis,15,25,17,33,0,Dantiel Daniels Turnover.
Southern Illinois,Saint Louis,15,25,18,3,0,Cody Ellis missed Three Point Jumper.
Southern Illinois,Saint Louis,15,25,18,3,0,Davante Drinkard Defensive Rebound.
Southern Illinois,Saint Louis,15,25,18,19,0,Jr Beane missed Jumper.
Southern Illinois,Saint Louis,15,25,18,19,0,Davante Drinkard Offensive Rebound.
Southern Illinois,Saint Louis,17,25,18,24,1,Davante Drinkard made Tip Shot.
Southern Illinois,Saint Louis,17,25,18,35,0,Foul on Cody Ellis
Southern Illinois,Saint Louis,17,25,18,35,0,Cody Ellis Turnover.
Southern Illinois,Saint Louis,17,25,18,58,0,Davante Drinkard missed Jumper.
Southern Illinois,Saint Louis,17,25,18,58,0,Jordair Jett Defensive Rebound.
Southern Illinois,Saint Louis,17,25,19,19,0,Jake Barnett missed Three Point Jumper.
Southern Illinois,Saint Louis,17,25,19,19,0,Desmar Jackson Defensive Rebound.
Southern Illinois,Saint Louis,17,25,19,27,0,Desmar Jackson missed Jumper.
Southern Illinois,Saint Louis,17,25,19,27,0,Rob Loe Defensive Rebound.
Southern Illinois,Saint Louis,17,25,19,32,0,Saint Louis Full Timeout.
Southern Illinois,Saint Louis,17,28,19,51,1,Jake Barnett made Three Point Jumper.  Assisted by Rob Loe.
