Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
San Diego,Saint Mary's,0,0,0,12,0,Christopher Anderson Turnover.
San Diego,Saint Mary's,0,0,0,14,0,Mitchell Young Steal.
San Diego,Saint Mary's,0,0,0,29,0,Brad Waldow missed Layup.
San Diego,Saint Mary's,0,0,0,29,0,Johnny Dee Defensive Rebound.
San Diego,Saint Mary's,0,0,0,52,0,Simi Fajemisin Turnover.
San Diego,Saint Mary's,0,0,1,6,0,Stephen Holt Turnover.
San Diego,Saint Mary's,0,0,1,7,0,Chris Manresa Steal.
San Diego,Saint Mary's,0,0,1,41,0,Simi Fajemisin missed Layup.
San Diego,Saint Mary's,0,0,1,41,0,Brad Waldow Block.
San Diego,Saint Mary's,0,0,1,43,0,Matthew Dellavedova Defensive Rebound.
San Diego,Saint Mary's,0,2,1,51,1,Brad Waldow made Layup.  Assisted by Matthew Dellavedova.
San Diego,Saint Mary's,0,2,2,8,0,Foul on Mitchell Young
San Diego,Saint Mary's,0,2,2,8,0,Chris Manresa Turnover.
San Diego,Saint Mary's,0,2,2,8,0,Stephen Holt Steal.
San Diego,Saint Mary's,0,2,2,8,0,Jorden Page missed Three Point Jumper.
San Diego,Saint Mary's,0,2,2,8,0,Mitchell Young Offensive Rebound.
San Diego,Saint Mary's,0,2,2,10,0,Foul on Simi Fajemisin
San Diego,Saint Mary's,0,2,2,23,0,Mitchell Young missed Layup.
San Diego,Saint Mary's,0,2,2,23,0,Chris Manresa Defensive Rebound.
San Diego,Saint Mary's,0,2,2,38,0,Chris Manresa missed Layup.
San Diego,Saint Mary's,0,2,2,38,0,Brad Waldow Defensive Rebound.
San Diego,Saint Mary's,0,2,2,52,0,Foul on Christopher Anderson
San Diego,Saint Mary's,0,3,3,7,1,Stephen Holt made Free Throw.
San Diego,Saint Mary's,0,4,3,7,1,Stephen Holt made Free Throw.
San Diego,Saint Mary's,0,4,3,23,0,Foul on Matthew Dellavedova
San Diego,Saint Mary's,0,4,3,35,0,Foul on Brad Waldow
San Diego,Saint Mary's,1,4,3,35,1,Ken Rancifer made Free Throw.
San Diego,Saint Mary's,2,4,3,35,1,Ken Rancifer made Free Throw.
San Diego,Saint Mary's,2,4,3,49,0,Mitchell Young Turnover.
San Diego,Saint Mary's,2,4,3,59,0,Ken Rancifer missed Three Point Jumper.
San Diego,Saint Mary's,2,4,3,59,0,Mitchell Young Defensive Rebound.
San Diego,Saint Mary's,2,4,4,36,0,Mitchell Young missed Layup.
San Diego,Saint Mary's,2,4,4,36,0,Chris Manresa Defensive Rebound.
San Diego,Saint Mary's,2,4,4,44,0,Jito Kok Turnover.
San Diego,Saint Mary's,2,4,4,46,0,Matthew Dellavedova Steal.
San Diego,Saint Mary's,2,6,4,52,1,Brad Waldow made Layup.  Assisted by Matthew Dellavedova.
San Diego,Saint Mary's,4,6,5,23,1,Jito Kok made Dunk.  Assisted by Ken Rancifer.
San Diego,Saint Mary's,4,6,5,33,0,Matthew Dellavedova missed Layup.
San Diego,Saint Mary's,4,6,5,33,0,Ken Rancifer Defensive Rebound.
San Diego,Saint Mary's,4,6,6,0,0,Christopher Anderson missed Three Point Jumper.
San Diego,Saint Mary's,4,6,6,0,0,Stephen Holt Defensive Rebound.
San Diego,Saint Mary's,4,8,6,25,1,Jorden Page made Layup.
San Diego,Saint Mary's,4,8,6,45,0,San Diego Turnover.
San Diego,Saint Mary's,4,8,6,45,0,Official TV Timeout.
San Diego,Saint Mary's,4,10,6,55,1,Mitchell Young made Dunk.  Assisted by Matthew Dellavedova.
San Diego,Saint Mary's,4,10,7,24,0,Jito Kok Turnover.
San Diego,Saint Mary's,4,10,7,31,0,Matthew Dellavedova missed Three Point Jumper.
San Diego,Saint Mary's,4,10,7,31,0,Beau Levesque Offensive Rebound.
San Diego,Saint Mary's,4,10,7,35,0,Foul on Mike Davis
San Diego,Saint Mary's,4,10,7,35,0,Beau Levesque missed Free Throw.
San Diego,Saint Mary's,4,10,7,35,0,null
San Diego,Saint Mary's,4,11,7,35,1,Beau Levesque made Free Throw.
San Diego,Saint Mary's,6,11,8,2,1,Jito Kok made Dunk.  Assisted by Cameron Miles.
