Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
San Diego,Southern Utah,0,0,0,19,0,Wade Collie missed Three Point Jumper.
San Diego,Southern Utah,0,0,0,19,0,San Diego Defensive Rebound.
San Diego,Southern Utah,3,0,0,46,1,Johnny Dee made Three Point Jumper.  Assisted by Ken Rancifer.
San Diego,Southern Utah,3,0,1,23,0,Jayson Cheesman missed Jumper.
San Diego,Southern Utah,3,0,1,23,0,San Diego Defensive Rebound.
San Diego,Southern Utah,3,0,1,45,0,Simi Fajemisin missed Jumper.
San Diego,Southern Utah,3,0,1,45,0,Jayson Cheesman Block.
San Diego,Southern Utah,3,0,1,45,0,Jayson Cheesman Defensive Rebound.
San Diego,Southern Utah,3,0,1,45,0,Wade Collie Turnover.
San Diego,Southern Utah,3,0,1,45,0,Johnny Dee Steal.
San Diego,Southern Utah,3,0,2,1,0,Christopher Anderson Turnover.
San Diego,Southern Utah,3,0,2,15,0,Jaren Jeffery Turnover.
San Diego,Southern Utah,3,0,2,27,0,Dennis Kramer missed Layup.
San Diego,Southern Utah,3,0,2,27,0,Jayson Cheesman Block.
San Diego,Southern Utah,3,0,2,29,0,Jaren Jeffery Defensive Rebound.
San Diego,Southern Utah,3,0,2,42,0,Jackson Stevenett missed Three Point Jumper.
San Diego,Southern Utah,3,0,2,42,0,Jordan Johnson Offensive Rebound.
San Diego,Southern Utah,3,2,2,46,1,Jordan Johnson made Layup.
San Diego,Southern Utah,3,2,3,1,0,Ken Rancifer missed Layup.
San Diego,Southern Utah,3,2,3,1,0,Jackson Stevenett Block.
San Diego,Southern Utah,3,2,3,2,0,Dennis Kramer Offensive Rebound.
San Diego,Southern Utah,3,2,3,6,0,Dennis Kramer missed Jumper.
San Diego,Southern Utah,3,2,3,6,0,Jayson Cheesman Defensive Rebound.
San Diego,Southern Utah,3,2,3,22,0,Jaren Jeffery missed Jumper.
San Diego,Southern Utah,3,2,3,22,0,Dennis Kramer Defensive Rebound.
San Diego,Southern Utah,6,2,3,55,1,Johnny Dee made Three Point Jumper.  Assisted by Christopher Anderson.
San Diego,Southern Utah,6,2,4,18,0,Tyson Koehler missed Jumper.
San Diego,Southern Utah,6,2,4,18,0,Tyson Koehler Offensive Rebound.
San Diego,Southern Utah,6,2,4,21,0,Tyson Koehler missed Jumper.
San Diego,Southern Utah,6,2,4,21,0,Christopher Anderson Defensive Rebound.
San Diego,Southern Utah,6,2,4,22,0,Christopher Anderson Turnover.
San Diego,Southern Utah,6,2,4,22,0,Official TV Timeout.
San Diego,Southern Utah,6,2,4,22,0,Foul on Jackson Stevenett
San Diego,Southern Utah,6,2,4,35,0,Chris Manresa missed Layup.
