Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
San Francisco,East Tennessee State,0,0,0,18,0,Cole Dickerson missed Jumper.
San Francisco,East Tennessee State,0,0,0,18,0,Rashawn Rembert Defensive Rebound.
San Francisco,East Tennessee State,0,2,0,42,1,Lester Wilson made Jumper.
San Francisco,East Tennessee State,0,2,0,57,0,Foul on John Walton
San Francisco,East Tennessee State,3,2,1,26,1,De'End Parker made Three Point Jumper.  Assisted by Cole Dickerson.
San Francisco,East Tennessee State,3,4,1,43,1,Lester Wilson made Jumper.
San Francisco,East Tennessee State,6,4,2,15,1,De'End Parker made Three Point Jumper.  Assisted by Cole Dickerson.
San Francisco,East Tennessee State,6,4,2,42,0,Hunter Harris missed Jumper.
San Francisco,East Tennessee State,6,4,2,42,0,Tao Xu Block.
San Francisco,East Tennessee State,6,4,2,43,0,Tim Derksen Defensive Rebound.
San Francisco,East Tennessee State,6,4,2,52,0,Cody Doolin Turnover.
San Francisco,East Tennessee State,6,7,3,1,1,Rashawn Rembert made Three Point Jumper.  Assisted by Jarvis Jones.
San Francisco,East Tennessee State,6,7,3,26,0,Cole Dickerson missed Jumper.
San Francisco,East Tennessee State,6,7,3,26,0,null
San Francisco,East Tennessee State,6,7,3,27,0,Foul on Tao Xu
San Francisco,East Tennessee State,6,7,3,44,0,Lester Wilson missed Three Point Jumper.
San Francisco,East Tennessee State,6,7,3,44,0,Cody Doolin Defensive Rebound.
San Francisco,East Tennessee State,6,7,4,16,0,Cody Doolin missed Three Point Jumper.
San Francisco,East Tennessee State,6,7,4,16,0,San Francisco Offensive Rebound.
San Francisco,East Tennessee State,6,7,4,20,0,Official TV Timeout.
San Francisco,East Tennessee State,6,7,4,31,0,Tim Derksen Turnover.
San Francisco,East Tennessee State,6,7,4,52,0,Foul on Matt Christiansen
San Francisco,East Tennessee State,6,7,4,52,0,Hunter Harris missed Free Throw.
San Francisco,East Tennessee State,6,7,4,52,0,null
San Francisco,East Tennessee State,6,7,4,52,0,Hunter Harris missed Free Throw.
San Francisco,East Tennessee State,6,7,4,52,0,Tim Derksen Defensive Rebound.
San Francisco,East Tennessee State,6,7,5,12,0,Matt Christiansen missed Jumper.
San Francisco,East Tennessee State,6,7,5,12,0,Hunter Harris Defensive Rebound.
San Francisco,East Tennessee State,6,7,5,14,0,Foul on Cole Dickerson
San Francisco,East Tennessee State,6,7,5,29,0,Rashawn Rembert missed Three Point Jumper.
San Francisco,East Tennessee State,6,7,5,29,0,De'End Parker Defensive Rebound.
San Francisco,East Tennessee State,6,7,5,35,0,Foul on John Walton
San Francisco,East Tennessee State,6,7,5,39,0,Foul on Hunter Harris
San Francisco,East Tennessee State,7,7,5,39,1,Matt Christiansen made Free Throw.
San Francisco,East Tennessee State,8,7,5,39,1,Matt Christiansen made Free Throw.
San Francisco,East Tennessee State,8,7,6,10,0,Jarvis Jones missed Jumper.
San Francisco,East Tennessee State,8,7,6,10,0,Matt Christiansen Defensive Rebound.
San Francisco,East Tennessee State,10,7,6,28,1,Cole Dickerson made Jumper.  Assisted by De'End Parker.
San Francisco,East Tennessee State,10,9,6,51,1,Jarvis Jones made Jumper.
San Francisco,East Tennessee State,10,9,7,14,0,De'End Parker missed Jumper.
San Francisco,East Tennessee State,10,9,7,14,0,Cole Dickerson Offensive Rebound.
San Francisco,East Tennessee State,10,9,7,30,0,Mark Tollefsen missed Three Point Jumper.
San Francisco,East Tennessee State,10,9,7,30,0,Hunter Harris Defensive Rebound.
San Francisco,East Tennessee State,10,12,7,54,1,Jarvis Jones made Three Point Jumper.  Assisted by Mario Stramaglia.
San Francisco,East Tennessee State,10,12,8,26,0,Avry Holmes missed Three Point Jumper.
San Francisco,East Tennessee State,10,12,8,26,0,San Francisco Offensive Rebound.
San Francisco,East Tennessee State,10,12,8,38,0,Official TV Timeout.
San Francisco,East Tennessee State,10,12,8,50,0,Tim Derksen missed Jumper.
San Francisco,East Tennessee State,10,12,8,50,0,Matt Christiansen Offensive Rebound.
San Francisco,East Tennessee State,12,12,8,55,1,Matt Christiansen made Jumper.
San Francisco,East Tennessee State,12,14,9,8,1,Hunter Harris made Jumper.  Assisted by Mario Stramaglia.
San Francisco,East Tennessee State,12,14,9,8,0,Foul on Matt Christiansen
San Francisco,East Tennessee State,12,14,9,8,0,Hunter Harris missed Free Throw.
San Francisco,East Tennessee State,12,14,9,8,0,Tim Derksen Defensive Rebound.
San Francisco,East Tennessee State,12,14,9,41,0,Avry Holmes missed Three Point Jumper.
San Francisco,East Tennessee State,12,14,9,41,0,Mark Tollefsen Offensive Rebound.
San Francisco,East Tennessee State,14,14,9,46,1,Mark Tollefsen made Dunk.
San Francisco,East Tennessee State,14,14,10,3,0,Lester Wilson missed Three Point Jumper.
San Francisco,East Tennessee State,14,14,10,3,0,Tim Derksen Defensive Rebound.
San Francisco,East Tennessee State,14,14,10,22,0,Avry Holmes Turnover.
San Francisco,East Tennessee State,14,14,10,31,0,Mario Stramaglia missed Three Point Jumper.
San Francisco,East Tennessee State,14,14,10,31,0,Lester Wilson Offensive Rebound.
San Francisco,East Tennessee State,14,14,10,52,0,Foul on Mark Tollefsen
San Francisco,East Tennessee State,14,14,10,52,0,Hunter Harris missed Free Throw.
San Francisco,East Tennessee State,14,14,10,52,0,null
San Francisco,East Tennessee State,14,15,10,52,1,Hunter Harris made Free Throw.
San Francisco,East Tennessee State,14,15,11,3,0,Foul on Lester Wilson
San Francisco,East Tennessee State,15,15,11,3,1,Cole Dickerson made Free Throw.
San Francisco,East Tennessee State,16,15,11,3,1,Cole Dickerson made Free Throw.
San Francisco,East Tennessee State,16,15,11,30,0,Jarvis Jones missed Three Point Jumper.
San Francisco,East Tennessee State,16,15,11,30,0,Cole Dickerson Defensive Rebound.
San Francisco,East Tennessee State,19,15,11,53,1,Tim Derksen made Three Point Jumper.  Assisted by Avry Holmes.
San Francisco,East Tennessee State,19,15,12,1,0,East Tennessee State Full Timeout.
San Francisco,East Tennessee State,19,15,12,24,0,Lester Wilson missed Three Point Jumper.
San Francisco,East Tennessee State,19,15,12,24,0,Cole Dickerson Defensive Rebound.
San Francisco,East Tennessee State,19,15,12,39,0,Tao Xu missed Jumper.
San Francisco,East Tennessee State,19,15,12,39,0,Cole Dickerson Offensive Rebound.
San Francisco,East Tennessee State,21,15,12,48,1,Cole Dickerson made Tip Shot.
San Francisco,East Tennessee State,21,15,12,56,0,Kinard Gadsden-Gilliard Turnover.
San Francisco,East Tennessee State,21,15,12,57,0,Cody Doolin Steal.
San Francisco,East Tennessee State,21,15,13,0,0,Cody Doolin Turnover.
San Francisco,East Tennessee State,21,15,13,1,0,Official TV Timeout.
San Francisco,East Tennessee State,21,15,13,4,0,Rashawn Rembert Turnover.
San Francisco,East Tennessee State,21,15,13,5,0,Tim Derksen Steal.
San Francisco,East Tennessee State,23,15,13,6,1,Tim Derksen made Layup.
San Francisco,East Tennessee State,23,15,13,15,0,East Tennessee State Full Timeout.
San Francisco,East Tennessee State,23,15,13,32,0,Lester Wilson missed Three Point Jumper.
San Francisco,East Tennessee State,23,15,13,32,0,Cole Dickerson Defensive Rebound.
San Francisco,East Tennessee State,23,15,13,55,0,Tim Derksen missed Three Point Jumper.
San Francisco,East Tennessee State,23,15,13,55,0,John Walton Defensive Rebound.
San Francisco,East Tennessee State,23,15,14,15,0,Foul on Tao Xu
San Francisco,East Tennessee State,23,15,14,15,0,Hunter Harris missed Free Throw.
San Francisco,East Tennessee State,23,15,14,15,0,null
San Francisco,East Tennessee State,23,15,14,15,0,Hunter Harris missed Free Throw.
San Francisco,East Tennessee State,23,15,14,15,0,Cole Dickerson Defensive Rebound.
San Francisco,East Tennessee State,25,15,14,29,1,Cole Dickerson made Jumper.
San Francisco,East Tennessee State,25,15,14,48,0,East Tennessee State Full Timeout.
San Francisco,East Tennessee State,25,18,15,6,1,Jarvis Jones made Three Point Jumper.
San Francisco,East Tennessee State,25,18,15,22,0,Cody Doolin missed Jumper.
San Francisco,East Tennessee State,25,18,15,22,0,Cole Dickerson Offensive Rebound.
San Francisco,East Tennessee State,28,18,15,55,1,Cole Dickerson made Three Point Jumper.  Assisted by De'End Parker.
San Francisco,East Tennessee State,28,18,16,22,0,John Walton Turnover.
San Francisco,East Tennessee State,28,18,16,22,0,Official TV Timeout.
San Francisco,East Tennessee State,28,18,16,36,0,Cole Dickerson missed Jumper.
San Francisco,East Tennessee State,28,18,16,36,0,Lester Wilson Defensive Rebound.
San Francisco,East Tennessee State,28,18,16,54,0,Lester Wilson missed Three Point Jumper.
San Francisco,East Tennessee State,28,18,16,54,0,Cody Doolin Defensive Rebound.
San Francisco,East Tennessee State,30,18,17,9,1,Tim Derksen made Jumper.  Assisted by Cole Dickerson.
San Francisco,East Tennessee State,30,18,17,47,0,Jarvis Jones missed Jumper.
San Francisco,East Tennessee State,30,18,17,47,0,Cole Dickerson Defensive Rebound.
San Francisco,East Tennessee State,32,18,17,53,1,Cole Dickerson made Dunk.  Assisted by De'End Parker.
San Francisco,East Tennessee State,32,18,17,55,0,Foul on John Walton
San Francisco,East Tennessee State,32,18,17,55,0,Cole Dickerson missed Free Throw.
San Francisco,East Tennessee State,32,18,17,55,0,Rashawn Rembert Defensive Rebound.
San Francisco,East Tennessee State,32,21,18,12,1,Mario Stramaglia made Three Point Jumper.  Assisted by Jarvis Jones.
San Francisco,East Tennessee State,32,21,18,28,0,Foul on Mario Stramaglia
San Francisco,East Tennessee State,32,21,18,28,0,San Francisco Full Timeout.
San Francisco,East Tennessee State,32,21,18,32,0,Cody Doolin missed Three Point Jumper.
San Francisco,East Tennessee State,32,21,18,32,0,Yunio Barrueta Defensive Rebound.
San Francisco,East Tennessee State,32,21,18,43,0,Yunio Barrueta missed Jumper.
San Francisco,East Tennessee State,32,21,18,43,0,De'End Parker Defensive Rebound.
San Francisco,East Tennessee State,32,21,19,9,0,De'End Parker missed Three Point Jumper.
San Francisco,East Tennessee State,32,21,19,9,0,East Tennessee State Defensive R.
San Francisco,East Tennessee State,32,21,19,38,0,Hunter Harris missed Jumper.
San Francisco,East Tennessee State,32,21,19,38,0,De'End Parker Defensive Rebound.
San Francisco,East Tennessee State,32,21,19,59,0,Cody Doolin missed Jumper.
San Francisco,East Tennessee State,32,21,19,59,0,Hunter Harris Block.
San Francisco,East Tennessee State,32,21,19,59,0,Hunter Harris Defensive Rebound.
San Francisco,East Tennessee State,32,21,20,0,0,End of the 1st Half.
San Francisco,East Tennessee State,32,21,20,10,0,Rashawn Rembert missed Three Point Jumper.
San Francisco,East Tennessee State,32,21,20,10,0,Cody Doolin Defensive Rebound.
San Francisco,East Tennessee State,32,21,20,17,0,Tim Derksen Turnover.
San Francisco,East Tennessee State,32,21,20,29,0,Rashawn Rembert Turnover.
San Francisco,East Tennessee State,32,21,20,30,0,Cody Doolin Steal.
San Francisco,East Tennessee State,32,21,20,36,0,Cody Doolin missed Layup.
San Francisco,East Tennessee State,32,21,20,36,0,Tao Xu missed Free Throw.
San Francisco,East Tennessee State,32,21,20,36,0,Tao Xu Offensive Rebound.
San Francisco,East Tennessee State,33,21,20,36,1,Tao Xu made Free Throw.
San Francisco,East Tennessee State,33,21,20,36,0,null
San Francisco,East Tennessee State,33,21,20,37,0,null
San Francisco,East Tennessee State,33,23,20,52,1,Hunter Harris made Jumper.  Assisted by Jarvis Jones.
San Francisco,East Tennessee State,33,23,21,12,0,De'End Parker missed Three Point Jumper.
San Francisco,East Tennessee State,33,23,21,12,0,Tim Derksen Offensive Rebound.
San Francisco,East Tennessee State,33,23,21,18,0,De'End Parker Turnover.
San Francisco,East Tennessee State,33,23,21,20,0,Jarvis Jones Steal.
San Francisco,East Tennessee State,33,23,21,31,0,Foul on De'End Parker
San Francisco,East Tennessee State,33,23,21,52,0,Rashawn Rembert Turnover.
San Francisco,East Tennessee State,33,23,21,52,0,Foul on Rashawn Rembert
San Francisco,East Tennessee State,33,23,22,4,0,De'End Parker missed Jumper.
San Francisco,East Tennessee State,33,23,22,4,0,Tim Derksen Offensive Rebound.
San Francisco,East Tennessee State,33,23,22,6,0,Foul on Hunter Harris
San Francisco,East Tennessee State,33,23,22,19,0,Cole Dickerson missed Jumper.
San Francisco,East Tennessee State,33,23,22,19,0,Tao Xu Offensive Rebound.
San Francisco,East Tennessee State,33,23,22,43,0,Tim Derksen Turnover.
San Francisco,East Tennessee State,33,23,22,43,0,Foul on Tim Derksen
San Francisco,East Tennessee State,33,25,23,16,1,Jarvis Jones made Layup.
San Francisco,East Tennessee State,33,25,23,30,0,Foul on Mario Stramaglia
San Francisco,East Tennessee State,33,25,23,31,0,Tao Xu Turnover.
San Francisco,East Tennessee State,33,25,23,31,0,Foul on Tao Xu
San Francisco,East Tennessee State,33,25,23,57,0,Hunter Harris missed Three Point Jumper.
San Francisco,East Tennessee State,33,25,23,57,0,De'End Parker Defensive Rebound.
San Francisco,East Tennessee State,33,25,24,20,0,Official TV Timeout.
San Francisco,East Tennessee State,33,25,24,28,0,Foul on Jarvis Jones
San Francisco,East Tennessee State,34,25,24,28,1,Cody Doolin made Free Throw.
San Francisco,East Tennessee State,35,25,24,28,1,Cody Doolin made Free Throw.
San Francisco,East Tennessee State,35,25,24,29,0,Mario Stramaglia Turnover.
San Francisco,East Tennessee State,35,25,24,30,0,Cody Doolin Steal.
San Francisco,East Tennessee State,37,25,24,32,1,Cody Doolin made Jumper.
San Francisco,East Tennessee State,37,25,24,32,0,East Tennessee State Full Timeout.
San Francisco,East Tennessee State,37,25,24,54,0,Rashawn Rembert missed Three Point Jumper.
San Francisco,East Tennessee State,37,25,24,54,0,Matt Christiansen Defensive Rebound.
San Francisco,East Tennessee State,37,25,25,2,0,Tim Derksen missed Jumper.
San Francisco,East Tennessee State,37,25,25,2,0,Rashawn Rembert Defensive Rebound.
San Francisco,East Tennessee State,37,25,25,20,0,Foul on Matt Christiansen
San Francisco,East Tennessee State,37,25,25,20,0,Lester Wilson missed Free Throw.
San Francisco,East Tennessee State,37,25,25,20,0,null
San Francisco,East Tennessee State,37,26,25,20,1,Lester Wilson made Free Throw.
San Francisco,East Tennessee State,37,26,25,32,0,Cole Dickerson missed Three Point Jumper.
San Francisco,East Tennessee State,37,26,25,32,0,Matt Christiansen Offensive Rebound.
San Francisco,East Tennessee State,40,26,25,42,1,Cody Doolin made Three Point Jumper.  Assisted by De'End Parker.
San Francisco,East Tennessee State,40,26,25,46,0,San Francisco Full Timeout.
San Francisco,East Tennessee State,40,28,26,3,1,Hunter Harris made Jumper.  Assisted by Jarvis Jones.
San Francisco,East Tennessee State,43,28,26,27,1,Cody Doolin made Three Point Jumper.  Assisted by Tim Derksen.
San Francisco,East Tennessee State,43,30,26,47,1,Jarvis Jones made Jumper.  Assisted by Rashawn Rembert.
San Francisco,East Tennessee State,43,30,27,10,0,Tim Derksen Turnover.
San Francisco,East Tennessee State,43,30,27,11,0,Jarvis Jones Steal.
San Francisco,East Tennessee State,43,30,27,17,0,Mario Stramaglia Turnover.
San Francisco,East Tennessee State,43,30,27,19,0,Tim Derksen Steal.
San Francisco,East Tennessee State,43,30,27,22,0,Foul on Jarvis Jones
San Francisco,East Tennessee State,43,30,27,22,0,De'End Parker missed Free Throw.
San Francisco,East Tennessee State,43,30,27,22,0,null
San Francisco,East Tennessee State,44,30,27,22,1,De'End Parker made Free Throw.
San Francisco,East Tennessee State,44,30,27,40,0,Mario Stramaglia missed Jumper.
San Francisco,East Tennessee State,44,30,27,40,0,Hunter Harris Offensive Rebound.
San Francisco,East Tennessee State,44,32,27,43,1,Hunter Harris made Jumper.
San Francisco,East Tennessee State,47,32,28,6,1,Avry Holmes made Three Point Jumper.  Assisted by Cody Doolin.
San Francisco,East Tennessee State,47,32,28,23,0,Foul on Cody Doolin
San Francisco,East Tennessee State,47,32,28,23,0,Official TV Timeout.
San Francisco,East Tennessee State,47,32,28,35,0,Lester Wilson missed Jumper.
San Francisco,East Tennessee State,47,32,28,35,0,null
San Francisco,East Tennessee State,47,32,28,37,0,Foul on Matt Christiansen
San Francisco,East Tennessee State,47,34,28,39,1,Rashawn Rembert made Jumper.
