Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
South Alabama,Middle Tennessee,0,0,0,10,0,Shawn Jones missed Jumper.
South Alabama,Middle Tennessee,0,0,0,10,0,Antoine Allen Defensive Rebound.
South Alabama,Middle Tennessee,0,0,0,14,0,Antoine Allen Turnover.
South Alabama,Middle Tennessee,0,2,0,44,1,JT Sulton made Layup.  Assisted by Marcos Knight.
South Alabama,Middle Tennessee,0,2,1,6,0,Dre Conner missed Three Point Jumper.
South Alabama,Middle Tennessee,0,2,1,6,0,JT Sulton Defensive Rebound.
South Alabama,Middle Tennessee,0,2,1,16,0,Foul on Augustine Rubit
South Alabama,Middle Tennessee,0,3,1,16,1,Shawn Jones made Free Throw.
South Alabama,Middle Tennessee,0,4,1,16,1,Shawn Jones made Free Throw.
South Alabama,Middle Tennessee,0,4,1,42,0,Mychal Ammons missed Layup.
South Alabama,Middle Tennessee,0,4,1,42,0,Shawn Jones Block.
South Alabama,Middle Tennessee,0,4,1,43,0,Kerry Hammonds Defensive Rebound.
South Alabama,Middle Tennessee,0,6,1,46,1,Bruce Massey made Layup.  Assisted by Kerry Hammonds.
South Alabama,Middle Tennessee,0,6,1,46,0,Foul on Dre Conner
South Alabama,Middle Tennessee,0,6,1,48,0,Bruce Massey missed Free Throw.
South Alabama,Middle Tennessee,0,6,1,48,0,Mychal Ammons Defensive Rebound.
South Alabama,Middle Tennessee,0,6,2,4,0,Mychal Ammons Turnover.
South Alabama,Middle Tennessee,0,6,2,5,0,Marcos Knight Steal.
South Alabama,Middle Tennessee,0,8,2,8,1,Bruce Massey made Layup.
South Alabama,Middle Tennessee,0,8,2,9,0,South Alabama Full Timeout.
South Alabama,Middle Tennessee,0,8,2,28,0,Mychal Ammons missed Three Point Jumper.
South Alabama,Middle Tennessee,0,8,2,28,0,Middle Tennessee Defensive Rebou.
South Alabama,Middle Tennessee,0,8,2,47,0,Kerry Hammonds Turnover.
South Alabama,Middle Tennessee,0,8,2,59,0,Foul on JT Sulton
South Alabama,Middle Tennessee,0,8,3,15,0,Augustine Rubit Turnover.
South Alabama,Middle Tennessee,0,8,3,16,0,Shawn Jones Steal.
South Alabama,Middle Tennessee,0,8,3,20,0,Bruce Massey missed Layup.
South Alabama,Middle Tennessee,0,8,3,20,0,Marcos Knight Offensive Rebound.
South Alabama,Middle Tennessee,0,10,3,26,1,Marcos Knight made Layup.
South Alabama,Middle Tennessee,0,10,3,36,0,Dre Conner Turnover.
South Alabama,Middle Tennessee,0,10,3,36,0,Bruce Massey Steal.
South Alabama,Middle Tennessee,0,10,3,49,0,Foul on Trey Anderson
South Alabama,Middle Tennessee,0,10,3,55,0,JT Sulton Turnover.
South Alabama,Middle Tennessee,0,10,3,56,0,Mychal Ammons Steal.
South Alabama,Middle Tennessee,0,10,3,59,0,Augustine Rubit Turnover.
South Alabama,Middle Tennessee,0,10,4,26,0,Foul on Barrington Stevens III
South Alabama,Middle Tennessee,0,10,4,26,0,Official TV Timeout.
South Alabama,Middle Tennessee,0,12,4,35,1,Neiko Hunter made Layup.  Assisted by Raymond Cintron.
South Alabama,Middle Tennessee,0,12,4,35,0,Foul on Mychal Ammons
South Alabama,Middle Tennessee,0,13,4,35,1,Neiko Hunter made Free Throw.
South Alabama,Middle Tennessee,0,13,4,49,0,Foul on Kerry Hammonds
South Alabama,Middle Tennessee,0,13,5,13,0,Augustine Rubit missed Jumper.
South Alabama,Middle Tennessee,0,13,5,13,0,Tweety Knight Defensive Rebound.
South Alabama,Middle Tennessee,0,13,5,18,0,Foul on Tweety Knight
South Alabama,Middle Tennessee,0,13,5,18,0,Tweety Knight Turnover.
South Alabama,Middle Tennessee,2,13,5,29,1,Trey Anderson made Jumper.
South Alabama,Middle Tennessee,2,13,5,29,0,Foul on Raymond Cintron
South Alabama,Middle Tennessee,3,13,5,29,1,Trey Anderson made Free Throw.
South Alabama,Middle Tennessee,3,13,5,50,0,Raymond Cintron missed Three Point Jumper.
South Alabama,Middle Tennessee,3,13,5,50,0,Augustine Rubit Defensive Rebound.
South Alabama,Middle Tennessee,6,13,6,9,1,Mychal Ammons made Three Point Jumper.  Assisted by Trey Anderson.
South Alabama,Middle Tennessee,6,13,6,11,0,Middle Tennessee Full Timeout.
South Alabama,Middle Tennessee,8,13,6,31,1,Antoine Allen made Layup.
South Alabama,Middle Tennessee,26,41,6,42,0,Foul on Tweety Knight
South Alabama,Middle Tennessee,8,15,6,56,1,Shawn Jones made Layup.
South Alabama,Middle Tennessee,8,15,7,3,0,Foul on Wendell Wright
South Alabama,Middle Tennessee,8,15,7,4,0,Foul on Dre Conner
South Alabama,Middle Tennessee,8,16,7,4,1,Bruce Massey made Free Throw.
South Alabama,Middle Tennessee,8,17,7,4,1,Bruce Massey made Free Throw.
South Alabama,Middle Tennessee,8,17,7,19,0,Foul on Augustine Rubit
South Alabama,Middle Tennessee,8,17,7,19,0,Augustine Rubit Turnover.
South Alabama,Middle Tennessee,8,17,7,36,0,Bruce Massey missed Layup.
South Alabama,Middle Tennessee,8,17,7,36,0,Javier Carter Defensive Rebound.
South Alabama,Middle Tennessee,8,17,7,45,0,Foul on Neiko Hunter
South Alabama,Middle Tennessee,8,17,7,56,0,Wendell Wright Turnover.
South Alabama,Middle Tennessee,8,17,7,57,0,Neiko Hunter Steal.
South Alabama,Middle Tennessee,8,17,8,0,0,Foul on Wendell Wright
South Alabama,Middle Tennessee,8,17,8,0,0,Marcos Knight missed Free Throw.
South Alabama,Middle Tennessee,8,17,8,0,0,null
South Alabama,Middle Tennessee,8,18,8,0,1,Marcos Knight made Free Throw.
South Alabama,Middle Tennessee,8,18,8,10,0,Antoine Allen missed Three Point Jumper.
South Alabama,Middle Tennessee,8,18,8,10,0,Trey Anderson Offensive Rebound.
South Alabama,Middle Tennessee,8,18,8,14,0,Trey Anderson missed Layup.
South Alabama,Middle Tennessee,8,18,8,14,0,Bruce Massey Defensive Rebound.
