Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
South Carolina,Georgia,0,0,0,25,0,Michael Carrera missed Jumper.
South Carolina,Georgia,0,0,0,25,0,Donte' Williams Defensive Rebound.
South Carolina,Georgia,0,0,0,36,0,John Florveus Turnover.
South Carolina,Georgia,0,0,0,54,0,Lakeem Jackson missed Jumper.
South Carolina,Georgia,0,0,0,54,0,Kentavious Caldwell-Pope Defensive Rebound.
South Carolina,Georgia,0,0,1,10,0,Kentavious Caldwell-Pope missed Three Point Jumper.
South Carolina,Georgia,0,0,1,10,0,Laimonas Chatkevicius Defensive Rebound.
South Carolina,Georgia,0,0,1,18,0,Eric Smith missed Jumper.
South Carolina,Georgia,0,0,1,18,0,Donte' Williams Defensive Rebound.
South Carolina,Georgia,0,0,1,21,0,Foul on Michael Carrera
South Carolina,Georgia,0,0,1,35,0,Vincent Williams missed Jumper.
South Carolina,Georgia,0,0,1,35,0,Vincent Williams Offensive Rebound.
South Carolina,Georgia,0,0,1,39,0,Vincent Williams Turnover.
South Carolina,Georgia,0,0,1,41,0,Eric Smith Steal.
South Carolina,Georgia,0,0,1,43,0,Eric Smith missed Layup.
South Carolina,Georgia,0,0,1,43,0,Brandon Morris Defensive Rebound.
South Carolina,Georgia,0,2,2,15,1,John Florveus made Layup.  Assisted by Kentavious Caldwell-Pope.
South Carolina,Georgia,0,2,2,38,0,Michael Carrera missed Jumper.
South Carolina,Georgia,0,2,2,38,0,Brandon Morris Defensive Rebound.
South Carolina,Georgia,0,2,3,4,0,John Florveus Turnover.
South Carolina,Georgia,0,2,3,29,0,Lakeem Jackson missed Layup.
South Carolina,Georgia,0,2,3,29,0,Brandon Morris Defensive Rebound.
South Carolina,Georgia,0,2,3,39,0,Nemanja Djurisic missed Three Point Jumper.
South Carolina,Georgia,0,2,3,39,0,Georgia Offensive Rebound.
South Carolina,Georgia,0,2,3,59,0,Foul on Lakeem Jackson
South Carolina,Georgia,0,2,3,59,0,Brandon Morris missed Free Throw.
South Carolina,Georgia,0,2,3,59,0,null
South Carolina,Georgia,0,3,3,59,1,Brandon Morris made Free Throw.
South Carolina,Georgia,0,3,4,29,0,Eric Smith missed Jumper.
South Carolina,Georgia,0,3,4,29,0,Kentavious Caldwell-Pope Defensive Rebound.
South Carolina,Georgia,0,3,4,56,0,Charles Mann missed Jumper.
South Carolina,Georgia,0,3,4,56,0,Eric Smith Defensive Rebound.
