Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Northern Iowa,Southern Illinois,0,0,0,24,0,Kendal Brown-Surles missed Jumper.
Northern Iowa,Southern Illinois,0,0,0,24,0,Desmar Jackson Offensive Rebound.
Northern Iowa,Southern Illinois,0,3,0,30,1,Desmar Jackson made Three Point Jumper.
Northern Iowa,Southern Illinois,0,3,0,47,0,Deon Mitchell Turnover.
Northern Iowa,Southern Illinois,0,3,0,49,0,Jeff Early Steal.
Northern Iowa,Southern Illinois,0,5,0,50,1,Desmar Jackson made Layup.  Assisted by Jeff Early.
Northern Iowa,Southern Illinois,0,5,1,6,0,Jake Koch missed Three Point Jumper.
Northern Iowa,Southern Illinois,0,5,1,6,0,Desmar Jackson Defensive Rebound.
Northern Iowa,Southern Illinois,0,5,1,16,0,Desmar Jackson missed Layup.
Northern Iowa,Southern Illinois,0,5,1,16,0,Jake Koch Defensive Rebound.
Northern Iowa,Southern Illinois,0,5,1,29,0,Deon Mitchell Turnover.
Northern Iowa,Southern Illinois,0,5,1,30,0,Dantiel Daniels Steal.
Northern Iowa,Southern Illinois,0,5,1,48,0,Dantiel Daniels missed Layup.
Northern Iowa,Southern Illinois,0,5,1,48,0,Jake Koch Defensive Rebound.
Northern Iowa,Southern Illinois,0,5,2,11,0,Matt Bohannon missed Three Point Jumper.
Northern Iowa,Southern Illinois,0,5,2,11,0,Desmar Jackson Defensive Rebound.
Northern Iowa,Southern Illinois,0,5,2,31,0,Foul on Matt Bohannon
Northern Iowa,Southern Illinois,0,5,2,45,0,Desmar Jackson missed Layup.
Northern Iowa,Southern Illinois,0,5,2,45,0,Jake Koch Defensive Rebound.
Northern Iowa,Southern Illinois,0,5,2,51,0,Matt Bohannon missed Three Point Jumper.
Northern Iowa,Southern Illinois,0,5,2,51,0,T.J. Lindsay Defensive Rebound.
Northern Iowa,Southern Illinois,0,5,3,13,0,Kendal Brown-Surles Turnover.
Northern Iowa,Southern Illinois,0,5,3,15,0,Jake Koch Steal.
Northern Iowa,Southern Illinois,0,5,3,22,0,Deon Mitchell Turnover.
Northern Iowa,Southern Illinois,0,5,3,23,0,Desmar Jackson Steal.
Northern Iowa,Southern Illinois,0,7,3,30,1,Jeff Early made Jumper.  Assisted by Desmar Jackson.
Northern Iowa,Southern Illinois,3,7,3,55,1,Deon Mitchell made Three Point Jumper.  Assisted by Seth Tuttle.
Northern Iowa,Southern Illinois,3,7,4,18,0,Jeff Early missed Three Point Jumper.
Northern Iowa,Southern Illinois,3,7,4,18,0,Seth Tuttle Defensive Rebound.
Northern Iowa,Southern Illinois,5,7,4,26,1,Jake Koch made Layup.  Assisted by Deon Mitchell.
Northern Iowa,Southern Illinois,5,10,4,50,1,Kendal Brown-Surles made Three Point Jumper.  Assisted by Jeff Early.
Northern Iowa,Southern Illinois,5,10,5,7,0,Deon Mitchell Turnover.
Northern Iowa,Southern Illinois,5,10,5,8,0,Jeff Early Steal.
Northern Iowa,Southern Illinois,5,10,5,11,0,Jeff Early missed Layup.
Northern Iowa,Southern Illinois,5,10,5,11,0,Southern Illinois Offensive Rebo.
Northern Iowa,Southern Illinois,5,10,5,12,0,Official TV Timeout.
Northern Iowa,Southern Illinois,5,10,5,36,0,Kendal Brown-Surles Turnover.
Northern Iowa,Southern Illinois,5,10,5,37,0,Chip Rank Steal.
Northern Iowa,Southern Illinois,8,10,6,2,1,Jake Koch made Three Point Jumper.  Assisted by Deon Mitchell.
Northern Iowa,Southern Illinois,8,10,6,25,0,Jalen Pendleton missed Layup.
Northern Iowa,Southern Illinois,8,10,6,25,0,Chip Rank Defensive Rebound.
Northern Iowa,Southern Illinois,8,10,6,38,0,Foul on Davante Drinkard
Northern Iowa,Southern Illinois,8,10,6,39,0,Marc Sonnen Turnover.
Northern Iowa,Southern Illinois,8,10,6,40,0,Jeff Early Steal.
Northern Iowa,Southern Illinois,8,12,6,42,1,Jeff Early made Dunk.
Northern Iowa,Southern Illinois,8,12,6,55,0,Jake Koch Turnover.
Northern Iowa,Southern Illinois,8,12,6,57,0,Jalen Pendleton Steal.
Northern Iowa,Southern Illinois,8,12,7,21,0,T.J. Lindsay missed Three Point Jumper.
Northern Iowa,Southern Illinois,8,12,7,21,0,Marvin Singleton Defensive Rebound.
Northern Iowa,Southern Illinois,8,12,7,29,0,Foul on Jalen Pendleton
Northern Iowa,Southern Illinois,9,12,7,29,1,Jake Koch made Free Throw.
Northern Iowa,Southern Illinois,10,12,7,29,1,Jake Koch made Free Throw.
Northern Iowa,Southern Illinois,10,12,7,57,0,Desmar Jackson missed Three Point Jumper.
Northern Iowa,Southern Illinois,10,12,7,57,0,Marvin Singleton Defensive Rebound.
Northern Iowa,Southern Illinois,10,12,8,23,0,Seth Tuttle Turnover.
Northern Iowa,Southern Illinois,10,12,8,23,0,Dantiel Daniels Steal.
Northern Iowa,Southern Illinois,10,12,8,23,0,Official TV Timeout.
Northern Iowa,Southern Illinois,10,12,8,42,0,Jalen Pendleton missed Jumper.
Northern Iowa,Southern Illinois,10,12,8,42,0,Marc Sonnen Defensive Rebound.
Northern Iowa,Southern Illinois,12,12,9,22,1,Marc Sonnen made Jumper.  Assisted by Seth Tuttle.
Northern Iowa,Southern Illinois,12,14,9,42,1,Davante Drinkard made Layup.
Northern Iowa,Southern Illinois,12,14,10,13,0,Chip Rank missed Three Point Jumper.
Northern Iowa,Southern Illinois,12,14,10,13,0,Seth Tuttle Offensive Rebound.
Northern Iowa,Southern Illinois,12,14,10,20,0,Marvin Singleton missed Layup.
Northern Iowa,Southern Illinois,12,14,10,20,0,Seth Tuttle Offensive Rebound.
Northern Iowa,Southern Illinois,14,14,10,22,1,Seth Tuttle made Layup.
Northern Iowa,Southern Illinois,14,14,10,55,0,Anthony Beane, Jr. missed Three Point Jumper.
Northern Iowa,Southern Illinois,14,14,10,55,0,Chip Rank Defensive Rebound.
Northern Iowa,Southern Illinois,14,14,11,24,0,Seth Tuttle missed Three Point Jumper.
Northern Iowa,Southern Illinois,14,14,11,24,0,Anthony Beane, Jr. Defensive Rebound.
Northern Iowa,Southern Illinois,14,16,11,41,1,Davante Drinkard made Layup.
Northern Iowa,Southern Illinois,14,16,12,9,0,Seth Tuttle Turnover.
Northern Iowa,Southern Illinois,14,16,12,9,0,T.J. Lindsay Steal.
Northern Iowa,Southern Illinois,14,18,12,12,1,Desmar Jackson made Dunk.  Assisted by T.J. Lindsay.
Northern Iowa,Southern Illinois,14,18,12,16,0,Northern Iowa Full Timeout.
Northern Iowa,Southern Illinois,14,18,12,27,0,Marc Sonnen missed Three Point Jumper.
Northern Iowa,Southern Illinois,14,18,12,27,0,Desmar Jackson Defensive Rebound.
Northern Iowa,Southern Illinois,14,18,12,47,0,Dantiel Daniels Turnover.
Northern Iowa,Southern Illinois,14,18,12,49,0,Jake Koch Steal.
Northern Iowa,Southern Illinois,14,18,13,13,0,Foul on Dantiel Daniels
Northern Iowa,Southern Illinois,14,18,13,13,0,Official TV Timeout.
Northern Iowa,Southern Illinois,15,18,13,13,1,Seth Tuttle made Free Throw.
Northern Iowa,Southern Illinois,16,18,13,13,1,Seth Tuttle made Free Throw.
Northern Iowa,Southern Illinois,16,20,13,38,1,Dantiel Daniels made Layup.
Northern Iowa,Southern Illinois,16,20,14,2,0,Seth Tuttle Turnover.
Northern Iowa,Southern Illinois,16,20,14,20,0,Desmar Jackson missed Jumper.
Northern Iowa,Southern Illinois,16,20,14,20,0,Desmar Jackson Offensive Rebound.
