Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
St. Bonaventure,Saint Joseph's,0,0,0,18,0,Foul on Eric Mosley
St. Bonaventure,Saint Joseph's,0,0,0,39,0,Langston Galloway missed Three Point Jumper.
St. Bonaventure,Saint Joseph's,0,0,0,39,0,Matthew Wright Defensive Rebound.
St. Bonaventure,Saint Joseph's,0,0,1,5,0,Youssou Ndoye Turnover.
St. Bonaventure,Saint Joseph's,0,0,1,21,0,Langston Galloway missed Layup.
St. Bonaventure,Saint Joseph's,0,0,1,21,0,Youssou Ndoye Block.
St. Bonaventure,Saint Joseph's,0,0,1,21,0,Saint Joseph's Offensive Rebound.
St. Bonaventure,Saint Joseph's,0,0,1,41,0,Langston Galloway missed Jumper.
St. Bonaventure,Saint Joseph's,0,0,1,41,0,Demitrius Conger Defensive Rebound.
St. Bonaventure,Saint Joseph's,3,0,1,48,1,Eric Mosley made Three Point Jumper.  Assisted by Demitrius Conger.
St. Bonaventure,Saint Joseph's,3,0,2,17,0,Papa Ndao Turnover.
St. Bonaventure,Saint Joseph's,3,0,2,30,0,Foul on C.J. Aiken
St. Bonaventure,Saint Joseph's,6,0,2,35,1,Matthew Wright made Three Point Jumper.  Assisted by Demitrius Conger.
St. Bonaventure,Saint Joseph's,6,0,2,52,0,Papa Ndao Turnover.
St. Bonaventure,Saint Joseph's,6,0,2,53,0,Eric Mosley Steal.
St. Bonaventure,Saint Joseph's,8,0,2,55,1,Demitrius Conger made Dunk.  Assisted by Matthew Wright.
St. Bonaventure,Saint Joseph's,8,0,2,55,0,Saint Joseph's Full Timeout.
St. Bonaventure,Saint Joseph's,8,0,3,11,0,Chris Wilson missed Three Point Jumper.
St. Bonaventure,Saint Joseph's,8,0,3,11,0,Chris Johnson Defensive Rebound.
St. Bonaventure,Saint Joseph's,10,0,3,17,1,Chris Johnson made Jumper.
St. Bonaventure,Saint Joseph's,10,0,3,44,0,Ronald Roberts, Jr. missed Layup.
St. Bonaventure,Saint Joseph's,10,0,3,44,0,Ronald Roberts, Jr. Offensive Rebound.
St. Bonaventure,Saint Joseph's,10,0,3,47,0,Ronald Roberts, Jr. missed Tip Shot.
St. Bonaventure,Saint Joseph's,10,0,3,47,0,C.J. Aiken Offensive Rebound.
St. Bonaventure,Saint Joseph's,10,0,3,51,0,Langston Galloway missed Three Point Jumper.
St. Bonaventure,Saint Joseph's,10,0,3,51,0,Eric Mosley Defensive Rebound.
St. Bonaventure,Saint Joseph's,12,0,4,5,1,Youssou Ndoye made Layup.
