Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
CS Fullerton,Stanford,2,0,0,7,1,Sammy Yeager made Layup.  Assisted by Marquis Horne.
CS Fullerton,Stanford,2,0,0,19,0,Anthony Brown missed Jumper.
CS Fullerton,Stanford,2,0,0,19,0,Sammy Yeager Defensive Rebound.
CS Fullerton,Stanford,2,0,0,32,0,Marquis Horne missed Three Point Jumper.
CS Fullerton,Stanford,2,0,0,32,0,Aaron Bright Defensive Rebound.
CS Fullerton,Stanford,2,0,1,8,0,Foul on D.J. Seeley
CS Fullerton,Stanford,2,1,1,8,1,Aaron Bright made Free Throw.
CS Fullerton,Stanford,2,2,1,8,1,Aaron Bright made Free Throw.
CS Fullerton,Stanford,2,2,1,26,0,D.J. Seeley Turnover.
CS Fullerton,Stanford,2,2,1,29,0,Chasson Randle missed Three Point Jumper.
CS Fullerton,Stanford,2,2,1,36,0,Josh Huestis Offensive Rebound.
CS Fullerton,Stanford,2,2,1,39,0,Foul on Marquis Horne
CS Fullerton,Stanford,2,3,1,39,1,Chasson Randle made Free Throw.
CS Fullerton,Stanford,2,4,1,39,1,Chasson Randle made Free Throw.
CS Fullerton,Stanford,5,4,2,5,1,Marquis Horne made Three Point Jumper.  Assisted by Kwame Vaughn.
CS Fullerton,Stanford,5,4,2,18,0,Foul on Deuce Johnson
CS Fullerton,Stanford,5,4,2,26,0,Josh Huestis missed Jumper.
CS Fullerton,Stanford,5,4,2,26,0,Sammy Yeager Defensive Rebound.
CS Fullerton,Stanford,5,4,2,35,0,Alex Harris missed Three Point Jumper.
CS Fullerton,Stanford,5,4,2,35,0,Dwight Powell Defensive Rebound.
CS Fullerton,Stanford,5,7,2,46,1,Chasson Randle made Three Point Jumper.
CS Fullerton,Stanford,5,7,3,4,0,Foul on Aaron Bright
CS Fullerton,Stanford,5,7,3,11,0,Sammy Yeager missed Three Point Jumper.
CS Fullerton,Stanford,5,7,3,11,0,Dwight Powell Defensive Rebound.
CS Fullerton,Stanford,5,7,3,24,0,Anthony Brown missed Jumper.
CS Fullerton,Stanford,5,7,3,24,0,D.J. Seeley Defensive Rebound.
CS Fullerton,Stanford,5,7,3,34,0,Kwame Vaughn Turnover.
CS Fullerton,Stanford,5,9,3,41,1,Aaron Bright made Layup.
CS Fullerton,Stanford,5,9,3,58,0,D.J. Seeley missed Three Point Jumper.
CS Fullerton,Stanford,5,9,3,58,0,Anthony Brown Defensive Rebound.
CS Fullerton,Stanford,5,9,4,22,0,Josh Huestis Turnover.
CS Fullerton,Stanford,5,9,4,23,0,Kwame Vaughn Steal.
CS Fullerton,Stanford,7,9,4,28,1,Kwame Vaughn made Dunk.
CS Fullerton,Stanford,7,9,4,43,0,Foul on Aaron Bright
CS Fullerton,Stanford,7,9,4,43,0,Aaron Bright Turnover.
CS Fullerton,Stanford,7,9,4,43,0,Official TV Timeout.
CS Fullerton,Stanford,7,9,5,6,0,James Douglas missed Layup.
CS Fullerton,Stanford,7,9,5,6,0,Dwight Powell Defensive Rebound.
CS Fullerton,Stanford,7,9,5,13,0,Foul on Gabriel Harris
CS Fullerton,Stanford,7,9,5,13,0,Gabriel Harris Turnover.
CS Fullerton,Stanford,7,9,5,33,0,Jared Brandon Turnover.
CS Fullerton,Stanford,7,9,5,53,0,Stefan Nastic missed Jumper.
CS Fullerton,Stanford,7,9,5,53,0,Alex Harris Defensive Rebound.
CS Fullerton,Stanford,7,9,6,2,0,Sammy Yeager missed Jumper.
CS Fullerton,Stanford,7,9,6,3,0,Stefan Nastic Block.
CS Fullerton,Stanford,7,9,6,4,0,Dwight Powell Defensive Rebound.
CS Fullerton,Stanford,7,9,6,11,0,Anthony Brown missed Layup.
CS Fullerton,Stanford,7,9,6,11,0,Deuce Johnson Defensive Rebound.
CS Fullerton,Stanford,7,9,6,20,0,Kwame Vaughn missed Jumper.
CS Fullerton,Stanford,7,9,6,20,0,James Douglas Offensive Rebound.
CS Fullerton,Stanford,7,9,6,26,0,Foul on Anthony Brown
CS Fullerton,Stanford,7,9,6,34,0,Kwame Vaughn Turnover.
CS Fullerton,Stanford,7,9,6,46,0,Foul on Alex Harris
CS Fullerton,Stanford,7,9,6,59,0,Andy Brown missed Jumper.
CS Fullerton,Stanford,7,9,6,59,0,Dwight Powell Offensive Rebound.
CS Fullerton,Stanford,7,11,7,2,1,Dwight Powell made Layup.
CS Fullerton,Stanford,7,11,7,15,0,Sammy Yeager Turnover.
CS Fullerton,Stanford,7,11,7,17,0,Gabriel Harris Steal.
CS Fullerton,Stanford,7,11,7,25,0,Foul on Kwame Vaughn
CS Fullerton,Stanford,7,11,7,29,0,Chasson Randle missed Jumper.
CS Fullerton,Stanford,7,11,7,29,0,Chasson Randle Offensive Rebound.
CS Fullerton,Stanford,7,11,7,43,0,Gabriel Harris missed Jumper.
CS Fullerton,Stanford,7,11,7,43,0,Gabriel Harris Offensive Rebound.
CS Fullerton,Stanford,7,11,7,48,0,Foul on Marquis Horne
CS Fullerton,Stanford,7,13,7,56,1,Dwight Powell made Jumper.
CS Fullerton,Stanford,7,13,8,3,0,Kwame Vaughn missed Three Point Jumper.
CS Fullerton,Stanford,7,13,8,3,0,Sammy Yeager Offensive Rebound.
CS Fullerton,Stanford,9,13,8,17,1,D.J. Seeley made Layup.
CS Fullerton,Stanford,9,15,8,25,1,Andy Brown made Layup.
CS Fullerton,Stanford,12,15,8,39,1,D.J. Seeley made Three Point Jumper.
CS Fullerton,Stanford,12,17,8,54,1,Dwight Powell made Layup.  Assisted by Gabriel Harris.
