Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Stephen F. Austin,Oral Roberts,0,0,0,18,0,Taylor Smith Turnover.
Stephen F. Austin,Oral Roberts,0,0,0,18,0,Foul on Taylor Smith
Stephen F. Austin,Oral Roberts,0,2,0,39,1,Shawn Glover made Jumper.
Stephen F. Austin,Oral Roberts,3,2,1,7,1,Desmond Haymon made Three Point Jumper.  Assisted by Jacob Parker.
Stephen F. Austin,Oral Roberts,3,2,1,35,0,D.J. Jackson Turnover.
Stephen F. Austin,Oral Roberts,3,2,1,37,0,Hal Bateman Steal.
Stephen F. Austin,Oral Roberts,3,2,1,38,0,Foul on D.J. Jackson
Stephen F. Austin,Oral Roberts,5,2,1,53,1,Jacob Parker made Layup.  Assisted by Taylor Smith.
Stephen F. Austin,Oral Roberts,5,2,2,22,0,Shawn Glover missed Jumper.
Stephen F. Austin,Oral Roberts,5,2,2,22,0,Taylor Smith Defensive Rebound.
Stephen F. Austin,Oral Roberts,5,2,2,35,0,Hal Bateman missed Jumper.
Stephen F. Austin,Oral Roberts,5,2,2,35,0,Taylor Smith Offensive Rebound.
Stephen F. Austin,Oral Roberts,5,2,2,39,0,Taylor Smith missed Layup.
Stephen F. Austin,Oral Roberts,5,2,2,39,0,Damen Bell-Holter Defensive Rebound.
Stephen F. Austin,Oral Roberts,5,2,2,49,0,Damen Bell-Holter missed Jumper.
Stephen F. Austin,Oral Roberts,5,2,2,49,0,Taylor Smith Defensive Rebound.
Stephen F. Austin,Oral Roberts,5,2,2,59,0,Taylor Smith Turnover.
Stephen F. Austin,Oral Roberts,5,2,3,0,0,Warren Niles Steal.
Stephen F. Austin,Oral Roberts,5,4,3,11,1,D.J. Jackson made Layup.
Stephen F. Austin,Oral Roberts,8,4,3,35,1,Antonio Bostic made Three Point Jumper.  Assisted by Taylor Smith.
Stephen F. Austin,Oral Roberts,8,4,3,56,0,Shawn Glover Turnover.
Stephen F. Austin,Oral Roberts,8,4,3,58,0,Desmond Haymon Steal.
Stephen F. Austin,Oral Roberts,8,4,4,1,0,Desmond Haymon missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,8,4,4,1,0,Taylor Smith Offensive Rebound.
Stephen F. Austin,Oral Roberts,8,4,4,7,0,Jacob Parker missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,8,4,4,7,0,Shawn Glover Defensive Rebound.
Stephen F. Austin,Oral Roberts,8,4,4,17,0,Mikey Manghum missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,8,4,4,17,0,Desmond Haymon Defensive Rebound.
Stephen F. Austin,Oral Roberts,8,4,4,38,0,Foul on Damen Bell-Holter
Stephen F. Austin,Oral Roberts,9,4,4,38,1,Taylor Smith made Free Throw.
Stephen F. Austin,Oral Roberts,9,4,4,38,0,Taylor Smith missed Free Throw.
Stephen F. Austin,Oral Roberts,9,4,4,38,0,Brandon Conley Defensive Rebound.
Stephen F. Austin,Oral Roberts,9,4,5,9,0,Damen Bell-Holter missed Jumper.
Stephen F. Austin,Oral Roberts,9,4,5,9,0,Damen Bell-Holter Offensive Rebound.
Stephen F. Austin,Oral Roberts,9,4,5,11,0,D.J. Jackson Turnover.
Stephen F. Austin,Oral Roberts,9,4,5,27,0,Antonio Bostic missed Jumper.
Stephen F. Austin,Oral Roberts,9,4,5,27,0,Stephen F. Austin Offensive Rebo.
Stephen F. Austin,Oral Roberts,9,4,5,34,0,Foul on Damen Bell-Holter
Stephen F. Austin,Oral Roberts,9,4,5,34,0,Taylor Smith missed Free Throw.
Stephen F. Austin,Oral Roberts,9,4,5,34,0,null
Stephen F. Austin,Oral Roberts,9,4,5,34,0,Taylor Smith missed Free Throw.
Stephen F. Austin,Oral Roberts,9,4,5,34,0,Shawn Glover Defensive Rebound.
Stephen F. Austin,Oral Roberts,9,4,5,50,0,Shawn Glover missed Layup.
Stephen F. Austin,Oral Roberts,9,4,5,50,0,Thomas Walkup Defensive Rebound.
Stephen F. Austin,Oral Roberts,9,4,6,13,0,Thomas Walkup missed Layup.
Stephen F. Austin,Oral Roberts,9,4,6,13,0,Warren Niles Defensive Rebound.
Stephen F. Austin,Oral Roberts,9,4,6,27,0,Warren Niles missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,9,4,6,27,0,Taylor Smith Defensive Rebound.
Stephen F. Austin,Oral Roberts,12,4,6,50,1,Jacob Parker made Three Point Jumper.  Assisted by Thomas Walkup.
Stephen F. Austin,Oral Roberts,12,6,7,25,1,Brandon Conley made Layup.  Assisted by D.J. Jackson.
Stephen F. Austin,Oral Roberts,12,6,7,39,0,Antonio Bostic Turnover.
Stephen F. Austin,Oral Roberts,12,6,7,41,0,D.J. Jackson Steal.
Stephen F. Austin,Oral Roberts,12,6,7,45,0,Jake Lliteras missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,12,6,7,45,0,Hal Bateman Defensive Rebound.
Stephen F. Austin,Oral Roberts,12,6,8,7,0,Jacob Parker Turnover.
Stephen F. Austin,Oral Roberts,12,6,8,7,0,Official TV Timeout.
Stephen F. Austin,Oral Roberts,12,6,8,33,0,Foul on Brandon Conley
Stephen F. Austin,Oral Roberts,12,6,8,33,0,Brandon Conley Turnover.
Stephen F. Austin,Oral Roberts,12,6,9,5,0,Desmond Haymon missed Layup.
Stephen F. Austin,Oral Roberts,12,6,9,5,0,Brandon Conley Defensive Rebound.
Stephen F. Austin,Oral Roberts,12,6,9,18,0,Shawn Glover missed Jumper.
Stephen F. Austin,Oral Roberts,12,6,9,18,0,Stephen F. Austin Defensive Rebo.
Stephen F. Austin,Oral Roberts,12,6,9,43,0,Taylor Smith missed Jumper.
Stephen F. Austin,Oral Roberts,12,6,9,43,0,Antonio Bostic Offensive Rebound.
Stephen F. Austin,Oral Roberts,14,6,9,47,1,Antonio Bostic made Layup.
Stephen F. Austin,Oral Roberts,14,6,10,6,0,Damen Bell-Holter missed Jumper.
Stephen F. Austin,Oral Roberts,14,6,10,6,0,Desmond Haymon Defensive Rebound.
Stephen F. Austin,Oral Roberts,16,6,10,40,1,Thomas Walkup made Layup.  Assisted by Trey Pinkney.
Stephen F. Austin,Oral Roberts,16,6,10,53,0,Korey Billbury Turnover.
Stephen F. Austin,Oral Roberts,16,6,10,55,0,Antonio Bostic Steal.
Stephen F. Austin,Oral Roberts,16,6,10,57,0,Antonio Bostic missed Layup.
Stephen F. Austin,Oral Roberts,16,6,10,57,0,Mikey Manghum Defensive Rebound.
Stephen F. Austin,Oral Roberts,16,9,11,9,1,Warren Niles made Three Point Jumper.  Assisted by Brandon Conley.
Stephen F. Austin,Oral Roberts,18,9,11,40,1,Desmond Haymon made Layup.  Assisted by Taylor Smith.
Stephen F. Austin,Oral Roberts,18,11,11,53,1,Damen Bell-Holter made Layup.  Assisted by Mikey Manghum.
Stephen F. Austin,Oral Roberts,21,11,12,13,1,Antonio Bostic made Three Point Jumper.  Assisted by Thomas Walkup.
Stephen F. Austin,Oral Roberts,21,11,12,39,0,Foul on Mikey Manghum
Stephen F. Austin,Oral Roberts,21,11,12,39,0,Mikey Manghum Turnover.
Stephen F. Austin,Oral Roberts,21,11,12,39,0,Official TV Timeout.
Stephen F. Austin,Oral Roberts,23,11,12,59,1,Desmond Haymon made Jumper.
Stephen F. Austin,Oral Roberts,23,13,13,15,1,Brandon Conley made Layup.
Stephen F. Austin,Oral Roberts,23,13,13,39,0,Taylor Smith Turnover.
Stephen F. Austin,Oral Roberts,23,13,13,56,0,Warren Niles missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,23,13,13,56,0,Damen Bell-Holter Offensive Rebound.
Stephen F. Austin,Oral Roberts,23,15,14,0,1,Damen Bell-Holter made Layup.
Stephen F. Austin,Oral Roberts,23,15,14,15,0,Hal Bateman missed Jumper.
Stephen F. Austin,Oral Roberts,23,15,14,15,0,Shawn Glover Block.
Stephen F. Austin,Oral Roberts,23,15,14,18,0,Shawn Glover Defensive Rebound.
Stephen F. Austin,Oral Roberts,23,15,14,37,0,D.J. Jackson missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,23,15,14,37,0,Brandon Conley Offensive Rebound.
Stephen F. Austin,Oral Roberts,23,17,14,43,1,Brandon Conley made Jumper.
Stephen F. Austin,Oral Roberts,23,17,15,8,0,Desmond Haymon missed Layup.
Stephen F. Austin,Oral Roberts,23,17,15,8,0,Shawn Glover Defensive Rebound.
Stephen F. Austin,Oral Roberts,23,17,15,12,0,Foul on Hal Bateman
Stephen F. Austin,Oral Roberts,23,19,15,14,1,Warren Niles made Jumper.  Assisted by D.J. Jackson.
Stephen F. Austin,Oral Roberts,25,19,15,39,1,Taylor Smith made Jumper.
Stephen F. Austin,Oral Roberts,25,19,16,8,0,Warren Niles missed Three Point Jumper.
Stephen F. Austin,Oral Roberts,25,19,16,8,0,Jacob Parker Defensive Rebound.
Stephen F. Austin,Oral Roberts,27,19,16,25,1,Hal Bateman made Jumper.
Stephen F. Austin,Oral Roberts,27,19,16,50,0,Foul on Deshaunt Walker
Stephen F. Austin,Oral Roberts,27,19,16,50,0,Official TV Timeout.
Stephen F. Austin,Oral Roberts,27,19,17,9,0,Shawn Glover Turnover.
Stephen F. Austin,Oral Roberts,27,19,17,10,0,Jacob Parker Steal.
Stephen F. Austin,Oral Roberts,27,19,17,40,0,Jacob Parker missed Jumper.
Stephen F. Austin,Oral Roberts,27,19,17,40,0,Shawn Glover Block.
Stephen F. Austin,Oral Roberts,27,19,17,40,0,Damen Bell-Holter Defensive Rebound.
