Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Oklahoma,TCU,0,0,0,15,0,Amath M'Baye missed Layup.
Oklahoma,TCU,0,0,0,15,0,Oklahoma Offensive Rebound.
Oklahoma,TCU,0,0,0,21,0,Steven Pledger missed Jumper.
Oklahoma,TCU,0,0,0,21,0,Nate Butler Lind Block.
Oklahoma,TCU,0,0,0,23,0,Nate Butler Lind Defensive Rebound.
Oklahoma,TCU,0,0,0,41,0,Adrick McKinney missed Jumper.
Oklahoma,TCU,0,0,0,41,0,Connell Crossland Offensive Rebound.
Oklahoma,TCU,0,2,0,45,1,Connell Crossland made Layup.
Oklahoma,TCU,0,2,1,2,0,Foul on Adrick McKinney
Oklahoma,TCU,2,2,1,27,1,Amath M'Baye made Layup.  Assisted by Sam Grooms.
Oklahoma,TCU,2,4,1,40,1,Connell Crossland made Jumper.  Assisted by Kyan Anderson.
Oklahoma,TCU,2,4,2,2,0,Foul on Garlon Green
Oklahoma,TCU,2,4,2,2,0,Amath M'Baye missed Free Throw.
Oklahoma,TCU,2,4,2,2,0,null
Oklahoma,TCU,3,4,2,2,1,Amath M'Baye made Free Throw.
Oklahoma,TCU,3,4,2,25,0,Connell Crossland missed Jumper.
Oklahoma,TCU,3,4,2,25,0,Je'lon Hornbeak Defensive Rebound.
Oklahoma,TCU,3,4,2,49,0,Amath M'Baye missed Three Point Jumper.
Oklahoma,TCU,3,4,2,49,0,Nate Butler Lind Defensive Rebound.
Oklahoma,TCU,3,6,3,6,1,Adrick McKinney made Layup.  Assisted by Nate Butler Lind.
Oklahoma,TCU,3,6,3,31,0,Je'lon Hornbeak missed Jumper.
Oklahoma,TCU,3,6,3,31,0,Connell Crossland Defensive Rebound.
Oklahoma,TCU,3,6,3,34,0,Foul on Romero Osby
Oklahoma,TCU,3,8,3,44,1,Nate Butler Lind made Layup.  Assisted by Connell Crossland.
Oklahoma,TCU,3,8,4,1,0,Steven Pledger missed Three Point Jumper.
Oklahoma,TCU,3,8,4,1,0,Garlon Green Defensive Rebound.
Oklahoma,TCU,3,10,4,16,1,Adrick McKinney made Jumper.  Assisted by Kyan Anderson.
Oklahoma,TCU,5,10,4,23,1,Sam Grooms made Layup.
Oklahoma,TCU,5,12,4,49,1,Connell Crossland made Layup.  Assisted by Garlon Green.
Oklahoma,TCU,5,12,5,2,0,Steven Pledger missed Layup.
Oklahoma,TCU,5,12,5,2,0,Andrew Fitzgerald Offensive Rebound.
Oklahoma,TCU,7,12,5,4,1,Andrew Fitzgerald made Layup.
Oklahoma,TCU,7,15,5,30,1,Garlon Green made Three Point Jumper.  Assisted by Kyan Anderson.
Oklahoma,TCU,7,15,5,41,0,Steven Pledger missed Three Point Jumper.
Oklahoma,TCU,7,15,5,41,0,Adrick McKinney Defensive Rebound.
Oklahoma,TCU,7,15,5,48,0,Foul on Je'lon Hornbeak
Oklahoma,TCU,7,15,5,48,0,Official TV Timeout.
Oklahoma,TCU,7,15,6,5,0,Garlon Green Turnover.
Oklahoma,TCU,7,15,6,6,0,Buddy Hield Steal.
Oklahoma,TCU,7,15,6,9,0,Sam Grooms Turnover.
Oklahoma,TCU,7,15,6,10,0,Adrick McKinney Steal.
Oklahoma,TCU,7,15,6,21,0,Garlon Green Turnover.
