Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Texas Southern,Alabama State,2,0,0,12,1,Omar Strong made Layup.
Texas Southern,Alabama State,2,0,0,27,0,Phillip Crawford missed Jumper.
Texas Southern,Alabama State,2,0,0,27,0,Alabama State Offensive Rebound.
Texas Southern,Alabama State,2,0,0,34,0,Joshua Freelove missed Three Point Jumper.
Texas Southern,Alabama State,2,0,0,34,0,Fred Sturdivant Defensive Rebound.
Texas Southern,Alabama State,5,0,0,41,1,Lawrence Johnson-Danner made Three Point Jumper.  Assisted by Ray Penn.
Texas Southern,Alabama State,5,2,1,8,1,Phillip Crawford made Layup.
Texas Southern,Alabama State,5,2,1,17,0,Ray Penn missed Jumper.
Texas Southern,Alabama State,5,2,1,17,0,Fred Sturdivant Offensive Rebound.
Texas Southern,Alabama State,7,2,1,21,1,Fred Sturdivant made Layup.
Texas Southern,Alabama State,7,2,1,36,0,Phillip Crawford missed Jumper.
Texas Southern,Alabama State,7,2,1,36,0,Fred Sturdivant Defensive Rebound.
Texas Southern,Alabama State,7,2,1,40,0,Omar Strong missed Three Point Jumper.
Texas Southern,Alabama State,7,2,1,40,0,Denzell McDaniel Defensive Rebound.
Texas Southern,Alabama State,7,2,1,54,0,Denzell McDaniel missed Jumper.
Texas Southern,Alabama State,7,2,1,54,0,Fred Sturdivant Defensive Rebound.
Texas Southern,Alabama State,7,2,2,10,0,Fred Sturdivant missed Jumper.
Texas Southern,Alabama State,7,2,2,10,0,Ryan Watts Defensive Rebound.
Texas Southern,Alabama State,7,2,2,20,0,Ryan Watts missed Three Point Jumper.
Texas Southern,Alabama State,7,2,2,20,0,Lawrence Johnson-Danner Defensive Rebound.
Texas Southern,Alabama State,9,2,2,39,1,Fred Sturdivant made Layup.  Assisted by Ray Penn.
Texas Southern,Alabama State,9,4,3,11,1,Ryan Watts made Jumper.
Texas Southern,Alabama State,9,4,3,22,0,Lawrence Johnson-Danner missed Three Point Jumper.
Texas Southern,Alabama State,9,4,3,22,0,Texas Southern Offensive Rebound.
Texas Southern,Alabama State,9,4,3,32,0,Omar Strong missed Three Point Jumper.
Texas Southern,Alabama State,9,4,3,32,0,Lawrence Johnson-Danner Offensive Rebound.
Texas Southern,Alabama State,9,4,3,37,0,Foul on Phillip Crawford
Texas Southern,Alabama State,9,4,3,37,0,Lawrence Johnson-Danner missed Free Throw.
Texas Southern,Alabama State,9,4,3,37,0,null
