Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Tulsa,Little Rock,0,3,0,20,1,Taggart Lockhart made Three Point Jumper.  Assisted by John Gillon.
Tulsa,Little Rock,0,3,0,39,0,James Woodard Turnover.
Tulsa,Little Rock,0,3,1,0,0,Michael Javes missed Jumper.
Tulsa,Little Rock,0,3,1,0,0,James Woodard Defensive Rebound.
Tulsa,Little Rock,2,3,1,14,1,D'Andre Wright made Layup.
Tulsa,Little Rock,2,3,1,39,0,Will Neighbour Turnover.
Tulsa,Little Rock,2,3,1,49,0,James Woodard missed Three Point Jumper.
Tulsa,Little Rock,2,3,1,49,0,Michael Javes Defensive Rebound.
Tulsa,Little Rock,2,3,2,18,0,Will Neighbour Turnover.
Tulsa,Little Rock,2,3,2,31,0,D'Andre Wright Turnover.
Tulsa,Little Rock,2,3,2,31,0,Will Neighbour Steal.
Tulsa,Little Rock,2,3,2,31,0,Foul on Kauri Black
Tulsa,Little Rock,2,3,2,49,0,Foul on Scottie Haralson
Tulsa,Little Rock,2,3,2,49,0,Michael Javes missed Free Throw.
Tulsa,Little Rock,2,3,2,49,0,null
Tulsa,Little Rock,2,4,2,49,1,Michael Javes made Free Throw.
Tulsa,Little Rock,2,4,2,57,0,Foul on Will Neighbour
Tulsa,Little Rock,4,4,3,4,1,James Woodard made Layup.
Tulsa,Little Rock,4,4,3,22,0,Taggart Lockhart missed Three Point Jumper.
Tulsa,Little Rock,4,4,3,22,0,Shaquille Harrison Defensive Rebound.
Tulsa,Little Rock,4,4,3,39,0,Shaquille Harrison missed Layup.
Tulsa,Little Rock,4,4,3,39,0,Michael Javes Defensive Rebound.
Tulsa,Little Rock,4,6,3,54,1,Michael Javes made Jumper.  Assisted by Will Neighbour.
Tulsa,Little Rock,6,6,4,14,1,James Woodard made Jumper.
Tulsa,Little Rock,6,8,4,33,1,John Gillon made Layup.
Tulsa,Little Rock,6,8,4,36,0,Foul on John Gillon
Tulsa,Little Rock,6,8,4,36,0,Official TV Timeout.
Tulsa,Little Rock,6,8,4,59,0,D'Andre Wright missed Jumper.
Tulsa,Little Rock,6,8,4,59,0,John Gillon Defensive Rebound.
Tulsa,Little Rock,6,10,5,17,1,Michael Javes made Layup.
Tulsa,Little Rock,6,10,5,35,0,Foul on Michael Javes
Tulsa,Little Rock,7,10,5,35,1,D'Andre Wright made Free Throw.
Tulsa,Little Rock,7,10,5,35,0,D'Andre Wright missed Free Throw.
Tulsa,Little Rock,7,10,5,35,0,Will Neighbour Defensive Rebound.
Tulsa,Little Rock,7,13,5,46,1,Will Neighbour made Three Point Jumper.  Assisted by Taggart Lockhart.
Tulsa,Little Rock,7,13,6,16,0,Pat Swilling, Jr. missed Jumper.
Tulsa,Little Rock,7,13,6,16,0,D'Andre Wright Offensive Rebound.
Tulsa,Little Rock,7,13,6,17,0,Foul on Will Neighbour
Tulsa,Little Rock,8,13,6,17,1,D'Andre Wright made Free Throw.
Tulsa,Little Rock,9,13,6,17,1,D'Andre Wright made Free Throw.
Tulsa,Little Rock,9,16,6,31,1,James White made Three Point Jumper.  Assisted by John Gillon.
Tulsa,Little Rock,12,16,6,53,1,Rashad Ray made Three Point Jumper.  Assisted by Tim Peete.
Tulsa,Little Rock,12,16,7,20,0,Foul on Kauri Black
Tulsa,Little Rock,12,18,7,24,1,Gus Leeper made Layup.
Tulsa,Little Rock,12,18,7,41,0,Pat Swilling, Jr. missed Three Point Jumper.
Tulsa,Little Rock,12,18,7,41,0,John Gillon Defensive Rebound.
Tulsa,Little Rock,12,18,7,45,0,Foul on Rashad Ray
Tulsa,Little Rock,12,19,7,45,1,John Gillon made Free Throw.
Tulsa,Little Rock,12,20,7,45,1,John Gillon made Free Throw.
Tulsa,Little Rock,12,20,8,2,0,James Woodard Turnover.
Tulsa,Little Rock,12,20,8,2,0,Foul on James Woodard
Tulsa,Little Rock,12,20,8,2,0,Arkansas-Little Rock Full Timeout.
Tulsa,Little Rock,12,23,8,15,1,John Gillon made Three Point Jumper.  Assisted by Kemy Osse.
Tulsa,Little Rock,12,23,8,42,0,James Woodard missed Three Point Jumper.
Tulsa,Little Rock,12,23,8,42,0,Tulsa Offensive Rebound.
Tulsa,Little Rock,12,23,8,57,0,Zeldric King missed Jumper.
Tulsa,Little Rock,12,23,8,57,0,James White Defensive Rebound.
Tulsa,Little Rock,12,23,9,22,0,Gus Leeper missed Layup.
Tulsa,Little Rock,12,23,9,22,0,Shaquille Harrison Defensive Rebound.
Tulsa,Little Rock,12,23,9,30,0,Foul on Gus Leeper
Tulsa,Little Rock,13,23,9,30,1,James Woodard made Free Throw.
Tulsa,Little Rock,14,23,9,31,1,James Woodard made Free Throw.
Tulsa,Little Rock,14,25,9,53,1,James White made Jumper.  Assisted by Kemy Osse.
Tulsa,Little Rock,14,25,10,8,0,Shaquille Harrison Turnover.
Tulsa,Little Rock,14,25,10,10,0,Josh Hagins Steal.
Tulsa,Little Rock,14,25,10,13,0,Josh Hagins missed Layup.
Tulsa,Little Rock,14,25,10,13,0,Scottie Haralson Defensive Rebound.
Tulsa,Little Rock,14,25,10,14,0,Shaquille Harrison missed Layup.
Tulsa,Little Rock,14,25,10,14,0,Gus Leeper Block.
Tulsa,Little Rock,14,25,10,14,0,Tulsa Offensive Rebound.
Tulsa,Little Rock,14,25,10,17,0,James Woodard Turnover.
Tulsa,Little Rock,14,25,10,50,0,Kemy Osse missed Three Point Jumper.
Tulsa,Little Rock,14,25,10,50,0,James Woodard Defensive Rebound.
Tulsa,Little Rock,14,25,10,55,0,Foul on Kemy Osse
