Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UCF,East Carolina,0,2,0,17,1,Ty Armstrong made Jumper.  Assisted by Miguel Paul.
UCF,East Carolina,0,2,0,38,0,Foul on Shamarr Bowden
UCF,East Carolina,2,2,0,54,1,Keith Clanton made Layup.  Assisted by Daiquan Walker.
UCF,East Carolina,2,2,1,16,0,Maurice Kemp missed Jumper.
UCF,East Carolina,2,2,1,16,0,Keith Clanton Defensive Rebound.
UCF,East Carolina,2,2,1,33,0,Foul on Ty Armstrong
UCF,East Carolina,2,2,1,45,0,Calvin Newell missed Three Point Jumper.
UCF,East Carolina,2,2,1,45,0,Isaiah Sykes Offensive Rebound.
UCF,East Carolina,2,2,1,52,0,Isaiah Sykes missed Layup.
UCF,East Carolina,2,2,1,52,0,Robert Sampson Defensive Rebound.
UCF,East Carolina,2,4,1,56,1,Miguel Paul made Layup.
UCF,East Carolina,2,4,2,23,0,Calvin Newell missed Jumper.
UCF,East Carolina,2,4,2,23,0,Tristan Spurlock Offensive Rebound.
UCF,East Carolina,4,4,2,26,1,Tristan Spurlock made Jumper.
UCF,East Carolina,4,7,2,36,1,Robert Sampson made Three Point Jumper.  Assisted by Miguel Paul.
UCF,East Carolina,4,7,2,54,0,Isaiah Sykes missed Jumper.
UCF,East Carolina,4,7,2,54,0,Robert Sampson Defensive Rebound.
UCF,East Carolina,4,7,2,57,0,Foul on Tristan Spurlock
UCF,East Carolina,4,7,3,12,0,Miguel Paul missed Three Point Jumper.
UCF,East Carolina,4,7,3,12,0,Robert Sampson Offensive Rebound.
UCF,East Carolina,4,7,3,16,0,Robert Sampson missed Three Point Jumper.
UCF,East Carolina,4,7,3,16,0,Isaiah Sykes Defensive Rebound.
UCF,East Carolina,4,7,3,24,0,Isaiah Sykes Turnover.
UCF,East Carolina,4,9,3,37,1,Ty Armstrong made Jumper.
UCF,East Carolina,4,9,3,47,0,Foul on Maurice Kemp
UCF,East Carolina,4,9,3,56,0,Foul on Ty Armstrong
UCF,East Carolina,4,9,4,1,0,Daiquan Walker missed Three Point Jumper.
UCF,East Carolina,4,9,4,1,0,Kasey Wilson Offensive Rebound.
UCF,East Carolina,6,9,4,7,1,Kasey Wilson made Layup.
UCF,East Carolina,6,9,4,35,0,Robert Sampson missed Jumper.
UCF,East Carolina,6,9,4,35,0,Keith Clanton Block.
UCF,East Carolina,6,9,4,37,0,Isaiah Sykes Defensive Rebound.
UCF,East Carolina,6,9,4,42,0,Foul on Maurice Kemp
UCF,East Carolina,6,9,4,42,0,Official TV Timeout.
UCF,East Carolina,6,9,5,7,0,Foul on Kasey Wilson
UCF,East Carolina,6,9,5,7,0,Kasey Wilson Turnover.
UCF,East Carolina,6,9,5,24,0,Paris Roberts-Campbell missed Three Point Jumper.
UCF,East Carolina,6,9,5,24,0,Daiquan Walker Defensive Rebound.
UCF,East Carolina,6,9,5,45,0,Daiquan Walker missed Three Point Jumper.
UCF,East Carolina,6,9,5,45,0,Miguel Paul Block.
UCF,East Carolina,6,9,5,47,0,Keith Clanton Offensive Rebound.
UCF,East Carolina,6,9,5,49,0,Keith Clanton missed Jumper.
UCF,East Carolina,6,9,5,49,0,Corvonn Gaines Defensive Rebound.
UCF,East Carolina,6,9,6,8,0,Miguel Paul missed Three Point Jumper.
UCF,East Carolina,6,9,6,8,0,Keith Clanton Defensive Rebound.
UCF,East Carolina,6,9,6,21,0,Daiquan Walker missed Jumper.
UCF,East Carolina,6,9,6,21,0,Robert Sampson Defensive Rebound.
UCF,East Carolina,6,12,6,28,1,Miguel Paul made Three Point Jumper.
UCF,East Carolina,8,12,6,45,1,Keith Clanton made Layup.  Assisted by Calvin Newell.
UCF,East Carolina,8,12,7,5,0,Marshall Guilmette missed Jumper.
UCF,East Carolina,8,12,7,5,0,Keith Clanton Defensive Rebound.
UCF,East Carolina,8,12,7,16,0,Isaiah Sykes missed Jumper.
UCF,East Carolina,8,12,7,16,0,Robert Sampson Defensive Rebound.
UCF,East Carolina,8,15,7,25,1,Paris Roberts-Campbell made Three Point Jumper.  Assisted by Corvonn Gaines.
UCF,East Carolina,10,15,7,42,1,Keith Clanton made Layup.  Assisted by Isaiah Sykes.
UCF,East Carolina,10,15,8,3,0,Paris Roberts-Campbell missed Three Point Jumper.
UCF,East Carolina,10,15,8,3,0,Paris Roberts-Campbell Offensive Rebou.
UCF,East Carolina,10,18,8,11,1,Miguel Paul made Three Point Jumper.  Assisted by Corvonn Gaines.
UCF,East Carolina,12,18,8,20,1,Isaiah Sykes made Layup.
UCF,East Carolina,12,18,8,22,0,Official TV Timeout.
UCF,East Carolina,12,18,8,45,0,Michael Zangari missed Jumper.
UCF,East Carolina,12,18,8,45,0,Tristan Spurlock Defensive Rebound.
UCF,East Carolina,12,18,9,3,0,Keith Clanton Turnover.
UCF,East Carolina,12,18,9,14,0,Akeem Richmond missed Three Point Jumper.
UCF,East Carolina,12,18,9,14,0,Isaiah Sykes Defensive Rebound.
UCF,East Carolina,14,18,9,32,1,Isaiah Sykes made Layup.
UCF,East Carolina,14,20,9,49,1,Marshall Guilmette made Jumper.  Assisted by Paris Roberts-Campbell.
UCF,East Carolina,16,20,10,6,1,Calvin Newell made Layup.
UCF,East Carolina,16,20,10,24,0,Marshall Guilmette Turnover.
UCF,East Carolina,16,20,10,26,0,Tristan Spurlock Steal.
UCF,East Carolina,16,20,10,29,0,Calvin Newell missed Layup.
UCF,East Carolina,16,20,10,29,0,Keith Clanton Offensive Rebound.
UCF,East Carolina,18,20,10,31,1,Keith Clanton made Jumper.
UCF,East Carolina,18,20,10,49,0,Foul on Keith Clanton
UCF,East Carolina,18,20,10,52,0,Akeem Richmond missed Three Point Jumper.
UCF,East Carolina,18,20,10,52,0,Tristan Spurlock Defensive Rebound.
UCF,East Carolina,20,20,11,4,1,Kasey Wilson made Layup.  Assisted by Tristan Spurlock.
UCF,East Carolina,20,20,11,20,0,Akeem Richmond missed Three Point Jumper.
UCF,East Carolina,20,20,11,20,0,Rod Days Defensive Rebound.
UCF,East Carolina,20,20,11,24,0,Rod Days Turnover.
UCF,East Carolina,20,22,11,44,1,Ty Armstrong made Jumper.  Assisted by Miguel Paul.
UCF,East Carolina,20,22,12,20,0,Tristan Spurlock missed Three Point Jumper.
UCF,East Carolina,20,22,12,20,0,Corvonn Gaines Defensive Rebound.
UCF,East Carolina,20,22,12,37,0,Miguel Paul Turnover.
UCF,East Carolina,20,22,12,38,0,Rod Days Steal.
UCF,East Carolina,20,22,12,43,0,Isaiah Sykes missed Layup.
UCF,East Carolina,20,22,12,43,0,Tristan Spurlock Offensive Rebound.
UCF,East Carolina,22,22,12,46,1,Tristan Spurlock made Tip Shot.
UCF,East Carolina,22,22,13,0,0,Miguel Paul missed Layup.
UCF,East Carolina,22,22,13,0,0,Ty Armstrong Offensive Rebound.
UCF,East Carolina,22,22,13,3,0,Ty Armstrong missed Jumper.
UCF,East Carolina,22,22,13,3,0,Tristan Spurlock Defensive Rebound.
UCF,East Carolina,22,22,13,31,0,Isaiah Sykes Turnover.
UCF,East Carolina,22,22,13,33,0,Shamarr Bowden Steal.
UCF,East Carolina,22,24,13,35,1,Shamarr Bowden made Layup.
UCF,East Carolina,22,24,13,35,0,Foul on Kasey Wilson
UCF,East Carolina,22,24,13,35,0,Official TV Timeout.
UCF,East Carolina,22,24,13,35,0,Shamarr Bowden missed Free Throw.
UCF,East Carolina,22,24,13,35,0,UCF Defensive Rebound.
UCF,East Carolina,22,24,14,11,0,Tristan Spurlock missed Three Point Jumper.
UCF,East Carolina,22,24,14,11,0,Miguel Paul Defensive Rebound.
UCF,East Carolina,22,24,14,17,0,Ty Armstrong missed Layup.
UCF,East Carolina,22,24,14,17,0,Rod Days Defensive Rebound.
UCF,East Carolina,22,24,14,25,0,Matt Williams missed Three Point Jumper.
UCF,East Carolina,22,24,14,25,0,Robert Sampson Defensive Rebound.
UCF,East Carolina,22,24,14,38,0,Ty Armstrong missed Jumper.
UCF,East Carolina,22,24,14,38,0,Keith Clanton Defensive Rebound.
UCF,East Carolina,22,24,14,54,0,Foul on Keith Clanton
UCF,East Carolina,22,24,14,54,0,Keith Clanton Turnover.
UCF,East Carolina,22,24,15,11,0,Maurice Kemp missed Jumper.
UCF,East Carolina,22,24,15,11,0,Dylan Karell Defensive Rebound.
UCF,East Carolina,24,24,15,26,1,Calvin Newell made Layup.
UCF,East Carolina,24,24,15,47,0,Paris Roberts-Campbell missed Three Point Jumper.
