Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Vermont,UConn,0,0,0,16,0,Foul on Ethan O'Day
Vermont,UConn,0,0,0,22,0,DeAndre Daniels missed Jumper.
Vermont,UConn,0,0,0,22,0,DeAndre Daniels Offensive Rebound.
Vermont,UConn,0,0,0,22,0,Foul on Luke Apfeld
Vermont,UConn,0,1,0,22,1,DeAndre Daniels made Free Throw.
Vermont,UConn,0,1,0,22,0,DeAndre Daniels missed Free Throw.
Vermont,UConn,0,1,0,22,0,Brian Voelkel Defensive Rebound.
Vermont,UConn,0,1,0,38,0,Luke Apfeld missed Jumper.
Vermont,UConn,0,1,0,38,0,Ethan O'Day Offensive Rebound.
Vermont,UConn,0,1,0,41,0,Ethan O'Day missed Tip Shot.
Vermont,UConn,0,1,0,41,0,Shabazz Napier Defensive Rebound.
Vermont,UConn,0,3,0,48,1,Tyler Olander made Jumper.  Assisted by Ryan Boatright.
Vermont,UConn,0,3,1,9,0,Brian Voelkel Turnover.
Vermont,UConn,0,3,1,11,0,Omar Calhoun Steal.
Vermont,UConn,0,5,1,17,1,DeAndre Daniels made Jumper.  Assisted by Ryan Boatright.
Vermont,UConn,0,5,1,48,0,Sandro Carissimo missed Jumper.
Vermont,UConn,0,5,1,48,0,Ethan O'Day Offensive Rebound.
Vermont,UConn,0,5,1,51,0,Ethan O'Day missed Layup.
Vermont,UConn,0,5,1,51,0,Ethan O'Day Offensive Rebound.
Vermont,UConn,0,5,1,53,0,Ethan O'Day missed Layup.
Vermont,UConn,0,5,1,53,0,Tyler Olander Block.
Vermont,UConn,0,5,1,55,0,Luke Apfeld Offensive Rebound.
Vermont,UConn,0,5,1,59,0,Luke Apfeld Turnover.
Vermont,UConn,0,5,2,0,0,Omar Calhoun Steal.
Vermont,UConn,0,5,2,2,0,Tyler Olander Turnover.
Vermont,UConn,0,5,2,6,0,Luke Apfeld Steal.
Vermont,UConn,0,5,2,11,0,Foul on Omar Calhoun
Vermont,UConn,2,5,2,11,1,Ethan O'Day made Layup.  Assisted by Brian Voelkel.
Vermont,UConn,2,7,2,57,1,Ryan Boatright made Jumper.
Vermont,UConn,2,7,3,20,0,Luke Apfeld missed Layup.
Vermont,UConn,2,7,3,20,0,Tyler Olander Block.
Vermont,UConn,2,7,3,21,0,DeAndre Daniels Defensive Rebound.
Vermont,UConn,2,7,3,43,0,DeAndre Daniels missed Layup.
Vermont,UConn,2,7,3,43,0,Luke Apfeld Defensive Rebound.
Vermont,UConn,2,7,3,56,0,Luke Apfeld Turnover.
Vermont,UConn,2,7,4,11,0,Tyler Olander missed Jumper.
Vermont,UConn,2,7,4,11,0,Clancy Rugg Defensive Rebound.
Vermont,UConn,2,7,4,23,0,Clancy Rugg missed Three Point Jumper.
Vermont,UConn,2,7,4,23,0,Sandro Carissimo Offensive Rebound.
Vermont,UConn,2,7,4,40,0,Official TV Timeout.
Vermont,UConn,4,7,4,47,1,Brian Voelkel made Jumper.
Vermont,UConn,4,7,5,4,0,Omar Calhoun missed Jumper.
Vermont,UConn,4,7,5,4,0,Josh Elbaum Defensive Rebound.
Vermont,UConn,6,7,5,30,1,Clancy Rugg made Layup.  Assisted by Brian Voelkel.
Vermont,UConn,6,7,5,52,0,DeAndre Daniels missed Layup.
Vermont,UConn,6,7,5,52,0,Connecticut Offensive Rebound.
Vermont,UConn,6,7,6,6,0,Ryan Boatright Turnover.
Vermont,UConn,6,7,6,7,0,Trey Blue Steal.
Vermont,UConn,6,7,6,8,0,Foul on Ryan Boatright
Vermont,UConn,6,7,6,8,0,Trey Blue missed Free Throw.
Vermont,UConn,6,7,6,8,0,null
Vermont,UConn,7,7,6,8,1,Trey Blue made Free Throw.
Vermont,UConn,7,7,6,19,0,DeAndre Daniels missed Three Point Jumper.
Vermont,UConn,7,7,6,19,0,Tyler Olander Offensive Rebound.
Vermont,UConn,7,7,6,25,0,Tyler Olander missed Layup.
Vermont,UConn,7,7,6,25,0,Brendan Kilpatrick Block.
Vermont,UConn,7,7,6,27,0,Josh Elbaum Defensive Rebound.
Vermont,UConn,7,7,6,42,0,Luke Apfeld missed Jumper.
Vermont,UConn,7,7,6,42,0,Niels Giffey Defensive Rebound.
Vermont,UConn,7,7,6,56,0,Tyler Olander missed Layup.
Vermont,UConn,7,7,6,56,0,Vermont Defensive Rebound.
Vermont,UConn,7,7,6,57,0,Foul on DeAndre Daniels
Vermont,UConn,7,7,7,7,0,Josh Elbaum Turnover.
Vermont,UConn,7,7,7,9,0,Shabazz Napier Steal.
Vermont,UConn,7,9,7,12,1,R.J. Evans made Layup.  Assisted by DeAndre Daniels.
Vermont,UConn,7,9,7,30,0,Brendan Kilpatrick missed Three Point Jumper.
Vermont,UConn,7,9,7,30,0,Trey Blue Offensive Rebound.
Vermont,UConn,10,9,7,35,1,Trey Blue made Three Point Jumper.
Vermont,UConn,10,11,8,4,1,R.J. Evans made Layup.  Assisted by Tyler Olander.
Vermont,UConn,10,11,8,19,0,Brendan Kilpatrick Turnover.
Vermont,UConn,10,11,8,20,0,DeAndre Daniels Steal.
Vermont,UConn,10,13,8,23,1,DeAndre Daniels made Dunk.
Vermont,UConn,10,13,8,25,0,Vermont Full Timeout.
Vermont,UConn,10,13,8,37,0,Candon Rusin missed Three Point Jumper.
Vermont,UConn,10,13,8,37,0,Luke Apfeld Offensive Rebound.
Vermont,UConn,10,13,8,39,0,Foul on R.J. Evans
Vermont,UConn,10,13,8,39,0,Official TV Timeout.
Vermont,UConn,11,13,8,39,1,Luke Apfeld made Free Throw.
Vermont,UConn,12,13,8,39,1,Luke Apfeld made Free Throw.
Vermont,UConn,12,13,9,0,0,Niels Giffey missed Jumper.
Vermont,UConn,12,13,9,0,0,Sandro Carissimo Defensive Rebound.
Vermont,UConn,12,13,9,29,0,Foul on R.J. Evans
Vermont,UConn,12,13,9,44,0,Candon Rusin missed Layup.
Vermont,UConn,12,13,9,44,0,Phillip Nolan Block.
Vermont,UConn,12,13,9,45,0,Connecticut Defensive Rebound.
Vermont,UConn,12,13,10,14,0,Leon Tolksdorf missed Three Point Jumper.
Vermont,UConn,12,13,10,14,0,Niels Giffey Offensive Rebound.
Vermont,UConn,12,15,10,35,1,Phillip Nolan made Layup.  Assisted by Ryan Boatright.
Vermont,UConn,12,15,10,59,0,Foul on Niels Giffey
Vermont,UConn,12,15,10,59,0,Brian Voelkel missed Free Throw.
Vermont,UConn,12,15,10,59,0,null
Vermont,UConn,13,15,10,59,1,Brian Voelkel made Free Throw.
