Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Air Force,UNLV,0,2,0,15,1,Bryce Dejean-Jones made Jumper. Assisted by Kevin Olekaibe.
Air Force,UNLV,2,2,0,28,1,Tre' Coggins made Layup.
Air Force,UNLV,2,2,0,54,0,Bryce Dejean-Jones missed Three Point Jumper.
Air Force,UNLV,2,2,0,54,0,Justin Hammonds Defensive Rebound.
Air Force,UNLV,2,2,1,8,0,Foul on Roscoe Smith.
Air Force,UNLV,2,2,1,9,0,Max Yon Turnover.
Air Force,UNLV,2,2,1,10,0,Kendall Smith Steal.
Air Force,UNLV,2,2,1,11,0,Kevin Olekaibe Turnover.
Air Force,UNLV,5,2,1,20,1,Tre' Coggins made Three Point Jumper.
Air Force,UNLV,5,2,1,46,0,Khem Birch Turnover.
Air Force,UNLV,7,2,1,59,1,Justin Hammonds made Layup.
Air Force,UNLV,7,2,2,3,0,UNLV  Timeout
Air Force,UNLV,7,4,2,10,1,Bryce Dejean-Jones made Layup. Assisted by Kendall Smith.
Air Force,UNLV,7,4,2,26,0,Kamryn Williams Turnover.
Air Force,UNLV,7,4,2,26,0,Roscoe Smith Steal.
Air Force,UNLV,7,4,2,36,0,Khem Birch missed Layup.
Air Force,UNLV,7,4,2,36,0,Roscoe Smith Offensive Rebound.
Air Force,UNLV,7,4,2,39,0,Roscoe Smith missed Two Point Tip Shot.
Air Force,UNLV,7,4,2,39,0,Tre' Coggins Defensive Rebound.
Air Force,UNLV,7,4,2,43,0,Marek Olesinski missed Three Point Jumper.
Air Force,UNLV,7,4,2,43,0,Roscoe Smith Defensive Rebound.
Air Force,UNLV,7,4,2,59,0,Khem Birch Turnover.
Air Force,UNLV,7,4,3,0,0,Tre' Coggins Steal.
Air Force,UNLV,9,4,3,7,1,Max Yon made Layup. Assisted by Tre' Coggins.
Air Force,UNLV,9,7,3,20,1,Kevin Olekaibe made Three Point Jumper. Assisted by Kendall Smith.
Air Force,UNLV,9,7,3,44,0,Justin Hammonds missed Layup.
Air Force,UNLV,9,7,3,44,0,Roscoe Smith Defensive Rebound.
Air Force,UNLV,9,7,3,53,0,Foul on Tre' Coggins.
Air Force,UNLV,9,9,3,59,1,Khem Birch made Layup. Assisted by Bryce Dejean-Jones.
