Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Mississippi Valley State,Alabama A&M;,0,3,0,16,1,Brandon Ellis made Three Point Jumper. Assisted by Nicholas West.
Mississippi Valley State,Alabama A&M;,2,3,0,36,1,DeAngelo Priar made Jumper.
Mississippi Valley State,Alabama A&M;,2,5,0,50,1,Nicholas West made Layup.
Mississippi Valley State,Alabama A&M;,4,5,1,9,1,Daniel Hurtt made Jumper. Assisted by DeAngelo Priar.
Mississippi Valley State,Alabama A&M;,4,7,1,34,1,Jerome Hunter made Layup. Assisted by Nicholas West.
Mississippi Valley State,Alabama A&M;,6,7,2,1,1,Julius Francis made Jumper. Assisted by Jeffrey Simmons.
Mississippi Valley State,Alabama A&M;,6,9,2,7,1,Brandon Ellis made Layup. Assisted by Green Hill.
Mississippi Valley State,Alabama A&M;,9,9,2,21,1,DeAngelo Priar made Three Point Jumper.
Mississippi Valley State,Alabama A&M;,9,11,2,46,1,Jerome Hunter made Jumper.
Mississippi Valley State,Alabama A&M;,9,11,2,48,0,Foul on Julius Francis.
Mississippi Valley State,Alabama A&M;,9,12,2,48,1,Jerome Hunter made Free Throw.
Mississippi Valley State,Alabama A&M;,12,12,2,48,1,Anthony McDonald made Three Point Jumper. Assisted by Jeffrey Simmons.
Mississippi Valley State,Alabama A&M;,12,12,2,48,0,Jerome Hunter missed Jumper.
Mississippi Valley State,Alabama A&M;,12,12,2,48,0,Jeffrey Simmons Defensive Rebound.
Mississippi Valley State,Alabama A&M;,12,12,2,48,0,Daniel Hurtt missed Jumper.
Mississippi Valley State,Alabama A&M;,12,12,2,48,0,Jerome Hunter Defensive Rebound.
Mississippi Valley State,Alabama A&M;,12,12,2,48,0,Jerome Hunter missed Jumper.
Mississippi Valley State,Alabama A&M;,12,12,2,48,0,Anthony McDonald Defensive Rebound.
Mississippi Valley State,Alabama A&M;,12,12,2,54,0,Foul on Brandon Ellis.
Mississippi Valley State,Alabama A&M;,12,12,3,11,0,DeAngelo Priar Turnover.
Mississippi Valley State,Alabama A&M;,12,14,3,32,1,Brandon Ellis made Jumper.
Mississippi Valley State,Alabama A&M;,12,14,4,39,0,Official TV Timeout
Mississippi Valley State,Alabama A&M;,12,14,4,39,0,Julius Francis missed Free Throw.
Mississippi Valley State,Alabama A&M;,12,14,4,39,0,Miss Valley St Deadball Team Rebound.
Mississippi Valley State,Alabama A&M;,12,14,4,39,0,Julius Francis missed Free Throw.
Mississippi Valley State,Alabama A&M;,12,14,4,39,0,James Currington Offensive Rebound.
Mississippi Valley State,Alabama A&M;,14,14,4,41,1,James Currington made Layup.
Mississippi Valley State,Alabama A&M;,14,14,5,8,0,Jerome Hunter Turnover.
Mississippi Valley State,Alabama A&M;,14,14,5,9,0,DeAngelo Priar Steal.
Mississippi Valley State,Alabama A&M;,14,14,5,12,0,Anthony McDonald missed Three Point Jumper.
Mississippi Valley State,Alabama A&M;,14,14,5,12,0,Nicholas West Defensive Rebound.
Mississippi Valley State,Alabama A&M;,14,17,5,24,1,Nicholas West made Three Point Jumper. Assisted by Jerome Hunter.
Mississippi Valley State,Alabama A&M;,14,17,5,46,0,Foul on Jerome Hunter.
Mississippi Valley State,Alabama A&M;,15,17,5,46,1,DeAngelo Priar made Free Throw.
Mississippi Valley State,Alabama A&M;,16,17,5,46,1,DeAngelo Priar made Free Throw.
