Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UMass Lowell,Albany,0,0,0,20,0,Tyler Livingston missed Three Point Jumper.
UMass Lowell,Albany,0,0,0,20,0,Gary Johnson Defensive Rebound.
UMass Lowell,Albany,0,0,0,26,0,Foul on Tyler Livingston.
UMass Lowell,Albany,0,3,0,47,1,Peter Hooley made Three Point Jumper. Assisted by Gary Johnson.
UMass Lowell,Albany,0,3,1,14,0,Akeem Williams missed Three Point Jumper.
UMass Lowell,Albany,0,3,1,14,0,Sam Rowley Defensive Rebound.
UMass Lowell,Albany,0,5,1,28,1,John Puk made Jumper. Assisted by Gary Johnson.
UMass Lowell,Albany,0,5,1,42,0,Kerry Weldon missed Layup.
UMass Lowell,Albany,0,5,1,42,0,Sam Rowley Block.
UMass Lowell,Albany,0,5,1,45,0,Gary Johnson Defensive Rebound.
UMass Lowell,Albany,0,5,1,48,0,Foul on DJ Mlachnik.
UMass Lowell,Albany,0,5,1,48,0,Gary Johnson missed Free Throw.
UMass Lowell,Albany,0,5,1,48,0,Albany Deadball Team Rebound.
UMass Lowell,Albany,0,5,1,48,0,Gary Johnson missed Free Throw.
UMass Lowell,Albany,0,5,1,48,0,Kerry Weldon Defensive Rebound.
UMass Lowell,Albany,0,5,2,24,0,Massachusetts Lowell  Turnover.
UMass Lowell,Albany,0,7,2,33,1,John Puk made Layup. Assisted by Sam Rowley.
UMass Lowell,Albany,0,7,2,50,0,Kerry Weldon missed Dunk.
UMass Lowell,Albany,0,7,2,50,0,Gary Johnson Defensive Rebound.
UMass Lowell,Albany,0,7,2,56,0,Sam Rowley Turnover.
UMass Lowell,Albany,0,7,2,58,0,Tyler Livingston Steal.
UMass Lowell,Albany,3,7,3,3,1,Akeem Williams made Three Point Jumper. Assisted by Chad Holley.
UMass Lowell,Albany,3,9,3,27,1,Sam Rowley made Jumper.
UMass Lowell,Albany,3,9,3,46,0,DJ Mlachnik missed Three Point Jumper.
UMass Lowell,Albany,3,9,3,46,0,Peter Hooley Defensive Rebound.
UMass Lowell,Albany,3,9,4,0,0,John Puk missed Layup.
UMass Lowell,Albany,3,9,4,0,0,John Puk Offensive Rebound.
UMass Lowell,Albany,3,9,4,4,0,Foul on Gary Johnson.
UMass Lowell,Albany,3,9,4,4,0,Gary Johnson Turnover.
UMass Lowell,Albany,3,9,4,4,0,Official TV Timeout
UMass Lowell,Albany,6,9,4,27,1,Chad Holley made Three Point Jumper. Assisted by Antonio Bivins.
UMass Lowell,Albany,6,12,4,49,1,DJ Evans made Three Point Jumper. Assisted by Gary Johnson.
UMass Lowell,Albany,6,12,5,38,0,Akeem Williams missed Jumper.
UMass Lowell,Albany,6,12,5,38,0,Sam Rowley Defensive Rebound.
UMass Lowell,Albany,6,12,5,46,0,Sam Rowley missed Layup.
UMass Lowell,Albany,6,12,5,46,0,Tyler Livingston Defensive Rebound.
UMass Lowell,Albany,6,12,5,50,0,Chad Holley missed Jumper.
UMass Lowell,Albany,6,12,5,50,0,John Puk Defensive Rebound.
UMass Lowell,Albany,6,12,5,54,0,John Puk Turnover.
UMass Lowell,Albany,6,12,5,54,0,Akeem Williams Steal.
UMass Lowell,Albany,6,12,6,13,0,Tyler Livingston missed Three Point Jumper.
UMass Lowell,Albany,6,12,6,13,0,DJ Evans Defensive Rebound.
UMass Lowell,Albany,6,14,6,19,1,Gary Johnson made Dunk. Assisted by Peter Hooley.
UMass Lowell,Albany,6,14,6,27,0,Massachusetts Lowell  Timeout
UMass Lowell,Albany,6,14,7,2,0,Mark Cornelius missed Three Point Jumper.
UMass Lowell,Albany,6,14,7,2,0,Luke Devlin Defensive Rebound.
UMass Lowell,Albany,6,16,7,11,1,Luke Devlin made Layup. Assisted by Gary Johnson.
UMass Lowell,Albany,8,16,7,44,1,Antonio Bivins made Layup. Assisted by Akeem Williams.
UMass Lowell,Albany,8,18,8,14,1,DJ Evans made Layup.
UMass Lowell,Albany,8,18,8,29,0,Antonio Bivins Turnover.
UMass Lowell,Albany,8,18,8,31,0,DJ Evans Steal.
UMass Lowell,Albany,8,20,8,34,1,DJ Evans made Layup.
UMass Lowell,Albany,8,20,8,34,0,Foul on Antonio Bivins.
UMass Lowell,Albany,8,20,8,34,0,Official TV Timeout
UMass Lowell,Albany,8,21,8,34,1,DJ Evans made Free Throw.
UMass Lowell,Albany,11,21,8,50,1,Akeem Williams made Three Point Jumper. Assisted by Chad Holley.
UMass Lowell,Albany,11,21,9,20,0,DJ Evans missed Jumper.
UMass Lowell,Albany,11,21,9,20,0,Mark Cornelius Defensive Rebound.
UMass Lowell,Albany,11,21,9,29,0,Mark Cornelius missed Three Point Jumper.
UMass Lowell,Albany,11,21,9,29,0,Peter Hooley Defensive Rebound.
UMass Lowell,Albany,11,23,9,47,1,Peter Hooley made Jumper.
UMass Lowell,Albany,11,23,9,47,0,Foul on Mark Cornelius.
UMass Lowell,Albany,11,24,9,47,1,Peter Hooley made Free Throw.
UMass Lowell,Albany,11,24,10,20,0,Mark Cornelius missed Three Point Jumper.
UMass Lowell,Albany,11,24,10,20,0,Peter Hooley Defensive Rebound.
UMass Lowell,Albany,11,24,10,33,0,Luke Devlin missed Jumper.
UMass Lowell,Albany,11,24,10,33,0,Massachusetts Lowell Defensive Rebound.
UMass Lowell,Albany,11,24,10,33,0,Foul on Dallas Ennema.
UMass Lowell,Albany,11,24,10,48,0,Antonio Bivins missed Layup.
UMass Lowell,Albany,11,24,10,48,0,John Puk Block.
UMass Lowell,Albany,11,24,10,50,0,Peter Hooley Defensive Rebound.
UMass Lowell,Albany,11,26,11,7,1,Luke Devlin made Layup. Assisted by Peter Hooley.
UMass Lowell,Albany,11,26,11,24,0,DJ Mlachnik missed Three Point Jumper.
UMass Lowell,Albany,11,26,11,24,0,Luke Devlin Defensive Rebound.
UMass Lowell,Albany,11,28,11,45,1,Gary Johnson made Layup.
UMass Lowell,Albany,11,28,11,48,0,Massachusetts Lowell  Timeout
UMass Lowell,Albany,11,28,11,50,0,Foul on Gary Johnson.
UMass Lowell,Albany,13,28,12,6,1,Antonio Bivins made Layup. Assisted by Mark Cornelius.
UMass Lowell,Albany,13,28,12,24,0,Sam Rowley Turnover.
UMass Lowell,Albany,13,28,12,26,0,Kerry Weldon Steal.
