Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Alcorn State,Alabama State,0,0,0,16,0,Foul on Devonte Hampton.
Alcorn State,Alabama State,0,0,0,16,0,Jamel Waters missed Free Throw.
Alcorn State,Alabama State,0,0,0,16,0,Alabama St Deadball Team Rebound.
Alcorn State,Alabama State,0,0,0,16,0,Jamel Waters missed Free Throw.
Alcorn State,Alabama State,0,0,0,16,0,Stephan Raquil Defensive Rebound.
Alcorn State,Alabama State,2,0,0,27,1,Stephan Raquil made Dunk. Assisted by Marquis Vance.
Alcorn State,Alabama State,2,2,0,58,1,Tony Armstrong made Jumper.
Alcorn State,Alabama State,2,2,1,39,0,LeAntwan Luckett missed Jumper.
Alcorn State,Alabama State,2,2,1,39,0,Maurice Strong Defensive Rebound.
Alcorn State,Alabama State,2,2,1,57,0,Tony Armstrong missed Jumper.
Alcorn State,Alabama State,2,2,1,57,0,Marquis Vance Defensive Rebound.
Alcorn State,Alabama State,2,2,2,5,0,Foul on Tony Armstrong.
Alcorn State,Alabama State,3,2,2,5,1,Marquis Vance made Free Throw.
Alcorn State,Alabama State,3,2,2,5,0,Marquis Vance missed Free Throw.
Alcorn State,Alabama State,3,2,2,5,0,Stephan Raquil Offensive Rebound.
Alcorn State,Alabama State,3,2,2,17,0,LeAntwan Luckett missed Layup.
Alcorn State,Alabama State,3,2,2,17,0,Maurice Strong Defensive Rebound.
Alcorn State,Alabama State,3,2,2,28,0,Jamel Waters Turnover.
Alcorn State,Alabama State,3,2,2,29,0,Devonte Hampton Steal.
Alcorn State,Alabama State,3,2,2,32,0,Devonte Hampton missed Jumper.
Alcorn State,Alabama State,3,2,2,32,0,LeAntwan Luckett Offensive Rebound.
Alcorn State,Alabama State,3,2,2,33,0,Foul on LeAntwan Luckett.
Alcorn State,Alabama State,3,2,2,33,0,LeAntwan Luckett Turnover.
Alcorn State,Alabama State,3,2,2,58,0,Terrance LeFlore missed Three Point Jumper.
Alcorn State,Alabama State,3,2,2,58,0,Maurice Strong Offensive Rebound.
Alcorn State,Alabama State,3,2,3,4,0,Jamel Waters missed Jumper.
Alcorn State,Alabama State,3,2,3,4,0,LeAntwan Luckett Defensive Rebound.
Alcorn State,Alabama State,3,2,3,7,0,Foul on Terrance LeFlore.
Alcorn State,Alabama State,3,2,3,26,0,Marquis Vance missed Jumper.
Alcorn State,Alabama State,3,2,3,26,0,Maurice Strong Defensive Rebound.
Alcorn State,Alabama State,3,2,3,43,0,Jamel Waters Turnover.
Alcorn State,Alabama State,3,2,3,44,0,LeAntwan Luckett Steal.
Alcorn State,Alabama State,3,2,3,47,0,LeAntwan Luckett missed Layup.
Alcorn State,Alabama State,3,2,3,47,0,Terrance LeFlore Defensive Rebound.
Alcorn State,Alabama State,3,2,3,53,0,Foul on Brandon Graham.
Alcorn State,Alabama State,3,2,3,53,0,Brandon Graham Turnover.
Alcorn State,Alabama State,3,2,4,12,0,Foul on Maurice Strong.
Alcorn State,Alabama State,3,2,4,12,0,Official TV Timeout
Alcorn State,Alabama State,3,2,4,12,0,LeAntwan Luckett missed Free Throw.
Alcorn State,Alabama State,3,2,4,12,0,Alcorn St Deadball Team Rebound.
Alcorn State,Alabama State,4,2,4,12,1,LeAntwan Luckett made Free Throw.
Alcorn State,Alabama State,4,4,4,30,1,Tony Armstrong made Jumper.
Alcorn State,Alabama State,4,4,4,55,0,LeAntwan Luckett missed Three Point Jumper.
Alcorn State,Alabama State,4,4,4,55,0,Marquis Vance Offensive Rebound.
Alcorn State,Alabama State,4,4,5,3,0,Marquis Vance missed Jumper.
Alcorn State,Alabama State,4,4,5,3,0,Marquis Vance Offensive Rebound.
Alcorn State,Alabama State,6,4,5,6,1,Marquis Vance made Jumper.
Alcorn State,Alabama State,6,4,5,28,0,Maurice Strong Turnover.
Alcorn State,Alabama State,6,4,5,29,0,LeAntwan Luckett Steal.
Alcorn State,Alabama State,8,4,5,31,1,LeAntwan Luckett made Layup.
Alcorn State,Alabama State,8,4,5,54,0,Tony Armstrong missed Jumper.
Alcorn State,Alabama State,8,4,5,54,0,Octavius Brown Defensive Rebound.
Alcorn State,Alabama State,8,4,6,9,0,Marquis Vance missed Three Point Jumper.
Alcorn State,Alabama State,8,4,6,9,0,Jamel Waters Defensive Rebound.
Alcorn State,Alabama State,8,6,6,17,1,Tony Armstrong made Jumper.
Alcorn State,Alabama State,8,6,6,37,0,Devonte Hampton missed Jumper.
Alcorn State,Alabama State,8,6,6,37,0,Alabama St Defensive Rebound.
Alcorn State,Alabama State,8,6,7,5,0,DeMarcus Robinson Turnover.
Alcorn State,Alabama State,8,6,7,5,0,Tyrel Hunt Steal.
Alcorn State,Alabama State,8,6,7,6,0,Alcorn St  Timeout
Alcorn State,Alabama State,8,6,7,29,0,LeAntwan Luckett missed Three Point Jumper.
Alcorn State,Alabama State,8,6,7,29,0,Billy Ingram Defensive Rebound.
Alcorn State,Alabama State,8,6,7,46,0,Foul on Maurice Strong.
Alcorn State,Alabama State,8,6,7,46,0,Maurice Strong Turnover.
Alcorn State,Alabama State,10,6,8,2,1,Tyrel Hunt made Layup.
Alcorn State,Alabama State,10,6,8,17,0,DeMarcus Robinson missed Jumper.
Alcorn State,Alabama State,10,6,8,17,0,Josh Nicholas Defensive Rebound.
Alcorn State,Alabama State,10,6,8,21,0,Official TV Timeout
Alcorn State,Alabama State,10,6,8,38,0,Tyrel Hunt Turnover.
Alcorn State,Alabama State,10,6,8,40,0,Luther Page Steal.
Alcorn State,Alabama State,10,6,8,46,0,Terrance LeFlore missed Jumper.
Alcorn State,Alabama State,10,6,8,46,0,Luther Page Offensive Rebound.
Alcorn State,Alabama State,10,6,8,48,0,Luther Page missed Jumper.
Alcorn State,Alabama State,10,6,8,48,0,Tyrel Hunt Defensive Rebound.
Alcorn State,Alabama State,10,6,9,10,0,Tyrel Hunt missed Jumper.
Alcorn State,Alabama State,10,6,9,10,0,Josh Nicholas Offensive Rebound.
Alcorn State,Alabama State,10,6,9,11,0,Foul on Tony Armstrong.
Alcorn State,Alabama State,11,6,9,11,1,Josh Nicholas made Free Throw.
Alcorn State,Alabama State,12,6,9,11,1,Josh Nicholas made Free Throw.
Alcorn State,Alabama State,12,6,9,26,0,Billy Ingram missed Three Point Jumper.
Alcorn State,Alabama State,12,6,9,26,0,Terrance LeFlore Offensive Rebound.
Alcorn State,Alabama State,12,6,9,38,0,Foul on Josh Nicholas.
Alcorn State,Alabama State,12,6,9,43,0,Terrance LeFlore Turnover.
Alcorn State,Alabama State,12,6,9,45,0,LeAntwan Luckett Steal.
Alcorn State,Alabama State,14,6,9,47,1,LeAntwan Luckett made Layup.
Alcorn State,Alabama State,14,6,9,58,0,DeMarcus Robinson missed Three Point Jumper.
Alcorn State,Alabama State,14,6,9,58,0,LeAntwan Luckett Defensive Rebound.
Alcorn State,Alabama State,16,6,10,18,1,Josh Nicholas made Jumper. Assisted by LeAntwan Luckett.
Alcorn State,Alabama State,16,6,10,27,0,Alabama St  Timeout
Alcorn State,Alabama State,16,8,10,37,1,DeMarcus Robinson made Jumper. Assisted by Brandon Graham.
Alcorn State,Alabama State,16,8,11,1,0,LeAntwan Luckett missed Jumper.
Alcorn State,Alabama State,16,8,11,1,0,Josh Nicholas Offensive Rebound.
Alcorn State,Alabama State,16,8,11,5,0,Josh Nicholas missed Jumper.
Alcorn State,Alabama State,16,8,11,5,0,Brandon Graham Defensive Rebound.
Alcorn State,Alabama State,16,8,11,7,0,Foul on Josh Nicholas.
Alcorn State,Alabama State,16,8,11,19,0,Foul on Anthony Evans.
Alcorn State,Alabama State,16,8,11,32,0,Luther Page missed Jumper.
Alcorn State,Alabama State,16,8,11,32,0,Octavius Brown Block.
Alcorn State,Alabama State,16,8,11,32,0,Octavius Brown Defensive Rebound.
Alcorn State,Alabama State,16,8,11,41,0,Devonte Hampton Turnover.
Alcorn State,Alabama State,16,8,11,43,0,DeAngelo Stewart Steal.
Alcorn State,Alabama State,16,10,11,46,1,Luther Page made Dunk. Assisted by DeMarcus Robinson.
Alcorn State,Alabama State,16,10,12,29,0,Devonte Hampton missed Jumper.
