Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Boston College,Purdue,0,0,0,0,0,Jump Ball won by Purdue
Boston College,Purdue,0,2,0,13,1,Jay Simpson made Jumper.
Boston College,Purdue,0,2,0,30,0,Foul on Kendall Stephens.
Boston College,Purdue,0,2,0,35,0,Joe Rahon missed Layup.
Boston College,Purdue,0,2,0,36,0,Ryan Anderson Offensive Rebound.
Boston College,Purdue,2,2,0,37,1,Ryan Anderson made Dunk.
Boston College,Purdue,2,5,0,51,1,Kendall Stephens made Three Point Jumper. Assisted by Ronnie Johnson.
Boston College,Purdue,2,5,1,17,0,Foul on Kendall Stephens.
Boston College,Purdue,3,5,1,17,1,Ryan Anderson made Free Throw.
Boston College,Purdue,4,5,1,17,1,Ryan Anderson made Free Throw.
Boston College,Purdue,4,5,1,34,0,Jay Simpson missed Jumper.
Boston College,Purdue,4,5,1,34,0,Eddie Odio Defensive Rebound.
Boston College,Purdue,4,5,1,44,0,Joe Rahon missed Three Point Jumper.
Boston College,Purdue,4,5,1,44,0,Basil Smotherman Defensive Rebound.
Boston College,Purdue,4,8,1,52,1,Terone Johnson made Three Point Jumper. Assisted by Ronnie Johnson.
Boston College,Purdue,4,8,2,29,0,Olivier Hanlan Turnover.
Boston College,Purdue,4,8,2,29,0,Terone Johnson Steal.
Boston College,Purdue,4,8,2,34,0,Rapheal Davis Turnover.
Boston College,Purdue,4,8,2,46,0,Alex Dragicevich missed Three Point Jumper.
Boston College,Purdue,4,8,2,46,0,Eddie Odio Offensive Rebound.
Boston College,Purdue,6,8,2,46,1,Eddie Odio made Two Point Tip Shot.
Boston College,Purdue,6,8,2,56,0,Ronnie Johnson missed Three Point Jumper.
Boston College,Purdue,6,8,2,56,0,Basil Smotherman Offensive Rebound.
Boston College,Purdue,6,10,3,0,1,Basil Smotherman made Jumper.
Boston College,Purdue,8,10,3,17,1,Ryan Anderson made Jumper.
Boston College,Purdue,8,10,3,26,0,Terone Johnson missed Three Point Jumper.
Boston College,Purdue,8,10,3,26,0,Olivier Hanlan Defensive Rebound.
Boston College,Purdue,8,10,3,34,0,Ryan Anderson missed Jumper.
Boston College,Purdue,8,10,3,34,0,A.J. Hammons Block.
Boston College,Purdue,8,10,3,34,0,Terone Johnson Defensive Rebound.
Boston College,Purdue,8,10,3,42,0,Terone Johnson missed Layup.
Boston College,Purdue,8,10,3,42,0,Eddie Odio Block.
Boston College,Purdue,8,10,3,42,0,Joe Rahon Defensive Rebound.
Boston College,Purdue,11,10,3,51,1,Olivier Hanlan made Three Point Jumper. Assisted by Joe Rahon.
Boston College,Purdue,11,10,4,4,0,Ronnie Johnson missed Jumper.
Boston College,Purdue,11,10,4,4,0,Ryan Anderson Defensive Rebound.
Boston College,Purdue,11,10,4,26,0,Ryan Anderson Turnover.
Boston College,Purdue,11,10,4,29,0,Official TV Timeout
Boston College,Purdue,11,12,4,36,1,Terone Johnson made Jumper. Assisted by Bryson Scott.
Boston College,Purdue,14,12,5,1,1,Eddie Odio made Three Point Jumper. Assisted by Olivier Hanlan.
Boston College,Purdue,14,14,5,37,1,Bryson Scott made Layup.
Boston College,Purdue,14,14,6,1,0,Olivier Hanlan Turnover.
Boston College,Purdue,14,16,6,22,1,Terone Johnson made Jumper.
Boston College,Purdue,14,16,6,41,0,Patrick Heckmann missed Jumper.
Boston College,Purdue,14,16,6,41,0,William Magarity Offensive Rebound.
Boston College,Purdue,14,16,6,53,0,Foul on A.J. Hammons.
Boston College,Purdue,14,16,7,13,0,Foul on Sterling Carter.
Boston College,Purdue,14,16,7,13,0,Foul on William Magarity.
Boston College,Purdue,14,16,7,13,0,William Magarity Turnover.
Boston College,Purdue,14,16,7,27,0,Sterling Carter missed Three Point Jumper.
Boston College,Purdue,14,16,7,27,0,Joe Rahon Defensive Rebound.
Boston College,Purdue,14,16,7,37,0,Garland Owens Turnover.
Boston College,Purdue,14,16,7,37,0,Sterling Carter Steal.
