Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Bradley,Indiana State,0,0,0,14,0,Tyshon Pickett missed Jumper.
Bradley,Indiana State,0,0,0,14,0,Indiana St Defensive Rebound.
Bradley,Indiana State,0,3,0,29,1,Mangisto Arop made Three Point Jumper. Assisted by Justin Gant.
Bradley,Indiana State,0,3,0,56,0,Tyshon Pickett missed Jumper.
Bradley,Indiana State,0,3,0,56,0,Dawon Cummings Defensive Rebound.
Bradley,Indiana State,0,3,1,3,0,Justin Gant missed Three Point Jumper.
Bradley,Indiana State,0,3,1,3,0,Walt Lemon Defensive Rebound.
Bradley,Indiana State,2,3,1,24,1,Auston Barnes made Layup.
Bradley,Indiana State,2,3,1,48,0,Justin Gant Turnover.
Bradley,Indiana State,2,3,1,50,0,Walt Lemon Steal.
Bradley,Indiana State,4,3,1,52,1,Walt Lemon made Layup.
Bradley,Indiana State,4,3,2,6,0,Demetrius Moore Turnover.
Bradley,Indiana State,4,3,2,6,0,Walt Lemon Steal.
Bradley,Indiana State,4,3,2,17,0,Tyshon Pickett Turnover.
Bradley,Indiana State,4,3,2,29,0,Jake Odum Turnover.
Bradley,Indiana State,4,3,2,30,0,Tyshon Pickett Steal.
Bradley,Indiana State,4,3,2,33,0,Tyshon Pickett missed Layup.
Bradley,Indiana State,4,3,2,33,0,Indiana St Defensive Rebound.
Bradley,Indiana State,4,3,2,57,0,Demetrius Moore Turnover.
Bradley,Indiana State,4,3,3,0,0,Walt Lemon Steal.
Bradley,Indiana State,4,3,3,2,0,Walt Lemon Turnover.
Bradley,Indiana State,4,3,3,2,0,Justin Gant Steal.
Bradley,Indiana State,4,5,3,2,1,Justin Gant made Layup.
Bradley,Indiana State,4,5,3,2,0,Foul on Auston Barnes.
Bradley,Indiana State,4,6,3,2,1,Justin Gant made Free Throw.
Bradley,Indiana State,4,7,3,2,1,Justin Gant made Free Throw.
Bradley,Indiana State,4,7,3,4,0,Mangisto Arop missed Three Point Jumper.
Bradley,Indiana State,4,7,3,4,0,Jake Kitchell Offensive Rebound.
Bradley,Indiana State,4,7,3,8,0,Foul on Auston Barnes.
Bradley,Indiana State,4,9,3,27,1,Khristian Smith made Jumper.
Bradley,Indiana State,6,9,4,0,1,Tyshon Pickett made Jumper. Assisted by Walt Lemon.
Bradley,Indiana State,6,9,4,37,0,Khristian Smith Turnover.
Bradley,Indiana State,6,9,4,38,0,Walt Lemon Steal.
Bradley,Indiana State,6,9,4,39,0,Tyshon Pickett missed Layup.
Bradley,Indiana State,6,9,4,39,0,Jake Kitchell Defensive Rebound.
Bradley,Indiana State,6,9,4,52,0,Justin Gant missed Three Point Jumper.
Bradley,Indiana State,6,9,4,52,0,Omari Grier Defensive Rebound.
Bradley,Indiana State,6,9,5,7,0,Walt Lemon missed Three Point Jumper.
Bradley,Indiana State,6,9,5,7,0,Jake Odum Defensive Rebound.
Bradley,Indiana State,6,9,5,16,0,Justin Gant missed Layup.
Bradley,Indiana State,6,9,5,16,0,Jordan Prosser Block.
Bradley,Indiana State,6,9,5,19,0,Jake Kitchell Offensive Rebound.
Bradley,Indiana State,6,11,5,21,1,Jake Kitchell made Layup.
Bradley,Indiana State,8,11,5,39,1,Ka'Darryl Bell made Jumper.
Bradley,Indiana State,8,13,5,52,1,Jake Odum made Jumper.
Bradley,Indiana State,10,13,6,14,1,Jordan Prosser made Jumper. Assisted by Ka'Darryl Bell.
Bradley,Indiana State,10,13,6,14,0,Foul on Jake Kitchell.
Bradley,Indiana State,10,13,6,14,0,Official TV Timeout
Bradley,Indiana State,10,13,6,14,0,Jordan Prosser missed Free Throw.
Bradley,Indiana State,10,13,6,14,0,Omari Grier Offensive Rebound.
Bradley,Indiana State,10,13,6,34,0,Walt Lemon missed Jumper.
Bradley,Indiana State,10,13,6,34,0,Devonte Brown Defensive Rebound.
Bradley,Indiana State,10,13,6,43,0,Foul on Devonte Brown.
Bradley,Indiana State,10,13,6,43,0,Foul on Ka'Darryl Bell.
Bradley,Indiana State,10,13,6,55,0,Khristian Smith missed Jumper.
Bradley,Indiana State,10,13,6,55,0,Indiana St Offensive Rebound.
Bradley,Indiana State,10,13,7,22,0,Brandon Burnett missed Three Point Jumper.
Bradley,Indiana State,10,13,7,22,0,Walt Lemon Defensive Rebound.
Bradley,Indiana State,10,13,7,25,0,Foul on Jake Kitchell.
Bradley,Indiana State,11,13,7,25,1,Omari Grier made Free Throw.
Bradley,Indiana State,12,13,7,25,1,Omari Grier made Free Throw.
Bradley,Indiana State,12,13,7,36,0,Dawon Cummings missed Three Point Jumper.
Bradley,Indiana State,12,13,7,36,0,Xzavier Taylor Defensive Rebound.
Bradley,Indiana State,12,13,7,52,0,Xzavier Taylor Turnover.
Bradley,Indiana State,12,13,7,52,0,Foul on Xzavier Taylor.
Bradley,Indiana State,12,13,8,9,0,Khristian Smith missed Three Point Jumper.
Bradley,Indiana State,12,13,8,9,0,Anthony Fields Defensive Rebound.
Bradley,Indiana State,12,13,8,20,0,Ka'Darryl Bell missed Jumper.
Bradley,Indiana State,12,13,8,20,0,Brandon Burnett Defensive Rebound.
Bradley,Indiana State,12,13,8,36,0,Foul on Xzavier Taylor.
Bradley,Indiana State,12,13,8,36,0,Official TV Timeout
Bradley,Indiana State,12,13,8,36,0,Dawon Cummings missed Free Throw.
Bradley,Indiana State,12,13,8,36,0,Indiana St Deadball Team Rebound.
Bradley,Indiana State,12,14,8,36,1,Dawon Cummings made Free Throw.
Bradley,Indiana State,12,14,9,4,0,Walt Lemon missed Three Point Jumper.
Bradley,Indiana State,12,14,9,4,0,Mangisto Arop Defensive Rebound.
Bradley,Indiana State,12,14,9,13,0,Devonte Brown Turnover.
Bradley,Indiana State,12,14,9,34,0,Omari Grier missed Three Point Jumper.
Bradley,Indiana State,12,14,9,34,0,Mangisto Arop Defensive Rebound.
Bradley,Indiana State,12,14,9,36,0,Foul on Tyshon Pickett.
Bradley,Indiana State,12,14,9,49,0,Demetrius Moore Turnover.
Bradley,Indiana State,12,14,9,50,0,Anthony Fields Steal.
Bradley,Indiana State,12,14,10,5,0,Tyshon Pickett missed Jumper.
Bradley,Indiana State,12,14,10,5,0,Demetrius Moore Defensive Rebound.
Bradley,Indiana State,12,14,10,15,0,Foul on Anthony Fields.
Bradley,Indiana State,12,15,10,15,1,Jake Odum made Free Throw.
Bradley,Indiana State,12,15,10,15,0,Jake Odum missed Free Throw.
Bradley,Indiana State,12,15,10,15,0,Jordan Prosser Defensive Rebound.
Bradley,Indiana State,12,15,10,34,0,Omari Grier missed Three Point Jumper.
Bradley,Indiana State,12,15,10,34,0,Lucas Eitel Defensive Rebound.
Bradley,Indiana State,12,15,10,57,0,Foul on Jordan Prosser.
Bradley,Indiana State,12,16,10,57,1,Justin Gant made Free Throw.
Bradley,Indiana State,12,17,10,57,1,Justin Gant made Free Throw.
Bradley,Indiana State,12,17,10,57,0,Walt Lemon missed Jumper.
Bradley,Indiana State,12,17,10,57,0,Jake Odum Defensive Rebound.
Bradley,Indiana State,12,17,11,30,0,Foul on Anthony Fields.
Bradley,Indiana State,12,18,11,30,1,Jake Odum made Free Throw.
Bradley,Indiana State,12,19,11,30,1,Jake Odum made Free Throw.
Bradley,Indiana State,12,19,11,37,0,Foul on Khristian Smith.
Bradley,Indiana State,12,19,11,51,0,Bradley  Timeout
Bradley,Indiana State,15,19,12,1,1,Omari Grier made Three Point Jumper. Assisted by Walt Lemon.
Bradley,Indiana State,15,19,12,12,0,Justin Gant Turnover.
Bradley,Indiana State,15,19,12,12,0,Foul on Justin Gant.
Bradley,Indiana State,15,19,12,12,0,Official TV Timeout
Bradley,Indiana State,15,19,12,26,0,Omari Grier missed Three Point Jumper.
Bradley,Indiana State,15,19,12,26,0,Khristian Smith Defensive Rebound.
Bradley,Indiana State,15,19,12,53,0,Mangisto Arop Turnover.
Bradley,Indiana State,15,19,13,17,0,Ka'Darryl Bell missed Jumper.
Bradley,Indiana State,15,19,13,17,0,Devonte Brown Defensive Rebound.
Bradley,Indiana State,15,19,13,25,0,Jake Odum Turnover.
Bradley,Indiana State,15,19,13,41,0,Tyshon Pickett missed Jumper.
Bradley,Indiana State,15,19,13,47,0,Ka'Darryl Bell Offensive Rebound.
Bradley,Indiana State,15,19,14,1,0,Walt Lemon Turnover.
Bradley,Indiana State,15,19,14,2,0,Devonte Brown Steal.
Bradley,Indiana State,15,19,14,8,0,Devonte Brown missed Layup.
Bradley,Indiana State,15,19,14,8,0,Jordan Prosser Block.
Bradley,Indiana State,15,19,14,10,0,Tyshon Pickett Defensive Rebound.
Bradley,Indiana State,15,19,14,17,0,Omari Grier missed Layup.
Bradley,Indiana State,15,19,14,17,0,Justin Gant Defensive Rebound.
Bradley,Indiana State,15,19,14,24,0,Foul on Ka'Darryl Bell.
Bradley,Indiana State,15,19,14,24,0,Jake Odum missed Free Throw.
Bradley,Indiana State,15,19,14,24,0,Indiana St Deadball Team Rebound.
Bradley,Indiana State,15,19,14,24,0,Jake Odum missed Free Throw.
Bradley,Indiana State,15,19,14,24,0,Chris Blake Defensive Rebound.
Bradley,Indiana State,15,19,14,47,0,Walt Lemon missed Layup.
Bradley,Indiana State,15,19,14,57,0,Khristian Smith Defensive Rebound.
Bradley,Indiana State,15,19,15,1,0,Demetrius Moore Turnover.
Bradley,Indiana State,15,19,15,19,0,Anthony Fields missed Jumper.
Bradley,Indiana State,15,19,15,19,0,Devonte Brown Defensive Rebound.
Bradley,Indiana State,15,19,15,29,0,Devonte Brown missed Layup.
Bradley,Indiana State,15,19,15,29,0,Justin Gant Offensive Rebound.
Bradley,Indiana State,15,19,15,31,0,Justin Gant missed Layup.
Bradley,Indiana State,15,19,15,31,0,Tyshon Pickett Defensive Rebound.
Bradley,Indiana State,15,19,15,41,0,Walt Lemon missed Layup.
Bradley,Indiana State,15,19,15,41,0,Demetrius Moore Defensive Rebound.
Bradley,Indiana State,15,19,15,51,0,Foul on Anthony Fields.
Bradley,Indiana State,15,20,15,51,1,Khristian Smith made Free Throw.
Bradley,Indiana State,15,20,15,51,0,Khristian Smith missed Free Throw.
Bradley,Indiana State,15,20,15,51,0,Tyshon Pickett Defensive Rebound.
Bradley,Indiana State,15,20,16,5,0,Official TV Timeout
Bradley,Indiana State,15,20,16,24,0,Mason Alwan Turnover.
Bradley,Indiana State,15,20,16,24,0,Devonte Brown Steal.
Bradley,Indiana State,15,20,16,24,0,Foul on Walt Lemon.
Bradley,Indiana State,15,21,16,24,1,Devonte Brown made Free Throw.
Bradley,Indiana State,15,21,16,24,0,Devonte Brown missed Free Throw.
Bradley,Indiana State,15,21,16,24,0,Omari Grier Defensive Rebound.
Bradley,Indiana State,17,21,16,37,1,Walt Lemon made Jumper.
Bradley,Indiana State,17,23,16,53,1,Dawon Cummings made Layup. Assisted by Brandon Burnett.
Bradley,Indiana State,17,23,17,25,0,Walt Lemon missed Jumper.
Bradley,Indiana State,17,23,17,25,0,Dawon Cummings Defensive Rebound.
Bradley,Indiana State,17,23,17,42,0,Justin Gant Turnover.
Bradley,Indiana State,17,23,17,42,0,Foul on Justin Gant.
Bradley,Indiana State,19,23,18,12,1,Mason Alwan made Jumper. Assisted by Walt Lemon.
Bradley,Indiana State,19,23,18,24,0,Mangisto Arop missed Jumper.
Bradley,Indiana State,19,23,18,24,0,Walt Lemon Defensive Rebound.
Bradley,Indiana State,21,23,18,31,1,Mason Alwan made Jumper.
Bradley,Indiana State,21,23,18,50,0,Dawon Cummings missed Three Point Jumper.
Bradley,Indiana State,21,23,18,50,0,Bradley Defensive Rebound.
Bradley,Indiana State,21,23,19,13,0,Walt Lemon missed Jumper.
Bradley,Indiana State,21,23,19,13,0,Tyshon Pickett Offensive Rebound.
Bradley,Indiana State,21,23,19,16,0,Foul on Mangisto Arop.
Bradley,Indiana State,21,23,19,16,0,Tyshon Pickett missed Free Throw.
Bradley,Indiana State,21,23,19,16,0,Demetrius Moore Defensive Rebound.
Bradley,Indiana State,21,23,19,23,0,Jake Odum missed Jumper.
Bradley,Indiana State,21,23,19,23,0,Khristian Smith Offensive Rebound.
Bradley,Indiana State,21,25,19,26,1,Khristian Smith made Layup.
