Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Bucknell,Army,0,2,0,30,1,Dylan Cox made Layup.
Bucknell,Army,0,2,0,52,0,Steven Kaspar Turnover.
Bucknell,Army,0,2,1,13,0,Mo Williams Turnover.
Bucknell,Army,0,2,1,14,0,Steven Kaspar Steal.
Bucknell,Army,0,2,1,28,0,Ben Brackney missed Three Point Jumper.
Bucknell,Army,0,2,1,28,0,Army Defensive Rebound.
Bucknell,Army,0,2,1,54,0,Larry Toomey missed Three Point Jumper.
Bucknell,Army,0,2,1,54,0,Bucknell Defensive Rebound.
Bucknell,Army,0,2,2,13,0,Chris Hass Turnover.
Bucknell,Army,0,2,2,26,0,Kevin Ferguson Turnover.
Bucknell,Army,0,2,2,42,0,Cameron Ayers missed Three Point Jumper.
Bucknell,Army,0,2,2,42,0,Brian Fitzpatrick Offensive Rebound.
Bucknell,Army,3,2,2,53,1,Ben Brackney made Three Point Jumper. Assisted by Steven Kaspar.
Bucknell,Army,3,2,3,11,0,Foul on Steven Kaspar.
Bucknell,Army,3,2,3,17,0,Kyle Wilson Turnover.
Bucknell,Army,3,2,3,18,0,Ben Brackney Steal.
Bucknell,Army,3,2,3,31,0,Chris Hass missed Jumper.
Bucknell,Army,3,2,3,31,0,Ben Brackney Offensive Rebound.
Bucknell,Army,6,2,3,36,1,Ben Brackney made Three Point Jumper. Assisted by Steven Kaspar.
Bucknell,Army,6,2,3,49,0,Kevin Ferguson missed Layup.
Bucknell,Army,6,2,3,49,0,Ben Brackney Defensive Rebound.
Bucknell,Army,8,2,4,13,1,Brian Fitzpatrick made Layup. Assisted by Cameron Ayers.
Bucknell,Army,8,2,4,25,0,Tanner Omlid missed Three Point Jumper.
Bucknell,Army,8,2,4,25,0,Ben Brackney Defensive Rebound.
Bucknell,Army,8,2,4,37,0,Foul on Matt Gramling.
Bucknell,Army,8,2,4,37,0,Official TV Timeout
Bucknell,Army,8,2,4,59,0,Ryan Frazier missed Three Point Jumper.
Bucknell,Army,8,2,4,59,0,Richard Brown Defensive Rebound.
Bucknell,Army,8,2,5,16,0,Travis Rollo missed Jumper.
Bucknell,Army,8,2,5,16,0,Ben Brackney Defensive Rebound.
Bucknell,Army,8,2,5,52,0,Ryan Hill Turnover.
Bucknell,Army,8,2,5,53,0,Travis Rollo Steal.
Bucknell,Army,8,2,5,59,0,Josh Herbeck Turnover.
Bucknell,Army,8,2,6,26,0,Ben Brackney missed Layup.
Bucknell,Army,8,2,6,26,0,Kevin Ferguson Defensive Rebound.
Bucknell,Army,8,2,6,55,0,Mo Williams missed Three Point Jumper.
Bucknell,Army,8,2,6,55,0,Bucknell Defensive Rebound.
Bucknell,Army,8,2,7,25,0,Ryan Frazier Turnover.
Bucknell,Army,8,4,7,33,1,Larry Toomey made Jumper. Assisted by Dylan Cox.
Bucknell,Army,8,4,8,11,0,Dom Hoffman missed Layup.
Bucknell,Army,8,4,8,11,0,Kevin Ferguson Defensive Rebound.
Bucknell,Army,8,4,8,16,0,Foul on Chris Hass.
Bucknell,Army,8,4,8,16,0,Official TV Timeout
Bucknell,Army,8,4,8,31,0,Larry Toomey missed Layup.
Bucknell,Army,8,4,8,31,0,Dom Hoffman Defensive Rebound.
Bucknell,Army,11,4,8,35,1,Chris Hass made Three Point Jumper. Assisted by Steven Kaspar.
Bucknell,Army,11,7,8,52,1,Kyle Wilson made Three Point Jumper. Assisted by Tanner Omlid.
Bucknell,Army,11,7,9,21,0,Dom Hoffman missed Layup.
Bucknell,Army,11,7,9,21,0,Tanner Omlid Defensive Rebound.
Bucknell,Army,11,7,9,39,0,Richard Brown missed Three Point Jumper.
Bucknell,Army,11,7,9,39,0,Tanner Omlid Offensive Rebound.
Bucknell,Army,11,9,9,56,1,Matt Gramling made Jumper.
Bucknell,Army,11,9,10,21,0,John Azzinaro missed Three Point Jumper.
Bucknell,Army,11,9,10,21,0,Travis Rollo Defensive Rebound.
Bucknell,Army,11,9,10,23,0,Foul on Brian Fitzpatrick.
Bucknell,Army,11,11,10,36,1,Kyle Wilson made Layup.
Bucknell,Army,13,11,10,56,1,Steven Kaspar made Layup.
Bucknell,Army,13,11,10,56,0,Foul on Kevin Ferguson.
Bucknell,Army,14,11,10,56,1,Steven Kaspar made Free Throw.
Bucknell,Army,14,14,11,8,1,Josh Herbeck made Three Point Jumper. Assisted by Dylan Cox.
Bucknell,Army,14,14,11,32,0,Cameron Ayers missed Jumper.
Bucknell,Army,14,14,11,32,0,Josh Herbeck Defensive Rebound.
Bucknell,Army,14,17,11,39,1,Josh Herbeck made Three Point Jumper. Assisted by Kyle Wilson.
Bucknell,Army,14,17,12,4,0,Chris Hass Turnover.
Bucknell,Army,14,17,12,7,0,Tanner Omlid Steal.
