Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
CS Northridge,USC,0,0,0,17,0,Byron Wesley Turnover.
CS Northridge,USC,3,0,0,32,1,Landon Drew made Three Point Jumper. Assisted by Josh Greene.
CS Northridge,USC,3,0,0,54,0,Byron Wesley missed Jumper.
CS Northridge,USC,3,0,0,54,0,Stephen Maxwell Defensive Rebound.
CS Northridge,USC,3,0,1,7,0,Stephen Maxwell Turnover.
CS Northridge,USC,3,0,1,8,0,Julian Jacobs Steal.
CS Northridge,USC,3,0,1,15,0,Chass Bryan missed Jumper.
CS Northridge,USC,3,0,1,15,0,Stephan Hicks Defensive Rebound.
CS Northridge,USC,3,0,1,22,0,Josh Greene missed Layup.
CS Northridge,USC,3,0,1,22,0,Julian Jacobs Block.
CS Northridge,USC,3,0,1,23,0,Stephen Maxwell Offensive Rebound.
CS Northridge,USC,3,0,1,23,0,Foul on Julian Jacobs.
CS Northridge,USC,4,0,1,23,1,Stephen Maxwell made Free Throw.
CS Northridge,USC,5,0,1,23,1,Stephen Maxwell made Free Throw.
CS Northridge,USC,5,0,1,39,0,Foul on Landon Drew.
CS Northridge,USC,5,0,1,42,0,Byron Wesley missed Jumper.
CS Northridge,USC,5,0,1,42,0,Roschon Prince Offensive Rebound.
CS Northridge,USC,5,2,1,47,1,Roschon Prince made Jumper.
CS Northridge,USC,8,2,1,50,1,Josh Greene made Three Point Jumper. Assisted by Landon Drew.
CS Northridge,USC,8,4,2,9,1,Chass Bryan made Jumper.
CS Northridge,USC,8,4,2,27,0,Tre Hale-Edmerson Turnover.
CS Northridge,USC,8,4,2,29,0,Roschon Prince Steal.
CS Northridge,USC,8,6,2,34,1,Omar Oraby made Layup. Assisted by Julian Jacobs.
CS Northridge,USC,8,6,2,48,0,Stephan Hicks missed Layup.
CS Northridge,USC,8,6,2,48,0,Stephen Maxwell Offensive Rebound.
CS Northridge,USC,8,6,2,48,0,Foul on Roschon Prince.
CS Northridge,USC,8,6,2,48,0,CS Northridge Deadball Team Rebound.
CS Northridge,USC,9,6,2,48,1,Stephen Maxwell made Free Throw.
CS Northridge,USC,8,6,2,48,0,Stephen Maxwell missed Free Throw.
CS Northridge,USC,9,8,3,13,1,Byron Wesley made Layup. Assisted by Omar Oraby.
CS Northridge,USC,9,8,3,22,0,Tre Hale-Edmerson missed Three Point Jumper.
CS Northridge,USC,9,8,3,22,0,Julian Jacobs Defensive Rebound.
CS Northridge,USC,9,8,3,36,0,Foul on Landon Drew.
CS Northridge,USC,9,10,3,51,1,Omar Oraby made Jumper.
CS Northridge,USC,9,10,4,10,0,Landon Drew Turnover.
CS Northridge,USC,9,10,4,10,0,Roschon Prince Steal.
CS Northridge,USC,9,12,4,13,1,Julian Jacobs made Dunk. Assisted by Byron Wesley.
CS Northridge,USC,9,12,4,29,0,Josh Greene missed Three Point Jumper.
CS Northridge,USC,9,12,4,29,0,Stephan Hicks Offensive Rebound.
CS Northridge,USC,9,12,4,31,0,Foul on Chass Bryan.
CS Northridge,USC,9,12,4,31,0,Official TV Timeout
