Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Coastal Carolina,Campbell,0,0,0,0,0,Jump Ball won by Coastal Carolina
Coastal Carolina,Campbell,0,0,0,12,0,Josh Cameron missed Layup.
Coastal Carolina,Campbell,0,0,0,12,0,Darius Leonard Block.
Coastal Carolina,Campbell,0,0,0,12,0,Leek Leek Defensive Rebound.
Coastal Carolina,Campbell,0,0,0,44,0,Darius Leonard missed Three Point Jumper.
Coastal Carolina,Campbell,0,0,0,44,0,Coastal Carolina Defensive Rebound.
Coastal Carolina,Campbell,2,0,0,55,1,Warren Gillis made Jumper.
Coastal Carolina,Campbell,2,0,1,16,0,Leek Leek missed Three Point Jumper.
Coastal Carolina,Campbell,2,0,1,16,0,Josh Cameron Defensive Rebound.
Coastal Carolina,Campbell,2,0,1,30,0,Warren Gillis missed Jumper.
Coastal Carolina,Campbell,2,0,1,30,0,Reco McCarter Defensive Rebound.
Coastal Carolina,Campbell,2,3,2,2,1,Darius Leonard made Three Point Jumper. Assisted by Reco McCarter.
Coastal Carolina,Campbell,2,3,2,21,0,Elijah Wilson missed Three Point Jumper.
Coastal Carolina,Campbell,2,3,2,21,0,Andrew Ryan Defensive Rebound.
Coastal Carolina,Campbell,2,3,2,36,0,Leek Leek missed Three Point Jumper.
Coastal Carolina,Campbell,2,3,2,36,0,Elijah Wilson Defensive Rebound.
Coastal Carolina,Campbell,5,3,2,43,1,Josh Cameron made Three Point Jumper.
Coastal Carolina,Campbell,5,6,2,59,1,Darius Leonard made Three Point Jumper. Assisted by Quinton Ray.
Coastal Carolina,Campbell,7,6,3,23,1,Josh Cameron made Layup.
Coastal Carolina,Campbell,7,6,3,40,0,Reco McCarter Turnover.
Coastal Carolina,Campbell,7,6,3,40,0,Josh Cameron Steal.
Coastal Carolina,Campbell,9,6,3,51,1,Elijah Wilson made Layup.
Coastal Carolina,Campbell,9,6,4,9,0,Quinton Ray missed Layup.
Coastal Carolina,Campbell,9,6,4,9,0,Warren Gillis Defensive Rebound.
Coastal Carolina,Campbell,9,6,4,34,0,El Hadji Ndieguene missed Jumper.
Coastal Carolina,Campbell,9,6,4,34,0,Badou Diagne Offensive Rebound.
