Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
East Carolina,Campbell,0,0,0,16,0,Darius Leonard missed Three Point Jumper.
East Carolina,Campbell,0,0,0,16,0,Antonio Robinson Defensive Rebound.
East Carolina,Campbell,0,0,0,27,0,Foul on Leek Leek.
East Carolina,Campbell,3,0,0,41,1,Akeem Richmond made Three Point Jumper. Assisted by Antonio Robinson.
East Carolina,Campbell,3,0,1,6,0,Reco McCarter missed Three Point Jumper.
East Carolina,Campbell,3,0,1,6,0,Antonio Robinson Defensive Rebound.
East Carolina,Campbell,3,0,1,13,0,Paris Roberts-Campbell missed Three Point Jumper.
East Carolina,Campbell,3,0,1,13,0,Akeem Richmond Offensive Rebound.
East Carolina,Campbell,6,0,1,19,1,Akeem Richmond made Three Point Jumper.
East Carolina,Campbell,6,0,1,38,0,Andrew Ryan Turnover.
East Carolina,Campbell,6,0,1,38,0,Akeem Richmond Steal.
East Carolina,Campbell,8,0,1,41,1,Akeem Richmond made Layup.
East Carolina,Campbell,8,0,1,43,0,Campbell  Timeout
East Carolina,Campbell,8,0,2,0,0,Quinton Ray missed Jumper.
East Carolina,Campbell,8,0,2,0,0,Campbell Offensive Rebound.
East Carolina,Campbell,8,0,2,12,0,Darius Leonard Turnover.
East Carolina,Campbell,8,0,2,13,0,Antonio Robinson Steal.
East Carolina,Campbell,8,0,2,17,0,Antonio Robinson missed Jumper.
East Carolina,Campbell,8,0,2,17,0,Reco McCarter Defensive Rebound.
East Carolina,Campbell,8,2,2,24,1,Reco McCarter made Layup. Assisted by Quinton Ray.
East Carolina,Campbell,10,2,2,45,1,Michael Zangari made Jumper. Assisted by Caleb White.
East Carolina,Campbell,10,4,3,12,1,Reco McCarter made Jumper.
East Carolina,Campbell,13,4,3,24,1,Caleb White made Three Point Jumper. Assisted by Paris Roberts-Campbell.
East Carolina,Campbell,13,4,3,49,0,Reco McCarter missed Three Point Jumper.
East Carolina,Campbell,13,4,3,49,0,East Carolina Defensive Rebound.
East Carolina,Campbell,13,4,4,4,0,Akeem Richmond missed Three Point Jumper.
East Carolina,Campbell,13,4,4,4,0,Darius Leonard Defensive Rebound.
East Carolina,Campbell,13,4,4,25,0,Foul on Caleb White.
East Carolina,Campbell,13,4,4,25,0,Official TV Timeout
East Carolina,Campbell,13,7,4,36,1,Andrew Ryan made Three Point Jumper. Assisted by Luke Moyer.
East Carolina,Campbell,15,7,4,55,1,Michael Zangari made Jumper.
East Carolina,Campbell,15,7,5,13,0,Leek Leek missed Three Point Jumper.
East Carolina,Campbell,15,7,5,13,0,Andrew Ryan Offensive Rebound.
East Carolina,Campbell,15,9,5,24,1,Darius Leonard made Jumper. Assisted by Reco McCarter.
East Carolina,Campbell,15,9,5,43,0,Paris Roberts-Campbell missed Layup.
East Carolina,Campbell,15,9,5,43,0,Leek Leek Defensive Rebound.
East Carolina,Campbell,15,9,6,5,0,Luke Moyer Turnover.
East Carolina,Campbell,15,9,6,6,0,Prince Williams Steal.
East Carolina,Campbell,17,9,6,12,1,Michael Zangari made Jumper. Assisted by Prince Williams.
East Carolina,Campbell,17,11,6,33,1,Darius Leonard made Jumper. Assisted by Reco McCarter.
East Carolina,Campbell,19,11,6,56,1,Akeem Richmond made Jumper.
East Carolina,Campbell,19,11,7,9,0,Andrew Ryan missed Three Point Jumper.
East Carolina,Campbell,19,11,7,9,0,Paris Roberts-Campbell Defensive Rebound.
East Carolina,Campbell,21,11,7,17,1,Caleb White made Dunk. Assisted by Paris Roberts-Campbell.
East Carolina,Campbell,21,11,7,55,0,Foul on Michael Zangari.
