Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Charleston Southern,Presbyterian,3,0,0,20,1,Sheldon Strickland made Three Point Jumper. Assisted by Matt Kennedy.
Charleston Southern,Presbyterian,3,2,0,43,1,Ed Drew made Jumper.
Charleston Southern,Presbyterian,5,2,0,59,1,Paul Gombwer made Layup.
Charleston Southern,Presbyterian,5,2,1,17,0,Ed Drew missed Jumper.
Charleston Southern,Presbyterian,5,2,1,17,0,Will Saunders Defensive Rebound.
Charleston Southern,Presbyterian,5,2,1,39,0,Sheldon Strickland missed Layup.
Charleston Southern,Presbyterian,5,2,1,39,0,Jordan Downing Defensive Rebound.
Charleston Southern,Presbyterian,5,2,1,47,0,Jordan Downing missed Layup.
Charleston Southern,Presbyterian,5,2,1,47,0,Allie Fullah Defensive Rebound.
Charleston Southern,Presbyterian,7,2,2,6,1,Allie Fullah made Jumper. Assisted by Matt Kennedy.
Charleston Southern,Presbyterian,7,2,2,34,0,Jordan Downing missed Jumper.
Charleston Southern,Presbyterian,7,2,2,34,0,Paul Gombwer Defensive Rebound.
Charleston Southern,Presbyterian,10,2,2,42,1,Matt Kennedy made Three Point Jumper. Assisted by Sheldon Strickland.
Charleston Southern,Presbyterian,10,2,2,45,0,Presbyterian  Timeout
Charleston Southern,Presbyterian,10,4,3,11,1,Jordan Downing made Jumper.
Charleston Southern,Presbyterian,10,4,3,23,0,Will Saunders missed Three Point Jumper.
Charleston Southern,Presbyterian,10,4,3,23,0,Cedrick Bowen Offensive Rebound.
Charleston Southern,Presbyterian,12,4,3,41,1,Paul Gombwer made Layup. Assisted by Will Saunders.
Charleston Southern,Presbyterian,12,4,3,49,0,Foul on Ed Drew.
Charleston Southern,Presbyterian,12,4,3,49,0,Ed Drew Turnover.
Charleston Southern,Presbyterian,12,4,3,54,0,Mitchell Deter missed Three Point Jumper.
Charleston Southern,Presbyterian,12,4,3,54,0,William Truss Defensive Rebound.
Charleston Southern,Presbyterian,12,4,4,8,0,Markus Terry missed Layup.
Charleston Southern,Presbyterian,12,4,4,8,0,Cedrick Bowen Block.
Charleston Southern,Presbyterian,12,4,4,10,0,Paul Gombwer Defensive Rebound.
Charleston Southern,Presbyterian,12,4,4,15,0,Malcolm Bernard missed Layup.
Charleston Southern,Presbyterian,12,4,4,15,0,William Truss Defensive Rebound.
Charleston Southern,Presbyterian,12,4,4,21,0,Foul on Cedrick Bowen.
Charleston Southern,Presbyterian,12,4,4,21,0,Official TV Timeout
Charleston Southern,Presbyterian,12,4,4,57,0,Jordan Downing Turnover.
Charleston Southern,Presbyterian,12,4,5,13,0,Malcolm Bernard Turnover.
Charleston Southern,Presbyterian,12,7,5,45,1,Jordan Downing made Three Point Jumper. Assisted by Austin Anderson.
Charleston Southern,Presbyterian,12,7,5,50,0,Will Saunders Turnover.
