Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Pennsylvania,Columbia,2,0,0,22,1,Fran Dougherty made Layup.
Pennsylvania,Columbia,2,0,0,54,0,Foul on Steve Rennard.
Pennsylvania,Columbia,2,0,0,55,0,Meiko Lyles missed Layup.
Pennsylvania,Columbia,2,0,0,55,0,Dylan Jones Block.
Pennsylvania,Columbia,2,0,0,57,0,Dylan Jones Defensive Rebound.
Pennsylvania,Columbia,2,0,1,7,0,Dylan Jones missed Layup.
Pennsylvania,Columbia,2,0,1,7,0,Cory Osetkowski Defensive Rebound.
Pennsylvania,Columbia,2,2,1,19,1,Isaac Cohen made Layup. Assisted by Cory Osetkowski.
Pennsylvania,Columbia,2,2,1,38,0,Tony Hicks missed Three Point Jumper.
Pennsylvania,Columbia,2,2,1,38,0,Dylan Jones Offensive Rebound.
Pennsylvania,Columbia,2,2,1,40,0,Dylan Jones missed Layup.
Pennsylvania,Columbia,2,2,1,40,0,Cory Osetkowski Defensive Rebound.
Pennsylvania,Columbia,2,2,1,42,0,Foul on Dylan Jones.
Pennsylvania,Columbia,2,4,1,55,1,Maodo Lo made Layup.
Pennsylvania,Columbia,4,4,2,5,1,Fran Dougherty made Layup.
Pennsylvania,Columbia,4,4,2,13,0,Foul on Fran Dougherty.
Pennsylvania,Columbia,4,5,2,13,1,Alex Rosenberg made Free Throw.
Pennsylvania,Columbia,4,6,2,13,1,Alex Rosenberg made Free Throw.
Pennsylvania,Columbia,4,6,2,26,0,Tony Hicks missed Jumper.
Pennsylvania,Columbia,4,6,2,26,0,Isaac Cohen Block.
Pennsylvania,Columbia,4,6,2,26,0,Maodo Lo Defensive Rebound.
Pennsylvania,Columbia,4,6,2,34,0,Alex Rosenberg missed Jumper.
Pennsylvania,Columbia,4,6,2,34,0,Dylan Jones Defensive Rebound.
Pennsylvania,Columbia,4,6,2,45,0,Steve Rennard missed Three Point Jumper.
Pennsylvania,Columbia,4,6,2,45,0,Isaac Cohen Defensive Rebound.
Pennsylvania,Columbia,4,9,3,1,1,Alex Rosenberg made Three Point Jumper. Assisted by Cory Osetkowski.
Pennsylvania,Columbia,4,9,3,13,0,Foul on Maodo Lo.
Pennsylvania,Columbia,5,9,3,13,1,Miles Jackson-Cartwright made Free Throw.
Pennsylvania,Columbia,6,9,3,13,1,Miles Jackson-Cartwright made Free Throw.
Pennsylvania,Columbia,6,9,3,30,0,Meiko Lyles missed Three Point Jumper.
Pennsylvania,Columbia,6,9,3,30,0,Cory Osetkowski Offensive Rebound.
Pennsylvania,Columbia,6,9,3,34,0,Cory Osetkowski Turnover.
Pennsylvania,Columbia,6,9,3,35,0,Fran Dougherty Steal.
Pennsylvania,Columbia,6,9,3,41,0,Foul on Isaac Cohen.
Pennsylvania,Columbia,6,9,3,53,0,Tony Hicks missed Layup.
Pennsylvania,Columbia,6,9,3,53,0,Meiko Lyles Defensive Rebound.
Pennsylvania,Columbia,6,9,4,14,0,Foul on Tony Hicks.
Pennsylvania,Columbia,6,9,4,14,0,Official TV Timeout
Pennsylvania,Columbia,6,10,4,14,1,Alex Rosenberg made Free Throw.
Pennsylvania,Columbia,6,11,4,14,1,Alex Rosenberg made Free Throw.
Pennsylvania,Columbia,6,11,4,25,0,Tony Hicks missed Three Point Jumper.
Pennsylvania,Columbia,6,11,4,25,0,Cory Osetkowski Defensive Rebound.
Pennsylvania,Columbia,6,11,4,43,0,Foul on Cameron Gunter.
Pennsylvania,Columbia,6,12,4,43,1,Cory Osetkowski made Free Throw.
Pennsylvania,Columbia,6,13,4,43,1,Cory Osetkowski made Free Throw.
Pennsylvania,Columbia,6,13,4,57,0,Foul on Steve Frankoski.
Pennsylvania,Columbia,6,13,4,57,0,Fran Dougherty missed Free Throw.
Pennsylvania,Columbia,6,13,4,57,0,Pennsylvania Deadball Team Rebound.
Pennsylvania,Columbia,7,13,4,57,1,Fran Dougherty made Free Throw.
Pennsylvania,Columbia,7,13,5,7,0,Maodo Lo missed Layup.
Pennsylvania,Columbia,7,13,5,7,0,Fran Dougherty Block.
Pennsylvania,Columbia,7,13,5,10,0,Jeff Coby Offensive Rebound.
Pennsylvania,Columbia,7,13,5,13,0,Jeff Coby missed Layup.
Pennsylvania,Columbia,7,13,5,13,0,Fran Dougherty Defensive Rebound.
Pennsylvania,Columbia,7,13,5,22,0,Foul on Luke Petrasek.
Pennsylvania,Columbia,7,13,5,24,0,Foul on Jeff Coby.
Pennsylvania,Columbia,7,13,5,30,0,Foul on Luke Petrasek.
Pennsylvania,Columbia,8,13,5,30,1,Fran Dougherty made Free Throw.
Pennsylvania,Columbia,9,13,5,30,1,Fran Dougherty made Free Throw.
Pennsylvania,Columbia,9,13,5,37,0,Alex Rosenberg Turnover.
Pennsylvania,Columbia,9,13,5,50,0,Miles Jackson-Cartwright missed Three Point Jumper.
Pennsylvania,Columbia,9,13,5,50,0,Alex Rosenberg Defensive Rebound.
Pennsylvania,Columbia,9,13,5,54,0,Alex Rosenberg Turnover.
Pennsylvania,Columbia,9,13,6,21,0,Tony Hicks missed Jumper.
Pennsylvania,Columbia,9,13,6,21,0,Cory Osetkowski Defensive Rebound.
Pennsylvania,Columbia,9,16,6,35,1,Maodo Lo made Three Point Jumper. Assisted by Cory Osetkowski.
Pennsylvania,Columbia,9,16,6,55,0,Foul on Steve Frankoski.
Pennsylvania,Columbia,10,16,6,55,1,Miles Jackson-Cartwright made Free Throw.
Pennsylvania,Columbia,11,16,6,55,1,Miles Jackson-Cartwright made Free Throw.
Pennsylvania,Columbia,11,16,7,5,0,Foul on Maodo Lo.
Pennsylvania,Columbia,11,16,7,5,0,Maodo Lo Turnover.
Pennsylvania,Columbia,11,16,7,25,0,Fran Dougherty Turnover.
Pennsylvania,Columbia,11,16,7,50,0,Meiko Lyles missed Three Point Jumper.
Pennsylvania,Columbia,11,16,7,50,0,Tony Bagtas Defensive Rebound.
