Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Princeton,Columbia,0,0,0,20,0,Hans Brase Turnover.
Princeton,Columbia,0,0,0,23,0,Maodo Lo Steal.
Princeton,Columbia,0,2,0,25,1,Alex Rosenberg made Layup. Assisted by Maodo Lo.
Princeton,Columbia,2,2,0,41,1,T.J. Bray made Layup.
Princeton,Columbia,2,2,1,7,0,Maodo Lo Turnover.
Princeton,Columbia,2,2,1,7,0,Will Barrett Steal.
Princeton,Columbia,4,2,1,11,1,Will Barrett made Layup.
Princeton,Columbia,4,2,1,31,0,Meiko Lyles missed Three Point Jumper.
Princeton,Columbia,4,2,1,31,0,Steven Cook Defensive Rebound.
Princeton,Columbia,7,2,1,42,1,Hans Brase made Three Point Jumper. Assisted by Will Barrett.
Princeton,Columbia,7,4,2,2,1,Maodo Lo made Layup. Assisted by Meiko Lyles.
Princeton,Columbia,7,4,2,27,0,Spencer Weisz missed Layup.
Princeton,Columbia,7,4,2,27,0,Meiko Lyles Defensive Rebound.
Princeton,Columbia,7,4,2,38,0,Maodo Lo missed Jumper.
Princeton,Columbia,7,4,2,38,0,Cory Osetkowski Offensive Rebound.
Princeton,Columbia,7,4,2,46,0,Alex Rosenberg Turnover.
Princeton,Columbia,7,4,2,47,0,T.J. Bray Steal.
Princeton,Columbia,7,4,2,56,0,Spencer Weisz missed Layup.
Princeton,Columbia,7,4,2,56,0,Meiko Lyles Defensive Rebound.
Princeton,Columbia,7,4,3,16,0,Maodo Lo missed Three Point Jumper.
Princeton,Columbia,7,4,3,16,0,Steven Cook Block.
Princeton,Columbia,7,4,3,18,0,Maodo Lo Offensive Rebound.
Princeton,Columbia,7,4,3,20,0,Foul on T.J. Bray.
Princeton,Columbia,7,4,3,20,0,Maodo Lo missed Free Throw.
Princeton,Columbia,7,4,3,20,0,Columbia Deadball Team Rebound.
Princeton,Columbia,7,5,3,20,1,Maodo Lo made Free Throw.
Princeton,Columbia,7,5,3,34,0,Spencer Weisz missed Three Point Jumper.
Princeton,Columbia,7,5,3,34,0,Maodo Lo Defensive Rebound.
Princeton,Columbia,7,5,4,1,0,Alex Rosenberg Turnover.
Princeton,Columbia,7,5,4,2,0,Clay Wilson Steal.
Princeton,Columbia,7,5,4,13,0,Will Barrett missed Three Point Jumper.
Princeton,Columbia,7,5,4,13,0,Alex Rosenberg Defensive Rebound.
Princeton,Columbia,7,5,4,27,0,Jeff Coby missed Jumper.
Princeton,Columbia,7,5,4,27,0,Meiko Lyles Offensive Rebound.
Princeton,Columbia,7,7,4,43,1,Maodo Lo made Layup.
