Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Dartmouth,New Hampshire,0,2,0,22,1,Williams Gabriel made Layup. Assisted by Jacoby Armstrong.
Dartmouth,New Hampshire,0,2,0,53,0,Connor Boehm missed Layup.
Dartmouth,New Hampshire,0,2,0,53,0,Williams Gabriel Block.
Dartmouth,New Hampshire,0,2,0,53,0,Dartmouth Offensive Rebound.
Dartmouth,New Hampshire,0,2,0,53,0,Gabas Maldunas missed Jumper.
Dartmouth,New Hampshire,0,2,0,53,0,Jacoby Armstrong Defensive Rebound.
Dartmouth,New Hampshire,0,2,1,8,0,Foul on Tyler Melville.
Dartmouth,New Hampshire,0,4,1,26,1,Jacoby Armstrong made Jumper.
Dartmouth,New Hampshire,3,4,1,57,1,Tyler Melville made Three Point Jumper. Assisted by Alex Mitola.
Dartmouth,New Hampshire,3,4,2,17,0,Jacoby Armstrong Turnover.
Dartmouth,New Hampshire,3,4,2,48,0,Alex Mitola missed Three Point Jumper.
Dartmouth,New Hampshire,3,4,2,48,0,Connor Boehm Offensive Rebound.
Dartmouth,New Hampshire,3,4,2,54,0,John Golden missed Jumper.
Dartmouth,New Hampshire,3,4,2,54,0,Gabas Maldunas Offensive Rebound.
Dartmouth,New Hampshire,3,4,2,56,0,Gabas Maldunas missed Layup.
Dartmouth,New Hampshire,3,4,2,56,0,Jacoby Armstrong Defensive Rebound.
Dartmouth,New Hampshire,3,4,3,2,0,Jordon Bronner missed Jumper.
Dartmouth,New Hampshire,3,4,3,2,0,Connor Boehm Defensive Rebound.
Dartmouth,New Hampshire,3,4,3,15,0,Alex Mitola Turnover.
Dartmouth,New Hampshire,3,4,3,37,0,Patrick Konan missed Layup.
Dartmouth,New Hampshire,3,4,3,37,0,Tyler Melville Defensive Rebound.
Dartmouth,New Hampshire,5,4,3,52,1,Connor Boehm made Layup. Assisted by Tyler Melville.
Dartmouth,New Hampshire,5,4,4,11,0,Williams Gabriel Turnover.
Dartmouth,New Hampshire,5,4,4,11,0,Foul on Williams Gabriel.
Dartmouth,New Hampshire,5,4,4,11,0,Official TV Timeout
Dartmouth,New Hampshire,5,4,4,14,0,John Golden missed Jumper.
Dartmouth,New Hampshire,5,4,4,14,0,John Golden Offensive Rebound.
Dartmouth,New Hampshire,5,4,4,39,0,Tyler Melville missed Three Point Jumper.
Dartmouth,New Hampshire,5,4,4,39,0,Dartmouth Offensive Rebound.
Dartmouth,New Hampshire,5,4,5,5,0,Gabas Maldunas missed Layup.
Dartmouth,New Hampshire,5,4,5,5,0,New Hampshire Defensive Rebound.
Dartmouth,New Hampshire,5,4,5,30,0,Frank Okeke missed Three Point Jumper.
Dartmouth,New Hampshire,5,4,5,30,0,Alex Mitola Defensive Rebound.
Dartmouth,New Hampshire,5,4,5,43,0,Tyler Melville missed Layup.
Dartmouth,New Hampshire,5,4,5,43,0,Brandon McDonnell Offensive Rebound.
Dartmouth,New Hampshire,5,4,6,2,0,Alex Mitola missed Three Point Jumper.
Dartmouth,New Hampshire,5,4,6,2,0,Williams Gabriel Defensive Rebound.
Dartmouth,New Hampshire,5,4,6,21,0,John Edwards Turnover.
Dartmouth,New Hampshire,5,4,6,22,0,Gabas Maldunas Steal.
Dartmouth,New Hampshire,8,4,6,43,1,Tyler Melville made Three Point Jumper. Assisted by Gabas Maldunas.
Dartmouth,New Hampshire,8,4,6,59,0,Williams Gabriel Turnover.
Dartmouth,New Hampshire,11,4,7,30,1,Brandon McDonnell made Three Point Jumper. Assisted by John Golden.
Dartmouth,New Hampshire,11,4,7,40,0,Foul on Tyler Melville.
Dartmouth,New Hampshire,11,7,8,15,1,Scott Morris made Three Point Jumper. Assisted by Frank Okeke.
Dartmouth,New Hampshire,11,7,8,30,0,John Golden Turnover.
Dartmouth,New Hampshire,11,7,8,30,0,Official TV Timeout
Dartmouth,New Hampshire,11,7,8,57,0,Daniel Dion missed Three Point Jumper.
Dartmouth,New Hampshire,11,7,8,57,0,Dartmouth Defensive Rebound.
Dartmouth,New Hampshire,11,7,9,16,0,Eli Harrison missed Three Point Jumper.
Dartmouth,New Hampshire,11,7,9,16,0,Tommy McDonnell Defensive Rebound.
Dartmouth,New Hampshire,11,10,9,23,1,Patrick Konan made Three Point Jumper. Assisted by Tommy McDonnell.
Dartmouth,New Hampshire,11,10,9,26,0,Dartmouth  Timeout
Dartmouth,New Hampshire,13,10,9,55,1,Connor Boehm made Layup.
Dartmouth,New Hampshire,13,10,9,55,0,Foul on Patrick Konan.
Dartmouth,New Hampshire,13,10,9,55,0,Connor Boehm missed Free Throw.
Dartmouth,New Hampshire,13,10,9,55,0,Tommy McDonnell Defensive Rebound.
Dartmouth,New Hampshire,13,10,10,22,0,Jordon Bronner missed Layup.
Dartmouth,New Hampshire,13,10,10,22,0,Patrick Konan Offensive Rebound.
Dartmouth,New Hampshire,13,12,10,26,1,Patrick Konan made Dunk.
Dartmouth,New Hampshire,13,12,10,47,0,Kevin Crescenzi missed Three Point Jumper.
Dartmouth,New Hampshire,13,12,10,47,0,Connor Boehm Offensive Rebound.
Dartmouth,New Hampshire,13,12,10,52,0,Foul on Jacoby Armstrong.
Dartmouth,New Hampshire,13,12,11,20,0,Foul on John Edwards.
Dartmouth,New Hampshire,13,12,11,20,0,Brandon McDonnell missed Free Throw.
Dartmouth,New Hampshire,13,12,11,20,0,Dartmouth Deadball Team Rebound.
Dartmouth,New Hampshire,14,12,11,20,1,Brandon McDonnell made Free Throw.
