Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Fairfield,Niagara,2,0,0,22,1,Coleman Johnson made Jumper. Assisted by Marcus Gilbert.
Fairfield,Niagara,2,0,0,45,0,Marcus Ware missed Jumper.
Fairfield,Niagara,2,0,0,45,0,Justin Jenkins Defensive Rebound.
Fairfield,Niagara,2,0,0,55,0,Coleman Johnson missed Jumper.
Fairfield,Niagara,2,0,0,55,0,Wesley Myers Defensive Rebound.
Fairfield,Niagara,2,0,1,2,0,Foul on K.J. Rose.
Fairfield,Niagara,2,0,1,2,0,Wesley Myers missed Free Throw.
Fairfield,Niagara,2,0,1,2,0,Niagara Deadball Team Rebound.
Fairfield,Niagara,2,1,1,2,1,Wesley Myers made Free Throw.
Fairfield,Niagara,2,1,1,8,0,Justin Jenkins missed Layup.
Fairfield,Niagara,2,1,1,8,0,Marcus Ware Block.
Fairfield,Niagara,2,1,1,10,0,Marcus Ware Defensive Rebound.
Fairfield,Niagara,2,1,1,21,0,Foul on Amadou Sidibe.
Fairfield,Niagara,2,2,1,21,1,Marcus Ware made Free Throw.
Fairfield,Niagara,2,2,1,21,0,Marcus Ware missed Free Throw.
Fairfield,Niagara,2,2,1,21,0,Marcus Gilbert Defensive Rebound.
Fairfield,Niagara,2,2,1,32,0,Coleman Johnson missed Jumper.
Fairfield,Niagara,2,2,1,32,0,Marvin Jordan Defensive Rebound.
Fairfield,Niagara,2,2,1,49,0,Foul on Coleman Johnson.
Fairfield,Niagara,2,2,1,49,0,Ramone Snowden missed Free Throw.
Fairfield,Niagara,2,2,1,49,0,Niagara Deadball Team Rebound.
Fairfield,Niagara,2,2,1,49,0,Ramone Snowden missed Free Throw.
Fairfield,Niagara,2,2,1,49,0,Maurice Barrow Defensive Rebound.
Fairfield,Niagara,2,2,2,2,0,Maurice Barrow missed Three Point Jumper.
Fairfield,Niagara,2,2,2,2,0,Niagara Defensive Rebound.
Fairfield,Niagara,2,2,2,13,0,Marvin Jordan missed Layup.
Fairfield,Niagara,2,2,2,13,0,Marvin Jordan Offensive Rebound.
Fairfield,Niagara,2,4,2,19,1,Antoine Mason made Layup. Assisted by Ramone Snowden.
Fairfield,Niagara,2,4,2,22,0,Foul on Maurice Barrow.
Fairfield,Niagara,2,4,2,22,0,Antoine Mason missed Free Throw.
Fairfield,Niagara,2,4,2,22,0,Malcolm Gilbert Defensive Rebound.
Fairfield,Niagara,4,4,2,47,1,Malcolm Gilbert made Jumper. Assisted by Marcus Gilbert.
Fairfield,Niagara,4,4,3,0,0,Marcus Ware missed Layup.
Fairfield,Niagara,4,4,3,0,0,Maurice Barrow Defensive Rebound.
Fairfield,Niagara,4,4,3,8,0,K.J. Rose missed Layup.
Fairfield,Niagara,4,4,3,8,0,Niagara Defensive Rebound.
Fairfield,Niagara,4,4,3,27,0,Marvin Jordan missed Three Point Jumper.
Fairfield,Niagara,4,4,3,27,0,Justin Jenkins Defensive Rebound.
Fairfield,Niagara,4,4,3,35,0,Justin Jenkins missed Jumper.
Fairfield,Niagara,4,4,3,35,0,Malcolm Gilbert Offensive Rebound.
Fairfield,Niagara,4,4,3,38,0,Malcolm Gilbert missed Jumper.
Fairfield,Niagara,4,4,3,38,0,Marcus Ware Defensive Rebound.
Fairfield,Niagara,4,7,3,51,1,Ramone Snowden made Three Point Jumper. Assisted by Antoine Mason.
Fairfield,Niagara,4,7,4,13,0,Marcus Gilbert missed Jumper.
Fairfield,Niagara,4,7,4,13,0,Marcus Ware Defensive Rebound.
Fairfield,Niagara,4,9,4,31,1,Marcus Ware made Layup.
Fairfield,Niagara,4,9,4,40,0,K.J. Rose missed Layup.
Fairfield,Niagara,4,9,4,40,0,Marcus Ware Defensive Rebound.
Fairfield,Niagara,4,9,4,43,0,Official TV Timeout
Fairfield,Niagara,4,9,5,4,0,Marcus Ware missed Layup.
Fairfield,Niagara,4,9,5,4,0,Marcus Gilbert Defensive Rebound.
Fairfield,Niagara,7,9,5,18,1,Maurice Barrow made Three Point Jumper. Assisted by Marcus Gilbert.
Fairfield,Niagara,7,9,5,43,0,Marcus Ware missed Layup.
Fairfield,Niagara,7,9,5,43,0,Maurice Barrow Block.
Fairfield,Niagara,7,9,5,45,0,Maurice Barrow Defensive Rebound.
Fairfield,Niagara,10,9,5,49,1,Steve Johnston made Three Point Jumper. Assisted by K.J. Rose.
Fairfield,Niagara,10,9,6,10,0,Ramone Snowden Turnover.
Fairfield,Niagara,10,9,6,10,0,Steve Johnston Steal.
Fairfield,Niagara,13,9,6,21,1,Steve Johnston made Three Point Jumper. Assisted by K.J. Rose.
Fairfield,Niagara,13,11,6,42,1,Wesley Myers made Jumper.
Fairfield,Niagara,13,11,7,9,0,Marcus Gilbert missed Jumper.
Fairfield,Niagara,13,11,7,9,0,Fairfield Offensive Rebound.
Fairfield,Niagara,13,11,7,16,0,Amadou Sidibe Turnover.
Fairfield,Niagara,13,14,7,31,1,Antoine Mason made Three Point Jumper. Assisted by Rayvon Harris.
Fairfield,Niagara,16,14,7,44,1,Maurice Barrow made Three Point Jumper. Assisted by K.J. Rose.
Fairfield,Niagara,16,14,8,3,0,Antoine Mason missed Three Point Jumper.
Fairfield,Niagara,16,14,8,3,0,Joe Thomas Offensive Rebound.
Fairfield,Niagara,16,16,8,8,1,Joe Thomas made Layup.
Fairfield,Niagara,16,16,8,17,0,K.J. Rose missed Layup.
Fairfield,Niagara,16,16,8,17,0,Joe Thomas Defensive Rebound.
Fairfield,Niagara,16,16,8,23,0,Official TV Timeout
Fairfield,Niagara,16,16,8,41,0,Joe Thomas missed Layup.
Fairfield,Niagara,16,16,8,41,0,Steve Johnston Defensive Rebound.
Fairfield,Niagara,16,16,8,50,0,Coleman Johnson Turnover.
Fairfield,Niagara,16,18,9,19,1,Wesley Myers made Jumper. Assisted by Joe Thomas.
Fairfield,Niagara,16,18,9,31,0,Amadou Sidibe missed Jumper.
Fairfield,Niagara,16,18,9,31,0,Marvin Jordan Defensive Rebound.
Fairfield,Niagara,16,18,9,34,0,Foul on Marcus Gilbert.
Fairfield,Niagara,16,18,9,42,0,Foul on Maurice Barrow.
Fairfield,Niagara,16,18,9,55,0,Rayvon Harris missed Layup.
Fairfield,Niagara,16,18,9,55,0,Fairfield Defensive Rebound.
Fairfield,Niagara,18,18,10,16,1,Amadou Sidibe made Layup. Assisted by Marcus Gilbert.
Fairfield,Niagara,18,18,10,36,0,Antoine Mason missed Jumper.
Fairfield,Niagara,18,18,10,36,0,Amadou Sidibe Defensive Rebound.
Fairfield,Niagara,18,18,10,48,0,Foul on Joe Thomas.
Fairfield,Niagara,18,18,10,48,0,K.J. Rose missed Free Throw.
Fairfield,Niagara,18,18,10,48,0,Fairfield Deadball Team Rebound.
Fairfield,Niagara,19,18,10,48,1,K.J. Rose made Free Throw.
Fairfield,Niagara,19,20,10,54,1,Rayvon Harris made Layup.
Fairfield,Niagara,19,20,11,0,0,Steve Johnston missed Three Point Jumper.
Fairfield,Niagara,19,20,11,0,0,Joe Thomas Defensive Rebound.
Fairfield,Niagara,19,20,11,21,0,Rayvon Harris missed Three Point Jumper.
Fairfield,Niagara,19,20,11,21,0,Amadou Sidibe Defensive Rebound.
Fairfield,Niagara,19,20,11,39,0,Amadou Sidibe missed Layup.
Fairfield,Niagara,19,20,11,39,0,Rayvon Harris Defensive Rebound.
Fairfield,Niagara,19,20,11,45,0,Rayvon Harris Turnover.
Fairfield,Niagara,19,20,11,45,0,Foul on Rayvon Harris.
