Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Louisville,Fairfield,0,0,0,0,0,Jump Ball won by Louisville
Louisville,Fairfield,0,0,0,6,0,Chris Jones missed Jumper.
Louisville,Fairfield,0,0,0,6,0,Doug Chappell Defensive Rebound.
Louisville,Fairfield,0,0,0,23,0,Doug Chappell missed Three Point Jumper.
Louisville,Fairfield,0,0,0,23,0,Coleman Johnson Offensive Rebound.
Louisville,Fairfield,0,0,0,28,0,Coleman Johnson missed Jumper.
Louisville,Fairfield,0,0,0,28,0,Stephan Van Treese Block.
Louisville,Fairfield,0,0,0,28,0,Stephan Van Treese Defensive Rebound.
Louisville,Fairfield,0,0,0,49,0,Chris Jones Turnover.
Louisville,Fairfield,0,0,1,10,0,Doug Chappell missed Jumper.
Louisville,Fairfield,0,0,1,10,0,Stephan Van Treese Block.
Louisville,Fairfield,0,0,1,10,0,Chris Jones Defensive Rebound.
Louisville,Fairfield,2,0,1,18,1,Russ Smith made Jumper.
Louisville,Fairfield,2,0,1,51,0,Doug Chappell missed Layup.
Louisville,Fairfield,2,0,1,51,0,Montrezl Harrell Block.
Louisville,Fairfield,2,0,1,51,0,Fairfield Offensive Rebound.
Louisville,Fairfield,2,0,2,0,0,Amadou Sidibe missed Jumper.
Louisville,Fairfield,2,0,2,0,0,Coleman Johnson Offensive Rebound.
Louisville,Fairfield,2,2,2,4,1,Coleman Johnson made Layup.
Louisville,Fairfield,2,2,2,4,0,Foul on Montrezl Harrell.
Louisville,Fairfield,2,2,2,4,0,Coleman Johnson missed Free Throw.
Louisville,Fairfield,2,2,2,4,0,Marcus Gilbert Offensive Rebound.
Louisville,Fairfield,2,2,2,21,0,K.J. Rose Turnover.
Louisville,Fairfield,2,2,2,21,0,Wayne Blackshear Steal.
Louisville,Fairfield,2,2,2,23,0,Foul on Marcus Gilbert.
Louisville,Fairfield,2,2,2,32,0,Wayne Blackshear missed Three Point Jumper.
Louisville,Fairfield,2,2,2,32,0,Fairfield Defensive Rebound.
Louisville,Fairfield,2,2,3,3,0,Marcus Gilbert missed Jumper.
Louisville,Fairfield,2,2,3,3,0,Montrezl Harrell Defensive Rebound.
Louisville,Fairfield,2,2,3,12,0,Russ Smith missed Three Point Jumper.
Louisville,Fairfield,2,2,3,12,0,Stephan Van Treese Offensive Rebound.
Louisville,Fairfield,2,2,3,24,0,Montrezl Harrell missed Layup.
Louisville,Fairfield,2,2,3,24,0,Coleman Johnson Defensive Rebound.
Louisville,Fairfield,2,2,3,29,0,Marcus Gilbert missed Three Point Jumper.
Louisville,Fairfield,2,2,3,29,0,Montrezl Harrell Defensive Rebound.
Louisville,Fairfield,2,2,3,42,0,Foul on Marcus Gilbert.
Louisville,Fairfield,2,2,3,53,0,Russ Smith missed Three Point Jumper.
Louisville,Fairfield,2,2,3,53,0,Amadou Sidibe Defensive Rebound.
Louisville,Fairfield,2,2,4,9,0,Amadou Sidibe missed Jumper.
Louisville,Fairfield,2,2,4,9,0,Russ Smith Defensive Rebound.
Louisville,Fairfield,2,2,4,18,0,Foul on Stephan Van Treese.
Louisville,Fairfield,2,2,4,18,0,Stephan Van Treese Turnover.
Louisville,Fairfield,2,2,4,18,0,Official TV Timeout
Louisville,Fairfield,2,4,4,33,1,Lincoln Davis made Jumper.
Louisville,Fairfield,2,4,4,47,0,Russ Smith Turnover.
Louisville,Fairfield,2,4,4,47,0,Doug Chappell Steal.
Louisville,Fairfield,2,4,5,6,0,Coleman Johnson missed Jumper.
Louisville,Fairfield,2,4,5,6,0,Amadou Sidibe Offensive Rebound.
Louisville,Fairfield,2,4,5,26,0,K.J. Rose Turnover.
Louisville,Fairfield,2,4,5,26,0,Chris Jones Steal.
Louisville,Fairfield,2,4,5,27,0,Foul on Coleman Johnson.
Louisville,Fairfield,2,4,5,38,0,Chris Jones Turnover.
Louisville,Fairfield,2,4,6,3,0,Maurice Barrow missed Jumper.
Louisville,Fairfield,2,4,6,3,0,Chris Jones Defensive Rebound.
Louisville,Fairfield,2,4,6,15,0,Luke Hancock missed Three Point Jumper.
Louisville,Fairfield,2,4,6,15,0,Lincoln Davis Defensive Rebound.
Louisville,Fairfield,2,6,6,27,1,Amadou Sidibe made Jumper. Assisted by Maurice Barrow.
Louisville,Fairfield,2,6,6,31,0,Louisville  Timeout
Louisville,Fairfield,2,6,6,36,0,Chris Jones missed Jumper.
Louisville,Fairfield,2,6,6,36,0,Louisville Offensive Rebound.
