Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Florida Intl,Southern Miss,0,0,0,23,0,Jerome Frink missed Jumper.
Florida Intl,Southern Miss,0,0,0,23,0,Daveon Boardingham Defensive Rebound.
Florida Intl,Southern Miss,0,0,0,30,0,Neil Watson missed Jumper.
Florida Intl,Southern Miss,0,0,0,30,0,Jerome Frink Block.
Florida Intl,Southern Miss,0,0,0,32,0,Southern Miss Offensive Rebound.
Florida Intl,Southern Miss,0,2,0,37,1,Matt Bingaya made Jumper. Assisted by Jerrold Brooks.
Florida Intl,Southern Miss,0,2,0,50,0,Tymell Murphy Turnover.
Florida Intl,Southern Miss,0,2,0,52,0,Matt Bingaya Steal.
Florida Intl,Southern Miss,0,2,0,54,0,Foul on Jason Boswell.
Florida Intl,Southern Miss,0,2,1,25,0,Daveon Boardingham missed Jumper.
Florida Intl,Southern Miss,0,2,1,25,0,Jerome Frink Defensive Rebound.
Florida Intl,Southern Miss,0,2,1,46,0,Dennis Mavin missed Three Point Jumper.
Florida Intl,Southern Miss,0,2,1,46,0,Daveon Boardingham Defensive Rebound.
Florida Intl,Southern Miss,0,2,1,55,0,Jerrold Brooks missed Three Point Jumper.
Florida Intl,Southern Miss,0,2,1,55,0,Tymell Murphy Defensive Rebound.
Florida Intl,Southern Miss,2,2,2,9,1,Rakeem Buckles made Jumper. Assisted by Tymell Murphy.
Florida Intl,Southern Miss,2,2,2,33,0,Neil Watson missed Three Point Jumper.
Florida Intl,Southern Miss,2,2,2,33,0,Dennis Mavin Defensive Rebound.
Florida Intl,Southern Miss,2,2,2,42,0,Foul on Daveon Boardingham.
Florida Intl,Southern Miss,2,2,2,42,0,Rakeem Buckles missed Free Throw.
Florida Intl,Southern Miss,2,2,2,42,0,Florida Int'l Deadball Team Rebound.
Florida Intl,Southern Miss,3,2,2,42,1,Rakeem Buckles made Free Throw.
Florida Intl,Southern Miss,3,4,3,4,1,Neil Watson made Jumper. Assisted by Jerrold Brooks.
Florida Intl,Southern Miss,3,4,3,34,0,Tymell Murphy missed Three Point Jumper.
Florida Intl,Southern Miss,3,4,3,34,0,Matt Bingaya Defensive Rebound.
Florida Intl,Southern Miss,3,6,3,42,1,Daveon Boardingham made Jumper. Assisted by Neil Watson.
Florida Intl,Southern Miss,3,6,4,9,0,Jason Boswell missed Jumper.
Florida Intl,Southern Miss,3,6,4,9,0,Matt Bingaya Defensive Rebound.
Florida Intl,Southern Miss,3,9,4,15,1,Aaron Brown made Three Point Jumper. Assisted by Neil Watson.
Florida Intl,Southern Miss,3,9,4,19,0,Florida Int'l  Timeout
Florida Intl,Southern Miss,5,9,4,32,1,Jerome Frink made Jumper. Assisted by Tymell Murphy.
Florida Intl,Southern Miss,5,9,4,51,0,Chip Armelin missed Jumper.
Florida Intl,Southern Miss,5,9,4,51,0,Daveon Boardingham Offensive Rebound.
Florida Intl,Southern Miss,5,9,4,55,0,Official TV Timeout
Florida Intl,Southern Miss,5,9,4,55,0,Deonte Houston Turnover.
Florida Intl,Southern Miss,5,9,5,14,0,Foul on Jerome Frink.
Florida Intl,Southern Miss,5,9,5,14,0,Jerome Frink Turnover.
Florida Intl,Southern Miss,5,9,5,30,0,Chip Armelin missed Three Point Jumper.
Florida Intl,Southern Miss,5,9,5,30,0,Jeremiah Eason Offensive Rebound.
Florida Intl,Southern Miss,5,9,5,48,0,Daveon Boardingham missed Jumper.
Florida Intl,Southern Miss,5,9,5,48,0,Tymell Murphy Defensive Rebound.
Florida Intl,Southern Miss,5,9,5,57,0,Dennis Mavin missed Jumper.
Florida Intl,Southern Miss,5,9,5,57,0,Chip Armelin Defensive Rebound.
Florida Intl,Southern Miss,5,11,6,15,1,Jeremiah Eason made Jumper.
Florida Intl,Southern Miss,5,11,6,30,0,Dennis Mavin Turnover.
Florida Intl,Southern Miss,5,11,6,33,0,Jeremiah Eason Steal.
Florida Intl,Southern Miss,5,11,6,36,0,Chip Armelin missed Three Point Jumper.
Florida Intl,Southern Miss,5,11,6,36,0,Rakeem Buckles Defensive Rebound.
Florida Intl,Southern Miss,5,11,6,45,0,Dennis Mavin Turnover.
Florida Intl,Southern Miss,5,14,7,1,1,Jerrold Brooks made Three Point Jumper.
Florida Intl,Southern Miss,5,14,7,10,0,Jason Boswell Turnover.
Florida Intl,Southern Miss,5,14,7,29,0,Jeremiah Eason Turnover.
Florida Intl,Southern Miss,5,14,7,37,0,Foul on Aaron Brown.
Florida Intl,Southern Miss,5,14,7,54,0,Marco Porcher Jimenez missed Three Point Jumper.
Florida Intl,Southern Miss,5,14,7,54,0,Matt Bingaya Defensive Rebound.
Florida Intl,Southern Miss,5,14,8,13,0,Foul on Cody Mann.
Florida Intl,Southern Miss,5,14,8,13,0,Official TV Timeout
Florida Intl,Southern Miss,5,14,8,16,0,Matt Bingaya missed Jumper.
Florida Intl,Southern Miss,5,14,8,16,0,Tymell Murphy Defensive Rebound.
Florida Intl,Southern Miss,5,14,8,32,0,Foul on Matt Bingaya.
Florida Intl,Southern Miss,5,14,8,32,0,Cody Mann missed Free Throw.
Florida Intl,Southern Miss,5,14,8,32,0,Florida Int'l Deadball Team Rebound.
Florida Intl,Southern Miss,5,14,8,32,0,Cody Mann missed Free Throw.
Florida Intl,Southern Miss,5,14,8,32,0,Tymell Murphy Offensive Rebound.
Florida Intl,Southern Miss,7,14,8,32,1,Tymell Murphy made Jumper.
Florida Intl,Southern Miss,7,16,8,46,1,Jeremiah Eason made Jumper. Assisted by Jerrold Brooks.
Florida Intl,Southern Miss,7,16,9,1,0,Cody Mann missed Jumper.
Florida Intl,Southern Miss,7,16,9,1,0,Southern Miss Defensive Rebound.
Florida Intl,Southern Miss,7,16,9,32,0,Aaron Brown missed Three Point Jumper.
Florida Intl,Southern Miss,7,16,9,32,0,Florida Int'l Defensive Rebound.
Florida Intl,Southern Miss,7,16,9,40,0,Tymell Murphy Turnover.
Florida Intl,Southern Miss,7,16,9,55,0,Foul on Jeremiah Eason.
Florida Intl,Southern Miss,7,16,9,55,0,Jeremiah Eason Turnover.
Florida Intl,Southern Miss,10,16,10,17,1,Cody Mann made Three Point Jumper. Assisted by Jerome Frink.
Florida Intl,Southern Miss,10,16,10,26,0,Aaron Brown Turnover.
Florida Intl,Southern Miss,10,16,10,40,0,Tymell Murphy missed Jumper.
Florida Intl,Southern Miss,10,16,10,40,0,Daveon Boardingham Defensive Rebound.
Florida Intl,Southern Miss,10,16,10,54,0,Foul on Jerome Frink.
Florida Intl,Southern Miss,10,17,10,54,1,Aaron Brown made Free Throw.
Florida Intl,Southern Miss,10,18,10,54,1,Aaron Brown made Free Throw.
Florida Intl,Southern Miss,10,18,11,16,0,Tymell Murphy missed Three Point Jumper.
Florida Intl,Southern Miss,10,18,11,16,0,Tymell Murphy Offensive Rebound.
Florida Intl,Southern Miss,10,18,11,26,0,Tymell Murphy missed Jumper.
Florida Intl,Southern Miss,10,18,11,26,0,Tymell Murphy Offensive Rebound.
Florida Intl,Southern Miss,12,18,11,28,1,Tymell Murphy made Jumper.
Florida Intl,Southern Miss,12,18,11,47,0,Neil Watson missed Jumper.
Florida Intl,Southern Miss,12,18,11,47,0,Dennis Mavin Defensive Rebound.
Florida Intl,Southern Miss,12,18,11,53,0,Foul on Aaron Brown.
Florida Intl,Southern Miss,12,18,11,58,0,Rakeem Buckles missed Three Point Jumper.
Florida Intl,Southern Miss,12,18,11,58,0,Tymell Murphy Offensive Rebound.
Florida Intl,Southern Miss,15,18,12,17,1,Dennis Mavin made Three Point Jumper. Assisted by Cody Mann.
Florida Intl,Southern Miss,15,20,12,37,1,Norville Carey made Jumper. Assisted by Jerrold Brooks.
Florida Intl,Southern Miss,15,20,12,57,0,Ivan Jurkovic missed Jumper.
Florida Intl,Southern Miss,15,20,12,57,0,Chip Armelin Defensive Rebound.
Florida Intl,Southern Miss,15,20,13,2,0,Jerrold Brooks Turnover.
Florida Intl,Southern Miss,15,20,13,3,0,Dennis Mavin Steal.
Florida Intl,Southern Miss,17,20,13,5,1,Tymell Murphy made Dunk. Assisted by Dennis Mavin.
Florida Intl,Southern Miss,17,20,13,21,0,Norville Carey Turnover.
Florida Intl,Southern Miss,17,20,13,22,0,Rakeem Buckles Steal.
Florida Intl,Southern Miss,17,20,13,27,0,Foul on Neil Watson.
Florida Intl,Southern Miss,17,20,13,27,0,Official TV Timeout
Florida Intl,Southern Miss,18,20,13,27,1,Cody Mann made Free Throw.
Florida Intl,Southern Miss,19,20,13,27,1,Cody Mann made Free Throw.
Florida Intl,Southern Miss,19,20,13,45,0,Daveon Boardingham missed Jumper.
Florida Intl,Southern Miss,19,20,13,45,0,Tymell Murphy Block.
Florida Intl,Southern Miss,19,20,13,47,0,Tymell Murphy Defensive Rebound.
Florida Intl,Southern Miss,19,20,13,58,0,Rakeem Buckles missed Three Point Jumper.
Florida Intl,Southern Miss,19,20,13,58,0,Chip Armelin Defensive Rebound.
Florida Intl,Southern Miss,19,22,14,6,1,Chip Armelin made Jumper.
Florida Intl,Southern Miss,19,22,14,34,0,Dennis Mavin missed Jumper.
Florida Intl,Southern Miss,19,22,14,34,0,Neil Watson Defensive Rebound.
Florida Intl,Southern Miss,19,22,14,37,0,Neil Watson Turnover.
Florida Intl,Southern Miss,19,22,14,38,0,Tymell Murphy Steal.
Florida Intl,Southern Miss,19,22,14,39,0,Tymell Murphy Turnover.
Florida Intl,Southern Miss,19,24,14,52,1,Daveon Boardingham made Dunk. Assisted by Deonte Houston.
Florida Intl,Southern Miss,19,24,15,8,0,Cody Mann missed Jumper.
Florida Intl,Southern Miss,19,24,15,8,0,Chip Armelin Block.
Florida Intl,Southern Miss,19,24,15,10,0,Neil Watson Defensive Rebound.
