Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Fort Wayne,IUPUI,0,0,0,17,0,Mitch Patton missed Jumper.
Fort Wayne,IUPUI,0,0,0,17,0,Steve Forbes Defensive Rebound.
Fort Wayne,IUPUI,3,0,0,38,1,Michael Kibiloski made Three Point Jumper. Assisted by Isaiah McCray.
Fort Wayne,IUPUI,3,0,0,58,0,P.J. Hubert missed Three Point Jumper.
Fort Wayne,IUPUI,3,0,0,58,0,Khufu Najee Offensive Rebound.
Fort Wayne,IUPUI,3,0,1,3,0,Khufu Najee missed Two Point Tip Shot.
Fort Wayne,IUPUI,3,0,1,3,0,Steve Forbes Defensive Rebound.
Fort Wayne,IUPUI,3,0,1,28,0,Foul on Marcellus Barksdale.
Fort Wayne,IUPUI,4,0,1,28,1,Pierre Bland made Free Throw.
Fort Wayne,IUPUI,5,0,1,28,1,Pierre Bland made Free Throw.
Fort Wayne,IUPUI,5,2,1,44,1,Marcellus Barksdale made Layup.
Fort Wayne,IUPUI,5,2,2,17,0,Luis Jacobo missed Jumper.
Fort Wayne,IUPUI,5,2,2,17,0,P.J. Hubert Defensive Rebound.
Fort Wayne,IUPUI,5,2,2,31,0,Khufu Najee missed Three Point Jumper.
Fort Wayne,IUPUI,5,2,2,31,0,Pierre Bland Defensive Rebound.
Fort Wayne,IUPUI,5,2,2,39,0,Pierre Bland Turnover.
Fort Wayne,IUPUI,5,2,2,53,0,Foul on Michael Kibiloski.
Fort Wayne,IUPUI,5,2,3,12,0,Khufu Najee missed Jumper.
Fort Wayne,IUPUI,5,2,3,12,0,Luis Jacobo Defensive Rebound.
Fort Wayne,IUPUI,7,2,3,26,1,Luis Jacobo made Layup.
Fort Wayne,IUPUI,7,2,3,51,0,P.J. Hubert missed Jumper.
Fort Wayne,IUPUI,7,2,3,51,0,IUPUI Deadball Team Rebound.
Fort Wayne,IUPUI,7,2,3,53,0,Foul on Isaiah McCray.
Fort Wayne,IUPUI,7,4,4,4,1,Khufu Najee made Layup. Assisted by Mitch Patton.
Fort Wayne,IUPUI,7,4,4,16,0,Foul on Khufu Najee.
Fort Wayne,IUPUI,7,4,4,16,0,Official TV Timeout
Fort Wayne,IUPUI,7,4,4,16,0,Isaiah McCray missed Free Throw.
Fort Wayne,IUPUI,7,4,4,16,0,IPFW Deadball Team Rebound.
Fort Wayne,IUPUI,8,4,4,16,1,Isaiah McCray made Free Throw.
Fort Wayne,IUPUI,8,4,4,29,0,Donovan Gibbs Turnover.
Fort Wayne,IUPUI,8,4,4,30,0,Pierre Bland Steal.
Fort Wayne,IUPUI,8,4,4,40,0,Luis Jacobo Turnover.
Fort Wayne,IUPUI,8,4,4,41,0,Donovan Gibbs Steal.
Fort Wayne,IUPUI,8,6,4,42,1,Donovan Gibbs made Dunk.
Fort Wayne,IUPUI,8,6,5,6,0,Michael Kibiloski missed Three Point Jumper.
Fort Wayne,IUPUI,8,6,5,6,0,Khufu Najee Defensive Rebound.
Fort Wayne,IUPUI,8,8,5,22,1,Mitch Patton made Layup. Assisted by P.J. Hubert.
Fort Wayne,IUPUI,8,8,5,38,0,Foul on Mitch Patton.
Fort Wayne,IUPUI,8,8,5,38,0,Luis Jacobo missed Free Throw.
Fort Wayne,IUPUI,8,8,5,38,0,IPFW Deadball Team Rebound.
Fort Wayne,IUPUI,9,8,5,38,1,Luis Jacobo made Free Throw.
Fort Wayne,IUPUI,9,8,5,51,0,Khufu Najee Turnover.
Fort Wayne,IUPUI,9,8,5,52,0,Pierre Bland Steal.
Fort Wayne,IUPUI,11,8,5,55,1,Mo Evans made Layup. Assisted by Pierre Bland.
Fort Wayne,IUPUI,11,8,6,8,0,Khufu Najee missed Jumper.
Fort Wayne,IUPUI,11,8,6,8,0,Luis Jacobo Defensive Rebound.
Fort Wayne,IUPUI,14,8,6,16,1,Mo Evans made Three Point Jumper. Assisted by Joe Edwards.
Fort Wayne,IUPUI,14,8,6,20,0,IUPUI  Timeout
Fort Wayne,IUPUI,14,8,6,41,0,Elijah Ray missed Three Point Jumper.
Fort Wayne,IUPUI,14,8,6,41,0,Pierre Bland Defensive Rebound.
Fort Wayne,IUPUI,14,8,6,58,0,Foul on Mitch Patton.
Fort Wayne,IUPUI,14,8,6,58,0,Joe Reed missed Free Throw.
Fort Wayne,IUPUI,14,8,6,58,0,IPFW Deadball Team Rebound.
Fort Wayne,IUPUI,14,8,6,58,0,Joe Reed missed Free Throw.
Fort Wayne,IUPUI,14,8,6,58,0,Elijah Ray Defensive Rebound.
Fort Wayne,IUPUI,14,8,7,15,0,Foul on Joe Reed.
Fort Wayne,IUPUI,14,8,7,15,0,Justus Stanback missed Free Throw.
Fort Wayne,IUPUI,14,8,7,15,0,IUPUI Deadball Team Rebound.
Fort Wayne,IUPUI,14,9,7,15,1,Justus Stanback made Free Throw.
Fort Wayne,IUPUI,16,9,7,32,1,Joe Reed made Jumper.
Fort Wayne,IUPUI,16,9,7,50,0,Foul on Pierre Bland.
Fort Wayne,IUPUI,16,11,7,57,1,Marcellus Barksdale made Layup.
Fort Wayne,IUPUI,16,11,8,18,0,Foul on Justus Stanback.
Fort Wayne,IUPUI,16,11,8,18,0,Official TV Timeout
Fort Wayne,IUPUI,16,11,8,26,0,Steve Forbes Turnover.
Fort Wayne,IUPUI,16,11,8,49,0,Elijah Ray missed Jumper.
Fort Wayne,IUPUI,16,11,8,49,0,IUPUI Offensive Rebound.
Fort Wayne,IUPUI,16,11,9,11,0,Ian Chiles missed Jumper.
Fort Wayne,IUPUI,16,11,9,11,0,Joe Edwards Defensive Rebound.
Fort Wayne,IUPUI,16,11,9,30,0,Isaiah McCray missed Layup.
Fort Wayne,IUPUI,16,11,9,30,0,Steve Forbes Offensive Rebound.
Fort Wayne,IUPUI,18,11,9,31,1,Steve Forbes made Two Point Tip Shot.
Fort Wayne,IUPUI,18,11,9,46,0,Elijah Ray missed Three Point Jumper.
Fort Wayne,IUPUI,18,11,9,46,0,Isaiah McCray Defensive Rebound.
