Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Fort Wayne,Miami (OH),0,0,0,15,0,Will Felder missed Layup.
Fort Wayne,Miami (OH),0,0,0,15,0,Steve Forbes Block.
Fort Wayne,Miami (OH),0,0,0,16,0,Miami (OH) Offensive Rebound.
Fort Wayne,Miami (OH),0,0,0,19,0,Joshua Oswald missed Three Point Jumper.
Fort Wayne,Miami (OH),0,0,0,19,0,Pierre Bland Defensive Rebound.
Fort Wayne,Miami (OH),0,0,0,25,0,Foul on Geovonie McKnight.
Fort Wayne,Miami (OH),0,0,0,35,0,Foul on Geovonie McKnight.
Fort Wayne,Miami (OH),0,0,0,46,0,Foul on Isaiah McCray.
Fort Wayne,Miami (OH),0,0,0,46,0,Isaiah McCray Turnover.
Fort Wayne,Miami (OH),0,0,1,6,0,Quinten Rollins Turnover.
Fort Wayne,Miami (OH),0,0,1,6,0,Pierre Bland Steal.
Fort Wayne,Miami (OH),2,0,1,23,1,Joe Edwards made Jumper. Assisted by Pierre Bland.
Fort Wayne,Miami (OH),2,0,1,30,0,Geovonie McKnight missed Jumper.
Fort Wayne,Miami (OH),2,0,1,30,0,Steve Forbes Defensive Rebound.
Fort Wayne,Miami (OH),2,0,1,39,0,Pierre Bland Turnover.
Fort Wayne,Miami (OH),2,0,1,40,0,Quinten Rollins Steal.
Fort Wayne,Miami (OH),2,0,1,42,0,Quinten Rollins missed Layup.
Fort Wayne,Miami (OH),2,0,1,42,0,Pierre Bland Defensive Rebound.
Fort Wayne,Miami (OH),5,0,1,51,1,Michael Kibiloski made Three Point Jumper. Assisted by Joe Edwards.
Fort Wayne,Miami (OH),5,0,2,11,0,Will Felder missed Jumper.
Fort Wayne,Miami (OH),5,0,2,11,0,Isaiah McCray Defensive Rebound.
Fort Wayne,Miami (OH),7,0,2,30,1,Steve Forbes made Layup. Assisted by Joe Edwards.
Fort Wayne,Miami (OH),7,0,2,37,0,Reggie Johnson missed Jumper.
Fort Wayne,Miami (OH),7,0,2,37,0,Pierre Bland Defensive Rebound.
Fort Wayne,Miami (OH),7,0,2,50,0,Isaiah McCray Turnover.
Fort Wayne,Miami (OH),7,0,2,50,0,Geovonie McKnight Steal.
Fort Wayne,Miami (OH),7,2,2,53,1,Geovonie McKnight made Layup.
Fort Wayne,Miami (OH),10,2,3,14,1,Joe Edwards made Three Point Jumper. Assisted by Pierre Bland.
Fort Wayne,Miami (OH),10,2,3,22,0,Foul on Isaiah McCray.
Fort Wayne,Miami (OH),10,4,3,35,1,Quinten Rollins made Layup. Assisted by Will Sullivan.
Fort Wayne,Miami (OH),10,4,3,51,0,Joe Edwards missed Layup.
Fort Wayne,Miami (OH),10,4,3,51,0,Steve Forbes Offensive Rebound.
Fort Wayne,Miami (OH),10,4,3,56,0,Steve Forbes missed Jumper.
Fort Wayne,Miami (OH),10,4,3,56,0,Steve Forbes Offensive Rebound.
Fort Wayne,Miami (OH),10,4,3,57,0,Steve Forbes missed Jumper.
Fort Wayne,Miami (OH),10,4,3,57,0,Miami (OH) Defensive Rebound.
Fort Wayne,Miami (OH),10,4,4,8,0,Foul on Pierre Bland.
Fort Wayne,Miami (OH),10,4,4,8,0,Official TV Timeout
Fort Wayne,Miami (OH),10,5,4,8,1,Quinten Rollins made Free Throw.
Fort Wayne,Miami (OH),10,5,4,8,0,Quinten Rollins missed Free Throw.
Fort Wayne,Miami (OH),10,5,4,8,0,Luis Jacobo Defensive Rebound.
Fort Wayne,Miami (OH),10,5,4,25,0,Pierre Bland Turnover.
Fort Wayne,Miami (OH),10,5,4,26,0,Quinten Rollins Steal.
Fort Wayne,Miami (OH),10,5,5,0,0,Will Felder missed Three Point Jumper.
Fort Wayne,Miami (OH),10,5,5,0,0,Luis Jacobo Defensive Rebound.
Fort Wayne,Miami (OH),12,5,5,17,1,Luis Jacobo made Jumper.
Fort Wayne,Miami (OH),12,5,5,44,0,Jaryd Eustace missed Layup.
Fort Wayne,Miami (OH),12,5,5,44,0,Mo Evans Defensive Rebound.
Fort Wayne,Miami (OH),12,5,5,50,0,Foul on Will Sullivan.
Fort Wayne,Miami (OH),14,5,5,56,1,Joe Reed made Jumper.
Fort Wayne,Miami (OH),14,8,6,12,1,Joshua Oswald made Three Point Jumper. Assisted by Will Sullivan.
Fort Wayne,Miami (OH),14,8,6,29,0,Pierre Bland Turnover.
Fort Wayne,Miami (OH),14,8,6,31,0,Quinten Rollins Steal.
Fort Wayne,Miami (OH),14,10,6,35,1,Jaryd Eustace made Layup.
Fort Wayne,Miami (OH),17,10,6,59,1,Mo Evans made Three Point Jumper. Assisted by Pierre Bland.
Fort Wayne,Miami (OH),17,10,7,8,0,Foul on Pierre Bland.
Fort Wayne,Miami (OH),17,13,7,17,1,Jaryd Eustace made Three Point Jumper. Assisted by John Hawkins.
Fort Wayne,Miami (OH),17,13,7,26,0,Michael Kibiloski missed Three Point Jumper.
Fort Wayne,Miami (OH),17,13,7,26,0,Miami (OH) Defensive Rebound.
Fort Wayne,Miami (OH),17,13,7,30,0,Foul on Luis Jacobo.
Fort Wayne,Miami (OH),17,13,7,52,0,Will Felder Turnover.
Fort Wayne,Miami (OH),17,13,8,8,0,Foul on John Hawkins.
Fort Wayne,Miami (OH),17,13,8,8,0,Official TV Timeout
Fort Wayne,Miami (OH),20,13,8,18,1,Luis Jacobo made Three Point Jumper. Assisted by Joe Edwards.
Fort Wayne,Miami (OH),20,13,8,41,0,Jaryd Eustace missed Three Point Jumper.
Fort Wayne,Miami (OH),20,13,8,41,0,Reggie Johnson Offensive Rebound.
Fort Wayne,Miami (OH),20,15,8,43,1,Reggie Johnson made Jumper.
Fort Wayne,Miami (OH),23,15,8,57,1,Mo Evans made Three Point Jumper.
Fort Wayne,Miami (OH),23,17,9,22,1,Reggie Johnson made Jumper.
Fort Wayne,Miami (OH),26,17,9,36,1,Joe Edwards made Three Point Jumper. Assisted by Joe Reed.
Fort Wayne,Miami (OH),26,19,10,2,1,Will Felder made Jumper.
Fort Wayne,Miami (OH),26,19,10,25,0,Luis Jacobo missed Jumper.
Fort Wayne,Miami (OH),26,19,10,25,0,Will Felder Defensive Rebound.
Fort Wayne,Miami (OH),26,19,10,44,0,Will Felder missed Layup.
Fort Wayne,Miami (OH),26,19,10,44,0,Michael Kibiloski Defensive Rebound.
Fort Wayne,Miami (OH),29,19,10,51,1,Michael Kibiloski made Three Point Jumper. Assisted by Mo Evans.
Fort Wayne,Miami (OH),29,19,11,27,0,Foul on Kevin Harden.
Fort Wayne,Miami (OH),29,19,11,34,0,Jaryd Eustace missed Three Point Jumper.
Fort Wayne,Miami (OH),29,19,11,34,0,Kevin Harden Defensive Rebound.
Fort Wayne,Miami (OH),29,19,11,54,0,Michael Kibiloski missed Three Point Jumper.
Fort Wayne,Miami (OH),29,19,11,54,0,Steve Forbes Offensive Rebound.
Fort Wayne,Miami (OH),29,19,11,58,0,Steve Forbes Turnover.
Fort Wayne,Miami (OH),29,19,11,59,0,Quinten Rollins Steal.
Fort Wayne,Miami (OH),29,19,12,4,0,Foul on Luis Jacobo.
Fort Wayne,Miami (OH),29,19,12,4,0,Official TV Timeout
Fort Wayne,Miami (OH),29,20,12,4,1,Quinten Rollins made Free Throw.
Fort Wayne,Miami (OH),29,20,12,4,0,Quinten Rollins missed Free Throw.
Fort Wayne,Miami (OH),29,20,12,4,0,Joe Edwards Defensive Rebound.
Fort Wayne,Miami (OH),29,20,12,21,0,Steve Forbes missed Jumper.
Fort Wayne,Miami (OH),29,20,12,21,0,Joshua Oswald Block.
Fort Wayne,Miami (OH),29,20,12,22,0,Joshua Oswald Defensive Rebound.
Fort Wayne,Miami (OH),29,20,12,29,0,Joshua Oswald missed Three Point Jumper.
Fort Wayne,Miami (OH),29,20,12,29,0,Will Sullivan Offensive Rebound.
Fort Wayne,Miami (OH),29,23,12,40,1,Will Sullivan made Three Point Jumper. Assisted by Jaryd Eustace.
Fort Wayne,Miami (OH),29,23,12,59,0,IPFW  Timeout
Fort Wayne,Miami (OH),31,23,13,1,1,Steve Forbes made Layup. Assisted by Joe Edwards.
Fort Wayne,Miami (OH),31,23,13,1,0,Foul on Joshua Oswald.
Fort Wayne,Miami (OH),32,23,13,1,1,Steve Forbes made Free Throw.
Fort Wayne,Miami (OH),32,25,13,12,1,Will Sullivan made Layup.
Fort Wayne,Miami (OH),32,25,13,13,0,Foul on Michael Kibiloski.
Fort Wayne,Miami (OH),32,26,13,13,1,Will Sullivan made Free Throw.
Fort Wayne,Miami (OH),35,26,13,25,1,Mo Evans made Three Point Jumper.
Fort Wayne,Miami (OH),35,26,13,34,0,Reggie Johnson missed Layup.
Fort Wayne,Miami (OH),35,26,13,34,0,Michael Kibiloski Defensive Rebound.
Fort Wayne,Miami (OH),35,26,13,42,0,Joe Edwards Turnover.
Fort Wayne,Miami (OH),35,26,13,42,0,Will Sullivan Steal.
Fort Wayne,Miami (OH),35,26,14,4,0,Reggie Johnson Turnover.
Fort Wayne,Miami (OH),38,26,14,23,1,Michael Kibiloski made Three Point Jumper. Assisted by Joe Edwards.
Fort Wayne,Miami (OH),38,26,14,33,0,Foul on Steve Forbes.
Fort Wayne,Miami (OH),38,27,14,33,1,Joshua Oswald made Free Throw.
Fort Wayne,Miami (OH),38,27,14,33,0,Joshua Oswald missed Free Throw.
Fort Wayne,Miami (OH),38,27,14,33,0,Will Felder Offensive Rebound.
Fort Wayne,Miami (OH),38,29,14,37,1,Will Felder made Jumper.
Fort Wayne,Miami (OH),38,29,14,47,0,Foul on Quinten Rollins.
Fort Wayne,Miami (OH),38,29,15,0,0,Kevin Harden missed Three Point Jumper.
Fort Wayne,Miami (OH),38,29,15,0,0,Steve Forbes Offensive Rebound.
Fort Wayne,Miami (OH),38,29,15,5,0,Steve Forbes missed Jumper.
Fort Wayne,Miami (OH),38,29,15,5,0,Michael Kibiloski Offensive Rebound.
Fort Wayne,Miami (OH),40,29,15,5,1,Michael Kibiloski made Two Point Tip Shot.
Fort Wayne,Miami (OH),40,29,15,25,0,Joshua Oswald missed Three Point Jumper.
Fort Wayne,Miami (OH),40,29,15,25,0,Mo Evans Defensive Rebound.
Fort Wayne,Miami (OH),40,29,15,36,0,Foul on Joshua Oswald.
Fort Wayne,Miami (OH),41,29,15,36,1,Steve Forbes made Free Throw.
Fort Wayne,Miami (OH),41,29,15,36,0,Steve Forbes missed Free Throw.
Fort Wayne,Miami (OH),41,29,15,36,0,John Hawkins Defensive Rebound.
Fort Wayne,Miami (OH),41,29,15,43,0,Foul on Will Felder.
Fort Wayne,Miami (OH),41,29,15,43,0,Will Felder Turnover.
Fort Wayne,Miami (OH),41,29,15,54,0,Joe Edwards missed Three Point Jumper.
