Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
New Mexico,Fresno State,0,0,0,36,0,Marvelle Harris missed Jumper.
New Mexico,Fresno State,0,0,0,36,0,Kendall Williams Defensive Rebound.
New Mexico,Fresno State,2,0,0,54,1,Alex Kirk made Dunk. Assisted by Deshawn Delaney.
New Mexico,Fresno State,2,0,1,24,0,Cezar Guerrero missed Jumper.
New Mexico,Fresno State,2,0,1,24,0,Deshawn Delaney Defensive Rebound.
New Mexico,Fresno State,2,0,1,46,0,Hugh Greenwood missed Three Point Jumper.
New Mexico,Fresno State,2,0,1,46,0,Tyler Johnson Defensive Rebound.
New Mexico,Fresno State,2,0,1,55,0,Marvelle Harris missed Layup.
New Mexico,Fresno State,2,0,1,55,0,Paul Watson Offensive Rebound.
New Mexico,Fresno State,2,0,1,58,0,Paul Watson missed Jumper.
New Mexico,Fresno State,2,0,1,58,0,Kendall Williams Defensive Rebound.
New Mexico,Fresno State,2,0,2,4,0,Hugh Greenwood missed Layup.
New Mexico,Fresno State,2,0,2,4,0,Paul Watson Block.
New Mexico,Fresno State,2,0,2,6,0,Cezar Guerrero Defensive Rebound.
New Mexico,Fresno State,2,0,2,10,0,Tyler Johnson missed Three Point Jumper.
New Mexico,Fresno State,2,0,2,10,0,Hugh Greenwood Defensive Rebound.
New Mexico,Fresno State,4,0,2,28,1,Alex Kirk made Jumper. Assisted by Deshawn Delaney.
New Mexico,Fresno State,4,3,2,53,1,Paul Watson made Three Point Jumper. Assisted by Cezar Guerrero.
New Mexico,Fresno State,4,3,3,15,0,Cameron Bairstow missed Jumper.
New Mexico,Fresno State,4,3,3,15,0,Tyler Johnson Defensive Rebound.
New Mexico,Fresno State,4,6,3,35,1,Cezar Guerrero made Three Point Jumper.
New Mexico,Fresno State,4,6,3,52,0,Foul on Alex Kirk.
New Mexico,Fresno State,4,6,3,52,0,Alex Kirk Turnover.
New Mexico,Fresno State,4,6,4,18,0,Allen Huddleston missed Three Point Jumper.
New Mexico,Fresno State,4,6,4,18,0,Cameron Bairstow Defensive Rebound.
New Mexico,Fresno State,4,6,4,21,0,Cameron Bairstow Turnover.
New Mexico,Fresno State,4,6,4,23,0,Allen Huddleston Steal.
New Mexico,Fresno State,4,8,4,25,1,Allen Huddleston made Layup.
New Mexico,Fresno State,7,8,4,35,1,Kendall Williams made Three Point Jumper.
New Mexico,Fresno State,7,8,4,48,0,Foul on Alex Davis.
New Mexico,Fresno State,7,8,4,48,0,Alex Davis Turnover.
New Mexico,Fresno State,7,8,4,48,0,Official TV Timeout
New Mexico,Fresno State,9,8,5,21,1,Deshawn Delaney made Jumper.
New Mexico,Fresno State,9,8,5,40,0,Allen Huddleston Turnover.
New Mexico,Fresno State,9,8,5,40,0,Obij Aget Steal.
New Mexico,Fresno State,9,8,5,58,0,Deshawn Delaney missed Three Point Jumper.
New Mexico,Fresno State,9,8,5,58,0,Cameron Bairstow Offensive Rebound.
New Mexico,Fresno State,9,8,6,2,0,Cameron Bairstow Turnover.
New Mexico,Fresno State,9,8,6,3,0,Allen Huddleston Steal.
New Mexico,Fresno State,9,8,6,6,0,Foul on Cullen Neal.
New Mexico,Fresno State,9,9,6,6,1,Allen Huddleston made Free Throw.
New Mexico,Fresno State,9,10,6,6,1,Allen Huddleston made Free Throw.
New Mexico,Fresno State,12,10,6,26,1,Cullen Neal made Three Point Jumper. Assisted by Deshawn Delaney.
New Mexico,Fresno State,12,10,6,45,0,Karachi Edo missed Jumper.
New Mexico,Fresno State,12,10,6,45,0,Deshawn Delaney Defensive Rebound.
New Mexico,Fresno State,12,10,7,13,0,Deshawn Delaney Turnover.
New Mexico,Fresno State,12,10,7,35,0,Foul on Deshawn Delaney.
New Mexico,Fresno State,12,10,7,36,0,Allen Huddleston Turnover.
New Mexico,Fresno State,12,10,7,41,0,Cullen Neal Steal.
New Mexico,Fresno State,14,10,7,42,1,Cullen Neal made Layup.
New Mexico,Fresno State,14,10,8,8,0,Marvelle Harris Turnover.
New Mexico,Fresno State,14,10,8,8,0,Official TV Timeout
New Mexico,Fresno State,14,10,8,21,0,Cullen Neal missed Three Point Jumper.
New Mexico,Fresno State,14,10,8,21,0,Karachi Edo Defensive Rebound.
New Mexico,Fresno State,14,10,8,43,0,Marvelle Harris missed Jumper.
New Mexico,Fresno State,14,10,8,43,0,Kendall Williams Defensive Rebound.
New Mexico,Fresno State,16,10,8,59,1,Nick Banyard made Layup. Assisted by Alex Kirk.
New Mexico,Fresno State,16,12,9,17,1,Karachi Edo made Jumper. Assisted by Tyler Johnson.
New Mexico,Fresno State,16,12,9,33,0,Nick Banyard Turnover.
New Mexico,Fresno State,16,12,9,35,0,Alex Davis Steal.
New Mexico,Fresno State,16,14,9,37,1,Marvelle Harris made Layup. Assisted by Alex Davis.
New Mexico,Fresno State,16,14,9,55,0,Alex Kirk missed Three Point Jumper.
New Mexico,Fresno State,16,14,9,55,0,Deshawn Delaney Offensive Rebound.
New Mexico,Fresno State,18,14,10,7,1,Cullen Neal made Layup.
New Mexico,Fresno State,18,14,10,35,0,Cezar Guerrero Turnover.
New Mexico,Fresno State,18,14,10,50,0,Cullen Neal Turnover.
New Mexico,Fresno State,18,14,11,20,0,Cezar Guerrero missed Three Point Jumper.
New Mexico,Fresno State,18,14,11,20,0,Alex Kirk Defensive Rebound.
New Mexico,Fresno State,18,14,11,36,0,Cullen Neal missed Three Point Jumper.
New Mexico,Fresno State,18,14,11,36,0,Tanner Giddings Defensive Rebound.
New Mexico,Fresno State,18,17,11,53,1,Cezar Guerrero made Three Point Jumper. Assisted by Marvelle Harris.
New Mexico,Fresno State,20,17,12,19,1,Cameron Bairstow made Dunk. Assisted by Hugh Greenwood.
New Mexico,Fresno State,20,19,12,40,1,Tyler Johnson made Jumper.
New Mexico,Fresno State,20,19,13,4,0,Alex Kirk missed Jumper.
New Mexico,Fresno State,20,19,13,4,0,Paul Watson Defensive Rebound.
New Mexico,Fresno State,20,21,13,11,1,Marvelle Harris made Jumper.
New Mexico,Fresno State,20,21,13,29,0,Official TV Timeout
New Mexico,Fresno State,20,21,13,29,0,New Mexico  Timeout
New Mexico,Fresno State,20,21,13,32,0,Cameron Bairstow missed Jumper.
New Mexico,Fresno State,20,21,13,32,0,Paul Watson Defensive Rebound.
New Mexico,Fresno State,20,21,13,47,0,Paul Watson missed Jumper.
New Mexico,Fresno State,20,21,13,47,0,Alex Kirk Defensive Rebound.
New Mexico,Fresno State,20,21,13,47,0,Foul on Tanner Giddings.
New Mexico,Fresno State,20,21,14,5,0,Hugh Greenwood missed Three Point Jumper.
New Mexico,Fresno State,20,21,14,5,0,Paul Watson Defensive Rebound.
New Mexico,Fresno State,20,24,14,16,1,Paul Watson made Three Point Jumper. Assisted by Marvelle Harris.
New Mexico,Fresno State,20,24,14,30,0,Cleveland Thomas missed Three Point Jumper.
New Mexico,Fresno State,20,24,14,30,0,Cezar Guerrero Defensive Rebound.
New Mexico,Fresno State,20,24,14,40,0,Paul Watson missed Jumper.
New Mexico,Fresno State,20,24,14,40,0,Alex Kirk Block.
New Mexico,Fresno State,20,24,14,41,0,Alex Kirk Defensive Rebound.
New Mexico,Fresno State,22,24,14,45,1,Kendall Williams made Layup.
New Mexico,Fresno State,22,24,14,45,0,Foul on Allen Huddleston.
New Mexico,Fresno State,23,24,14,45,1,Kendall Williams made Free Throw.
New Mexico,Fresno State,23,24,14,58,0,Paul Watson missed Three Point Jumper.
New Mexico,Fresno State,23,24,14,58,0,Hugh Greenwood Defensive Rebound.
New Mexico,Fresno State,23,24,15,13,0,Cameron Bairstow missed Layup.
New Mexico,Fresno State,23,24,15,13,0,Paul Watson Defensive Rebound.
New Mexico,Fresno State,23,27,15,36,1,Tyler Johnson made Three Point Jumper. Assisted by Marvelle Harris.
New Mexico,Fresno State,23,27,16,13,0,Cleveland Thomas missed Three Point Jumper.
New Mexico,Fresno State,23,27,16,19,0,Alex Davis Offensive Rebound.
New Mexico,Fresno State,23,27,16,28,0,Kendall Williams missed Three Point Jumper.
New Mexico,Fresno State,23,27,16,28,0,Allen Huddleston Defensive Rebound.
New Mexico,Fresno State,23,27,16,32,0,Foul on Alex Kirk.
New Mexico,Fresno State,23,27,16,32,0,Official TV Timeout
New Mexico,Fresno State,23,27,16,54,0,Marvelle Harris missed Jumper.
New Mexico,Fresno State,23,27,16,54,0,Marvelle Harris Offensive Rebound.
New Mexico,Fresno State,23,27,17,13,0,Allen Huddleston Turnover.
New Mexico,Fresno State,23,27,17,30,0,Kendall Williams missed Jumper.
New Mexico,Fresno State,23,27,17,30,0,Cameron Bairstow Offensive Rebound.
New Mexico,Fresno State,23,27,17,32,0,Foul on Paul Watson.
New Mexico,Fresno State,24,27,17,32,1,Cameron Bairstow made Free Throw.
New Mexico,Fresno State,25,27,17,32,1,Cameron Bairstow made Free Throw.
New Mexico,Fresno State,25,27,17,57,0,Marvelle Harris missed Three Point Jumper.
New Mexico,Fresno State,25,27,17,57,0,Obij Aget Defensive Rebound.
New Mexico,Fresno State,25,27,17,57,0,Kendall Williams missed Three Point Jumper.
New Mexico,Fresno State,25,27,17,57,0,Cameron Bairstow Offensive Rebound.
New Mexico,Fresno State,25,27,18,15,0,Foul on Alex Davis.
New Mexico,Fresno State,28,27,18,22,1,Cullen Neal made Three Point Jumper. Assisted by Kendall Williams.
New Mexico,Fresno State,28,27,18,55,0,Cezar Guerrero missed Three Point Jumper.
New Mexico,Fresno State,28,27,18,55,0,Obij Aget Defensive Rebound.
