Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Gonzaga,Memphis,0,0,0,0,0,Jump Ball won by Memphis
Gonzaga,Memphis,0,0,0,27,0,Joe Jackson missed Jumper.
Gonzaga,Memphis,0,0,0,27,0,Joe Jackson Offensive Rebound.
Gonzaga,Memphis,0,0,0,49,0,Foul on Przemek Karnowski.
Gonzaga,Memphis,0,0,0,49,0,Shaq Goodwin missed Free Throw.
Gonzaga,Memphis,0,0,0,49,0,Memphis Deadball Team Rebound.
Gonzaga,Memphis,0,1,0,49,1,Shaq Goodwin made Free Throw.
Gonzaga,Memphis,0,1,1,19,0,Gary Bell Jr. missed Layup.
Gonzaga,Memphis,0,1,1,19,0,Austin Nichols Block.
Gonzaga,Memphis,0,1,1,19,0,Austin Nichols Defensive Rebound.
Gonzaga,Memphis,0,1,1,41,0,Joe Jackson missed Jumper.
Gonzaga,Memphis,0,1,1,41,0,Sam Dower Defensive Rebound.
Gonzaga,Memphis,0,1,2,7,0,Foul on Joe Jackson.
Gonzaga,Memphis,3,1,2,8,1,Kevin Pangos made Three Point Jumper. Assisted by David Stockton.
Gonzaga,Memphis,3,1,2,27,0,Geron Johnson Turnover.
Gonzaga,Memphis,3,1,2,27,0,Gary Bell Jr. Steal.
Gonzaga,Memphis,5,1,2,31,1,Sam Dower made Dunk. Assisted by Gary Bell Jr..
Gonzaga,Memphis,5,1,3,0,0,Geron Johnson missed Three Point Jumper.
Gonzaga,Memphis,5,1,3,0,0,Shaq Goodwin Offensive Rebound.
Gonzaga,Memphis,5,1,3,20,0,Chris Crawford missed Jumper.
Gonzaga,Memphis,5,1,3,20,0,Gary Bell Jr. Defensive Rebound.
Gonzaga,Memphis,5,1,3,39,0,Sam Dower missed Jumper.
Gonzaga,Memphis,5,1,3,39,0,Gonzaga Deadball Team Rebound.
Gonzaga,Memphis,5,1,3,43,0,Foul on Shaq Goodwin.
Gonzaga,Memphis,5,1,3,57,0,David Stockton missed Jumper.
Gonzaga,Memphis,5,1,3,57,0,Shaq Goodwin Defensive Rebound.
Gonzaga,Memphis,5,3,4,21,1,Austin Nichols made Jumper. Assisted by Geron Johnson.
Gonzaga,Memphis,5,3,4,40,0,Kevin Pangos missed Three Point Jumper.
Gonzaga,Memphis,5,3,4,40,0,Austin Nichols Defensive Rebound.
Gonzaga,Memphis,5,5,4,48,1,Shaq Goodwin made Layup. Assisted by Geron Johnson.
Gonzaga,Memphis,5,5,4,48,0,Official TV Timeout
Gonzaga,Memphis,5,5,5,23,0,Drew Barham missed Layup.
Gonzaga,Memphis,5,5,5,23,0,Shaq Goodwin Block.
Gonzaga,Memphis,5,5,5,23,0,Sam Dower Offensive Rebound.
Gonzaga,Memphis,5,5,5,24,0,Gonzaga  Turnover.
Gonzaga,Memphis,5,5,5,37,0,Foul on Drew Barham.
Gonzaga,Memphis,5,5,5,41,0,Foul on Sam Dower.
Gonzaga,Memphis,5,5,5,50,0,Foul on Kevin Pangos.
Gonzaga,Memphis,5,5,6,11,0,Geron Johnson Turnover.
Gonzaga,Memphis,5,5,6,34,0,Gary Bell Jr. Turnover.
Gonzaga,Memphis,5,8,6,49,1,Chris Crawford made Three Point Jumper. Assisted by Joe Jackson.
Gonzaga,Memphis,5,8,6,53,0,Gary Bell Jr. missed Three Point Jumper.
Gonzaga,Memphis,5,8,6,53,0,Chris Crawford Defensive Rebound.
Gonzaga,Memphis,5,8,7,27,0,Joe Jackson missed Jumper.
Gonzaga,Memphis,5,8,7,27,0,Kyle Dranginis Block.
Gonzaga,Memphis,5,8,7,27,0,Kyle Dranginis Defensive Rebound.
Gonzaga,Memphis,5,8,7,35,0,Gary Bell Jr. missed Layup.
Gonzaga,Memphis,5,8,7,35,0,Shaq Goodwin Block.
Gonzaga,Memphis,5,8,7,35,0,Gonzaga Offensive Rebound.
Gonzaga,Memphis,5,8,7,36,0,Kevin Pangos missed Three Point Jumper.
Gonzaga,Memphis,5,8,7,36,0,Shaq Goodwin Defensive Rebound.
Gonzaga,Memphis,5,8,7,51,0,Foul on Drew Barham.
Gonzaga,Memphis,5,8,7,55,0,Shaq Goodwin missed Jumper.
Gonzaga,Memphis,5,8,7,55,0,Shaq Goodwin Offensive Rebound.
Gonzaga,Memphis,5,10,8,0,1,Geron Johnson made Jumper. Assisted by Michael Dixon Jr..
Gonzaga,Memphis,5,10,8,37,0,Przemek Karnowski missed Three Point Jumper.
Gonzaga,Memphis,5,10,8,37,0,Geron Johnson Defensive Rebound.
Gonzaga,Memphis,5,10,8,44,0,Michael Dixon Jr. missed Three Point Jumper.
Gonzaga,Memphis,5,10,8,44,0,David Pellom Offensive Rebound.
Gonzaga,Memphis,5,12,8,49,1,David Pellom made Layup.
Gonzaga,Memphis,5,12,8,50,0,Gonzaga  Timeout
Gonzaga,Memphis,5,12,9,0,0,Kevin Pangos missed Three Point Jumper.
Gonzaga,Memphis,5,12,9,0,0,Kyle Dranginis Offensive Rebound.
Gonzaga,Memphis,7,12,9,11,1,Sam Dower made Layup. Assisted by Przemek Karnowski.
Gonzaga,Memphis,7,12,9,32,0,David Pellom Turnover.
Gonzaga,Memphis,7,12,9,32,0,Gary Bell Jr. Steal.
Gonzaga,Memphis,7,12,9,32,0,Foul on Michael Dixon Jr..
Gonzaga,Memphis,7,12,9,38,0,Official TV Timeout
Gonzaga,Memphis,9,12,9,51,1,Sam Dower made Jumper.
Gonzaga,Memphis,9,12,10,11,0,Shaq Goodwin missed Jumper.
Gonzaga,Memphis,9,12,10,11,0,Przemek Karnowski Defensive Rebound.
Gonzaga,Memphis,9,12,10,16,0,Foul on Shaq Goodwin.
Gonzaga,Memphis,11,12,10,35,1,Przemek Karnowski made Layup. Assisted by Kevin Pangos.
Gonzaga,Memphis,11,12,10,58,0,Austin Nichols missed Jumper.
Gonzaga,Memphis,11,12,10,58,0,Kevin Pangos Defensive Rebound.
Gonzaga,Memphis,11,12,11,6,0,Gerard Coleman missed Layup.
Gonzaga,Memphis,11,12,11,6,0,Przemek Karnowski Offensive Rebound.
Gonzaga,Memphis,11,12,11,10,0,Gonzaga  Timeout
Gonzaga,Memphis,13,12,11,15,1,Gerard Coleman made Layup.
Gonzaga,Memphis,13,12,11,31,0,Geron Johnson missed Three Point Jumper.
Gonzaga,Memphis,13,12,11,31,0,Kevin Pangos Defensive Rebound.
Gonzaga,Memphis,15,12,11,42,1,Sam Dower made Layup. Assisted by Kevin Pangos.
Gonzaga,Memphis,15,12,12,12,0,Foul on Gerard Coleman.
Gonzaga,Memphis,15,12,12,12,0,Official TV Timeout
Gonzaga,Memphis,15,12,12,21,0,Dominic Woodson Turnover.
Gonzaga,Memphis,17,12,12,36,1,Gerard Coleman made Layup. Assisted by Sam Dower.
Gonzaga,Memphis,17,12,12,50,0,Chris Crawford missed Jumper.
Gonzaga,Memphis,17,12,12,50,0,Memphis Offensive Rebound.
Gonzaga,Memphis,17,14,13,7,1,Joe Jackson made Layup.
Gonzaga,Memphis,17,14,13,31,0,Foul on Dominic Woodson.
Gonzaga,Memphis,17,14,13,31,0,Przemek Karnowski missed Free Throw.
Gonzaga,Memphis,17,14,13,31,0,Gonzaga Deadball Team Rebound.
Gonzaga,Memphis,17,14,13,31,0,Przemek Karnowski missed Free Throw.
Gonzaga,Memphis,17,14,13,31,0,Geron Johnson Defensive Rebound.
Gonzaga,Memphis,17,14,13,37,0,Geron Johnson missed Layup.
Gonzaga,Memphis,17,14,13,37,0,Dominic Woodson Offensive Rebound.
Gonzaga,Memphis,17,16,13,40,1,Dominic Woodson made Dunk.
Gonzaga,Memphis,19,16,13,48,1,Gerard Coleman made Jumper.
Gonzaga,Memphis,19,16,14,18,0,Austin Nichols missed Jumper.
Gonzaga,Memphis,19,16,14,18,0,Kyle Dranginis Defensive Rebound.
Gonzaga,Memphis,19,16,14,27,0,Przemek Karnowski Turnover.
Gonzaga,Memphis,19,16,14,27,0,Geron Johnson Steal.
Gonzaga,Memphis,19,16,14,34,0,Geron Johnson missed Layup.
Gonzaga,Memphis,19,16,14,34,0,Sam Dower Defensive Rebound.
Gonzaga,Memphis,21,16,14,40,1,Gerard Coleman made Jumper.
Gonzaga,Memphis,21,16,14,40,0,Foul on Chris Crawford.
Gonzaga,Memphis,22,16,14,40,1,Gerard Coleman made Free Throw.
Gonzaga,Memphis,22,16,14,56,0,Dominic Woodson missed Jumper.
Gonzaga,Memphis,22,16,14,56,0,Sam Dower Defensive Rebound.
Gonzaga,Memphis,22,16,15,6,0,Gerard Coleman missed Three Point Jumper.
Gonzaga,Memphis,22,16,15,6,0,Drew Barham Offensive Rebound.
Gonzaga,Memphis,22,16,15,26,0,Sam Dower missed Three Point Jumper.
Gonzaga,Memphis,22,16,15,26,0,Chris Crawford Defensive Rebound.
Gonzaga,Memphis,22,16,15,36,0,Michael Dixon Jr. missed Three Point Jumper.
Gonzaga,Memphis,22,16,15,36,0,Sam Dower Defensive Rebound.
Gonzaga,Memphis,22,16,15,42,0,Sam Dower Turnover.
Gonzaga,Memphis,22,16,16,1,0,Official TV Timeout
Gonzaga,Memphis,22,16,16,12,0,David Pellom missed Layup.
Gonzaga,Memphis,22,16,16,12,0,Przemek Karnowski Block.
Gonzaga,Memphis,22,16,16,12,0,Memphis Offensive Rebound.
Gonzaga,Memphis,22,16,16,14,0,Austin Nichols missed Layup.
Gonzaga,Memphis,22,16,16,14,0,Memphis Offensive Rebound.
Gonzaga,Memphis,22,16,16,25,0,Austin Nichols missed Jumper.
Gonzaga,Memphis,22,16,16,25,0,Austin Nichols Offensive Rebound.
Gonzaga,Memphis,22,19,16,30,1,Chris Crawford made Three Point Jumper. Assisted by Michael Dixon Jr..
Gonzaga,Memphis,24,19,16,57,1,Przemek Karnowski made Layup. Assisted by David Stockton.
Gonzaga,Memphis,24,19,17,6,0,David Pellom missed Layup.
Gonzaga,Memphis,24,19,17,6,0,Przemek Karnowski Block.
Gonzaga,Memphis,24,19,17,6,0,Memphis Offensive Rebound.
Gonzaga,Memphis,24,19,17,10,0,Foul on Gary Bell Jr..
Gonzaga,Memphis,24,19,17,10,0,Michael Dixon Jr. missed Free Throw.
Gonzaga,Memphis,24,19,17,10,0,Michael Dixon Jr. Offensive Rebound.
Gonzaga,Memphis,24,19,17,16,0,Michael Dixon Jr. missed Jumper.
Gonzaga,Memphis,24,19,17,16,0,Kevin Pangos Defensive Rebound.
Gonzaga,Memphis,24,19,17,32,0,Sam Dower missed Jumper.
Gonzaga,Memphis,24,19,17,32,0,Austin Nichols Defensive Rebound.
Gonzaga,Memphis,24,19,17,49,0,Austin Nichols missed Layup.
Gonzaga,Memphis,24,19,17,49,0,Gary Bell Jr. Defensive Rebound.
Gonzaga,Memphis,24,19,17,55,0,Gerard Coleman missed Layup.
Gonzaga,Memphis,24,19,17,55,0,Austin Nichols Defensive Rebound.
Gonzaga,Memphis,24,22,18,14,1,Chris Crawford made Three Point Jumper.
Gonzaga,Memphis,24,22,18,39,0,Foul on Dominic Woodson.
Gonzaga,Memphis,24,22,18,39,0,Przemek Karnowski missed Free Throw.
Gonzaga,Memphis,24,22,18,39,0,Gonzaga Deadball Team Rebound.
Gonzaga,Memphis,24,22,18,39,0,Przemek Karnowski missed Free Throw.
Gonzaga,Memphis,24,22,18,39,0,Nick King Defensive Rebound.
Gonzaga,Memphis,24,22,18,50,0,Michael Dixon Jr. Turnover.
Gonzaga,Memphis,24,22,18,50,0,Gerard Coleman Steal.
Gonzaga,Memphis,24,22,18,55,0,Gerard Coleman missed Layup.
Gonzaga,Memphis,24,22,18,55,0,Dominic Woodson Block.
Gonzaga,Memphis,24,22,18,55,0,Gonzaga Offensive Rebound.
Gonzaga,Memphis,24,22,19,3,0,Foul on Dominic Woodson.
Gonzaga,Memphis,25,22,19,3,1,Gerard Coleman made Free Throw.
Gonzaga,Memphis,25,22,19,3,0,Gerard Coleman missed Free Throw.
Gonzaga,Memphis,25,22,19,3,0,Nick King Defensive Rebound.
Gonzaga,Memphis,25,22,19,12,0,Memphis  Timeout
Gonzaga,Memphis,25,22,19,26,0,Geron Johnson missed Jumper.
Gonzaga,Memphis,25,22,19,26,0,Dominic Woodson Offensive Rebound.
Gonzaga,Memphis,25,22,19,30,0,Dominic Woodson missed Layup.
Gonzaga,Memphis,25,22,19,30,0,Przemek Karnowski Block.
Gonzaga,Memphis,25,22,19,30,0,Nick King Offensive Rebound.
Gonzaga,Memphis,25,22,19,38,0,Chris Crawford missed Three Point Jumper.
Gonzaga,Memphis,25,22,19,38,0,Geron Johnson Offensive Rebound.
Gonzaga,Memphis,25,22,19,42,0,Dominic Woodson Turnover.
Gonzaga,Memphis,25,22,19,42,0,Sam Dower Steal.
Gonzaga,Memphis,25,22,19,58,0,Kevin Pangos Turnover.
Gonzaga,Memphis,25,22,19,58,0,Dominic Woodson Steal.
Gonzaga,Memphis,25,22,20,0,0,End of 1st half
Gonzaga,Memphis,25,22,20,0,0,Jump Ball won by Gonzaga
Gonzaga,Memphis,28,22,20,22,1,Gary Bell Jr. made Three Point Jumper. Assisted by David Stockton.
Gonzaga,Memphis,28,22,20,42,0,Austin Nichols Turnover.
Gonzaga,Memphis,28,22,20,42,0,Gary Bell Jr. Steal.
Gonzaga,Memphis,30,22,20,53,1,Sam Dower made Layup. Assisted by Kevin Pangos.
Gonzaga,Memphis,30,22,21,10,0,Foul on David Stockton.
Gonzaga,Memphis,30,22,21,12,0,Foul on Przemek Karnowski.
Gonzaga,Memphis,30,23,21,12,1,Shaq Goodwin made Free Throw.
Gonzaga,Memphis,30,24,21,12,1,Shaq Goodwin made Free Throw.
Gonzaga,Memphis,32,24,21,36,1,David Stockton made Layup.
Gonzaga,Memphis,32,26,21,47,1,Austin Nichols made Layup. Assisted by Chris Crawford.
Gonzaga,Memphis,34,26,22,20,1,Sam Dower made Jumper. Assisted by Gary Bell Jr..
Gonzaga,Memphis,34,26,22,28,0,Foul on David Stockton.
Gonzaga,Memphis,34,26,22,28,0,Foul on Kevin Pangos.
Gonzaga,Memphis,34,28,22,44,1,Geron Johnson made Layup.
Gonzaga,Memphis,34,28,22,53,0,Foul on Geron Johnson.
Gonzaga,Memphis,34,28,23,14,0,Foul on Geron Johnson.
Gonzaga,Memphis,36,28,23,33,1,Przemek Karnowski made Jumper.
Gonzaga,Memphis,36,28,23,41,0,Geron Johnson Turnover.
Gonzaga,Memphis,36,28,23,41,0,Gary Bell Jr. Steal.
Gonzaga,Memphis,38,28,24,7,1,Przemek Karnowski made Layup. Assisted by Sam Dower.
Gonzaga,Memphis,38,30,24,28,1,Joe Jackson made Jumper. Assisted by Shaq Goodwin.
Gonzaga,Memphis,38,30,24,30,0,Memphis  Timeout
Gonzaga,Memphis,38,30,24,54,0,Foul on Dominic Woodson.
Gonzaga,Memphis,38,30,24,54,0,Official TV Timeout
Gonzaga,Memphis,39,30,24,54,1,Kevin Pangos made Free Throw.
Gonzaga,Memphis,40,30,24,54,1,Kevin Pangos made Free Throw.
Gonzaga,Memphis,40,30,25,20,0,Gary Bell Jr. missed Three Point Jumper.
Gonzaga,Memphis,40,30,25,20,0,Sam Dower Offensive Rebound.
Gonzaga,Memphis,42,30,25,25,1,Sam Dower made Layup.
Gonzaga,Memphis,42,30,25,25,0,Foul on Shaq Goodwin.
Gonzaga,Memphis,42,30,25,25,0,Sam Dower missed Free Throw.
Gonzaga,Memphis,42,30,25,25,0,Michael Dixon Jr. Defensive Rebound.
Gonzaga,Memphis,42,30,25,37,0,Foul on Sam Dower.
Gonzaga,Memphis,42,31,25,37,1,Nick King made Free Throw.
Gonzaga,Memphis,42,31,25,37,0,Nick King missed Free Throw.
Gonzaga,Memphis,42,31,25,37,0,Sam Dower Defensive Rebound.
Gonzaga,Memphis,42,31,26,7,0,Foul on Michael Dixon Jr..
Gonzaga,Memphis,42,31,26,18,0,Przemek Karnowski missed Dunk.
Gonzaga,Memphis,42,31,26,18,0,Joe Jackson Block.
Gonzaga,Memphis,42,31,26,18,0,Shaq Goodwin Defensive Rebound.
Gonzaga,Memphis,42,33,26,28,1,Shaq Goodwin made Jumper. Assisted by Joe Jackson.
Gonzaga,Memphis,42,33,26,59,0,Przemek Karnowski missed Layup.
Gonzaga,Memphis,42,33,26,59,0,Michael Dixon Jr. Defensive Rebound.
Gonzaga,Memphis,42,33,27,3,0,Foul on David Stockton.
Gonzaga,Memphis,42,35,27,5,1,Nick King made Jumper. Assisted by Chris Crawford.
Gonzaga,Memphis,42,35,27,17,0,Gerard Coleman Turnover.
Gonzaga,Memphis,42,35,27,17,0,Gonzaga  Timeout
Gonzaga,Memphis,42,35,27,30,0,Joe Jackson missed Layup.
Gonzaga,Memphis,42,35,27,30,0,Joe Jackson Offensive Rebound.
Gonzaga,Memphis,42,35,27,33,0,Joe Jackson missed Layup.
Gonzaga,Memphis,42,35,27,33,0,Przemek Karnowski Defensive Rebound.
Gonzaga,Memphis,42,35,28,0,0,David Stockton missed Three Point Jumper.
Gonzaga,Memphis,42,35,28,0,0,Nick King Block.
Gonzaga,Memphis,42,35,28,0,0,Joe Jackson Defensive Rebound.
