Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Howard,Liberty,0,0,0,17,0,Marcel Boyd missed Layup.
Howard,Liberty,0,0,0,17,0,Marcel Boyd Offensive Rebound.
Howard,Liberty,0,0,0,34,0,Prince Okoroh Turnover.
Howard,Liberty,0,2,0,58,1,Tomasz Gielo made Layup.
Howard,Liberty,0,2,1,11,0,Prince Okoroh missed Jumper.
Howard,Liberty,0,2,1,11,0,Tomasz Gielo Defensive Rebound.
Howard,Liberty,0,2,1,41,0,Tomasz Gielo missed Three Point Jumper.
Howard,Liberty,0,2,1,41,0,Antwan Burrus Offensive Rebound.
Howard,Liberty,0,5,2,11,1,Davon Marshall made Three Point Jumper. Assisted by John Caleb Sanders.
Howard,Liberty,0,5,2,32,0,Prince Okoroh missed Three Point Jumper.
Howard,Liberty,0,5,2,32,0,Antwan Burrus Defensive Rebound.
Howard,Liberty,0,7,2,41,1,John Caleb Sanders made Layup.
Howard,Liberty,0,7,2,42,0,Howard  Timeout
Howard,Liberty,2,7,2,56,1,James Miller made Layup.
Howard,Liberty,2,7,3,5,0,John Caleb Sanders missed Jumper.
Howard,Liberty,2,7,3,5,0,Keon Hill Defensive Rebound.
Howard,Liberty,5,7,3,15,1,Solomon Mangham made Three Point Jumper. Assisted by James Miller.
Howard,Liberty,5,7,3,48,0,Davon Marshall missed Three Point Jumper.
Howard,Liberty,5,7,3,48,0,Joel Vander Pol Offensive Rebound.
Howard,Liberty,5,7,3,54,0,Joel Vander Pol missed Layup.
Howard,Liberty,5,7,3,54,0,Solomon Mangham Defensive Rebound.
Howard,Liberty,5,7,4,2,0,James Miller missed Three Point Jumper.
Howard,Liberty,5,7,4,2,0,Antwan Burrus Defensive Rebound.
Howard,Liberty,5,7,4,3,0,Foul on Prince Okoroh.
Howard,Liberty,5,7,4,3,0,Official TV Timeout
Howard,Liberty,5,7,4,14,0,Foul on Marcel Boyd.
Howard,Liberty,5,8,4,14,1,Joel Vander Pol made Free Throw.
Howard,Liberty,5,9,4,14,1,Joel Vander Pol made Free Throw.
Howard,Liberty,7,9,4,41,1,Prince Okoroh made Jumper. Assisted by James Miller.
Howard,Liberty,7,9,5,2,0,Jr Coronado Turnover.
Howard,Liberty,7,9,5,3,0,Solomon Mangham Steal.
Howard,Liberty,7,9,5,21,0,Prince Okoroh missed Jumper.
Howard,Liberty,7,9,5,21,0,Prince Okoroh Offensive Rebound.
Howard,Liberty,7,9,5,43,0,Keon Hill Turnover.
Howard,Liberty,7,9,6,3,0,Casey Roberts Turnover.
Howard,Liberty,7,9,6,16,0,Ausar Madison missed Jumper.
Howard,Liberty,7,9,6,16,0,Antwan Burrus Defensive Rebound.
Howard,Liberty,7,9,6,21,0,Joe Retic Turnover.
Howard,Liberty,7,9,6,23,0,Ausar Madison Steal.
Howard,Liberty,9,9,6,25,1,Ausar Madison made Layup.
Howard,Liberty,9,9,6,30,0,Foul on Ausar Madison.
Howard,Liberty,9,9,6,40,0,Antwan Burrus Turnover.
Howard,Liberty,9,9,6,41,0,Kofi Andoh Steal.
Howard,Liberty,9,9,6,53,0,Foul on Casey Roberts.
Howard,Liberty,9,9,6,53,0,Prince Okoroh missed Free Throw.
Howard,Liberty,9,9,6,53,0,Howard Deadball Team Rebound.
Howard,Liberty,10,9,6,53,1,Prince Okoroh made Free Throw.
Howard,Liberty,10,9,6,57,0,Foul on Damon Collins.
Howard,Liberty,10,11,7,9,1,Casey Roberts made Jumper.
Howard,Liberty,10,11,7,28,0,Ausar Madison missed Jumper.
Howard,Liberty,10,11,7,28,0,Casey Roberts Defensive Rebound.
Howard,Liberty,10,13,7,42,1,Antwan Burrus made Jumper. Assisted by John Caleb Sanders.
Howard,Liberty,10,13,8,14,0,Kofi Andoh missed Layup.
Howard,Liberty,10,13,8,14,0,Antwan Burrus Defensive Rebound.
Howard,Liberty,10,16,8,35,1,John Caleb Sanders made Three Point Jumper. Assisted by Joe Retic.
Howard,Liberty,10,16,8,53,0,Official TV Timeout
Howard,Liberty,12,16,9,16,1,Prince Okoroh made Jumper. Assisted by James Miller.
Howard,Liberty,12,16,9,35,0,Joel Vander Pol Turnover.
Howard,Liberty,12,16,9,37,0,Solomon Mangham Steal.
Howard,Liberty,14,16,9,40,1,Prince Okoroh made Jumper. Assisted by Keon Hill.
Howard,Liberty,14,19,9,54,1,Davon Marshall made Three Point Jumper. Assisted by Joel Vander Pol.
Howard,Liberty,14,19,10,29,0,Keon Hill Turnover.
Howard,Liberty,14,19,10,42,0,John Caleb Sanders missed Three Point Jumper.
Howard,Liberty,14,19,10,42,0,Keon Hill Defensive Rebound.
Howard,Liberty,14,19,10,50,0,Prince Okoroh missed Jumper.
Howard,Liberty,14,19,10,50,0,Joel Vander Pol Defensive Rebound.
Howard,Liberty,14,21,11,5,1,Tomasz Gielo made Jumper. Assisted by John Caleb Sanders.
Howard,Liberty,14,21,11,16,0,Foul on Andrew Smith.
Howard,Liberty,14,21,11,24,0,Keon Hill missed Three Point Jumper.
Howard,Liberty,14,21,11,24,0,Howard Offensive Rebound.
Howard,Liberty,16,21,11,41,1,Prince Okoroh made Layup.
Howard,Liberty,16,24,12,1,1,Tomasz Gielo made Three Point Jumper. Assisted by John Caleb Sanders.
Howard,Liberty,16,24,12,13,0,Foul on Andrew Smith.
Howard,Liberty,16,24,12,13,0,Official TV Timeout
Howard,Liberty,16,24,12,26,0,Prince Okoroh Turnover.
Howard,Liberty,16,24,12,27,0,Davon Marshall Steal.
Howard,Liberty,16,24,12,29,0,Foul on Keon Hill.
Howard,Liberty,16,25,12,29,1,Tomasz Gielo made Free Throw.
Howard,Liberty,16,25,12,29,0,Tomasz Gielo missed Free Throw.
Howard,Liberty,16,25,12,29,0,Marcel Boyd Defensive Rebound.
Howard,Liberty,16,25,12,30,0,Foul on Jr Coronado.
Howard,Liberty,19,25,12,40,1,James Miller made Three Point Jumper. Assisted by Keon Hill.
Howard,Liberty,19,25,12,59,0,Foul on Marcel Boyd.
Howard,Liberty,19,26,12,59,1,Antwan Burrus made Free Throw.
Howard,Liberty,19,27,12,59,1,Antwan Burrus made Free Throw.
Howard,Liberty,19,27,13,19,0,Solomon Mangham missed Three Point Jumper.
Howard,Liberty,19,27,13,19,0,Davon Marshall Defensive Rebound.
Howard,Liberty,19,27,13,29,0,Foul on Prince Okoroh.
Howard,Liberty,19,28,13,29,1,Davon Marshall made Free Throw.
Howard,Liberty,19,29,13,29,1,Davon Marshall made Free Throw.
Howard,Liberty,19,29,13,58,0,Foul on Ethan Layer.
Howard,Liberty,19,29,14,11,0,James Miller missed Three Point Jumper.
Howard,Liberty,19,29,14,11,0,Davon Marshall Defensive Rebound.
Howard,Liberty,19,29,14,32,0,Tomasz Gielo missed Jumper.
Howard,Liberty,19,29,14,32,0,Liberty Offensive Rebound.
Howard,Liberty,19,32,14,41,1,Davon Marshall made Three Point Jumper. Assisted by Ethan Layer.
Howard,Liberty,19,32,15,7,0,Ausar Madison Turnover.
Howard,Liberty,19,32,15,8,0,Antwan Burrus Steal.
Howard,Liberty,19,32,15,26,0,Antwan Burrus missed Jumper.
Howard,Liberty,19,32,15,26,0,Tyler Stone Block.
Howard,Liberty,19,32,15,27,0,Howard Defensive Rebound.
Howard,Liberty,19,32,15,27,0,Foul on Joel Vander Pol.
Howard,Liberty,21,32,15,42,1,Solomon Mangham made Jumper. Assisted by Keon Hill.
Howard,Liberty,21,34,16,5,1,Antwan Burrus made Layup. Assisted by Tomasz Gielo.
Howard,Liberty,21,34,16,14,0,Solomon Mangham missed Three Point Jumper.
Howard,Liberty,21,34,16,14,0,Liberty Defensive Rebound.
Howard,Liberty,21,34,16,16,0,Official TV Timeout
Howard,Liberty,21,34,16,43,0,Casey Roberts missed Three Point Jumper.
Howard,Liberty,21,34,16,43,0,Joel Vander Pol Offensive Rebound.
Howard,Liberty,21,34,16,49,0,Foul on Kofi Andoh.
Howard,Liberty,21,35,16,49,1,Joel Vander Pol made Free Throw.
