Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
IUPUI,Denver,0,0,0,3,0,Foul on Khufu Najee.
IUPUI,Denver,0,1,0,3,1,Cam Griffin made Free Throw.
IUPUI,Denver,0,2,0,3,1,Cam Griffin made Free Throw.
IUPUI,Denver,3,2,0,15,1,Khufu Najee made Three Point Jumper. Assisted by Donovan Gibbs.
IUPUI,Denver,3,2,0,57,0,Denver  Turnover.
IUPUI,Denver,5,2,1,21,1,Mitch Patton made Jumper.
IUPUI,Denver,5,2,1,35,0,Jalen Love missed Three Point Jumper.
IUPUI,Denver,5,2,1,35,0,Marcellus Barksdale Defensive Rebound.
IUPUI,Denver,7,2,2,8,1,Donovan Gibbs made Layup. Assisted by Marcellus Barksdale.
IUPUI,Denver,7,2,2,47,0,Jalen Love missed Jumper.
IUPUI,Denver,7,2,2,47,0,Marcellus Barksdale Defensive Rebound.
IUPUI,Denver,9,2,2,52,1,Mitch Patton made Layup. Assisted by Marcellus Barksdale.
IUPUI,Denver,9,2,2,54,0,Denver  Timeout
IUPUI,Denver,9,2,3,17,0,Dom Samac missed Three Point Jumper.
IUPUI,Denver,9,2,3,17,0,Marcellus Barksdale Defensive Rebound.
IUPUI,Denver,9,2,3,34,0,Ian Chiles missed Three Point Jumper.
IUPUI,Denver,9,2,3,34,0,Brett Olson Defensive Rebound.
IUPUI,Denver,9,2,3,57,0,Foul on Marcellus Barksdale.
IUPUI,Denver,9,2,4,18,0,Chris Udofia missed Layup.
IUPUI,Denver,9,2,4,18,0,Cam Griffin Offensive Rebound.
IUPUI,Denver,9,2,4,22,0,Cam Griffin missed Two Point Tip Shot.
IUPUI,Denver,9,2,4,22,0,Donovan Gibbs Defensive Rebound.
IUPUI,Denver,9,2,4,38,0,Mitch Patton missed Jumper.
IUPUI,Denver,9,2,4,38,0,Marcus Byrd Defensive Rebound.
IUPUI,Denver,9,2,5,1,0,Brett Olson missed Three Point Jumper.
IUPUI,Denver,9,2,5,1,0,Khufu Najee Defensive Rebound.
IUPUI,Denver,9,2,5,24,0,Khufu Najee missed Three Point Jumper.
IUPUI,Denver,9,2,5,24,0,Khufu Najee Offensive Rebound.
IUPUI,Denver,9,2,5,26,0,Foul on Cam Griffin.
IUPUI,Denver,9,2,5,26,0,Official TV Timeout
IUPUI,Denver,9,2,5,57,0,Ian Chiles missed Jumper.
IUPUI,Denver,9,2,5,57,0,Brett Olson Defensive Rebound.
IUPUI,Denver,9,4,6,24,1,Cam Griffin made Layup. Assisted by Chris Udofia.
IUPUI,Denver,9,4,6,55,0,Ian Chiles Turnover.
IUPUI,Denver,9,4,6,55,0,Brett Olson Steal.
IUPUI,Denver,9,4,7,0,0,Brett Olson Turnover.
IUPUI,Denver,9,4,7,1,0,Marcellus Barksdale Steal.
IUPUI,Denver,9,4,7,26,0,Khufu Najee missed Jumper.
IUPUI,Denver,9,4,7,26,0,Donovan Gibbs Offensive Rebound.
IUPUI,Denver,11,4,7,31,1,Donovan Gibbs made Layup.
IUPUI,Denver,11,6,7,49,1,Chris Udofia made Layup. Assisted by Cam Griffin.
IUPUI,Denver,11,6,8,8,0,Marcellus Barksdale missed Layup.
IUPUI,Denver,11,6,8,8,0,Chris Udofia Defensive Rebound.
IUPUI,Denver,11,6,8,36,0,Foul on Mitch Patton.
IUPUI,Denver,11,6,8,36,0,Official TV Timeout
IUPUI,Denver,11,7,8,36,1,Cam Griffin made Free Throw.
IUPUI,Denver,11,7,8,36,0,Cam Griffin missed Free Throw.
IUPUI,Denver,11,7,8,36,0,P.J. Hubert Defensive Rebound.
IUPUI,Denver,11,7,8,47,0,Foul on Cam Griffin.
IUPUI,Denver,11,7,9,9,0,P.J. Hubert missed Three Point Jumper.
IUPUI,Denver,11,7,9,9,0,Marcus Byrd Defensive Rebound.
IUPUI,Denver,11,7,9,34,0,Marcus Byrd Turnover.
IUPUI,Denver,11,7,9,35,0,Justus Stanback Steal.
IUPUI,Denver,11,7,9,48,0,Ian Chiles missed Three Point Jumper.
IUPUI,Denver,11,7,9,48,0,Bryant Rucker Defensive Rebound.
IUPUI,Denver,11,10,9,59,1,Marcus Byrd made Three Point Jumper. Assisted by Bryant Rucker.
IUPUI,Denver,11,10,10,26,0,Khufu Najee missed Jumper.
IUPUI,Denver,11,10,10,26,0,Jalen Love Defensive Rebound.
IUPUI,Denver,11,13,10,42,1,Brett Olson made Three Point Jumper. Assisted by Chris Udofia.
IUPUI,Denver,11,13,10,44,0,IUPUI  Timeout
IUPUI,Denver,11,13,11,10,0,Marcellus Barksdale missed Layup.
IUPUI,Denver,11,13,11,10,0,Nate Engesser Defensive Rebound.
IUPUI,Denver,11,16,11,42,1,Brett Olson made Three Point Jumper. Assisted by Marcus Byrd.
IUPUI,Denver,11,16,12,4,0,Foul on Jalen Love.
IUPUI,Denver,11,16,12,4,0,Official TV Timeout
IUPUI,Denver,11,16,12,24,0,Foul on Bryant Rucker.
IUPUI,Denver,11,16,12,49,0,Mitch Patton missed Layup.
IUPUI,Denver,11,16,12,49,0,Chris Udofia Block.
IUPUI,Denver,11,16,12,50,0,Brett Olson Defensive Rebound.
IUPUI,Denver,11,18,12,59,1,Brett Olson made Layup.
IUPUI,Denver,11,18,13,6,0,IUPUI  Timeout
IUPUI,Denver,11,18,13,35,0,Ian Chiles missed Layup.
IUPUI,Denver,11,18,13,35,0,Ian Chiles Offensive Rebound.
IUPUI,Denver,11,18,13,39,0,Ian Chiles missed Two Point Tip Shot.
IUPUI,Denver,11,18,13,39,0,Marcus Byrd Defensive Rebound.
IUPUI,Denver,11,18,13,57,0,Bryant Rucker missed Three Point Jumper.
IUPUI,Denver,11,18,13,57,0,Chris Udofia Offensive Rebound.
IUPUI,Denver,11,20,14,7,1,Marcus Byrd made Layup. Assisted by Chris Udofia.
IUPUI,Denver,11,20,14,29,0,Khufu Najee Turnover.
IUPUI,Denver,11,20,14,30,0,Brett Olson Steal.
IUPUI,Denver,11,22,14,48,1,Jalen Love made Layup. Assisted by Chris Udofia.
IUPUI,Denver,11,22,15,0,0,Ian Chiles Turnover.
IUPUI,Denver,11,22,15,0,0,Foul on Ian Chiles.
