Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Lehigh,American,0,0,0,25,0,Tony Wroblicky missed Jumper.
Lehigh,American,0,0,0,25,0,Tim Kempton Defensive Rebound.
Lehigh,American,0,0,0,55,0,Austin Price missed Jumper.
Lehigh,American,0,0,0,55,0,John Schoof Defensive Rebound.
Lehigh,American,0,0,1,18,0,Foul on Tim Kempton.
Lehigh,American,0,1,1,18,1,Tony Wroblicky made Free Throw.
Lehigh,American,0,2,1,18,1,Tony Wroblicky made Free Throw.
Lehigh,American,2,2,1,32,1,Austin Price made Layup.
Lehigh,American,2,2,1,32,0,Foul on Tony Wroblicky.
Lehigh,American,2,2,1,32,0,Austin Price missed Free Throw.
Lehigh,American,2,2,1,32,0,Jesse Reed Defensive Rebound.
Lehigh,American,2,2,1,52,0,John Schoof missed Three Point Jumper.
Lehigh,American,2,2,1,52,0,Kyle Kager Offensive Rebound.
Lehigh,American,2,2,2,6,0,John Schoof missed Layup.
Lehigh,American,2,2,2,6,0,Austin Price Block.
Lehigh,American,2,2,2,8,0,Tim Kempton Defensive Rebound.
Lehigh,American,4,2,2,14,1,Tim Kempton made Layup. Assisted by Mackey McKnight.
Lehigh,American,4,2,2,35,0,Darius Gardner missed Three Point Jumper.
Lehigh,American,4,2,2,35,0,Jesse Chuku Defensive Rebound.
Lehigh,American,4,2,2,42,0,Foul on Darius Gardner.
Lehigh,American,4,2,2,58,0,Mackey McKnight missed Jumper.
Lehigh,American,4,2,2,58,0,Jesse Chuku Offensive Rebound.
Lehigh,American,7,2,3,4,1,Austin Price made Three Point Jumper. Assisted by Mackey McKnight.
Lehigh,American,7,5,3,22,1,Jesse Reed made Three Point Jumper. Assisted by Darius Gardner.
Lehigh,American,7,5,3,47,0,Tim Kempton missed Jumper.
Lehigh,American,7,5,3,47,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,7,5,3,54,0,Darius Gardner missed Jumper.
Lehigh,American,7,5,3,54,0,Tim Kempton Defensive Rebound.
Lehigh,American,7,5,4,12,0,Official TV Timeout
Lehigh,American,7,5,4,30,0,Foul on Jesse Chuku.
Lehigh,American,7,5,4,30,0,Jesse Chuku Turnover.
Lehigh,American,7,5,4,58,0,John Schoof missed Jumper.
Lehigh,American,7,5,4,58,0,Tony Wroblicky Offensive Rebound.
Lehigh,American,7,7,4,59,1,Tony Wroblicky made Layup.
Lehigh,American,7,7,4,59,0,Foul on Austin Price.
Lehigh,American,7,8,4,59,1,Tony Wroblicky made Free Throw.
Lehigh,American,7,8,5,16,0,Mackey McKnight Turnover.
Lehigh,American,7,8,5,17,0,Jesse Reed Steal.
Lehigh,American,7,10,5,22,1,Kyle Kager made Dunk. Assisted by Tony Wroblicky.
Lehigh,American,10,10,5,50,1,Austin Price made Three Point Jumper. Assisted by Mackey McKnight.
Lehigh,American,10,10,6,21,0,Jesse Reed missed Jumper.
Lehigh,American,10,10,6,21,0,Mackey McKnight Defensive Rebound.
Lehigh,American,10,10,6,28,0,Mackey McKnight missed Layup.
Lehigh,American,10,10,6,28,0,Tony Wroblicky Block.
Lehigh,American,10,10,6,29,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,10,10,6,46,0,Justice Montgomery missed Jumper.
Lehigh,American,10,10,6,46,0,Corey Schaefer Defensive Rebound.
Lehigh,American,10,10,6,54,0,Mackey McKnight missed Three Point Jumper.
Lehigh,American,10,10,6,54,0,Jesse Chuku Offensive Rebound.
Lehigh,American,10,10,7,1,0,Lehigh  Timeout
Lehigh,American,10,10,7,4,0,Foul on Stefan Cvrkalj.
Lehigh,American,10,10,7,4,0,Stefan Cvrkalj Turnover.
Lehigh,American,10,10,7,40,0,Kyle Kager Turnover.
Lehigh,American,10,10,7,42,0,Jesse Chuku Steal.
Lehigh,American,10,10,7,52,0,Justin Goldsborough missed Jumper.
Lehigh,American,10,10,7,54,0,Lehigh Offensive Rebound.
Lehigh,American,12,10,7,55,1,Austin Price made Jumper. Assisted by Mackey McKnight.
Lehigh,American,12,10,8,6,0,Foul on Justin Goldsborough.
Lehigh,American,12,10,8,6,0,Official TV Timeout
Lehigh,American,12,10,8,41,0,Tony Wroblicky Turnover.
Lehigh,American,12,10,8,42,0,Mackey McKnight Steal.
Lehigh,American,12,10,8,43,0,Austin Price missed Jumper.
Lehigh,American,12,10,8,43,0,Justice Montgomery Defensive Rebound.
Lehigh,American,12,10,8,47,0,Foul on Mackey McKnight.
Lehigh,American,12,10,8,47,0,Justice Montgomery missed Free Throw.
Lehigh,American,12,10,8,47,0,American Deadball Team Rebound.
Lehigh,American,12,10,8,47,0,Justice Montgomery missed Free Throw.
Lehigh,American,12,10,8,47,0,Tim Kempton Defensive Rebound.
Lehigh,American,12,10,8,59,0,Miles Simelton Turnover.
Lehigh,American,12,10,9,1,0,Darius Gardner Steal.
Lehigh,American,12,10,9,22,0,Tony Wroblicky Turnover.
Lehigh,American,12,10,9,23,0,Austin Price Steal.
Lehigh,American,14,10,9,38,1,Tim Kempton made Jumper. Assisted by Stefan Cvrkalj.
Lehigh,American,14,10,10,7,0,Jesse Reed missed Jumper.
Lehigh,American,14,10,10,9,0,American Offensive Rebound.
Lehigh,American,14,12,10,11,1,Jesse Reed made Layup. Assisted by Darius Gardner.
Lehigh,American,14,12,10,30,0,Tim Kempton missed Jumper.
Lehigh,American,14,12,10,30,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,14,12,10,36,0,Darius Gardner Turnover.
Lehigh,American,14,12,10,38,0,Austin Price Steal.
Lehigh,American,16,12,10,41,1,Austin Price made Layup.
Lehigh,American,16,12,11,8,0,Justice Montgomery missed Three Point Jumper.
Lehigh,American,16,12,11,8,0,Stefan Cvrkalj Defensive Rebound.
Lehigh,American,16,12,11,19,0,Stefan Cvrkalj missed Layup.
Lehigh,American,16,12,11,19,0,Tim Kempton Offensive Rebound.
Lehigh,American,16,12,11,26,0,Austin Price missed Jumper.
Lehigh,American,16,12,11,26,0,Austin Price Offensive Rebound.
Lehigh,American,18,12,11,28,1,Austin Price made Jumper.
Lehigh,American,18,12,11,28,0,American  Timeout
Lehigh,American,18,12,11,46,0,Darius Gardner missed Layup.
Lehigh,American,18,12,11,46,0,Lehigh Defensive Rebound.
Lehigh,American,18,12,12,5,0,Shane Whitfield Turnover.
Lehigh,American,18,12,12,5,0,John Schoof Steal.
Lehigh,American,18,12,12,25,0,Jesse Reed Turnover.
Lehigh,American,18,12,12,25,0,Official TV Timeout
Lehigh,American,18,12,12,37,0,Austin Price missed Jumper.
Lehigh,American,18,12,12,37,0,Darius Gardner Defensive Rebound.
Lehigh,American,18,15,12,54,1,John Schoof made Three Point Jumper. Assisted by Darius Gardner.
Lehigh,American,18,15,13,16,0,Jesse Chuku missed Jumper.
Lehigh,American,18,15,13,16,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,18,17,13,33,1,Charlie Jones made Jumper.
Lehigh,American,18,17,13,52,0,Corey Schaefer Turnover.
Lehigh,American,18,17,13,53,0,Darius Gardner Steal.
Lehigh,American,18,19,13,56,1,Darius Gardner made Layup.
Lehigh,American,18,19,13,57,0,Lehigh  Timeout
Lehigh,American,18,19,14,24,0,Tim Kempton missed Jumper.
Lehigh,American,18,19,14,24,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,18,21,14,52,1,Tony Wroblicky made Jumper.
Lehigh,American,18,21,15,8,0,Jesse Chuku Turnover.
Lehigh,American,18,21,15,8,0,Darius Gardner Steal.
Lehigh,American,18,23,15,11,1,Darius Gardner made Layup. Assisted by Jesse Reed.
Lehigh,American,18,23,15,32,0,Foul on Tim Kempton.
Lehigh,American,18,23,15,32,0,Tim Kempton Turnover.
Lehigh,American,18,23,15,45,0,Tony Wroblicky Turnover.
Lehigh,American,18,23,15,46,0,Justin Goldsborough Steal.
Lehigh,American,18,23,15,54,0,Mackey McKnight Turnover.
Lehigh,American,18,23,15,55,0,Jesse Reed Steal.
Lehigh,American,18,25,16,3,1,Tony Wroblicky made Jumper. Assisted by Darius Gardner.
Lehigh,American,18,25,16,18,0,Foul on Jesse Chuku.
Lehigh,American,18,25,16,18,0,Jesse Chuku Turnover.
Lehigh,American,18,25,16,18,0,Official TV Timeout
Lehigh,American,18,25,16,44,0,Charlie Jones missed Jumper.
Lehigh,American,18,25,16,44,0,Justin Goldsborough Defensive Rebound.
Lehigh,American,18,25,17,11,0,Justin Goldsborough Turnover.
Lehigh,American,18,25,17,37,0,John Schoof missed Jumper.
Lehigh,American,18,25,17,37,0,Justice Montgomery Offensive Rebound.
Lehigh,American,18,25,17,43,0,Justice Montgomery missed Jumper.
Lehigh,American,18,25,17,43,0,Justin Goldsborough Defensive Rebound.
Lehigh,American,20,25,17,51,1,Mackey McKnight made Jumper.
Lehigh,American,20,25,18,8,0,Justice Montgomery Turnover.
Lehigh,American,20,25,18,20,0,Mackey McKnight Turnover.
Lehigh,American,20,25,18,21,0,John Schoof Steal.
Lehigh,American,20,27,18,34,1,Darius Gardner made Layup. Assisted by Tony Wroblicky.
Lehigh,American,20,27,18,58,0,Foul on Darius Gardner.
Lehigh,American,20,27,19,1,0,Stefan Cvrkalj missed Jumper.
Lehigh,American,20,27,19,1,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,20,27,19,30,0,Tony Wroblicky missed Jumper.
Lehigh,American,20,27,19,30,0,Stefan Cvrkalj Block.
Lehigh,American,20,27,19,33,0,Tony Wroblicky Offensive Rebound.
Lehigh,American,20,27,19,33,0,Justice Montgomery Turnover.
Lehigh,American,20,27,19,58,0,Corey Schaefer missed Jumper.
Lehigh,American,20,27,19,58,0,Charlie Jones Block.
Lehigh,American,20,27,19,59,0,Lehigh Offensive Rebound.
Lehigh,American,20,27,19,59,0,Mackey McKnight Turnover.
Lehigh,American,20,27,19,59,0,John Schoof Steal.
Lehigh,American,20,27,20,0,0,End of 1st half
Lehigh,American,20,27,20,13,0,Jesse Reed Turnover.
Lehigh,American,20,27,20,13,0,Austin Price Steal.
Lehigh,American,22,27,20,16,1,Austin Price made Layup.
Lehigh,American,22,29,20,38,1,Tony Wroblicky made Layup. Assisted by John Schoof.
Lehigh,American,22,29,21,1,0,Tim Kempton Turnover.
Lehigh,American,22,29,21,2,0,John Schoof Steal.
Lehigh,American,22,31,21,6,1,Darius Gardner made Layup. Assisted by Jesse Reed.
Lehigh,American,22,31,21,6,0,Foul on Jesse Chuku.
Lehigh,American,22,32,21,6,1,Darius Gardner made Free Throw.
Lehigh,American,22,32,21,23,0,Corey Schaefer Turnover.
Lehigh,American,22,32,21,24,0,Kyle Kager Steal.
Lehigh,American,22,32,21,29,0,Jesse Reed Turnover.
Lehigh,American,22,32,21,30,0,Tim Kempton Steal.
Lehigh,American,22,32,21,39,0,Foul on Kyle Kager.
Lehigh,American,23,32,21,39,1,Justin Goldsborough made Free Throw.
Lehigh,American,23,32,21,39,0,Justin Goldsborough missed Free Throw.
Lehigh,American,23,32,21,39,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,23,32,22,13,0,Darius Gardner missed Three Point Jumper.
Lehigh,American,23,32,22,13,0,Justin Goldsborough Defensive Rebound.
Lehigh,American,23,32,22,34,0,Austin Price missed Three Point Jumper.
Lehigh,American,23,32,22,34,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,23,32,22,48,0,Jesse Reed missed Jumper.
Lehigh,American,23,32,22,48,0,Austin Price Defensive Rebound.
Lehigh,American,23,32,22,56,0,Tim Kempton missed Jumper.
Lehigh,American,23,32,22,56,0,Kyle Kager Block.
Lehigh,American,23,32,22,58,0,Kyle Kager Defensive Rebound.
Lehigh,American,23,34,23,1,1,Darius Gardner made Layup. Assisted by John Schoof.
Lehigh,American,23,34,23,27,0,Tim Kempton missed Jumper.
Lehigh,American,23,34,23,27,0,Jesse Reed Defensive Rebound.
Lehigh,American,23,36,23,44,1,Darius Gardner made Layup. Assisted by Tony Wroblicky.
Lehigh,American,23,36,24,5,0,Tim Kempton Turnover.
Lehigh,American,23,36,24,6,0,Darius Gardner Steal.
Lehigh,American,23,36,24,17,0,Darius Gardner Turnover.
Lehigh,American,23,36,24,18,0,Austin Price Steal.
Lehigh,American,23,36,24,23,0,Austin Price Turnover.
Lehigh,American,23,36,24,24,0,Darius Gardner Steal.
Lehigh,American,23,38,24,28,1,Jesse Reed made Layup. Assisted by Kyle Kager.
Lehigh,American,23,38,24,28,0,Foul on Justin Goldsborough.
Lehigh,American,23,38,24,28,0,Official TV Timeout
Lehigh,American,23,39,24,28,1,Jesse Reed made Free Throw.
Lehigh,American,23,39,24,41,0,Foul on Mackey McKnight.
Lehigh,American,23,39,24,41,0,Mackey McKnight Turnover.
Lehigh,American,23,39,24,57,0,Tony Wroblicky Turnover.
Lehigh,American,23,39,25,7,0,Corey Schaefer missed Three Point Jumper.
Lehigh,American,23,39,25,7,0,Jesse Reed Defensive Rebound.
Lehigh,American,23,39,25,37,0,Tony Wroblicky Turnover.
Lehigh,American,23,39,25,47,0,Justin Goldsborough missed Jumper.
Lehigh,American,23,39,25,47,0,Tony Wroblicky Defensive Rebound.
Lehigh,American,23,39,25,59,0,Foul on Austin Price.
Lehigh,American,23,40,25,59,1,Jesse Reed made Free Throw.
